time,Boston,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:40.0,B. Bass misses 2-pt shot from 9 ft (block by Q. Pondexter),,0-0,,
12:00.0,Jump ball: B. Bass vs. A. Davis (T. Zeller gains possession),,,,Jump ball: B. Bass vs. A. Davis (T. Zeller gains possession)
11:38.0,,,0-0,,Defensive rebound by T. Evans
11:24.0,,,0-0,,Turnover by T. Evans (traveling)
11:11.0,T. Zeller misses 2-pt shot from 9 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by O. Asik
10:58.0,,,0-0,,E. Gordon misses 2-pt shot from 3 ft
10:57.0,,,0-0,,Offensive rebound by T. Evans
10:51.0,,,0-2,2,E. Gordon makes 2-pt shot at rim (assist by A. Davis)
10:34.0,E. Turner misses 2-pt shot from 12 ft,,0-2,,
10:32.0,,,0-2,,Defensive rebound by O. Asik
10:23.0,,,0-4,2,O. Asik makes 2-pt shot at rim (assist by E. Gordon)
9:56.0,T. Zeller misses 2-pt shot from 8 ft,,0-4,,
9:53.0,,,0-4,,Defensive rebound by O. Asik
9:48.0,,,0-6,2,A. Davis makes 2-pt shot at rim (assist by Q. Pondexter)
9:22.0,E. Turner misses 2-pt shot from 15 ft,,0-6,,
9:19.0,,,0-6,,Defensive rebound by A. Davis
9:05.0,,,0-6,,T. Evans misses 3-pt shot from 26 ft
9:04.0,Defensive rebound by T. Zeller,,0-6,,
8:56.0,M. Smart misses 2-pt shot from 19 ft,,0-6,,
8:55.0,Offensive rebound by M. Smart,,0-6,,
8:51.0,J. Crowder makes 2-pt shot from 20 ft (assist by M. Smart),2,2-6,,
8:34.0,,,2-8,2,A. Davis makes 2-pt shot from 20 ft (assist by Q. Pondexter)
8:18.0,T. Zeller makes 2-pt shot from 19 ft (assist by E. Turner),2,4-8,,
8:01.0,,,4-8,,Turnover by E. Gordon (bad pass; steal by J. Crowder)
7:57.0,J. Crowder misses 2-pt shot from 2 ft,,4-8,,
7:54.0,Offensive rebound by B. Bass,,4-8,,
7:54.0,B. Bass makes 2-pt shot at rim,2,6-8,,
7:34.0,,,6-8,,A. Davis misses 2-pt shot from 13 ft
7:33.0,Defensive rebound by J. Crowder,,6-8,,
7:25.0,E. Turner makes 2-pt shot from 13 ft,2,8-8,,
7:07.0,,,8-8,,Q. Pondexter misses 2-pt shot from 3 ft
7:04.0,Defensive rebound by E. Turner,,8-8,,
6:56.0,Turnover by E. Turner (lost ball; steal by A. Davis),,8-8,,
6:50.0,,,8-10,2,T. Evans makes 2-pt shot from 1 ft
6:30.0,M. Smart makes 2-pt shot from 20 ft (assist by T. Zeller),2,10-10,,
6:07.0,,,10-10,,T. Evans misses 2-pt shot from 2 ft
6:05.0,,,10-10,,Offensive rebound by O. Asik
