time,Atlanta,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Len (E. Bledsoe gains possession),,,,Jump ball: A. Horford vs. A. Len (E. Bledsoe gains possession)
11:35.0,,,0-2,2,M. Morris makes 2-pt shot from 15 ft (assist by P. Tucker)
11:15.0,P. Millsap makes 2-pt shot from 5 ft,2,2-2,,
10:52.0,,,2-2,,Turnover by M. Morris (step out of bounds)
10:38.0,Shooting foul by M. Morris (drawn by D. Carroll),,2-2,,
10:38.0,D. Carroll makes free throw 1 of 2,1,3-2,,
10:38.0,D. Carroll makes free throw 2 of 2,1,4-2,,
10:28.0,,,4-2,,M. Morris misses 2-pt shot from 15 ft
10:27.0,,,4-2,,Offensive rebound by A. Len
10:23.0,,,4-5,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by A. Len)
10:12.0,A. Horford makes 2-pt shot from 21 ft (assist by J. Teague),2,6-5,,
9:51.0,,,6-5,,A. Len misses 2-pt shot from 2 ft (block by P. Millsap)
9:50.0,,,6-5,,Offensive rebound by M. Morris
9:47.0,,,6-8,3,M. Morris makes 3-pt shot from 24 ft (assist by P. Tucker)
9:33.0,,,6-8,,Personal foul by E. Bledsoe (drawn by J. Teague)
9:24.0,D. Carroll misses 3-pt shot from 23 ft,,6-8,,
9:23.0,,,6-8,,Defensive rebound by P. Tucker
9:02.0,,,6-8,,M. Morris misses 2-pt shot from 2 ft
9:01.0,Defensive rebound by A. Horford,,6-8,,
8:56.0,D. Carroll misses 2-pt shot from 2 ft,,6-8,,
8:55.0,Offensive rebound by D. Carroll,,6-8,,
8:53.0,D. Carroll misses 2-pt shot from 1 ft (block by M. Morris),,6-8,,
8:52.0,,,6-8,,Defensive rebound by A. Len
8:39.0,,,6-8,,A. Len misses 2-pt shot from 2 ft
8:38.0,Defensive rebound by P. Millsap,,6-8,,
8:22.0,P. Millsap makes 2-pt shot at rim,2,8-8,,
8:08.0,,,8-8,,Shooting foul by J. Teague (drawn by E. Bledsoe)
8:08.0,,,8-8,,E. Bledsoe misses free throw 1 of 2
8:08.0,,,8-8,,Offensive rebound by Team
