time,Cleveland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Mozgov (L. James gains possession),,,,Jump ball: A. Horford vs. T. Mozgov (L. James gains possession)
11:41.0,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James),2,2-0,,
11:26.0,,,2-3,3,J. Teague makes 3-pt shot from 25 ft (assist by P. Millsap)
11:06.0,I. Shumpert misses 3-pt shot from 24 ft,,2-3,,
11:05.0,Offensive rebound by Team,,2-3,,
11:05.0,,,2-3,,Loose ball foul by P. Millsap (drawn by T. Thompson)
10:56.0,L. James makes 2-pt shot from 5 ft,2,4-3,,
10:39.0,,,4-5,2,P. Millsap makes 2-pt shot from 1 ft
10:24.0,T. Mozgov makes 2-pt shot from 18 ft (assist by K. Irving),2,6-5,,
9:59.0,,,6-5,,D. Carroll misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by T. Mozgov,,6-5,,
9:39.0,T. Mozgov misses 2-pt shot from 11 ft,,6-5,,
9:37.0,Offensive rebound by T. Thompson,,6-5,,
9:23.0,Turnover by K. Irving (lost ball; steal by J. Teague),,6-5,,
9:16.0,,,6-7,2,A. Horford makes 2-pt shot from 2 ft (assist by K. Korver)
8:50.0,L. James misses 2-pt shot from 21 ft,,6-7,,
8:45.0,,,6-7,,Defensive rebound by P. Millsap
8:39.0,,,6-9,2,A. Horford makes 2-pt shot from 15 ft (assist by J. Teague)
8:21.0,Turnover by I. Shumpert (step out of bounds),,6-9,,
8:06.0,,,6-11,2,K. Korver makes 2-pt shot from 23 ft (assist by A. Horford)
8:06.0,,,6-11,,Shooting foul by T. Mozgov (drawn by K. Korver)
8:06.0,,,6-12,1,K. Korver makes free throw 1 of 1
7:55.0,T. Thompson misses 2-pt shot from 7 ft,,6-12,,
7:54.0,Offensive rebound by T. Mozgov,,6-12,,
7:54.0,T. Mozgov misses 2-pt shot at rim,,6-12,,
7:52.0,,,6-12,,Defensive rebound by K. Korver
7:46.0,,,6-12,,J. Teague misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by T. Mozgov,,6-12,,
7:40.0,K. Irving makes 3-pt shot from 24 ft (assist by L. James),3,9-12,,
7:29.0,Violation by T. Mozgov (def goaltending),,9-12,,
7:29.0,,,9-14,2,J. Teague makes 2-pt shot from 2 ft
7:07.0,T. Mozgov misses 2-pt shot from 20 ft,,9-14,,
7:06.0,,,9-14,,Defensive rebound by K. Korver
6:46.0,,,9-16,2,D. Carroll makes 2-pt shot from 4 ft (assist by P. Millsap)
6:29.0,I. Shumpert misses 2-pt shot from 19 ft,,9-16,,
6:27.0,Offensive rebound by T. Mozgov,,9-16,,
6:24.0,Turnover by K. Irving (lost ball; steal by D. Carroll),,9-16,,
6:21.0,,,9-16,,P. Antic enters the game for P. Millsap
6:16.0,,,9-16,,Offensive foul by A. Horford
6:16.0,,,9-16,,Turnover by A. Horford (offensive foul)
6:02.0,Turnover by T. Mozgov (bad pass),,9-16,,
5:47.0,,,9-16,,A. Horford misses 2-pt shot from 6 ft
5:43.0,Defensive rebound by T. Mozgov,,9-16,,
5:35.0,Shooting foul by K. Korver (drawn by T. Thompson),,9-16,,
5:35.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,11-16,,
5:35.0,,,11-16,,Atlanta full timeout
5:35.0,,,11-16,,D. Schroder enters the game for K. Korver
5:35.0,J. Jones enters the game for T. Mozgov,,11-16,,
5:35.0,J. Smith enters the game for I. Shumpert,,11-16,,
5:35.0,T. Thompson makes free throw 1 of 1,1,12-16,,
5:15.0,,,12-18,2,J. Teague makes 2-pt shot from 5 ft
4:53.0,J. Jones misses 3-pt shot from 24 ft,,12-18,,
4:52.0,,,12-18,,Defensive rebound by P. Antic
4:52.0,Personal foul by L. James (drawn by P. Antic),,12-18,,
4:38.0,,,12-20,2,J. Teague makes 2-pt shot from 19 ft
4:22.0,K. Irving makes 3-pt shot from 24 ft (assist by L. James),3,15-20,,
3:59.0,,,15-22,2,D. Schroder makes 2-pt shot from 2 ft
3:44.0,,,15-22,,Personal foul by D. Schroder (drawn by K. Irving)
3:44.0,,,15-22,,K. Bazemore enters the game for J. Teague
3:36.0,K. Irving misses 2-pt shot from 21 ft,,15-22,,
3:34.0,,,15-22,,Defensive rebound by K. Bazemore
3:25.0,,,15-22,,P. Antic misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by K. Irving,,15-22,,
3:15.0,L. James misses 2-pt shot from 2 ft,,15-22,,
3:14.0,Offensive rebound by T. Thompson,,15-22,,
3:12.0,T. Thompson misses 2-pt shot from 2 ft,,15-22,,
3:11.0,Offensive rebound by T. Thompson,,15-22,,
3:04.0,Turnover by L. James (offensive foul),,15-22,,
3:04.0,Offensive foul by L. James,,15-22,,
3:04.0,I. Shumpert enters the game for L. James,,15-22,,
2:55.0,,,15-22,,Shooting foul by J. Jones (drawn by D. Schroder)
2:55.0,Cleveland full timeout,,15-22,,
2:55.0,,,15-22,,P. Millsap enters the game for D. Carroll
2:55.0,,,15-22,,K. Korver enters the game for A. Horford
2:55.0,,,15-23,1,D. Schroder makes free throw 1 of 2
2:55.0,,,15-24,1,D. Schroder makes free throw 2 of 2
2:39.0,J. Smith makes 2-pt shot from 20 ft (assist by K. Irving),2,17-24,,
2:15.0,,,17-24,,P. Millsap misses 2-pt shot from 7 ft
2:14.0,Defensive rebound by T. Thompson,,17-24,,
2:08.0,,,17-24,,Violation by P. Millsap (def goaltending)
2:08.0,I. Shumpert makes 2-pt shot from 2 ft,2,19-24,,
1:54.0,,,19-24,,Shooting foul by J. Smith (drawn by P. Millsap)
1:54.0,,,19-24,,P. Millsap misses free throw 1 of 2
1:54.0,,,19-24,,Offensive rebound by Team
1:54.0,,,19-24,,A. Horford enters the game for P. Antic
1:54.0,,,19-24,,P. Millsap misses free throw 2 of 2
1:52.0,Defensive rebound by I. Shumpert,,19-24,,
1:39.0,K. Irving misses 2-pt shot from 6 ft,,19-24,,
1:38.0,Offensive rebound by K. Irving,,19-24,,
1:36.0,K. Irving misses 2-pt shot from 1 ft,,19-24,,
1:35.0,Offensive rebound by T. Thompson,,19-24,,
1:35.0,Shooting foul by A. Horford (drawn by T. Thompson),,19-24,,
1:35.0,T. Thompson misses free throw 1 of 2,,19-24,,
1:35.0,Offensive rebound by Team,,19-24,,
1:35.0,,,19-24,,M. Muscala enters the game for A. Horford
1:35.0,T. Thompson makes free throw 2 of 2,1,20-24,,
1:11.0,,,20-24,,D. Schroder misses 3-pt shot from 26 ft
1:09.0,Defensive rebound by T. Thompson,,20-24,,
0:50.0,K. Irving misses 2-pt shot from 1 ft (block by M. Muscala),,20-24,,
0:48.0,,,20-24,,Defensive rebound by K. Bazemore
0:30.0,,,20-26,2,P. Millsap makes 2-pt shot from 17 ft (assist by D. Schroder)
0:17.0,Turnover by J. Smith (lost ball),,20-26,,
0:17.0,M. Dellavedova enters the game for K. Irving,,20-26,,
0:17.0,,,20-26,,D. Carroll enters the game for K. Bazemore
0:03.0,,,20-26,,D. Schroder misses 2-pt shot from 5 ft
0:01.0,Defensive rebound by I. Shumpert,,20-26,,
0:00.0,I. Shumpert misses 3-pt shot from 40 ft,,20-26,,
0:00.0,Offensive rebound by Team,,20-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,20-26,,D. Carroll enters the game for D. Schroder
11:39.0,,,20-26,,P. Millsap misses 2-pt shot from 9 ft
11:38.0,,,20-26,,Offensive rebound by M. Muscala
11:38.0,,,20-28,2,M. Muscala makes 2-pt shot at rim
11:22.0,J. Smith makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,23-28,,
11:00.0,,,23-30,2,P. Millsap makes 2-pt shot from 2 ft (assist by D. Carroll)
10:35.0,L. James makes 2-pt shot from 19 ft,2,25-30,,
10:14.0,,,25-30,,Turnover by K. Korver (offensive foul)
10:14.0,,,25-30,,Offensive charge foul by K. Korver
10:14.0,,,25-30,,A. Horford enters the game for P. Millsap
10:14.0,T. Mozgov enters the game for T. Thompson,,25-30,,
9:58.0,J. Smith makes 3-pt shot from 24 ft,3,28-30,,
9:49.0,,,28-30,,Offensive foul by M. Muscala
9:49.0,,,28-30,,Turnover by M. Muscala (offensive foul)
9:30.0,M. Dellavedova misses 3-pt shot from 25 ft,,28-30,,
9:29.0,,,28-30,,Defensive rebound by K. Korver
9:18.0,,,28-30,,J. Teague misses 2-pt shot from 10 ft
9:16.0,Defensive rebound by L. James,,28-30,,
9:12.0,Turnover by L. James (lost ball; steal by J. Teague),,28-30,,
9:10.0,Personal foul by M. Dellavedova (drawn by J. Teague),,28-30,,
9:02.0,,,28-30,,J. Teague misses 2-pt shot from 19 ft
8:59.0,Defensive rebound by M. Dellavedova,,28-30,,
8:49.0,M. Dellavedova misses 3-pt shot from 26 ft,,28-30,,
8:47.0,,,28-30,,Defensive rebound by K. Korver
8:40.0,,,28-33,3,D. Carroll makes 3-pt shot from 23 ft (assist by A. Horford)
8:18.0,J. Smith makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,31-33,,
8:09.0,,,31-33,,Turnover by J. Teague (lost ball; steal by I. Shumpert)
8:03.0,L. James makes 2-pt shot from 2 ft (assist by I. Shumpert),2,33-33,,
8:02.0,,,33-33,,Atlanta full timeout
7:47.0,,,33-33,,Turnover by K. Korver (bad pass)
7:34.0,L. James makes 2-pt shot from 1 ft (assist by J. Smith),2,35-33,,
7:19.0,,,35-35,2,A. Horford makes 2-pt shot from 18 ft
6:55.0,M. Dellavedova misses 2-pt shot from 13 ft,,35-35,,
6:54.0,,,35-35,,Defensive rebound by M. Muscala
6:39.0,,,35-37,2,J. Teague makes 2-pt shot from 7 ft
6:16.0,Turnover by J. Smith (bad pass),,35-37,,
6:16.0,,,35-37,,P. Millsap enters the game for M. Muscala
6:16.0,,,35-37,,D. Schroder enters the game for K. Korver
6:16.0,K. Irving enters the game for M. Dellavedova,,35-37,,
6:02.0,,,35-39,2,A. Horford makes 2-pt shot from 8 ft (assist by D. Carroll)
6:02.0,,,35-39,,Shooting foul by K. Irving (drawn by A. Horford)
6:02.0,T. Thompson enters the game for I. Shumpert,,35-39,,
6:02.0,,,35-39,,A. Horford misses free throw 1 of 1
6:00.0,Defensive rebound by J. Smith,,35-39,,
5:37.0,L. James misses 2-pt shot from 20 ft,,35-39,,
5:34.0,,,35-39,,Defensive rebound by D. Schroder
5:27.0,,,35-39,,D. Schroder misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by T. Mozgov,,35-39,,
5:17.0,T. Mozgov makes 2-pt shot from 1 ft (assist by J. Smith),2,37-39,,
5:03.0,,,37-39,,J. Teague misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by L. James,,37-39,,
4:49.0,J. Smith misses 3-pt shot from 25 ft,,37-39,,
4:48.0,,,37-39,,Defensive rebound by A. Horford
4:42.0,,,37-41,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
4:16.0,T. Thompson makes 2-pt shot from 5 ft (assist by K. Irving),2,39-41,,
4:05.0,,,39-43,2,J. Teague makes 2-pt shot at rim
4:04.0,Cleveland full timeout,,39-43,,
4:04.0,M. Dellavedova enters the game for J. Smith,,39-43,,
3:43.0,L. James makes 2-pt shot from 11 ft,2,41-43,,
3:24.0,,,41-43,,J. Teague misses 2-pt shot from 12 ft
3:23.0,Defensive rebound by L. James,,41-43,,
3:16.0,L. James makes 2-pt shot from 10 ft,2,43-43,,
2:56.0,,,43-45,2,D. Schroder makes 2-pt shot from 1 ft
2:33.0,L. James misses 2-pt shot from 9 ft,,43-45,,
2:32.0,Offensive rebound by T. Mozgov,,43-45,,
2:32.0,T. Mozgov makes 2-pt shot at rim,2,45-45,,
2:21.0,,,45-45,,D. Schroder misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by T. Thompson,,45-45,,
2:12.0,Turnover by M. Dellavedova (bad pass; steal by D. Schroder),,45-45,,
2:07.0,,,45-45,,D. Carroll misses 3-pt shot from 25 ft
2:04.0,,,45-45,,Offensive rebound by D. Schroder
1:42.0,,,45-45,,Shooting foul by T. Mozgov (drawn by J. Teague)
1:42.0,Official timeout,,45-45,,
1:42.0,,,45-45,,M. Muscala enters the game for A. Horford
1:42.0,,,45-45,,K. Korver enters the game for D. Schroder
1:42.0,J. Smith enters the game for T. Mozgov,,45-45,,
1:42.0,,,45-46,1,J. Teague makes free throw 1 of 2
1:42.0,,,45-47,1,J. Teague makes free throw 2 of 2
1:21.0,L. James makes 2-pt shot from 5 ft,2,47-47,,
1:05.0,,,47-49,2,J. Teague makes 2-pt shot from 1 ft
0:50.0,M. Dellavedova misses 3-pt shot from 25 ft,,47-49,,
0:48.0,,,47-49,,Defensive rebound by J. Teague
0:48.0,,,47-49,,Turnover by J. Teague (bad pass)
0:48.0,,,47-49,,D. Schroder enters the game for K. Korver
0:48.0,,,47-49,,K. Bazemore enters the game for J. Teague
0:37.0,L. James makes 2-pt shot from 1 ft,2,49-49,,
0:29.0,,,49-49,,D. Schroder misses 2-pt shot from 19 ft
0:26.0,Defensive rebound by J. Smith,,49-49,,
0:11.0,,,49-49,,Def 3 sec tech foul by M. Muscala
0:11.0,K. Irving misses technical free throw,,49-49,,
0:11.0,Offensive rebound by Team,,49-49,,
0:11.0,Cleveland full timeout,,49-49,,
0:04.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,51-49,,
0:00.0,,,51-51,2,K. Bazemore makes 2-pt shot from 21 ft (assist by D. Schroder)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,51-53,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
11:22.0,L. James misses 2-pt shot from 20 ft,,51-53,,
11:20.0,Offensive rebound by T. Mozgov,,51-53,,
11:16.0,I. Shumpert misses 3-pt shot from 24 ft,,51-53,,
11:15.0,Offensive rebound by L. James,,51-53,,
10:47.0,Turnover by Team (shot clock),,51-53,,
10:41.0,Personal foul by I. Shumpert (drawn by K. Korver),,51-53,,
10:34.0,,,51-53,,Shooting foul by L. James (drawn by P. Millsap)
10:34.0,,,51-54,1,P. Millsap makes free throw 1 of 2
10:34.0,,,51-54,,P. Millsap misses free throw 2 of 2
10:33.0,Defensive rebound by I. Shumpert,,51-54,,
10:15.0,L. James misses 3-pt shot from 25 ft,,51-54,,
10:13.0,,,51-54,,Defensive rebound by P. Millsap
10:08.0,Personal foul by T. Mozgov (drawn by P. Millsap),,51-54,,
10:00.0,,,51-54,,K. Korver misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by T. Mozgov,,51-54,,
9:54.0,L. James makes 2-pt shot from 1 ft (assist by I. Shumpert),2,53-54,,
9:54.0,Shooting foul by D. Carroll (drawn by L. James),,53-54,,
9:54.0,L. James makes free throw 1 of 1,1,54-54,,
9:42.0,,,54-54,,Shooting foul by T. Thompson (drawn by P. Millsap)
9:42.0,,,54-55,1,P. Millsap makes free throw 1 of 2
9:42.0,,,54-56,1,P. Millsap makes free throw 2 of 2
9:32.0,,,54-56,,Personal foul by D. Carroll (drawn by L. James)
9:17.0,T. Mozgov makes 2-pt shot from 2 ft (assist by L. James),2,56-56,,
9:06.0,,,56-56,,D. Carroll misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by T. Mozgov,,56-56,,
8:57.0,K. Irving makes 2-pt shot from 18 ft,2,58-56,,
8:39.0,,,58-56,,A. Horford misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by K. Irving,,58-56,,
8:34.0,Cleveland full timeout,,58-56,,
8:34.0,J. Smith enters the game for L. James,,58-56,,
8:22.0,K. Irving makes 2-pt shot from 2 ft,2,60-56,,
8:03.0,,,60-58,2,J. Teague makes 2-pt shot from 17 ft
7:44.0,K. Irving misses 3-pt shot from 26 ft,,60-58,,
7:42.0,,,60-58,,Defensive rebound by K. Korver
7:36.0,,,60-58,,J. Teague misses 2-pt shot from 2 ft
7:34.0,Defensive rebound by T. Thompson,,60-58,,
7:26.0,I. Shumpert misses 2-pt shot from 14 ft,,60-58,,
7:25.0,Offensive rebound by T. Thompson,,60-58,,
7:22.0,T. Thompson makes 2-pt shot from 1 ft,2,62-58,,
7:10.0,,,62-61,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Carroll)
6:43.0,J. Smith misses 2-pt shot from 11 ft,,62-61,,
6:41.0,,,62-61,,Defensive rebound by A. Horford
6:30.0,,,62-61,,A. Horford misses 2-pt shot from 3 ft
6:28.0,Defensive rebound by T. Mozgov,,62-61,,
6:18.0,Turnover by I. Shumpert (step out of bounds),,62-61,,
6:18.0,L. James enters the game for I. Shumpert,,62-61,,
6:18.0,,,62-61,,P. Antic enters the game for A. Horford
6:08.0,,,62-61,,Offensive foul by P. Millsap
6:08.0,,,62-61,,Turnover by P. Millsap (offensive foul)
6:08.0,,,62-61,,Technical foul by P. Millsap
6:08.0,L. James makes technical free throw,1,63-61,,
5:55.0,T. Mozgov misses 2-pt shot from 14 ft,,63-61,,
5:53.0,,,63-61,,Defensive rebound by J. Teague
5:45.0,M. Dellavedova enters the game for K. Irving,,63-61,,
5:45.0,,,63-61,,D. Schroder enters the game for K. Korver
5:42.0,,,63-61,,J. Teague misses 2-pt shot from 17 ft
5:41.0,,,63-61,,Offensive rebound by P. Millsap
5:37.0,,,63-61,,P. Millsap misses 2-pt shot at rim (block by T. Thompson)
5:35.0,Defensive rebound by L. James,,63-61,,
5:18.0,Turnover by L. James (bad pass; steal by P. Antic),,63-61,,
5:05.0,,,63-61,,Turnover by P. Millsap (bad pass; steal by L. James)
5:00.0,L. James misses 2-pt shot from 1 ft,,63-61,,
4:58.0,,,63-61,,Defensive rebound by P. Antic
4:57.0,Personal block foul by M. Dellavedova (drawn by J. Teague),,63-61,,
4:57.0,,,63-62,1,J. Teague makes free throw 1 of 2
4:57.0,,,63-62,,K. Bazemore enters the game for D. Carroll
4:57.0,,,63-63,1,J. Teague makes free throw 2 of 2
4:52.0,,,63-63,,Personal foul by D. Schroder (drawn by M. Dellavedova)
4:52.0,,,63-63,,D. Carroll enters the game for J. Teague
4:52.0,J. Jones enters the game for T. Mozgov,,63-63,,
4:31.0,J. Smith misses 2-pt shot from 13 ft,,63-63,,
4:30.0,,,63-63,,Defensive rebound by D. Schroder
4:20.0,,,63-63,,Atlanta full timeout
4:12.0,,,63-63,,P. Millsap misses 2-pt shot from 7 ft
4:10.0,,,63-63,,Offensive rebound by P. Millsap
3:59.0,,,63-63,,D. Schroder misses 2-pt shot from 13 ft
3:58.0,Defensive rebound by M. Dellavedova,,63-63,,
3:50.0,L. James misses 2-pt shot from 1 ft,,63-63,,
3:47.0,,,63-63,,Defensive rebound by P. Millsap
3:47.0,,,63-63,,Atlanta full timeout
3:36.0,,,63-63,,Turnover by D. Schroder (bad pass)
3:27.0,,,63-63,,Shooting block foul by P. Antic (drawn by L. James)
3:27.0,L. James makes free throw 1 of 2,1,64-63,,
3:27.0,L. James makes free throw 2 of 2,1,65-63,,
3:11.0,,,65-63,,Offensive foul by P. Millsap
3:11.0,,,65-63,,Turnover by P. Millsap (offensive foul)
2:56.0,J. Smith makes 3-pt shot from 23 ft,3,68-63,,
2:42.0,,,68-63,,P. Millsap misses 3-pt shot from 25 ft
2:40.0,,,68-63,,Offensive rebound by D. Carroll
2:38.0,,,68-63,,D. Carroll misses 2-pt shot from 1 ft
2:37.0,Defensive rebound by L. James,,68-63,,
2:30.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,71-63,,
2:06.0,,,71-63,,Shooting foul by T. Thompson (drawn by P. Millsap)
2:06.0,,,71-64,1,P. Millsap makes free throw 1 of 2
2:06.0,,,71-64,,A. Horford enters the game for P. Antic
2:06.0,,,71-64,,K. Korver enters the game for D. Carroll
2:06.0,,,71-65,1,P. Millsap makes free throw 2 of 2
1:44.0,M. Dellavedova misses 3-pt shot from 25 ft,,71-65,,
1:41.0,,,71-65,,Defensive rebound by K. Bazemore
1:32.0,,,71-65,,D. Schroder misses 2-pt shot from 11 ft
1:30.0,Defensive rebound by J. Smith,,71-65,,
1:10.0,J. Jones misses 3-pt shot from 25 ft,,71-65,,
1:10.0,,,71-65,,Defensive rebound by Team
1:10.0,,,71-65,,P. Antic enters the game for P. Millsap
1:10.0,I. Shumpert enters the game for L. James,,71-65,,
0:57.0,,,71-65,,Turnover by K. Korver (bad pass; steal by J. Smith)
0:41.0,J. Smith misses 3-pt shot from 25 ft,,71-65,,
0:40.0,Offensive rebound by Team,,71-65,,
0:40.0,,,71-65,,Loose ball foul by P. Antic (drawn by T. Thompson)
0:40.0,T. Thompson makes free throw 1 of 2,1,72-65,,
0:40.0,T. Thompson misses free throw 2 of 2,,72-65,,
0:39.0,,,72-65,,Defensive rebound by P. Antic
0:28.0,,,72-67,2,K. Bazemore makes 2-pt shot at rim (assist by D. Schroder)
0:06.0,J. Smith makes 2-pt shot from 21 ft,2,74-67,,
0:00.0,,,74-67,,D. Schroder misses 2-pt shot from 2 ft (block by T. Thompson)
0:00.0,,,74-67,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Jones misses 3-pt shot from 25 ft,,74-67,,
11:44.0,Offensive rebound by Team,,74-67,,
11:44.0,K. Irving enters the game for M. Dellavedova,,74-67,,
11:42.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving),3,77-67,,
11:24.0,,,77-67,,M. Muscala misses 2-pt shot from 20 ft
11:22.0,Defensive rebound by J. Smith,,77-67,,
11:04.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving),3,80-67,,
10:49.0,,,80-67,,J. Teague misses 2-pt shot from 12 ft
10:48.0,Defensive rebound by J. Smith,,80-67,,
10:27.0,T. Thompson makes 2-pt shot at rim (assist by J. Smith),2,82-67,,
10:27.0,,,82-67,,Atlanta full timeout
10:27.0,,,82-67,,K. Bazemore enters the game for D. Schroder
10:27.0,,,82-67,,P. Millsap enters the game for M. Muscala
