time,Milwaukee,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (J. Ingles gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (J. Ingles gains possession)
11:45.0,,,0-2,2,G. Hayward makes 2-pt shot from 16 ft
11:27.0,K. Middleton misses 3-pt shot from 23 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by R. Gobert
11:15.0,,,0-4,2,D. Favors makes 2-pt shot from 15 ft (assist by G. Hayward)
10:51.0,M. Carter-Williams misses 2-pt shot at rim (block by R. Gobert),,0-4,,
10:49.0,,,0-4,,Defensive rebound by D. Exum
10:44.0,,,0-4,,Turnover by G. Hayward (bad pass)
10:24.0,Z. Pachulia misses 2-pt shot from 15 ft,,0-4,,
10:21.0,,,0-4,,Defensive rebound by D. Favors
10:11.0,,,0-4,,Turnover by D. Exum (lost ball; steal by Z. Pachulia)
10:06.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by K. Middleton),2,2-4,,
10:00.0,,,2-4,,Turnover by J. Ingles (bad pass; steal by M. Carter-Williams)
9:55.0,K. Middleton misses 2-pt shot from 6 ft,,2-4,,
9:54.0,,,2-4,,Defensive rebound by R. Gobert
9:42.0,,,2-6,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum)
9:30.0,E. Ilyasova misses 3-pt shot from 24 ft,,2-6,,
9:29.0,,,2-6,,Defensive rebound by R. Gobert
9:22.0,,,2-6,,Turnover by J. Ingles (bad pass; steal by M. Carter-Williams)
9:20.0,,,2-6,,Personal foul by D. Exum (drawn by E. Ilyasova)
9:20.0,,,2-6,,E. Millsap enters the game for J. Ingles
9:03.0,Z. Pachulia misses 2-pt shot from 16 ft,,2-6,,
9:01.0,,,2-6,,Defensive rebound by E. Millsap
8:52.0,,,2-6,,G. Hayward misses 2-pt shot from 20 ft
8:52.0,Defensive rebound by K. Middleton,,2-6,,
8:47.0,,,2-6,,Personal foul by D. Exum (drawn by M. Carter-Williams)
8:47.0,,,2-6,,T. Burke enters the game for D. Exum
8:45.0,Offensive foul by M. Carter-Williams,,2-6,,
8:45.0,Turnover by M. Carter-Williams (offensive foul),,2-6,,
8:23.0,,,2-8,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
8:10.0,K. Middleton makes 2-pt shot from 21 ft (assist by Z. Pachulia),2,4-8,,
7:56.0,Personal foul by Z. Pachulia (drawn by R. Gobert),,4-8,,
7:44.0,Shooting block foul by Z. Pachulia (drawn by R. Gobert),,4-8,,
7:44.0,,,4-9,1,R. Gobert makes free throw 1 of 2
7:44.0,J. Henson enters the game for Z. Pachulia,,4-9,,
7:44.0,,,4-10,1,R. Gobert makes free throw 2 of 2
7:31.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,6-10,,
7:04.0,,,6-10,,E. Millsap misses 2-pt shot from 8 ft
7:02.0,,,6-10,,Offensive rebound by R. Gobert
7:02.0,,,6-12,2,R. Gobert makes 2-pt shot at rim
6:44.0,J. Henson makes 2-pt shot from 5 ft (assist by M. Carter-Williams),2,8-12,,
6:27.0,,,8-12,,G. Hayward misses 2-pt shot from 2 ft
6:26.0,,,8-12,,Offensive rebound by Team
6:09.0,,,8-12,,G. Hayward misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by K. Middleton,,8-12,,
6:01.0,Shooting foul by T. Burke (drawn by J. Henson),,8-12,,
6:01.0,J. Henson makes free throw 1 of 2,1,9-12,,
6:01.0,J. Henson makes free throw 2 of 2,1,10-12,,
5:56.0,,,10-12,,Utah full timeout
5:52.0,Personal foul by K. Middleton (drawn by G. Hayward),,10-12,,
5:45.0,,,10-12,,Shooting foul by M. Carter-Williams (drawn by R. Gobert)
5:45.0,,,10-13,1,R. Gobert makes free throw 1 of 2
5:45.0,,,10-13,,R. Gobert misses free throw 2 of 2
5:43.0,Defensive rebound by G. Antetokounmpo,,10-13,,
5:31.0,E. Ilyasova misses 2-pt shot from 21 ft,,10-13,,
5:31.0,,,10-13,,Defensive rebound by R. Gobert
5:15.0,,,10-13,,Turnover by T. Burke (bad pass; steal by G. Antetokounmpo)
5:07.0,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,12-13,,
4:49.0,,,12-15,2,D. Favors makes 2-pt shot from 7 ft
4:33.0,J. Henson misses 2-pt shot from 1 ft (block by R. Gobert),,12-15,,
4:33.0,Offensive rebound by Team,,12-15,,
4:33.0,J. Bayless enters the game for M. Carter-Williams,,12-15,,
4:25.0,K. Middleton makes 2-pt shot from 21 ft,2,14-15,,
4:02.0,,,14-15,,Turnover by G. Hayward (bad pass; steal by G. Antetokounmpo)
3:58.0,K. Middleton makes 2-pt shot at rim (assist by G. Antetokounmpo),2,16-15,,
3:42.0,,,16-15,,T. Burke misses 2-pt shot from 3 ft
3:41.0,Defensive rebound by J. Henson,,16-15,,
3:36.0,K. Middleton makes 2-pt shot from 16 ft (assist by J. Bayless),2,18-15,,
3:12.0,,,18-18,3,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward)
3:01.0,Turnover by K. Middleton (lost ball; steal by E. Millsap),,18-18,,
2:59.0,,,18-18,,Shooting foul by J. Bayless (drawn by E. Millsap)
2:59.0,Milwaukee full timeout,,18-18,,
2:59.0,O. Mayo enters the game for K. Middleton,,18-18,,
2:59.0,J. O'Bryant enters the game for E. Ilyasova,,18-18,,
2:59.0,,,18-18,,R. Hood enters the game for G. Hayward
2:59.0,,,18-18,,T. Booker enters the game for D. Favors
2:59.0,,,18-18,,E. Millsap misses free throw 1 of 2
2:59.0,,,18-18,,Offensive rebound by Team
2:59.0,,,18-19,1,E. Millsap makes free throw 2 of 2
2:38.0,J. Henson misses 2-pt shot from 7 ft (block by R. Gobert),,18-19,,
2:37.0,,,18-19,,Defensive rebound by T. Burke
2:17.0,Personal foul by O. Mayo (drawn by E. Millsap),,18-19,,
2:17.0,,,18-20,1,E. Millsap makes free throw 1 of 2
2:17.0,,,18-21,1,E. Millsap makes free throw 2 of 2
2:03.0,O. Mayo misses 3-pt shot from 23 ft,,18-21,,
2:02.0,,,18-21,,Defensive rebound by R. Gobert
1:44.0,,,18-21,,Turnover by E. Millsap (bad pass; steal by O. Mayo)
1:31.0,J. O'Bryant misses 2-pt shot from 5 ft,,18-21,,
1:30.0,Offensive rebound by J. O'Bryant,,18-21,,
1:28.0,Turnover by J. O'Bryant (bad pass; steal by E. Millsap),,18-21,,
1:09.0,,,18-24,3,T. Burke makes 3-pt shot from 24 ft (assist by R. Hood)
0:54.0,Turnover by J. O'Bryant (lost ball; steal by T. Burke),,18-24,,
0:49.0,,,18-24,,Shooting foul by G. Antetokounmpo (drawn by T. Burke)
0:49.0,,,18-25,1,T. Burke makes free throw 1 of 2
0:49.0,,,18-25,,D. Favors enters the game for R. Gobert
0:49.0,,,18-26,1,T. Burke makes free throw 2 of 2
0:35.0,J. O'Bryant misses 2-pt shot from 19 ft,,18-26,,
0:34.0,,,18-26,,Defensive rebound by E. Millsap
0:18.0,,,18-26,,R. Hood misses 3-pt shot from 22 ft
0:16.0,,,18-26,,Offensive rebound by T. Booker
0:01.0,,,18-26,,E. Millsap misses 3-pt shot from 23 ft
0:00.0,,,18-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by O. Mayo (bad pass; steal by R. Hood),,18-26,,
11:33.0,,,18-26,,T. Burke misses 2-pt shot from 21 ft
11:32.0,,,18-26,,Offensive rebound by T. Booker
11:31.0,,,18-26,,Turnover by T. Booker (bad pass)
11:31.0,Turnover by O. Mayo (back court),,18-26,,
11:31.0,,,18-26,,D. Favors enters the game for R. Gobert
11:23.0,Personal foul by M. Plumlee (drawn by D. Favors),,18-26,,
11:14.0,,,18-28,2,T. Booker makes 2-pt shot from 11 ft (assist by T. Burke)
10:57.0,Turnover by M. Plumlee (bad pass),,18-28,,
10:57.0,,,18-28,,D. Exum enters the game for T. Burke
10:37.0,,,18-28,,Turnover by R. Hood (bad pass; steal by G. Antetokounmpo)
10:34.0,,,18-28,,Personal foul by E. Millsap (drawn by G. Antetokounmpo)
10:31.0,M. Plumlee misses 2-pt shot from 5 ft,,18-28,,
10:29.0,,,18-28,,Defensive rebound by D. Exum
10:16.0,,,18-30,2,T. Booker makes 2-pt shot from 1 ft
9:58.0,M. Plumlee misses 2-pt shot at rim (block by T. Booker),,18-30,,
9:57.0,,,18-30,,Defensive rebound by D. Favors
9:47.0,,,18-30,,D. Favors misses 2-pt shot from 1 ft
9:45.0,Defensive rebound by J. Bayless,,18-30,,
9:39.0,O. Mayo makes 2-pt shot from 6 ft,2,20-30,,
9:27.0,Personal foul by J. Bayless (drawn by D. Favors),,20-30,,
9:27.0,,,20-30,,J. Ingles enters the game for E. Millsap
9:27.0,E. Ilyasova enters the game for G. Antetokounmpo,,20-30,,
9:17.0,,,20-30,,R. Hood misses 2-pt shot from 1 ft (block by M. Plumlee)
9:13.0,Defensive rebound by O. Mayo,,20-30,,
9:11.0,O. Mayo misses 2-pt shot from 1 ft,,20-30,,
9:11.0,Offensive rebound by Team,,20-30,,
9:06.0,O. Mayo misses 2-pt shot from 19 ft,,20-30,,
9:04.0,Offensive rebound by M. Plumlee,,20-30,,
8:59.0,Shooting foul by T. Booker (drawn by E. Ilyasova),,20-30,,
8:59.0,Official timeout,,20-30,,
8:59.0,,,20-30,,G. Hayward enters the game for R. Hood
8:59.0,E. Ilyasova makes free throw 1 of 2,1,21-30,,
8:59.0,E. Ilyasova makes free throw 2 of 2,1,22-30,,
8:44.0,,,22-30,,D. Exum misses 3-pt shot from 24 ft
8:44.0,,,22-30,,Offensive rebound by Team
