time,Chicago,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Hamilton (N. Cole gains possession),,,,Jump ball: P. Gasol vs. J. Hamilton (N. Cole gains possession)
11:40.0,,,0-0,,L. Deng misses 2-pt shot from 13 ft
11:39.0,Defensive rebound by T. Gibson,,0-0,,
11:23.0,T. Gibson makes 2-pt shot from 1 ft (assist by P. Gasol),2,2-0,,
11:04.0,,,2-0,,U. Haslem misses 2-pt shot from 5 ft (block by M. Dunleavy)
11:02.0,Defensive rebound by P. Gasol,,2-0,,
10:53.0,J. Butler misses 3-pt shot from 25 ft,,2-0,,
10:52.0,Offensive rebound by T. Gibson,,2-0,,
10:47.0,T. Gibson makes 2-pt shot at rim,2,4-0,,
10:31.0,,,4-0,,L. Deng misses 2-pt shot from 2 ft
10:30.0,,,4-0,,Offensive rebound by J. Hamilton
10:28.0,,,4-2,2,J. Hamilton makes 2-pt shot from 2 ft
10:14.0,J. Butler misses 2-pt shot from 17 ft,,4-2,,
10:13.0,,,4-2,,Defensive rebound by U. Haslem
10:04.0,,,4-2,,D. Wade misses 2-pt shot from 8 ft
10:03.0,Defensive rebound by P. Gasol,,4-2,,
9:50.0,T. Gibson misses 2-pt shot from 15 ft,,4-2,,
9:49.0,,,4-2,,Defensive rebound by D. Wade
9:39.0,,,4-2,,Turnover by D. Wade (bad pass; steal by D. Rose)
9:37.0,Shooting foul by U. Haslem (drawn by J. Butler),,4-2,,
9:37.0,J. Butler makes free throw 1 of 2,1,5-2,,
9:37.0,J. Butler makes free throw 2 of 2,1,6-2,,
9:24.0,,,6-2,,Offensive foul by U. Haslem
9:24.0,,,6-2,,Turnover by U. Haslem (offensive foul)
9:17.0,P. Gasol makes 2-pt shot from 1 ft (assist by M. Dunleavy),2,8-2,,
8:51.0,,,8-2,,L. Deng misses 2-pt shot from 6 ft
8:50.0,,,8-2,,Offensive rebound by U. Haslem
8:40.0,,,8-2,,D. Wade misses 2-pt shot from 4 ft
8:39.0,Defensive rebound by P. Gasol,,8-2,,
8:29.0,D. Rose misses 2-pt shot from 10 ft,,8-2,,
8:28.0,Offensive rebound by T. Gibson,,8-2,,
8:25.0,P. Gasol misses 2-pt shot from 12 ft (block by D. Wade),,8-2,,
8:24.0,,,8-2,,Defensive rebound by N. Cole
8:24.0,,,8-2,,Turnover by D. Wade (bad pass)
8:07.0,P. Gasol makes 2-pt shot from 1 ft (assist by T. Gibson),2,10-2,,
8:07.0,,,10-2,,Miami full timeout
8:07.0,,,10-2,,S. Williams enters the game for U. Haslem
7:48.0,,,10-4,2,J. Hamilton makes 2-pt shot from 2 ft (assist by L. Deng)
7:33.0,Turnover by P. Gasol (3 sec),,10-4,,
7:14.0,,,10-6,2,L. Deng makes 2-pt shot from 1 ft (assist by N. Cole)
6:49.0,Shooting foul by S. Williams (drawn by J. Butler),,10-6,,
6:49.0,J. Butler makes free throw 1 of 2,1,11-6,,
6:49.0,J. Butler misses free throw 2 of 2,,11-6,,
6:48.0,,,11-6,,Defensive rebound by J. Hamilton
6:32.0,,,11-6,,J. Hamilton misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by J. Butler,,11-6,,
6:16.0,P. Gasol misses 2-pt shot from 13 ft,,11-6,,
6:15.0,,,11-6,,Defensive rebound by N. Cole
6:11.0,,,11-6,,Shooting foul by D. Rose (drawn by N. Cole)
6:11.0,,,11-7,1,N. Cole makes free throw 1 of 2
6:11.0,,,11-8,1,N. Cole makes free throw 2 of 2
5:53.0,D. Rose misses 2-pt shot from 11 ft,,11-8,,
5:52.0,,,11-8,,Defensive rebound by D. Wade
5:44.0,,,11-11,3,S. Williams makes 3-pt shot from 25 ft (assist by N. Cole)
5:30.0,Turnover by D. Rose (bad pass; steal by J. Hamilton),,11-11,,
5:19.0,Personal foul by D. Rose (drawn by S. Williams),,11-11,,
5:19.0,K. Hinrich enters the game for D. Rose,,11-11,,
5:07.0,,,11-13,2,D. Wade makes 2-pt shot from 10 ft
4:41.0,M. Dunleavy misses 2-pt shot from 12 ft,,11-13,,
4:40.0,,,11-13,,Defensive rebound by S. Williams
4:34.0,,,11-13,,Shooting foul by K. Hinrich (drawn by D. Wade)
4:34.0,,,11-14,1,D. Wade makes free throw 1 of 2
4:34.0,N. Mirotic enters the game for T. Gibson,,11-14,,
4:34.0,,,11-15,1,D. Wade makes free throw 2 of 2
4:24.0,Shooting foul by D. Wade (drawn by P. Gasol),,11-15,,
