time,Portland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Lopez (J. Smith gains possession),,,,Jump ball: A. Drummond vs. R. Lopez (J. Smith gains possession)
11:41.0,,,0-0,,A. Drummond misses 2-pt shot from 1 ft
11:40.0,,,0-0,,Offensive rebound by A. Drummond
11:40.0,,,0-0,,A. Drummond misses 2-pt shot from 1 ft
11:39.0,Defensive rebound by Team,,0-0,,
11:25.0,L. Aldridge misses 2-pt shot from 3 ft,,0-0,,
11:24.0,Offensive rebound by R. Lopez,,0-0,,
11:23.0,R. Lopez misses 2-pt shot at rim,,0-0,,
11:22.0,,,0-0,,Defensive rebound by K. Singler
11:08.0,,,0-0,,J. Smith misses 2-pt shot from 19 ft
11:07.0,Defensive rebound by N. Batum,,0-0,,
10:59.0,W. Matthews makes 2-pt shot from 15 ft,2,2-0,,
10:48.0,,,2-0,,A. Drummond misses 2-pt shot from 2 ft
10:47.0,Defensive rebound by N. Batum,,2-0,,
10:33.0,R. Lopez misses 2-pt shot from 2 ft (block by J. Smith),,2-0,,
10:32.0,,,2-0,,Defensive rebound by A. Drummond
10:23.0,,,2-0,,Turnover by B. Jennings (bad pass; steal by L. Aldridge)
10:20.0,N. Batum makes 2-pt shot at rim,2,4-0,,
10:01.0,,,4-0,,Detroit full timeout
9:57.0,,,4-0,,B. Jennings misses 2-pt shot from 1 ft
9:56.0,,,4-0,,Offensive rebound by A. Drummond
9:55.0,,,4-0,,A. Drummond misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by L. Aldridge,,4-0,,
9:47.0,D. Lillard makes 2-pt shot from 1 ft,2,6-0,,
9:29.0,,,6-0,,J. Smith misses 2-pt shot at rim (block by R. Lopez)
9:20.0,Defensive rebound by D. Lillard,,6-0,,
9:17.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Lillard),3,9-0,,
9:08.0,,,9-2,2,J. Smith makes 2-pt shot from 4 ft
8:40.0,L. Aldridge misses 2-pt shot from 5 ft,,9-2,,
8:39.0,Offensive rebound by L. Aldridge,,9-2,,
8:38.0,L. Aldridge misses 2-pt shot at rim,,9-2,,
8:38.0,Offensive rebound by R. Lopez,,9-2,,
8:38.0,R. Lopez misses 2-pt shot from 3 ft,,9-2,,
8:37.0,Offensive rebound by L. Aldridge,,9-2,,
8:37.0,,,9-2,,Personal foul by A. Drummond (drawn by L. Aldridge)
8:37.0,L. Aldridge makes free throw 1 of 2,1,10-2,,
