time,Orlando,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. N. Vucevic (T. Gibson gains possession),,,,Jump ball: P. Gasol vs. N. Vucevic (T. Gibson gains possession)
11:43.0,,,0-0,,M. Dunleavy misses 2-pt shot from 22 ft
11:42.0,Defensive rebound by E. Payton,,0-0,,
11:36.0,E. Payton misses 2-pt shot from 3 ft (block by T. Gibson),,0-0,,
11:35.0,,,0-0,,Defensive rebound by Team
11:20.0,,,0-2,2,J. Butler makes 2-pt shot from 20 ft
11:03.0,E. Fournier makes 2-pt shot from 1 ft,2,2-2,,
11:03.0,Shooting foul by P. Gasol (drawn by E. Fournier),,2-2,,
11:03.0,E. Fournier makes free throw 1 of 1,1,3-2,,
10:56.0,Personal foul by T. Harris (drawn by J. Butler),,3-2,,
10:43.0,,,3-2,,P. Gasol misses 2-pt shot from 7 ft
10:42.0,Defensive rebound by C. Frye,,3-2,,
10:36.0,Turnover by N. Vucevic (bad pass),,3-2,,
10:25.0,,,3-4,2,T. Gibson makes 2-pt shot from 15 ft (assist by M. Dunleavy)
10:04.0,T. Harris misses 2-pt shot from 18 ft,,3-4,,
10:02.0,,,3-4,,Defensive rebound by J. Butler
9:54.0,,,3-6,2,T. Gibson makes 2-pt shot from 1 ft (assist by P. Gasol)
9:41.0,C. Frye makes 3-pt shot from 24 ft (assist by E. Payton),3,6-6,,
9:30.0,,,6-6,,Offensive foul by M. Dunleavy
9:30.0,,,6-6,,Turnover by M. Dunleavy (offensive foul)
9:14.0,E. Fournier makes 3-pt shot from 25 ft (assist by C. Frye),3,9-6,,
9:07.0,,,9-6,,Chicago full timeout
8:54.0,,,9-6,,T. Gibson misses 2-pt shot from 2 ft (block by C. Frye)
8:50.0,,,9-6,,Offensive rebound by M. Dunleavy
8:47.0,,,9-6,,J. Butler misses 3-pt shot from 33 ft
8:46.0,Defensive rebound by N. Vucevic,,9-6,,
8:39.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton),2,11-6,,
8:12.0,,,11-6,,K. Hinrich misses 2-pt shot from 7 ft
8:11.0,Defensive rebound by N. Vucevic,,11-6,,
8:08.0,T. Harris misses 2-pt shot from 21 ft,,11-6,,
8:06.0,,,11-6,,Defensive rebound by T. Gibson
8:04.0,,,11-6,,Turnover by K. Hinrich (bad pass; steal by E. Payton)
7:55.0,E. Payton makes 2-pt shot from 1 ft,2,13-6,,
7:33.0,,,13-6,,J. Butler misses 2-pt shot from 17 ft
7:32.0,Defensive rebound by N. Vucevic,,13-6,,
7:23.0,N. Vucevic misses 2-pt shot from 12 ft,,13-6,,
7:22.0,,,13-6,,Defensive rebound by J. Butler
7:09.0,,,13-6,,J. Butler misses 2-pt shot from 3 ft (block by E. Payton)
7:08.0,,,13-6,,Offensive rebound by J. Butler
7:08.0,,,13-6,,Turnover by J. Butler (traveling)
6:51.0,Shooting foul by J. Butler (drawn by E. Payton),,13-6,,
6:51.0,E. Payton makes free throw 1 of 2,1,14-6,,
6:51.0,E. Payton misses free throw 2 of 2,,14-6,,
6:50.0,,,14-6,,Defensive rebound by K. Hinrich
6:41.0,Violation by C. Frye (kicked ball),,14-6,,
6:37.0,,,14-6,,K. Hinrich misses 3-pt shot from 23 ft
6:37.0,Defensive rebound by E. Payton,,14-6,,
6:37.0,,,14-6,,Personal foul by T. Gibson (drawn by E. Payton)
6:17.0,E. Fournier misses 3-pt shot from 24 ft,,14-6,,
6:16.0,,,14-6,,Defensive rebound by P. Gasol
6:08.0,,,14-6,,T. Gibson misses 2-pt shot from 2 ft
6:06.0,,,14-6,,Offensive rebound by P. Gasol
6:06.0,,,14-8,2,P. Gasol makes 2-pt shot from 2 ft
5:55.0,T. Harris makes 2-pt shot at rim (assist by C. Frye),2,16-8,,
5:30.0,,,16-10,2,J. Butler makes 2-pt shot from 11 ft
5:17.0,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton),2,18-10,,
4:54.0,,,18-10,,P. Gasol misses 2-pt shot from 11 ft
4:53.0,,,18-10,,Offensive rebound by T. Gibson
4:53.0,,,18-12,2,T. Gibson makes 2-pt shot from 1 ft
4:30.0,N. Vucevic misses 2-pt shot from 7 ft,,18-12,,
4:29.0,,,18-12,,Defensive rebound by P. Gasol
4:18.0,,,18-14,2,P. Gasol makes 2-pt shot from 19 ft (assist by M. Dunleavy)
4:02.0,E. Payton misses 2-pt shot from 21 ft,,18-14,,
4:02.0,,,18-14,,Defensive rebound by P. Gasol
3:53.0,,,18-14,,Offensive foul by J. Butler
3:53.0,,,18-14,,Turnover by J. Butler (offensive foul)
3:53.0,,,18-14,,Chicago full timeout
3:53.0,L. Ridnour enters the game for E. Payton,,18-14,,
3:53.0,,,18-14,,A. Brooks enters the game for K. Hinrich
3:31.0,N. Vucevic makes 2-pt shot from 5 ft,2,20-14,,
3:12.0,,,20-17,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Butler)
2:55.0,N. Vucevic misses 2-pt shot from 2 ft,,20-17,,
2:54.0,,,20-17,,Defensive rebound by P. Gasol
2:48.0,,,20-17,,A. Brooks misses 2-pt shot from 6 ft
2:46.0,Defensive rebound by E. Fournier,,20-17,,
2:42.0,T. Harris makes 2-pt shot at rim (assist by E. Fournier),2,22-17,,
2:22.0,,,22-19,2,J. Butler makes 2-pt shot from 1 ft (assist by A. Brooks)
2:16.0,Orlando full timeout,,22-19,,
2:16.0,,,22-19,,D. McDermott enters the game for M. Dunleavy
2:16.0,A. Gordon enters the game for C. Frye,,22-19,,
2:11.0,Turnover by L. Ridnour (bad pass; steal by J. Butler),,22-19,,
1:48.0,,,22-21,2,P. Gasol makes 2-pt shot from 2 ft
1:29.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Fournier),2,24-21,,
1:14.0,Personal block foul by N. Vucevic (drawn by P. Gasol),,24-21,,
1:14.0,D. Dedmon enters the game for N. Vucevic,,24-21,,
1:14.0,B. Gordon enters the game for E. Fournier,,24-21,,
1:00.0,,,24-21,,P. Gasol misses 2-pt shot from 12 ft
1:00.0,,,24-21,,Offensive rebound by T. Gibson
0:59.0,,,24-23,2,T. Gibson makes 2-pt shot from 2 ft
0:59.0,Violation by A. Gordon (def goaltending),,24-23,,
0:52.0,B. Gordon makes 2-pt shot from 11 ft (assist by T. Harris),2,26-23,,
0:38.0,,,26-23,,T. Gibson misses 2-pt shot from 14 ft (block by T. Harris)
0:36.0,,,26-23,,Offensive rebound by J. Butler
0:36.0,,,26-23,,Shooting foul by D. Dedmon (drawn by J. Butler)
0:36.0,,,26-23,,J. Butler misses free throw 1 of 2
