time,Dallas,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Jordan (C. Paul gains possession),,,,Jump ball: T. Chandler vs. D. Jordan (C. Paul gains possession)
11:47.0,,,0-0,,J. Redick misses 2-pt shot from 22 ft
11:46.0,,,0-0,,Offensive rebound by D. Jordan
11:46.0,,,0-2,2,D. Jordan makes 2-pt shot at rim
11:20.0,R. Rondo misses 2-pt shot from 18 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by C. Paul
11:07.0,,,0-2,,B. Griffin misses 2-pt shot from 19 ft
11:06.0,Defensive rebound by T. Chandler,,0-2,,
10:43.0,D. Nowitzki makes 2-pt shot from 13 ft,2,2-2,,
10:31.0,,,2-2,,Shooting foul by D. Nowitzki (drawn by J. Redick)
10:31.0,,,2-3,1,J. Redick makes free throw 1 of 2
10:31.0,,,2-4,1,J. Redick makes free throw 2 of 2
10:18.0,Turnover by D. Nowitzki (lost ball; steal by B. Griffin),,2-4,,
10:15.0,,,2-4,,Offensive charge foul by B. Griffin
10:15.0,,,2-4,,Turnover by B. Griffin (offensive foul)
10:00.0,Turnover by T. Chandler (3 sec),,2-4,,
9:53.0,,,2-4,,C. Paul misses 2-pt shot from 16 ft
9:52.0,Defensive rebound by D. Nowitzki,,2-4,,
9:36.0,C. Parsons misses 2-pt shot from 3 ft (block by D. Jordan),,2-4,,
9:33.0,Offensive rebound by C. Parsons,,2-4,,
9:33.0,C. Parsons makes 2-pt shot from 1 ft,2,4-4,,
9:21.0,,,4-4,,J. Redick misses 2-pt shot from 16 ft
9:20.0,Defensive rebound by T. Chandler,,4-4,,
9:10.0,R. Rondo misses 2-pt shot from 3 ft,,4-4,,
9:09.0,,,4-4,,Defensive rebound by D. Jordan
8:57.0,,,4-7,3,M. Barnes makes 3-pt shot from 24 ft (assist by C. Paul)
8:44.0,M. Ellis misses 2-pt shot from 10 ft,,4-7,,
8:43.0,,,4-7,,Defensive rebound by B. Griffin
8:26.0,,,4-7,,D. Jordan misses 2-pt shot from 4 ft
8:24.0,Defensive rebound by D. Nowitzki,,4-7,,
8:20.0,Turnover by M. Ellis (bad pass; steal by J. Redick),,4-7,,
8:13.0,,,4-10,3,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin)
8:12.0,Dallas full timeout,,4-10,,
7:52.0,T. Chandler makes 2-pt shot at rim (assist by D. Nowitzki),2,6-10,,
7:31.0,,,6-10,,D. Jordan misses 2-pt shot at rim
7:29.0,Defensive rebound by R. Rondo,,6-10,,
7:27.0,Shooting foul by M. Barnes (drawn by C. Parsons),,6-10,,
7:27.0,C. Parsons makes free throw 1 of 2,1,7-10,,
7:27.0,C. Parsons makes free throw 2 of 2,1,8-10,,
7:03.0,,,8-12,2,M. Barnes makes 2-pt shot from 2 ft (assist by C. Paul)
6:55.0,C. Parsons makes 2-pt shot from 21 ft,2,10-12,,
6:36.0,,,10-12,,M. Barnes misses 3-pt shot from 24 ft
6:35.0,,,10-12,,Offensive rebound by D. Jordan
6:34.0,,,10-12,,M. Barnes misses 2-pt shot at rim
6:33.0,,,10-12,,Offensive rebound by D. Jordan
6:32.0,,,10-12,,D. Jordan misses 2-pt shot at rim
6:30.0,,,10-12,,Offensive rebound by M. Barnes
6:28.0,,,10-12,,Shooting foul by T. Chandler (drawn by M. Barnes)
6:28.0,,,10-13,1,M. Barnes makes free throw 1 of 2
6:28.0,R. Jefferson enters the game for D. Nowitzki,,10-13,,
6:28.0,D. Harris enters the game for R. Rondo,,10-13,,
6:28.0,,,10-14,1,M. Barnes makes free throw 2 of 2
6:09.0,R. Jefferson makes 3-pt shot from 25 ft (assist by D. Harris),3,13-14,,
5:47.0,,,13-14,,C. Paul misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by C. Parsons,,13-14,,
5:39.0,M. Ellis makes 2-pt shot from 2 ft (assist by C. Parsons),2,15-14,,
