time,Washington,pts.away,score,pts.home,Milwaukee
1:31.0,K. Seraphin misses 2-pt shot from 18 ft,,16-24,,
1:30.0,,,16-24,,Defensive rebound by B. Knight
1:20.0,,,16-26,2,Z. Pachulia makes 2-pt shot from 12 ft (assist by G. Antetokounmpo)
0:58.0,J. Wall makes 3-pt shot from 23 ft (assist by B. Beal),3,19-26,,
0:47.0,,,19-26,,Z. Pachulia misses 2-pt shot from 6 ft
0:46.0,Defensive rebound by K. Seraphin,,19-26,,
0:39.0,K. Humphries makes 2-pt shot at rim (assist by R. Butler),2,21-26,,
0:20.0,,,21-28,2,B. Knight makes 2-pt shot from 15 ft
0:01.0,K. Seraphin misses 2-pt shot at rim,,21-28,,
0:00.0,,,21-28,,Defensive rebound by Z. Pachulia
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,21-28,,Z. Pachulia misses 2-pt shot from 3 ft
11:36.0,Defensive rebound by K. Humphries,,21-28,,
11:19.0,Offensive foul by K. Seraphin,,21-28,,
11:19.0,Turnover by K. Seraphin (offensive foul),,21-28,,
11:03.0,,,21-30,2,O. Mayo makes 2-pt shot from 17 ft (assist by E. Ilyasova)
10:54.0,Turnover by A. Miller (bad pass; steal by G. Antetokounmpo),,21-30,,
10:49.0,,,21-32,2,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo)
10:24.0,B. Beal misses 3-pt shot from 26 ft,,21-32,,
10:23.0,,,21-32,,Defensive rebound by Z. Pachulia
10:17.0,Personal foul by A. Miller (drawn by J. Bayless),,21-32,,
10:17.0,,,21-33,1,J. Bayless makes free throw 1 of 3
10:17.0,,,21-34,1,J. Bayless makes free throw 2 of 3
10:17.0,,,21-35,1,J. Bayless makes free throw 3 of 3
10:04.0,A. Miller makes 2-pt shot at rim,2,23-35,,
10:04.0,Shooting foul by J. Bayless (drawn by A. Miller),,23-35,,
10:04.0,A. Miller misses free throw 1 of 1,,23-35,,
10:03.0,,,23-35,,Defensive rebound by Z. Pachulia
9:40.0,,,23-37,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by Z. Pachulia)
9:12.0,Turnover by Team (shot clock),,23-37,,
9:03.0,,,23-37,,Offensive foul by Z. Pachulia
9:03.0,,,23-37,,Turnover by Z. Pachulia (offensive foul)
8:41.0,R. Butler misses 3-pt shot from 23 ft,,23-37,,
8:40.0,Offensive rebound by K. Humphries,,23-37,,
8:35.0,K. Seraphin misses 2-pt shot from 2 ft,,23-37,,
8:35.0,Offensive rebound by Team,,23-37,,
8:35.0,Official timeout,,23-37,,
8:35.0,,,23-37,,J. Dudley enters the game for G. Antetokounmpo
8:29.0,B. Beal misses 3-pt shot from 26 ft,,23-37,,
8:28.0,,,23-37,,Defensive rebound by J. Dudley
8:06.0,,,23-37,,J. Bayless misses 2-pt shot at rim
8:05.0,,,23-37,,Offensive rebound by Team
8:05.0,,,23-37,,Turnover by Team (shot clock)
7:45.0,K. Humphries misses 2-pt shot from 16 ft,,23-37,,
7:43.0,Offensive rebound by K. Seraphin,,23-37,,
7:41.0,K. Seraphin misses 2-pt shot from 4 ft,,23-37,,
7:39.0,Offensive rebound by K. Humphries,,23-37,,
7:39.0,K. Humphries misses 2-pt shot at rim,,23-37,,
7:38.0,,,23-37,,Defensive rebound by E. Ilyasova
7:32.0,,,23-37,,O. Mayo misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by R. Butler,,23-37,,
7:24.0,A. Miller misses 2-pt shot from 1 ft,,23-37,,
7:22.0,Offensive rebound by A. Miller,,23-37,,
7:22.0,A. Miller makes 2-pt shot at rim,2,25-37,,
7:09.0,,,25-39,2,E. Ilyasova makes 2-pt shot at rim
7:09.0,,,25-39,,Shooting foul by K. Seraphin (drawn by E. Ilyasova)
7:09.0,J. Wall enters the game for A. Miller,,25-39,,
7:09.0,P. Pierce enters the game for K. Humphries,,25-39,,
7:09.0,M. Gortat enters the game for K. Seraphin,,25-39,,
7:09.0,,,25-40,1,E. Ilyasova makes free throw 1 of 1
6:51.0,B. Beal misses 2-pt shot from 2 ft,,25-40,,
6:49.0,Offensive rebound by M. Gortat,,25-40,,
6:49.0,M. Gortat misses 2-pt shot at rim,,25-40,,
6:48.0,Offensive rebound by B. Beal,,25-40,,
6:47.0,B. Beal makes 2-pt shot at rim,2,27-40,,
6:35.0,,,27-40,,E. Ilyasova misses 3-pt shot from 25 ft
6:34.0,,,27-40,,Offensive rebound by Z. Pachulia
6:25.0,,,27-40,,Turnover by J. Dudley (bad pass; steal by J. Wall)
6:17.0,J. Wall misses 2-pt shot from 1 ft,,27-40,,
6:15.0,,,27-40,,Defensive rebound by E. Ilyasova
6:04.0,,,27-40,,J. Dudley misses 3-pt shot from 23 ft
6:03.0,Defensive rebound by R. Butler,,27-40,,
5:54.0,Turnover by J. Wall (bad pass; steal by J. Dudley),,27-40,,
5:51.0,,,27-42,2,J. Bayless makes 2-pt shot at rim (assist by E. Ilyasova)
5:19.0,R. Butler makes 2-pt shot at rim,2,29-42,,
5:18.0,,,29-42,,Milwaukee full timeout
5:18.0,,,29-42,,L. Sanders enters the game for Z. Pachulia
5:06.0,Personal foul by B. Beal (drawn by O. Mayo),,29-42,,
4:58.0,,,29-42,,J. Bayless misses 2-pt shot from 17 ft
4:57.0,Defensive rebound by P. Pierce,,29-42,,
4:50.0,,,29-42,,B. Knight enters the game for J. Bayless
4:47.0,B. Beal makes 2-pt shot from 16 ft (assist by R. Butler),2,31-42,,
4:34.0,,,31-44,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by O. Mayo)
4:20.0,,,31-44,,J. Parker enters the game for E. Ilyasova
4:15.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,33-44,,
3:56.0,,,33-44,,O. Mayo misses 2-pt shot from 18 ft
3:55.0,Defensive rebound by M. Gortat,,33-44,,
3:49.0,R. Butler misses 3-pt shot from 25 ft,,33-44,,
3:47.0,,,33-44,,Defensive rebound by O. Mayo
3:45.0,Personal foul by J. Wall (drawn by L. Sanders),,33-44,,
3:43.0,,,33-44,,Shooting foul by M. Gortat (drawn by L. Sanders)
3:43.0,,,33-45,1,L. Sanders makes free throw 1 of 2
3:43.0,,,33-45,,L. Sanders misses free throw 2 of 2
3:41.0,Defensive rebound by P. Pierce,,33-45,,
3:29.0,B. Beal makes 2-pt shot at rim,2,35-45,,
3:23.0,,,35-45,,Shooting foul by P. Pierce (drawn by J. Dudley)
3:23.0,,,35-46,1,J. Dudley makes free throw 1 of 2
3:23.0,,,35-46,,K. Middleton enters the game for O. Mayo
3:23.0,,,35-47,1,J. Dudley makes free throw 2 of 2
3:11.0,Turnover by J. Wall (bad pass; steal by K. Middleton),,35-47,,
