time,Memphis,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gasol (T. Evans gains possession),,,,Jump ball: A. Davis vs. M. Gasol (T. Evans gains possession)
11:40.0,,,0-0,,A. Davis misses 2-pt shot from 19 ft
11:39.0,Defensive rebound by J. Green,,0-0,,
11:21.0,C. Lee misses 2-pt shot from 17 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by Q. Pondexter
11:00.0,,,0-0,,Turnover by Q. Pondexter (step out of bounds)
10:42.0,Z. Randolph misses 2-pt shot from 15 ft,,0-0,,
10:42.0,,,0-0,,Defensive rebound by O. Asik
10:34.0,,,0-2,2,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
10:11.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley),2,2-2,,
9:52.0,,,2-2,,Turnover by Q. Pondexter (bad pass; steal by M. Gasol)
9:47.0,Offensive foul by Z. Randolph,,2-2,,
9:47.0,Turnover by Z. Randolph (offensive foul),,2-2,,
9:29.0,,,2-2,,A. Davis misses 2-pt shot from 15 ft
9:29.0,Defensive rebound by M. Conley,,2-2,,
9:18.0,M. Conley makes 2-pt shot from 4 ft,2,4-2,,
9:02.0,,,4-5,3,E. Gordon makes 3-pt shot from 25 ft (assist by A. Davis)
8:46.0,J. Green makes 2-pt shot from 3 ft (assist by Z. Randolph),2,6-5,,
8:31.0,Personal block foul by C. Lee (drawn by E. Gordon),,6-5,,
8:27.0,,,6-5,,Turnover by A. Davis (lost ball)
8:04.0,J. Green makes 2-pt shot from 20 ft (assist by M. Conley),2,8-5,,
7:49.0,,,8-5,,Turnover by O. Asik (bad pass; steal by Z. Randolph)
7:44.0,Turnover by J. Green (lost ball; steal by E. Gordon),,8-5,,
7:37.0,,,8-5,,Turnover by T. Evans (bad pass; steal by C. Lee)
7:32.0,Z. Randolph makes 2-pt shot at rim (assist by M. Gasol),2,10-5,,
7:04.0,,,10-7,2,A. Davis makes 2-pt shot from 16 ft
6:55.0,,,10-7,,Violation by Q. Pondexter (kicked ball)
6:42.0,M. Conley makes 3-pt shot from 26 ft (assist by Z. Randolph),3,13-7,,
6:24.0,,,13-7,,A. Davis misses 2-pt shot from 20 ft
6:24.0,Defensive rebound by M. Gasol,,13-7,,
6:19.0,Shooting foul by A. Davis (drawn by M. Gasol),,13-7,,
6:19.0,M. Gasol makes free throw 1 of 2,1,14-7,,
6:19.0,M. Gasol misses free throw 2 of 2,,14-7,,
6:17.0,,,14-7,,Defensive rebound by O. Asik
5:59.0,,,14-7,,A. Davis misses 2-pt shot from 6 ft
5:57.0,Defensive rebound by M. Gasol,,14-7,,
5:48.0,J. Green makes 2-pt shot from 2 ft (assist by M. Gasol),2,16-7,,
5:46.0,,,16-7,,New Orleans full timeout
5:46.0,T. Allen enters the game for J. Green,,16-7,,
5:33.0,,,16-9,2,O. Asik makes 2-pt shot at rim (assist by E. Gordon)
5:09.0,Z. Randolph misses 2-pt shot from 6 ft (block by O. Asik),,16-9,,
5:08.0,,,16-9,,Defensive rebound by Q. Pondexter
4:55.0,,,16-11,2,A. Davis makes 2-pt shot from 3 ft (assist by Q. Pondexter)
4:41.0,M. Conley misses 2-pt shot from 19 ft,,16-11,,
4:41.0,,,16-11,,Defensive rebound by O. Asik
4:33.0,,,16-11,,Turnover by O. Asik (lost ball; steal by Z. Randolph)
4:29.0,C. Lee misses 2-pt shot from 2 ft (block by Q. Pondexter),,16-11,,
4:28.0,,,16-11,,Defensive rebound by A. Davis
4:28.0,Personal foul by M. Conley (drawn by A. Davis),,16-11,,
4:28.0,B. Udrih enters the game for M. Conley,,16-11,,
4:18.0,,,16-13,2,O. Asik makes 2-pt shot at rim (assist by T. Evans)
4:02.0,B. Udrih makes 2-pt shot from 13 ft (assist by M. Gasol),2,18-13,,
4:02.0,Shooting foul by Q. Pondexter (drawn by B. Udrih),,18-13,,
4:02.0,,,18-13,,N. Cole enters the game for E. Gordon
4:02.0,B. Udrih makes free throw 1 of 1,1,19-13,,
3:46.0,,,19-13,,N. Cole misses 3-pt shot from 23 ft
3:45.0,Defensive rebound by M. Gasol,,19-13,,
3:41.0,C. Lee makes 2-pt shot from 1 ft (assist by B. Udrih),2,21-13,,
3:25.0,,,21-13,,Turnover by O. Asik (bad pass; steal by T. Allen)
3:20.0,C. Lee misses 2-pt shot from 3 ft (block by O. Asik),,21-13,,
3:19.0,,,21-13,,Defensive rebound by A. Davis
3:13.0,,,21-16,3,T. Evans makes 3-pt shot from 25 ft (assist by Q. Pondexter)
2:54.0,Z. Randolph makes 2-pt shot from 18 ft,2,23-16,,
2:30.0,,,23-16,,T. Evans misses 2-pt shot from 17 ft
2:30.0,Defensive rebound by M. Gasol,,23-16,,
2:26.0,Shooting foul by T. Evans (drawn by Z. Randolph),,23-16,,
2:26.0,Memphis full timeout,,23-16,,
2:26.0,N. Calathes enters the game for M. Gasol,,23-16,,
2:26.0,K. Koufos enters the game for C. Lee,,23-16,,
2:26.0,,,23-16,,A. Ajinca enters the game for Q. Pondexter
2:26.0,,,23-16,,E. Williams enters the game for O. Asik
2:26.0,,,23-16,,D. Cunningham enters the game for T. Evans
2:26.0,Z. Randolph misses free throw 1 of 2,,23-16,,
2:26.0,Offensive rebound by Team,,23-16,,
2:26.0,Z. Randolph misses free throw 2 of 2,,23-16,,
2:25.0,,,23-16,,Defensive rebound by Team
2:09.0,,,23-16,,Turnover by N. Cole (bad pass; steal by Z. Randolph)
2:04.0,Z. Randolph misses 2-pt shot from 2 ft (block by A. Davis),,23-16,,
2:01.0,,,23-16,,Defensive rebound by E. Williams
1:41.0,,,23-18,2,D. Cunningham makes 2-pt shot from 22 ft (assist by N. Cole)
1:28.0,Shooting foul by N. Cole (drawn by B. Udrih),,23-18,,
1:28.0,B. Udrih makes free throw 1 of 2,1,24-18,,
1:28.0,B. Udrih makes free throw 2 of 2,1,25-18,,
1:10.0,,,25-18,,E. Williams misses 2-pt shot from 17 ft
1:10.0,Defensive rebound by Team,,25-18,,
0:52.0,Z. Randolph misses 2-pt shot from 6 ft (block by A. Davis),,25-18,,
0:51.0,,,25-18,,Defensive rebound by A. Davis
0:40.0,,,25-18,,N. Cole misses 3-pt shot from 26 ft
0:39.0,Defensive rebound by K. Koufos,,25-18,,
0:34.0,,,25-18,,Personal block foul by E. Williams (drawn by N. Calathes)
0:34.0,N. Calathes misses free throw 1 of 2,,25-18,,
0:34.0,Offensive rebound by Team,,25-18,,
0:34.0,J. Green enters the game for Z. Randolph,,25-18,,
