time,Utah,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. B. Lopez (D. Williams gains possession),,,,Jump ball: R. Gobert vs. B. Lopez (D. Williams gains possession)
11:40.0,,,0-0,,M. Brown misses 2-pt shot from 17 ft
11:39.0,Defensive rebound by R. Gobert,,0-0,,
11:15.0,D. Exum makes 3-pt shot from 24 ft (assist by R. Gobert),3,3-0,,
11:00.0,,,3-2,2,T. Young makes 2-pt shot from 17 ft
10:47.0,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles),2,5-2,,
10:33.0,,,5-2,,T. Young misses 2-pt shot from 7 ft
10:31.0,,,5-2,,Offensive rebound by B. Lopez
10:30.0,,,5-2,,B. Lopez misses 2-pt shot from 2 ft
10:29.0,,,5-2,,Offensive rebound by T. Young
10:27.0,,,5-2,,T. Young misses 2-pt shot from 2 ft
10:25.0,,,5-2,,Offensive rebound by B. Lopez
10:24.0,,,5-4,2,B. Lopez makes 2-pt shot from 2 ft
10:01.0,J. Ingles misses 3-pt shot from 24 ft,,5-4,,
10:00.0,,,5-4,,Defensive rebound by M. Brown
9:46.0,,,5-6,2,B. Lopez makes 2-pt shot from 10 ft (assist by T. Young)
9:29.0,G. Hayward makes 2-pt shot from 17 ft (assist by D. Favors),2,7-6,,
9:12.0,,,7-8,2,J. Johnson makes 2-pt shot from 8 ft
9:05.0,Turnover by R. Gobert (lost ball),,7-8,,
8:47.0,,,7-8,,B. Lopez misses 2-pt shot from 4 ft
8:46.0,Defensive rebound by G. Hayward,,7-8,,
8:30.0,,,7-8,,Personal foul by T. Young (drawn by D. Favors)
8:23.0,,,7-8,,Personal foul by M. Brown (drawn by G. Hayward)
8:09.0,G. Hayward misses 3-pt shot from 24 ft,,7-8,,
8:08.0,,,7-8,,Defensive rebound by D. Williams
7:52.0,,,7-8,,B. Lopez misses 2-pt shot from 8 ft
7:51.0,Defensive rebound by J. Ingles,,7-8,,
7:38.0,D. Exum makes 3-pt shot from 22 ft (assist by J. Ingles),3,10-8,,
7:24.0,,,10-8,,J. Johnson misses 2-pt shot from 17 ft
7:22.0,Defensive rebound by D. Favors,,10-8,,
7:10.0,D. Favors misses 2-pt shot from 4 ft,,10-8,,
7:09.0,,,10-8,,Defensive rebound by B. Lopez
6:55.0,,,10-10,2,T. Young makes 2-pt shot from 5 ft
6:36.0,Turnover by R. Gobert (lost ball; steal by T. Young),,10-10,,
6:30.0,,,10-12,2,T. Young makes 2-pt shot at rim (assist by M. Brown)
6:30.0,Utah full timeout,,10-12,,
6:14.0,G. Hayward misses 3-pt shot from 24 ft,,10-12,,
6:13.0,Offensive rebound by G. Hayward,,10-12,,
6:05.0,G. Hayward makes 3-pt shot from 23 ft (assist by J. Ingles),3,13-12,,
5:42.0,,,13-15,3,M. Brown makes 3-pt shot from 24 ft (assist by D. Williams)
5:24.0,D. Exum misses 2-pt shot from 9 ft,,13-15,,
5:23.0,Offensive rebound by D. Exum,,13-15,,
5:22.0,D. Exum makes 2-pt shot at rim,2,15-15,,
5:07.0,,,15-15,,J. Johnson misses 3-pt shot from 23 ft
5:06.0,Defensive rebound by G. Hayward,,15-15,,
4:54.0,Turnover by J. Ingles (bad pass; steal by T. Young),,15-15,,
4:36.0,,,15-17,2,B. Lopez makes 2-pt shot from 9 ft
4:10.0,Turnover by Team (shot clock),,15-17,,
4:10.0,T. Burke enters the game for D. Exum,,15-17,,
4:01.0,,,15-17,,B. Lopez misses 2-pt shot from 14 ft
4:00.0,Defensive rebound by T. Burke,,15-17,,
3:38.0,D. Favors misses 2-pt shot from 11 ft,,15-17,,
3:37.0,,,15-17,,Defensive rebound by M. Brown
3:23.0,,,15-17,,T. Young misses 2-pt shot from 7 ft
3:21.0,Defensive rebound by D. Favors,,15-17,,
3:04.0,D. Favors misses 2-pt shot from 6 ft,,15-17,,
3:02.0,,,15-17,,Defensive rebound by J. Johnson
2:56.0,,,15-17,,M. Brown misses 3-pt shot from 22 ft
2:55.0,Defensive rebound by R. Gobert,,15-17,,
2:35.0,Turnover by D. Favors (bad pass; steal by T. Young),,15-17,,
2:31.0,,,15-17,,M. Brown misses 2-pt shot at rim
2:29.0,Defensive rebound by Team,,15-17,,
2:29.0,,,15-17,,Brooklyn full timeout
2:29.0,E. Millsap enters the game for J. Ingles,,15-17,,
2:29.0,T. Booker enters the game for D. Favors,,15-17,,
2:04.0,G. Hayward makes 2-pt shot from 20 ft (assist by T. Burke),2,17-17,,
1:48.0,,,17-19,2,T. Young makes 2-pt shot from 3 ft (assist by J. Johnson)
1:29.0,E. Millsap misses 2-pt shot from 3 ft (block by B. Lopez),,17-19,,
1:28.0,,,17-19,,Defensive rebound by D. Williams
1:22.0,,,17-22,3,J. Johnson makes 3-pt shot from 22 ft (assist by D. Williams)
1:00.0,G. Hayward makes 2-pt shot from 17 ft,2,19-22,,
0:42.0,,,19-22,,J. Johnson misses 2-pt shot from 8 ft
0:41.0,,,19-22,,Offensive rebound by B. Lopez
0:40.0,,,19-24,2,B. Lopez makes 2-pt shot from 1 ft
0:26.0,R. Hood enters the game for G. Hayward,,19-24,,
0:18.0,T. Burke makes 2-pt shot from 13 ft,2,21-24,,
0:03.0,,,21-24,,B. Lopez misses 2-pt shot from 4 ft
0:02.0,Defensive rebound by R. Gobert,,21-24,,
0:01.0,T. Burke misses 3-pt shot from 67 ft,,21-24,,
0:00.0,Offensive rebound by Team,,21-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,T. Booker misses 3-pt shot from 23 ft,,21-24,,
11:43.0,Offensive rebound by Team,,21-24,,
11:43.0,,,21-24,,Loose ball foul by B. Lopez (drawn by R. Gobert)
11:30.0,R. Hood misses 3-pt shot from 26 ft,,21-24,,
11:29.0,Offensive rebound by T. Booker,,21-24,,
11:27.0,T. Booker makes 2-pt shot from 1 ft,2,23-24,,
11:01.0,,,23-24,,T. Young misses 2-pt shot from 10 ft
11:00.0,,,23-24,,Offensive rebound by B. Lopez
10:59.0,,,23-26,2,B. Lopez makes 2-pt shot from 2 ft
10:43.0,Turnover by T. Booker (traveling),,23-26,,
10:43.0,D. Favors enters the game for R. Gobert,,23-26,,
10:28.0,,,23-26,,B. Bogdanovic misses 3-pt shot from 24 ft
10:27.0,Defensive rebound by D. Favors,,23-26,,
10:21.0,T. Burke makes 2-pt shot from 4 ft,2,25-26,,
10:05.0,Personal foul by T. Booker (drawn by B. Lopez),,25-26,,
10:05.0,,,25-26,,M. Plumlee enters the game for B. Lopez
9:57.0,,,25-28,2,T. Young makes 2-pt shot from 1 ft (assist by M. Plumlee)
9:34.0,Shooting foul by M. Plumlee (drawn by D. Favors),,25-28,,
9:34.0,D. Favors misses free throw 1 of 2,,25-28,,
9:34.0,Offensive rebound by Team,,25-28,,
9:34.0,,,25-28,,C. Jefferson enters the game for T. Young
9:34.0,D. Favors makes free throw 2 of 2,1,26-28,,
9:26.0,,,26-28,,Turnover by J. Jack (bad pass)
9:10.0,T. Burke misses 3-pt shot from 25 ft,,26-28,,
9:08.0,,,26-28,,Defensive rebound by A. Anderson
9:01.0,,,26-28,,J. Jack misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by T. Booker,,26-28,,
8:52.0,T. Booker makes 2-pt shot at rim (assist by E. Millsap),2,28-28,,
8:29.0,,,28-28,,Turnover by B. Bogdanovic (lost ball; steal by R. Hood)
8:18.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood),2,30-28,,
8:18.0,,,30-28,,Brooklyn full timeout
7:58.0,,,30-30,2,A. Anderson makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
7:40.0,Turnover by T. Booker (bad pass),,30-30,,
7:29.0,,,30-30,,Shooting foul by T. Booker (drawn by M. Plumlee)
7:29.0,,,30-30,,M. Plumlee misses free throw 1 of 2
7:29.0,,,30-30,,Offensive rebound by Team
7:29.0,,,30-30,,M. Plumlee misses free throw 2 of 2
7:28.0,Defensive rebound by T. Booker,,30-30,,
7:17.0,D. Favors misses 2-pt shot from 19 ft,,30-30,,
7:15.0,Offensive rebound by T. Booker,,30-30,,
7:01.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Hood),2,32-30,,
6:45.0,,,32-32,2,J. Jack makes 2-pt shot from 16 ft
6:26.0,R. Hood misses 3-pt shot from 24 ft,,32-32,,
6:25.0,,,32-32,,Defensive rebound by C. Jefferson
6:18.0,,,32-32,,Turnover by J. Jack (bad pass; steal by T. Booker)
5:54.0,T. Burke makes 3-pt shot from 24 ft (assist by R. Hood),3,35-32,,
5:41.0,Personal foul by R. Hood (drawn by A. Anderson),,35-32,,
5:41.0,Official timeout,,35-32,,
5:41.0,,,35-32,,D. Williams enters the game for J. Jack
5:41.0,,,35-32,,J. Johnson enters the game for A. Anderson
5:41.0,G. Hayward enters the game for E. Millsap,,35-32,,
5:26.0,,,35-32,,C. Jefferson misses 2-pt shot from 10 ft
5:25.0,,,35-32,,Offensive rebound by Team
5:25.0,Loose ball foul by D. Favors (drawn by B. Bogdanovic),,35-32,,
5:18.0,,,35-32,,D. Williams misses 2-pt shot from 15 ft
5:17.0,Defensive rebound by T. Booker,,35-32,,
5:05.0,Turnover by R. Hood (bad pass; steal by D. Williams),,35-32,,
5:03.0,,,35-32,,Shooting foul by R. Hood (drawn by D. Williams)
5:03.0,,,35-32,,D. Williams misses free throw 1 of 2
5:03.0,,,35-32,,Offensive rebound by Team
5:03.0,D. Exum enters the game for T. Burke,,35-32,,
5:03.0,R. Gobert enters the game for D. Favors,,35-32,,
5:03.0,,,35-32,,B. Lopez enters the game for M. Plumlee
5:03.0,,,35-33,1,D. Williams makes free throw 2 of 2
4:46.0,Turnover by T. Booker (lost ball; steal by B. Lopez),,35-33,,
4:37.0,,,35-33,,D. Williams misses 2-pt shot from 4 ft
4:36.0,Defensive rebound by D. Exum,,35-33,,
4:30.0,G. Hayward misses 2-pt shot from 19 ft,,35-33,,
4:29.0,,,35-33,,Defensive rebound by Team
4:21.0,,,35-35,2,D. Williams makes 2-pt shot at rim
3:53.0,T. Booker misses 2-pt shot from 8 ft,,35-35,,
3:52.0,,,35-35,,Defensive rebound by D. Williams
3:40.0,,,35-38,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Johnson)
3:25.0,G. Hayward misses 3-pt shot from 24 ft,,35-38,,
3:23.0,Offensive rebound by D. Exum,,35-38,,
3:15.0,R. Hood misses 2-pt shot from 6 ft,,35-38,,
3:13.0,Offensive rebound by R. Gobert,,35-38,,
3:10.0,R. Gobert misses 2-pt shot from 4 ft,,35-38,,
3:09.0,,,35-38,,Defensive rebound by C. Jefferson
