time,Denver,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. K. Faried (T. Parker gains possession),,,,Jump ball: T. Duncan vs. K. Faried (T. Parker gains possession)
11:45.0,,,0-3,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
11:28.0,D. Gallinari misses 2-pt shot from 14 ft,,0-3,,
11:27.0,,,0-3,,Defensive rebound by T. Splitter
11:18.0,,,0-5,2,T. Parker makes 2-pt shot from 7 ft
11:01.0,W. Chandler misses 2-pt shot from 6 ft,,0-5,,
11:01.0,Offensive rebound by Team,,0-5,,
10:52.0,W. Chandler makes 2-pt shot from 1 ft,2,2-5,,
10:35.0,,,2-7,2,T. Duncan makes 2-pt shot from 11 ft
10:23.0,T. Lawson makes 2-pt shot from 18 ft,2,4-7,,
10:00.0,,,4-7,,T. Parker misses 2-pt shot from 18 ft
9:58.0,Defensive rebound by W. Chandler,,4-7,,
9:48.0,K. Faried makes 2-pt shot from 8 ft (assist by T. Lawson),2,6-7,,
9:33.0,,,6-7,,Turnover by T. Duncan (lost ball; steal by D. Gallinari)
9:27.0,Turnover by D. Gallinari (lost ball; steal by K. Leonard),,6-7,,
9:26.0,,,6-7,,Technical foul by Team
9:26.0,D. Gallinari makes technical free throw,1,7-7,,
9:16.0,Violation by D. Gallinari (kicked ball),,7-7,,
9:09.0,,,7-9,2,T. Duncan makes 2-pt shot from 10 ft (assist by T. Parker)
8:56.0,T. Lawson makes 2-pt shot from 16 ft,2,9-9,,
8:43.0,,,9-12,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Splitter)
8:29.0,T. Lawson makes 2-pt shot from 19 ft,2,11-12,,
8:19.0,,,11-14,2,T. Parker makes 2-pt shot at rim
7:53.0,D. Gallinari misses 2-pt shot from 2 ft,,11-14,,
7:51.0,,,11-14,,Defensive rebound by D. Green
7:41.0,,,11-16,2,T. Parker makes 2-pt shot from 8 ft
7:23.0,W. Chandler misses 2-pt shot from 7 ft (block by T. Splitter),,11-16,,
7:21.0,,,11-16,,Defensive rebound by T. Duncan
7:12.0,,,11-16,,Shooting foul by W. Chandler (drawn by T. Duncan)
7:12.0,,,11-17,1,T. Duncan makes free throw 1 of 2
7:12.0,,,11-17,,T. Duncan misses free throw 2 of 2
7:11.0,Defensive rebound by K. Faried,,11-17,,
7:00.0,R. Foye misses 3-pt shot from 25 ft,,11-17,,
6:59.0,Offensive rebound by K. Faried,,11-17,,
6:58.0,K. Faried misses 2-pt shot at rim (block by T. Duncan),,11-17,,
6:56.0,,,11-17,,Defensive rebound by T. Duncan
6:52.0,,,11-19,2,T. Splitter makes 2-pt shot at rim (assist by T. Duncan)
6:39.0,T. Lawson makes 2-pt shot from 12 ft,2,13-19,,
6:21.0,,,13-21,2,K. Leonard makes 2-pt shot from 15 ft
6:08.0,Shooting foul by T. Parker (drawn by T. Lawson),,13-21,,
6:08.0,T. Lawson makes free throw 1 of 2,1,14-21,,
6:08.0,,,14-21,,B. Diaw enters the game for T. Splitter
6:08.0,,,14-21,,M. Ginobili enters the game for D. Green
6:08.0,T. Lawson makes free throw 2 of 2,1,15-21,,
5:53.0,,,15-24,3,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Duncan)
5:37.0,D. Gallinari makes 3-pt shot from 25 ft (assist by T. Lawson),3,18-24,,
5:35.0,,,18-24,,San Antonio full timeout
5:16.0,,,18-24,,B. Diaw misses 2-pt shot from 6 ft
5:14.0,Defensive rebound by D. Gallinari,,18-24,,
5:09.0,D. Gallinari misses 3-pt shot from 25 ft,,18-24,,
5:08.0,,,18-24,,Defensive rebound by B. Diaw
4:55.0,,,18-26,2,T. Duncan makes 2-pt shot from 4 ft
4:55.0,,,18-26,,Shooting foul by D. Gallinari (drawn by T. Duncan)
4:55.0,,,18-26,,T. Duncan misses free throw 1 of 1
4:53.0,Defensive rebound by W. Chandler,,18-26,,
4:48.0,Turnover by T. Lawson (bad pass; steal by M. Ginobili),,18-26,,
4:41.0,,,18-26,,T. Parker misses 2-pt shot from 7 ft
4:38.0,Defensive rebound by D. Gallinari,,18-26,,
4:31.0,,,18-26,,Personal foul by B. Diaw (drawn by W. Chandler)
4:31.0,,,18-26,,A. Baynes enters the game for T. Duncan
4:31.0,,,18-26,,M. Belinelli enters the game for K. Leonard
4:18.0,R. Foye misses 2-pt shot from 17 ft,,18-26,,
4:16.0,Offensive rebound by K. Faried,,18-26,,
4:12.0,W. Chandler makes 2-pt shot at rim (assist by K. Faried),2,20-26,,
3:55.0,Personal foul by R. Foye (drawn by M. Ginobili),,20-26,,
3:55.0,,,20-26,,P. Mills enters the game for T. Parker
3:55.0,J. Hickson enters the game for W. Chandler,,20-26,,
3:55.0,J. Nelson enters the game for K. Faried,,20-26,,
3:51.0,,,20-29,3,M. Ginobili makes 3-pt shot from 24 ft (assist by M. Belinelli)
3:39.0,J. Hickson makes 2-pt shot at rim (assist by J. Nelson),2,22-29,,
3:27.0,,,22-32,3,M. Belinelli makes 3-pt shot from 23 ft (assist by B. Diaw)
3:18.0,Shooting foul by M. Ginobili (drawn by T. Lawson),,22-32,,
3:18.0,T. Lawson makes free throw 1 of 2,1,23-32,,
3:18.0,T. Lawson makes free throw 2 of 2,1,24-32,,
3:08.0,W. Barton enters the game for R. Foye,,24-32,,
3:03.0,,,24-32,,M. Belinelli misses 2-pt shot from 20 ft
3:02.0,Defensive rebound by T. Lawson,,24-32,,
3:01.0,Turnover by T. Lawson (lost ball),,24-32,,
2:50.0,,,24-32,,P. Mills misses 2-pt shot from 20 ft
2:49.0,Defensive rebound by J. Hickson,,24-32,,
2:48.0,Turnover by J. Hickson (bad pass),,24-32,,
2:48.0,Denver full timeout,,24-32,,
2:48.0,D. Arthur enters the game for D. Gallinari,,24-32,,
2:28.0,,,24-32,,P. Mills misses 2-pt shot from 20 ft
2:26.0,Defensive rebound by J. Hickson,,24-32,,
2:17.0,J. Hickson misses 2-pt shot from 7 ft,,24-32,,
2:15.0,Offensive rebound by J. Nelson,,24-32,,
2:09.0,,,24-32,,Violation by M. Ginobili (kicked ball)
1:55.0,W. Barton misses 2-pt shot from 1 ft,,24-32,,
1:54.0,,,24-32,,Defensive rebound by M. Belinelli
1:47.0,G. Harris enters the game for T. Lawson,,24-32,,
1:47.0,,,24-32,,T. Splitter enters the game for A. Baynes
1:43.0,,,24-32,,M. Ginobili misses 2-pt shot from 1 ft
1:42.0,Defensive rebound by D. Arthur,,24-32,,
1:26.0,W. Barton misses 3-pt shot from 22 ft,,24-32,,
1:24.0,,,24-32,,Defensive rebound by P. Mills
1:17.0,,,24-32,,P. Mills misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by J. Hickson,,24-32,,
1:03.0,J. Nelson makes 2-pt shot from 19 ft,2,26-32,,
0:57.0,Personal foul by D. Arthur (drawn by T. Splitter),,26-32,,
0:43.0,,,26-32,,P. Mills misses 2-pt shot from 17 ft
0:42.0,Defensive rebound by J. Hickson,,26-32,,
0:29.0,Shooting foul by M. Ginobili (drawn by J. Hickson),,26-32,,
0:29.0,J. Hickson makes free throw 1 of 2,1,27-32,,
0:29.0,,,27-32,,M. Bonner enters the game for B. Diaw
0:29.0,J. Hickson misses free throw 2 of 2,,27-32,,
0:28.0,,,27-32,,Defensive rebound by M. Belinelli
0:05.0,,,27-32,,Turnover by M. Bonner (lost ball; steal by J. Nelson)
0:01.0,J. Hickson makes 2-pt shot at rim (assist by J. Nelson),2,29-32,,
0:00.0,,,29-32,,M. Belinelli misses 3-pt shot from 63 ft
0:00.0,,,29-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by J. Hickson (3 sec),,29-32,,
11:37.0,,,29-32,,Turnover by T. Splitter (bad pass; steal by G. Harris)
11:33.0,G. Harris makes 2-pt shot at rim (assist by W. Barton),2,31-32,,
11:14.0,,,31-32,,P. Mills misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by J. Hickson,,31-32,,
11:03.0,J. Nelson misses 2-pt shot at rim,,31-32,,
11:01.0,Offensive rebound by J. Hickson,,31-32,,
11:01.0,J. Hickson makes 2-pt shot at rim,2,33-32,,
10:44.0,,,33-35,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Belinelli)
10:23.0,J. Hickson makes 2-pt shot from 4 ft (assist by D. Arthur),2,35-35,,
10:16.0,,,35-35,,Turnover by M. Ginobili (bad pass)
10:16.0,,,35-35,,D. Green enters the game for M. Ginobili
10:07.0,J. Nelson makes 2-pt shot from 1 ft,2,37-35,,
9:47.0,,,37-35,,P. Mills misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by Team,,37-35,,
9:32.0,Turnover by D. Arthur (bad pass; steal by P. Mills),,37-35,,
9:26.0,,,37-35,,M. Belinelli misses 2-pt shot from 1 ft
9:24.0,,,37-35,,Offensive rebound by M. Belinelli
9:21.0,,,37-37,2,T. Splitter makes 2-pt shot at rim (assist by M. Belinelli)
9:21.0,,,37-37,,Shooting foul by J. Hickson (drawn by T. Splitter)
9:21.0,,,37-38,1,T. Splitter makes free throw 1 of 1
9:10.0,D. Arthur misses 2-pt shot from 14 ft,,37-38,,
9:10.0,Offensive rebound by Team,,37-38,,
9:10.0,,,37-38,,Loose ball foul by T. Splitter (drawn by J. Hickson)
9:10.0,K. Faried enters the game for J. Hickson,,37-38,,
9:01.0,J. Nelson makes 2-pt shot from 15 ft,2,39-38,,
8:37.0,,,39-40,2,P. Mills makes 2-pt shot from 16 ft (assist by D. Green)
8:33.0,Official timeout,,39-40,,
8:33.0,,,39-40,,T. Parker enters the game for T. Splitter
8:33.0,,,39-40,,K. Leonard enters the game for M. Belinelli
8:33.0,,,39-40,,B. Diaw enters the game for P. Mills
8:33.0,,,39-40,,T. Duncan enters the game for M. Bonner
8:24.0,Turnover by J. Nelson (bad pass; steal by D. Green),,39-40,,
8:16.0,,,39-42,2,K. Leonard makes 2-pt shot at rim
8:05.0,Turnover by W. Barton (bad pass; steal by T. Parker),,39-42,,
7:44.0,,,39-42,,K. Leonard misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by G. Harris,,39-42,,
7:26.0,J. Nelson makes 3-pt shot from 25 ft,3,42-42,,
7:11.0,,,42-44,2,T. Duncan makes 2-pt shot from 6 ft
6:54.0,K. Faried makes 2-pt shot from 11 ft (assist by J. Nelson),2,44-44,,
6:37.0,,,44-46,2,K. Leonard makes 2-pt shot from 16 ft
6:20.0,J. Nelson misses 2-pt shot from 10 ft,,44-46,,
6:19.0,,,44-46,,Defensive rebound by B. Diaw
6:15.0,Personal foul by J. Nelson (drawn by K. Leonard),,44-46,,
6:15.0,Denver full timeout,,44-46,,
6:15.0,D. Gallinari enters the game for J. Nelson,,44-46,,
6:15.0,R. Foye enters the game for W. Barton,,44-46,,
6:15.0,T. Lawson enters the game for D. Arthur,,44-46,,
6:15.0,W. Chandler enters the game for G. Harris,,44-46,,
