time,Memphis,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Pekovic (M. Conley gains possession),,,,Jump ball: M. Gasol vs. N. Pekovic (M. Conley gains possession)
11:46.0,J. Green misses 2-pt shot from 4 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by R. Rubio
11:33.0,,,0-2,2,T. Young makes 2-pt shot from 4 ft (assist by R. Rubio)
11:05.0,M. Conley misses 2-pt shot from 11 ft,,0-2,,
11:04.0,,,0-2,,Defensive rebound by K. Martin
10:57.0,,,0-2,,Turnover by K. Martin (bad pass; steal by Z. Randolph)
10:49.0,C. Lee makes 2-pt shot from 15 ft,2,2-2,,
10:35.0,,,2-2,,K. Martin misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by J. Green,,2-2,,
10:28.0,J. Green makes 2-pt shot from 1 ft,2,4-2,,
10:05.0,,,4-2,,N. Pekovic misses 2-pt shot from 5 ft
10:04.0,Defensive rebound by Z. Randolph,,4-2,,
9:45.0,,,4-2,,Personal foul by N. Pekovic (drawn by M. Gasol)
9:36.0,J. Green makes 2-pt shot at rim (assist by M. Gasol),2,6-2,,
9:23.0,,,6-2,,Turnover by K. Martin (lost ball; steal by M. Conley)
9:01.0,Turnover by M. Conley (lost ball),,6-2,,
8:53.0,,,6-2,,Offensive foul by N. Pekovic
8:53.0,,,6-2,,Turnover by N. Pekovic (offensive foul)
8:53.0,,,6-2,,G. Dieng enters the game for N. Pekovic
8:41.0,Turnover by Z. Randolph (bad pass),,6-2,,
8:22.0,,,6-5,3,K. Martin makes 3-pt shot from 22 ft (assist by R. Rubio)
8:05.0,Jump ball: Z. Randolph vs. R. Rubio (C. Lee gains possession),,,,Jump ball: Z. Randolph vs. R. Rubio (C. Lee gains possession)
8:02.0,M. Conley misses 3-pt shot from 25 ft,,6-5,,
7:59.0,,,6-5,,Defensive rebound by A. Wiggins
7:52.0,,,6-5,,R. Rubio misses 2-pt shot from 20 ft
7:51.0,,,6-5,,Offensive rebound by G. Dieng
7:48.0,,,6-5,,Minnesota full timeout
7:40.0,,,6-5,,A. Wiggins misses 2-pt shot from 17 ft
7:39.0,Defensive rebound by Z. Randolph,,6-5,,
7:21.0,M. Gasol misses 2-pt shot from 5 ft,,6-5,,
7:20.0,,,6-5,,Defensive rebound by G. Dieng
7:07.0,Personal foul by J. Green (drawn by A. Wiggins),,6-5,,
7:02.0,,,6-7,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
6:40.0,C. Lee misses 3-pt shot from 24 ft,,6-7,,
6:39.0,,,6-7,,Defensive rebound by R. Rubio
6:18.0,,,6-7,,T. Young misses 2-pt shot from 16 ft
6:17.0,Defensive rebound by C. Lee,,6-7,,
6:12.0,T. Allen enters the game for C. Lee,,6-7,,
5:59.0,J. Green misses 2-pt shot from 5 ft,,6-7,,
5:58.0,,,6-7,,Defensive rebound by G. Dieng
5:52.0,,,6-9,2,A. Wiggins makes 2-pt shot from 12 ft (assist by R. Rubio)
5:34.0,T. Allen makes 2-pt shot from 15 ft (assist by M. Conley),2,8-9,,
5:14.0,,,8-11,2,A. Wiggins makes 2-pt shot from 14 ft (assist by R. Rubio)
5:14.0,,,8-11,,Personal foul by A. Wiggins (drawn by J. Green)
5:14.0,,,8-11,,M. Williams enters the game for R. Rubio
5:03.0,Shooting foul by G. Dieng (drawn by J. Green),,8-11,,
5:03.0,J. Green makes free throw 1 of 2,1,9-11,,
5:03.0,J. Green makes free throw 2 of 2,1,10-11,,
4:48.0,,,10-13,2,A. Wiggins makes 2-pt shot from 1 ft (assist by M. Williams)
4:48.0,,,10-13,,Shooting foul by T. Allen (drawn by A. Wiggins)
4:48.0,,,10-14,1,A. Wiggins makes free throw 1 of 1
4:40.0,Shooting foul by G. Dieng (drawn by M. Gasol),,10-14,,
4:40.0,M. Gasol makes free throw 1 of 2,1,11-14,,
4:40.0,M. Gasol makes free throw 2 of 2,1,12-14,,
4:28.0,,,12-14,,A. Wiggins misses 2-pt shot from 12 ft
4:26.0,Defensive rebound by Z. Randolph,,12-14,,
4:22.0,Offensive foul by J. Green,,12-14,,
4:22.0,Turnover by J. Green (offensive foul),,12-14,,
4:22.0,C. Lee enters the game for J. Green,,12-14,,
4:08.0,,,12-16,2,T. Young makes 2-pt shot from 15 ft (assist by K. Martin)
3:50.0,M. Gasol makes 2-pt shot from 12 ft (assist by T. Allen),2,14-16,,
3:39.0,Personal foul by T. Allen (drawn by A. Wiggins),,14-16,,
3:27.0,,,14-18,2,T. Young makes 2-pt shot from 5 ft (assist by M. Williams)
3:18.0,Memphis full timeout,,14-18,,
3:18.0,J. Leuer enters the game for Z. Randolph,,14-18,,
3:18.0,B. Udrih enters the game for M. Conley,,14-18,,
3:08.0,,,14-18,,Def 3 sec tech foul by A. Wiggins
3:08.0,C. Lee makes technical free throw,1,15-18,,
3:00.0,Turnover by C. Lee (bad pass; steal by M. Williams),,15-18,,
2:57.0,,,15-18,,Turnover by M. Williams (bad pass; steal by B. Udrih)
2:52.0,B. Udrih makes 2-pt shot from 12 ft,2,17-18,,
2:30.0,,,17-18,,T. Young misses 2-pt shot from 8 ft
2:29.0,Defensive rebound by B. Udrih,,17-18,,
2:22.0,Turnover by J. Leuer (lost ball; steal by K. Martin),,17-18,,
2:16.0,,,17-20,2,T. Young makes 2-pt shot from 1 ft
2:00.0,T. Allen makes 2-pt shot from 5 ft,2,19-20,,
1:48.0,,,19-20,,Shooting foul by C. Lee (drawn by K. Martin)
1:48.0,,,19-21,1,K. Martin makes free throw 1 of 2
1:48.0,,,19-21,,A. Bennett enters the game for T. Young
1:48.0,,,19-22,1,K. Martin makes free throw 2 of 2
1:36.0,C. Lee misses 2-pt shot from 20 ft,,19-22,,
1:34.0,,,19-22,,Defensive rebound by M. Williams
1:21.0,,,19-22,,A. Bennett misses 2-pt shot from 21 ft
1:14.0,,,19-22,,Offensive rebound by G. Dieng
1:12.0,,,19-22,,G. Dieng misses 2-pt shot at rim
1:11.0,Defensive rebound by B. Udrih,,19-22,,
1:08.0,M. Gasol makes 2-pt shot at rim (assist by B. Udrih),2,21-22,,
0:55.0,,,21-22,,Shooting foul by J. Leuer (drawn by A. Wiggins)
0:55.0,,,21-23,1,A. Wiggins makes free throw 1 of 2
0:55.0,,,21-23,,Z. LaVine enters the game for K. Martin
0:55.0,,,21-24,1,A. Wiggins makes free throw 2 of 2
0:37.0,M. Gasol makes 2-pt shot from 6 ft,2,23-24,,
0:32.0,,,23-24,,M. Williams misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by J. Leuer,,23-24,,
0:15.0,Turnover by J. Leuer (bad pass; steal by A. Bennett),,23-24,,
