time,Portland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. K. Olynyk (J. Sullinger gains possession),,,,Jump ball: R. Lopez vs. K. Olynyk (J. Sullinger gains possession)
11:46.0,,,0-0,,J. Green misses 2-pt shot from 1 ft
11:45.0,,,0-0,,Offensive rebound by J. Green
11:43.0,,,0-0,,J. Green misses 2-pt shot from 7 ft
11:42.0,,,0-0,,Offensive rebound by J. Sullinger
11:40.0,,,0-2,2,J. Sullinger makes 2-pt shot at rim
11:18.0,L. Aldridge misses 2-pt shot from 5 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by J. Sullinger
11:03.0,,,0-5,3,J. Sullinger makes 3-pt shot from 25 ft (assist by R. Rondo)
10:39.0,N. Batum misses 2-pt shot from 16 ft,,0-5,,
10:37.0,,,0-5,,Defensive rebound by R. Rondo
10:31.0,,,0-7,2,R. Rondo makes 2-pt shot from 1 ft
10:16.0,R. Lopez misses 2-pt shot from 8 ft,,0-7,,
10:15.0,,,0-7,,Defensive rebound by A. Bradley
9:59.0,,,0-7,,A. Bradley misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by R. Lopez,,0-7,,
9:46.0,L. Aldridge misses 2-pt shot from 6 ft,,0-7,,
9:45.0,Offensive rebound by L. Aldridge,,0-7,,
9:44.0,Shooting foul by J. Sullinger (drawn by L. Aldridge),,0-7,,
9:44.0,L. Aldridge makes free throw 1 of 2,1,1-7,,
9:44.0,L. Aldridge makes free throw 2 of 2,1,2-7,,
9:29.0,,,2-7,,A. Bradley misses 3-pt shot from 24 ft
9:27.0,,,2-7,,Offensive rebound by K. Olynyk
9:17.0,,,2-7,,J. Green misses 2-pt shot from 8 ft
9:16.0,Defensive rebound by L. Aldridge,,2-7,,
9:02.0,,,2-7,,Personal foul by J. Green (drawn by R. Lopez)
8:56.0,D. Lillard misses 2-pt shot from 7 ft,,2-7,,
8:55.0,,,2-7,,Defensive rebound by R. Rondo
8:50.0,,,2-7,,A. Bradley misses 2-pt shot from 20 ft
8:48.0,Defensive rebound by L. Aldridge,,2-7,,
8:39.0,Turnover by R. Lopez (lost ball; steal by K. Olynyk),,2-7,,
8:36.0,,,2-7,,Turnover by R. Rondo (bad pass)
8:25.0,D. Lillard misses 2-pt shot at rim,,2-7,,
8:24.0,,,2-7,,Defensive rebound by K. Olynyk
8:17.0,,,2-7,,A. Bradley misses 2-pt shot from 6 ft
8:16.0,,,2-7,,Offensive rebound by K. Olynyk
8:16.0,,,2-7,,K. Olynyk misses 2-pt shot at rim
8:14.0,Defensive rebound by D. Lillard,,2-7,,
8:13.0,,,2-7,,Personal block foul by R. Rondo (drawn by L. Aldridge)
8:05.0,D. Lillard misses 2-pt shot from 18 ft,,2-7,,
8:04.0,,,2-7,,Defensive rebound by K. Olynyk
7:54.0,,,2-7,,J. Sullinger misses 2-pt shot from 20 ft
7:53.0,Defensive rebound by R. Lopez,,2-7,,
7:44.0,L. Aldridge misses 2-pt shot from 17 ft,,2-7,,
7:43.0,,,2-7,,Defensive rebound by J. Sullinger
7:38.0,,,2-9,2,J. Green makes 2-pt shot at rim (assist by J. Sullinger)
7:17.0,L. Aldridge misses 2-pt shot at rim,,2-9,,
7:16.0,Offensive rebound by R. Lopez,,2-9,,
7:16.0,R. Lopez makes 2-pt shot from 1 ft,2,4-9,,
7:00.0,,,4-11,2,R. Rondo makes 2-pt shot from 17 ft
6:46.0,Shooting foul by K. Olynyk (drawn by R. Lopez),,4-11,,
6:46.0,R. Lopez misses free throw 1 of 2,,4-11,,
6:46.0,Offensive rebound by Team,,4-11,,
6:46.0,R. Lopez makes free throw 2 of 2,1,5-11,,
6:37.0,,,5-11,,J. Sullinger misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by W. Matthews,,5-11,,
6:19.0,L. Aldridge misses 2-pt shot at rim,,5-11,,
6:18.0,,,5-11,,Defensive rebound by J. Green
6:13.0,,,5-11,,Boston full timeout
6:11.0,,,5-11,,Turnover by J. Green (bad pass; steal by N. Batum)
6:05.0,W. Matthews misses 2-pt shot at rim,,5-11,,
6:04.0,,,5-11,,Defensive rebound by K. Olynyk
5:55.0,,,5-13,2,J. Sullinger makes 2-pt shot at rim (assist by R. Rondo)
5:32.0,R. Lopez makes 2-pt shot from 8 ft (assist by N. Batum),2,7-13,,
5:17.0,,,7-13,,M. Thornton enters the game for A. Bradley
5:05.0,,,7-15,2,R. Rondo makes 2-pt shot at rim
4:50.0,N. Batum makes 3-pt shot from 24 ft (assist by W. Matthews),3,10-15,,
4:36.0,,,10-18,3,J. Green makes 3-pt shot from 25 ft (assist by J. Sullinger)
4:15.0,N. Batum misses 2-pt shot from 2 ft,,10-18,,
4:14.0,,,10-18,,Defensive rebound by K. Olynyk
4:12.0,,,10-18,,Turnover by K. Olynyk (bad pass; steal by D. Lillard)
4:02.0,N. Batum makes 2-pt shot at rim,2,12-18,,
3:52.0,,,12-20,2,R. Rondo makes 2-pt shot at rim
3:35.0,N. Batum makes 3-pt shot from 24 ft (assist by L. Aldridge),3,15-20,,
3:19.0,,,15-20,,R. Rondo misses 2-pt shot from 17 ft
3:18.0,Defensive rebound by L. Aldridge,,15-20,,
3:06.0,W. Matthews misses 2-pt shot from 9 ft,,15-20,,
3:04.0,Offensive rebound by Team,,15-20,,
3:04.0,Portland full timeout,,15-20,,
3:04.0,,,15-20,,B. Bass enters the game for J. Sullinger
3:04.0,,,15-20,,E. Turner enters the game for R. Rondo
3:04.0,S. Blake enters the game for N. Batum,,15-20,,
3:04.0,A. Crabbe enters the game for R. Lopez,,15-20,,
3:04.0,C. Kaman enters the game for W. Matthews,,15-20,,
2:52.0,D. Lillard misses 2-pt shot at rim,,15-20,,
2:51.0,,,15-20,,Defensive rebound by Team
2:41.0,Personal foul by A. Crabbe (drawn by J. Green),,15-20,,
2:32.0,,,15-20,,J. Green misses 2-pt shot from 11 ft
2:32.0,,,15-20,,Offensive rebound by J. Green
2:32.0,,,15-20,,Shooting foul by C. Kaman (drawn by J. Green)
2:32.0,,,15-20,,J. Green misses free throw 1 of 2
2:32.0,,,15-20,,Offensive rebound by Team
2:32.0,D. Wright enters the game for D. Lillard,,15-20,,
2:32.0,,,15-21,1,J. Green makes free throw 2 of 2
2:14.0,L. Aldridge misses 2-pt shot from 10 ft,,15-21,,
2:13.0,,,15-21,,Defensive rebound by K. Olynyk
2:05.0,,,15-23,2,M. Thornton makes 2-pt shot at rim (assist by E. Turner)
