time,Utah,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Gobert (D. Favors gains possession),,,,Jump ball: A. Bogut vs. R. Gobert (D. Favors gains possession)
11:38.0,D. Favors makes 3-pt shot from 23 ft (assist by G. Hayward),3,3-0,,
11:18.0,,,3-0,,D. Green misses 2-pt shot from 20 ft
11:17.0,Defensive rebound by R. Hood,,3-0,,
11:05.0,D. Exum misses 3-pt shot from 25 ft,,3-0,,
11:03.0,,,3-0,,Defensive rebound by D. Green
10:49.0,,,3-0,,S. Curry misses 2-pt shot from 17 ft
10:48.0,Defensive rebound by R. Gobert,,3-0,,
10:32.0,Turnover by D. Exum (bad pass; steal by D. Green),,3-0,,
10:27.0,,,3-2,2,H. Barnes makes 2-pt shot at rim (assist by D. Green)
9:59.0,G. Hayward misses 3-pt shot from 25 ft,,3-2,,
9:58.0,Offensive rebound by D. Favors,,3-2,,
9:58.0,D. Favors misses 2-pt shot at rim,,3-2,,
9:57.0,,,3-2,,Defensive rebound by D. Green
9:48.0,,,3-4,2,J. Holiday makes 2-pt shot at rim (assist by D. Green)
9:26.0,G. Hayward misses 2-pt shot from 17 ft,,3-4,,
9:24.0,,,3-4,,Defensive rebound by A. Bogut
9:20.0,,,3-4,,Shooting foul by R. Hood (drawn by D. Green)
9:20.0,,,3-6,2,D. Green makes 2-pt shot from 1 ft
9:20.0,,,3-7,1,D. Green makes free throw 1 of 1
9:02.0,R. Hood makes 2-pt shot from 8 ft,2,5-7,,
8:47.0,,,5-7,,H. Barnes misses 2-pt shot from 18 ft
8:46.0,Defensive rebound by R. Gobert,,5-7,,
8:39.0,,,5-7,,Personal foul by J. Holiday (drawn by R. Gobert)
8:21.0,R. Hood misses 3-pt shot from 27 ft,,5-7,,
8:20.0,,,5-7,,Defensive rebound by D. Green
8:09.0,,,5-7,,D. Green misses 2-pt shot from 5 ft
8:08.0,Defensive rebound by G. Hayward,,5-7,,
7:57.0,R. Hood makes 2-pt shot at rim (assist by G. Hayward),2,7-7,,
7:42.0,,,7-9,2,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut)
7:19.0,D. Favors misses 2-pt shot from 3 ft,,7-9,,
7:18.0,,,7-9,,Defensive rebound by A. Bogut
7:02.0,,,7-12,3,J. Holiday makes 3-pt shot from 23 ft (assist by S. Curry)
6:41.0,G. Hayward misses 2-pt shot from 11 ft,,7-12,,
6:39.0,,,7-12,,Defensive rebound by S. Curry
6:34.0,,,7-12,,S. Curry misses 3-pt shot from 27 ft
6:32.0,Defensive rebound by R. Gobert,,7-12,,
6:22.0,R. Gobert misses 2-pt shot from 7 ft,,7-12,,
6:21.0,,,7-12,,Defensive rebound by H. Barnes
6:13.0,,,7-12,,Shooting foul by R. Hood (drawn by S. Curry)
6:13.0,,,7-13,1,S. Curry makes free throw 1 of 2
6:13.0,J. Ingles enters the game for R. Hood,,7-13,,
6:13.0,,,7-13,,A. Iguodala enters the game for H. Barnes
6:13.0,,,7-14,1,S. Curry makes free throw 2 of 2
5:53.0,R. Gobert misses 2-pt shot from 5 ft (block by A. Bogut),,7-14,,
5:51.0,,,7-14,,Defensive rebound by A. Bogut
5:43.0,,,7-14,,D. Green misses 2-pt shot from 2 ft
5:41.0,Defensive rebound by D. Favors,,7-14,,
5:27.0,D. Favors makes 2-pt shot from 18 ft (assist by G. Hayward),2,9-14,,
5:16.0,,,9-14,,Turnover by A. Bogut (bad pass)
5:16.0,,,9-14,,Golden State full timeout
5:16.0,,,9-14,,L. Barbosa enters the game for J. Holiday
4:55.0,G. Hayward misses 3-pt shot from 29 ft,,9-14,,
4:54.0,,,9-14,,Defensive rebound by A. Iguodala
4:49.0,,,9-14,,Turnover by A. Iguodala (bad pass)
4:25.0,D. Favors makes 2-pt shot from 1 ft (assist by G. Hayward),2,11-14,,
3:57.0,,,11-14,,A. Iguodala misses 2-pt shot from 17 ft
3:57.0,Defensive rebound by D. Favors,,11-14,,
3:33.0,Turnover by D. Exum (bad pass; steal by A. Bogut),,11-14,,
3:29.0,,,11-14,,L. Barbosa misses 2-pt shot from 13 ft
3:26.0,Defensive rebound by R. Gobert,,11-14,,
3:12.0,G. Hayward misses 2-pt shot from 21 ft,,11-14,,
3:10.0,,,11-14,,Defensive rebound by L. Barbosa
3:06.0,,,11-16,2,L. Barbosa makes 2-pt shot from 1 ft
3:06.0,Utah full timeout,,11-16,,
3:06.0,T. Booker enters the game for G. Hayward,,11-16,,
3:06.0,T. Burke enters the game for D. Favors,,11-16,,
3:06.0,E. Millsap enters the game for D. Exum,,11-16,,
3:06.0,,,11-16,,M. Speights enters the game for A. Bogut
2:45.0,Turnover by J. Ingles (bad pass; steal by L. Barbosa),,11-16,,
2:40.0,,,11-16,,Turnover by L. Barbosa (bad pass; steal by J. Ingles)
2:36.0,,,11-16,,Violation by A. Iguodala (kicked ball)
2:26.0,Turnover by E. Millsap (bad pass; steal by S. Curry),,11-16,,
2:21.0,,,11-16,,S. Curry misses 2-pt shot from 5 ft
2:20.0,,,11-16,,Offensive rebound by M. Speights
2:20.0,,,11-18,2,M. Speights makes 2-pt shot at rim
1:53.0,Turnover by T. Burke (lost ball),,11-18,,
1:53.0,D. Favors enters the game for R. Gobert,,11-18,,
1:39.0,,,11-18,,M. Speights misses 2-pt shot from 18 ft
1:38.0,Defensive rebound by D. Favors,,11-18,,
1:26.0,T. Burke misses 3-pt shot from 26 ft,,11-18,,
1:23.0,Offensive rebound by J. Ingles,,11-18,,
1:12.0,T. Booker misses 2-pt shot from 19 ft,,11-18,,
1:12.0,,,11-18,,Defensive rebound by D. Green
1:03.0,,,11-18,,Shooting foul by J. Ingles (drawn by D. Green)
1:03.0,,,11-19,1,D. Green makes free throw 1 of 2
1:03.0,,,11-19,,D. Green misses free throw 2 of 2
1:01.0,Defensive rebound by T. Booker,,11-19,,
