time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. T. Mozgov (M. Smart gains possession),,,,Jump ball: B. Bass vs. T. Mozgov (M. Smart gains possession)
11:48.0,Turnover by A. Bradley (bad pass),,0-0,,
11:30.0,,,0-0,,K. Love misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by M. Smart,,0-0,,
11:21.0,M. Smart misses 2-pt shot from 13 ft (block by T. Mozgov),,0-0,,
11:19.0,,,0-0,,Defensive rebound by L. James
11:06.0,,,0-2,2,L. James makes 2-pt shot from 15 ft
10:48.0,B. Bass misses 2-pt shot from 15 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by J. Smith
10:31.0,,,0-5,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
10:15.0,T. Zeller makes 2-pt shot from 19 ft (assist by E. Turner),2,2-5,,
9:54.0,,,2-5,,L. James misses 2-pt shot from 15 ft
9:51.0,Defensive rebound by A. Bradley,,2-5,,
9:45.0,A. Bradley makes 2-pt shot from 19 ft,2,4-5,,
9:27.0,,,4-5,,Turnover by K. Irving (bad pass; steal by E. Turner)
9:21.0,E. Turner makes 2-pt shot from 1 ft,2,6-5,,
9:15.0,,,6-5,,K. Irving misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by M. Smart,,6-5,,
9:06.0,M. Smart misses 3-pt shot from 24 ft,,6-5,,
9:04.0,Offensive rebound by B. Bass,,6-5,,
8:56.0,A. Bradley makes 3-pt shot from 25 ft (assist by E. Turner),3,9-5,,
8:34.0,,,9-5,,K. Love misses 2-pt shot from 5 ft
8:30.0,Defensive rebound by T. Zeller,,9-5,,
8:23.0,A. Bradley misses 2-pt shot at rim,,9-5,,
8:20.0,,,9-5,,Defensive rebound by T. Mozgov
8:13.0,,,9-7,2,K. Irving makes 2-pt shot at rim (assist by L. James)
7:58.0,Turnover by B. Bass (bad pass; steal by L. James),,9-7,,
7:52.0,,,9-9,2,L. James makes 2-pt shot from 1 ft
7:52.0,Violation by M. Smart (def goaltending),,9-9,,
7:43.0,T. Zeller makes 2-pt shot from 19 ft (assist by M. Smart),2,11-9,,
7:19.0,Personal foul by T. Zeller (drawn by T. Mozgov),,11-9,,
7:05.0,,,11-9,,K. Love misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by M. Smart,,11-9,,
6:58.0,E. Turner misses 2-pt shot from 13 ft,,11-9,,
6:57.0,,,11-9,,Defensive rebound by K. Love
6:47.0,,,11-9,,K. Irving misses 2-pt shot from 1 ft
6:45.0,,,11-9,,Offensive rebound by T. Mozgov
6:41.0,,,11-12,3,K. Irving makes 3-pt shot from 24 ft (assist by T. Mozgov)
6:29.0,T. Zeller misses 2-pt shot from 19 ft,,11-12,,
6:28.0,,,11-12,,Defensive rebound by J. Smith
6:23.0,Personal foul by T. Zeller (drawn by T. Mozgov),,11-12,,
