time,Utah,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Howard (P. Beverley gains possession),,,,Jump ball: R. Gobert vs. D. Howard (P. Beverley gains possession)
11:39.0,,,0-0,,D. Howard misses 2-pt shot from 6 ft
11:37.0,Defensive rebound by R. Gobert,,0-0,,
11:16.0,J. Ingles misses 2-pt shot from 20 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by D. Motiejunas
11:05.0,,,0-0,,Turnover by J. Harden (lost ball; steal by J. Ingles)
10:50.0,Turnover by D. Favors (bad pass; steal by J. Harden),,0-0,,
10:46.0,,,0-2,2,J. Harden makes 2-pt shot at rim (assist by P. Beverley)
10:28.0,G. Hayward makes 2-pt shot from 11 ft,2,2-2,,
10:09.0,,,2-2,,P. Beverley misses 3-pt shot from 23 ft
10:08.0,Defensive rebound by D. Favors,,2-2,,
9:49.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,4-2,,
9:38.0,,,4-2,,T. Ariza misses 2-pt shot from 20 ft
9:35.0,,,4-2,,Offensive rebound by T. Ariza
9:30.0,,,4-2,,P. Beverley misses 2-pt shot from 20 ft
9:29.0,,,4-2,,Offensive rebound by D. Motiejunas
9:25.0,,,4-4,2,D. Motiejunas makes 2-pt shot from 9 ft
8:56.0,J. Ingles misses 2-pt shot from 2 ft,,4-4,,
8:54.0,,,4-4,,Defensive rebound by D. Howard
8:48.0,,,4-4,,J. Harden misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by D. Favors,,4-4,,
8:32.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Gobert),2,6-4,,
8:32.0,Shooting foul by J. Harden (drawn by D. Favors),,6-4,,
8:32.0,,,6-4,,Violation by J. Harden (lane)
8:32.0,D. Favors makes free throw 1 of 1,1,7-4,,
8:13.0,,,7-4,,D. Howard misses 2-pt shot from 3 ft
8:11.0,Defensive rebound by R. Gobert,,7-4,,
8:07.0,,,7-4,,Personal foul by P. Beverley (drawn by T. Burke)
7:55.0,Turnover by T. Burke (bad pass; steal by P. Beverley),,7-4,,
7:52.0,,,7-4,,Shooting foul by D. Favors (drawn by P. Beverley)
7:52.0,,,7-5,1,P. Beverley makes free throw 1 of 2
7:52.0,,,7-6,1,P. Beverley makes free throw 2 of 2
7:33.0,Turnover by R. Gobert (bad pass; steal by T. Ariza),,7-6,,
7:20.0,,,7-8,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
7:03.0,D. Favors makes 2-pt shot from 14 ft (assist by T. Burke),2,9-8,,
6:51.0,,,9-8,,Turnover by D. Motiejunas (lost ball; steal by D. Favors)
6:45.0,T. Burke makes 2-pt shot from 20 ft (assist by J. Ingles),2,11-8,,
6:25.0,,,11-8,,Turnover by J. Harden (bad pass)
6:16.0,D. Favors makes 2-pt shot at rim (assist by T. Burke),2,13-8,,
5:56.0,,,13-8,,Houston full timeout
5:54.0,,,13-8,,Turnover by T. Ariza (bad pass; steal by G. Hayward)
5:36.0,,,13-8,,Personal foul by T. Ariza (drawn by G. Hayward)
5:30.0,Turnover by G. Hayward (bad pass),,13-8,,
5:18.0,,,13-8,,Turnover by J. Harden (bad pass; steal by J. Ingles)
5:12.0,T. Burke misses 2-pt shot from 7 ft,,13-8,,
5:11.0,Offensive rebound by G. Hayward,,13-8,,
5:11.0,G. Hayward misses 2-pt shot from 1 ft,,13-8,,
5:09.0,,,13-8,,Defensive rebound by T. Ariza
5:03.0,,,13-8,,P. Beverley misses 3-pt shot from 22 ft
5:01.0,Defensive rebound by J. Ingles,,13-8,,
4:59.0,Turnover by J. Ingles (bad pass; steal by T. Ariza),,13-8,,
4:56.0,,,13-10,2,T. Ariza makes 2-pt shot at rim
4:37.0,Offensive charge foul by D. Favors,,13-10,,
4:37.0,Turnover by D. Favors (offensive foul),,13-10,,
4:37.0,,,13-10,,J. Smith enters the game for T. Ariza
4:37.0,,,13-10,,C. Brewer enters the game for D. Howard
4:37.0,,,13-10,,J. Terry enters the game for P. Beverley
4:37.0,E. Kanter enters the game for D. Favors,,13-10,,
4:29.0,,,13-10,,Turnover by D. Motiejunas (bad pass)
4:09.0,G. Hayward misses 2-pt shot from 3 ft,,13-10,,
4:07.0,,,13-10,,Defensive rebound by J. Smith
4:02.0,,,13-12,2,J. Smith makes 2-pt shot at rim
3:45.0,T. Burke makes 3-pt shot from 23 ft (assist by G. Hayward),3,16-12,,
3:20.0,,,16-15,3,D. Motiejunas makes 3-pt shot from 23 ft (assist by J. Smith)
3:05.0,E. Kanter misses 2-pt shot from 18 ft,,16-15,,
3:03.0,,,16-15,,Defensive rebound by D. Motiejunas
2:58.0,,,16-15,,Shooting foul by T. Burke (drawn by J. Harden)
2:58.0,Utah full timeout,,16-15,,
2:58.0,E. Millsap enters the game for R. Gobert,,16-15,,
2:58.0,T. Booker enters the game for J. Ingles,,16-15,,
2:58.0,D. Exum enters the game for T. Burke,,16-15,,
2:58.0,,,16-16,1,J. Harden makes free throw 1 of 2
2:58.0,,,16-17,1,J. Harden makes free throw 2 of 2
2:42.0,G. Hayward misses 2-pt shot from 11 ft,,16-17,,
2:40.0,Offensive rebound by E. Millsap,,16-17,,
2:34.0,Offensive charge foul by E. Kanter,,16-17,,
2:34.0,Turnover by E. Kanter (offensive foul),,16-17,,
2:12.0,,,16-17,,Shooting foul by E. Millsap (drawn by J. Harden)
2:12.0,,,16-18,1,J. Harden makes free throw 1 of 2
2:12.0,,,16-18,,D. Howard enters the game for D. Motiejunas
2:12.0,,,16-19,1,J. Harden makes free throw 2 of 2
2:00.0,Turnover by G. Hayward (bad pass),,16-19,,
1:46.0,,,16-19,,J. Smith misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by D. Exum,,16-19,,
1:36.0,G. Hayward misses 3-pt shot from 22 ft,,16-19,,
1:35.0,,,16-19,,Defensive rebound by J. Smith
1:30.0,,,16-21,2,J. Harden makes 2-pt shot from 1 ft
1:17.0,,,16-21,,Personal foul by C. Brewer (drawn by G. Hayward)
1:17.0,,,16-21,,K. Papanikolaou enters the game for J. Harden
1:05.0,G. Hayward makes 3-pt shot from 24 ft (assist by E. Millsap),3,19-21,,
0:50.0,,,19-21,,J. Smith misses 2-pt shot from 19 ft
0:48.0,Defensive rebound by G. Hayward,,19-21,,
0:35.0,G. Hayward misses 2-pt shot from 11 ft,,19-21,,
0:33.0,Offensive rebound by E. Kanter,,19-21,,
0:33.0,E. Kanter makes 2-pt shot from 6 ft,2,21-21,,
0:24.0,,,21-21,,Shooting foul by T. Booker (drawn by J. Smith)
0:24.0,,,21-22,1,J. Smith makes free throw 1 of 2
0:24.0,,,21-23,1,J. Smith makes free throw 2 of 2
0:03.0,T. Booker makes 2-pt shot from 21 ft (assist by G. Hayward),2,23-23,,
0:00.0,,,23-23,,C. Brewer misses 3-pt shot from 41 ft
0:00.0,,,23-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,E. Kanter makes 2-pt shot from 9 ft (assist by J. Ingles),2,25-23,,
11:31.0,,,25-23,,Turnover by D. Howard (lost ball)
11:10.0,E. Kanter makes 2-pt shot from 1 ft,2,27-23,,
10:47.0,,,27-23,,J. Smith misses 2-pt shot from 5 ft
10:46.0,Defensive rebound by J. Ingles,,27-23,,
10:28.0,E. Millsap misses 2-pt shot from 8 ft,,27-23,,
10:26.0,,,27-23,,Defensive rebound by J. Smith
10:21.0,,,27-25,2,J. Smith makes 2-pt shot at rim
10:08.0,Offensive foul by E. Kanter,,27-25,,
10:08.0,Turnover by E. Kanter (offensive foul),,27-25,,
10:08.0,R. Gobert enters the game for E. Kanter,,27-25,,
10:08.0,T. Burke enters the game for D. Exum,,27-25,,
