time,Orlando,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. H. Whiteside (A. Gordon gains possession),,,,Jump ball: N. Vucevic vs. H. Whiteside (A. Gordon gains possession)
11:56.0,Turnover by A. Gordon (traveling),,0-0,,
11:31.0,,,0-2,2,G. Dragic makes 2-pt shot from 2 ft
11:14.0,N. Vucevic misses 2-pt shot from 15 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by G. Dragic
10:52.0,,,0-4,2,H. Whiteside makes 2-pt shot from 8 ft (assist by L. Deng)
10:36.0,V. Oladipo makes 3-pt shot from 24 ft (assist by N. Vucevic),3,3-4,,
10:10.0,,,3-4,,U. Haslem misses 2-pt shot from 16 ft
10:09.0,Defensive rebound by A. Gordon,,3-4,,
10:02.0,V. Oladipo misses 2-pt shot from 1 ft,,3-4,,
10:01.0,,,3-4,,Defensive rebound by H. Whiteside
9:55.0,,,3-6,2,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic)
9:45.0,E. Payton makes 2-pt shot from 8 ft (assist by A. Gordon),2,5-6,,
9:21.0,,,5-6,,G. Dragic misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by Team,,5-6,,
8:59.0,T. Harris makes 2-pt shot from 7 ft,2,7-6,,
8:30.0,,,7-6,,L. Deng misses 2-pt shot from 19 ft
8:29.0,Defensive rebound by T. Harris,,7-6,,
8:22.0,T. Harris makes 2-pt shot from 16 ft,2,9-6,,
8:07.0,,,9-8,2,U. Haslem makes 2-pt shot from 18 ft (assist by G. Dragic)
7:43.0,N. Vucevic misses 2-pt shot from 9 ft,,9-8,,
7:42.0,,,9-8,,Defensive rebound by U. Haslem
7:30.0,,,9-8,,G. Dragic misses 2-pt shot from 13 ft
7:29.0,Defensive rebound by A. Gordon,,9-8,,
7:21.0,A. Gordon misses 2-pt shot from 10 ft,,9-8,,
7:20.0,,,9-8,,Defensive rebound by H. Whiteside
7:13.0,,,9-10,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade)
7:13.0,,,9-10,,Shooting foul by T. Harris (drawn by H. Whiteside)
7:13.0,,,9-11,1,H. Whiteside makes free throw 1 of 1
6:58.0,V. Oladipo misses 3-pt shot from 24 ft,,9-11,,
6:57.0,,,9-11,,Defensive rebound by H. Whiteside
6:41.0,,,9-11,,D. Wade misses 2-pt shot from 16 ft
6:40.0,,,9-11,,Offensive rebound by D. Wade
6:32.0,,,9-11,,D. Wade misses 2-pt shot from 2 ft
6:31.0,,,9-11,,Offensive rebound by H. Whiteside
6:29.0,,,9-13,2,H. Whiteside makes 2-pt shot from 1 ft
6:22.0,Shooting foul by H. Whiteside (drawn by N. Vucevic),,9-13,,
6:22.0,N. Vucevic misses free throw 1 of 2,,9-13,,
6:22.0,Offensive rebound by Team,,9-13,,
6:22.0,,,9-13,,M. Chalmers enters the game for G. Dragic
6:22.0,N. Vucevic makes free throw 2 of 2,1,10-13,,
6:03.0,,,10-13,,Shooting foul by N. Vucevic (drawn by D. Wade)
6:03.0,,,10-13,,D. Wade misses free throw 1 of 2
6:03.0,,,10-13,,Offensive rebound by Team
6:03.0,,,10-14,1,D. Wade makes free throw 2 of 2
5:51.0,T. Harris makes 2-pt shot from 9 ft (assist by E. Payton),2,12-14,,
5:38.0,,,12-16,2,L. Deng makes 2-pt shot from 6 ft
5:30.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,14-16,,
5:02.0,,,14-16,,L. Deng misses 2-pt shot from 11 ft
5:01.0,,,14-16,,Offensive rebound by U. Haslem
5:00.0,,,14-16,,Turnover by U. Haslem (bad pass)
5:00.0,,,14-16,,Miami full timeout
5:00.0,M. Harkless enters the game for A. Gordon,,14-16,,
4:50.0,T. Harris misses 2-pt shot from 18 ft,,14-16,,
4:49.0,Offensive rebound by N. Vucevic,,14-16,,
4:37.0,,,14-16,,Personal foul by U. Haslem (drawn by M. Harkless)
4:37.0,M. Harkless misses free throw 1 of 2,,14-16,,
4:37.0,Offensive rebound by Team,,14-16,,
4:37.0,M. Harkless misses free throw 2 of 2,,14-16,,
4:36.0,,,14-16,,Defensive rebound by H. Whiteside
4:13.0,,,14-16,,M. Chalmers misses 2-pt shot from 19 ft
4:12.0,,,14-16,,Offensive rebound by Team
4:12.0,Loose ball foul by E. Payton (drawn by L. Deng),,14-16,,
4:12.0,,,14-16,,G. Dragic enters the game for D. Wade
4:12.0,,,14-16,,J. Ennis enters the game for U. Haslem
3:58.0,,,14-16,,Turnover by H. Whiteside (bad pass; steal by V. Oladipo)
3:53.0,N. Vucevic misses 2-pt shot at rim,,14-16,,
3:52.0,Offensive rebound by V. Oladipo,,14-16,,
3:51.0,V. Oladipo makes 2-pt shot from 1 ft,2,16-16,,
3:25.0,,,16-19,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
3:06.0,Turnover by V. Oladipo (bad pass; steal by L. Deng),,16-19,,
3:03.0,,,16-21,2,J. Ennis makes 2-pt shot at rim (assist by L. Deng)
2:51.0,T. Harris makes 2-pt shot from 2 ft (assist by E. Payton),2,18-21,,
2:34.0,,,18-23,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
2:31.0,Orlando full timeout,,18-23,,
2:31.0,W. Green enters the game for N. Vucevic,,18-23,,
2:31.0,D. Dedmon enters the game for V. Oladipo,,18-23,,
2:19.0,M. Harkless misses 3-pt shot from 24 ft,,18-23,,
2:18.0,,,18-23,,Defensive rebound by H. Whiteside
2:00.0,,,18-25,2,J. Ennis makes 2-pt shot at rim (assist by G. Dragic)
1:53.0,W. Green misses 3-pt shot from 23 ft,,18-25,,
1:52.0,,,18-25,,Defensive rebound by M. Chalmers
1:45.0,,,18-27,2,G. Dragic makes 2-pt shot at rim
1:36.0,Offensive rebound by D. Dedmon,,18-27,,
1:34.0,D. Dedmon makes 2-pt shot from 1 ft,2,20-27,,
1:12.0,,,20-29,2,M. Chalmers makes 2-pt shot from 1 ft
0:56.0,T. Harris misses 3-pt shot from 24 ft,,20-29,,
0:55.0,,,20-29,,Defensive rebound by H. Whiteside
0:44.0,Personal foul by D. Dedmon (drawn by H. Whiteside),,20-29,,
0:35.0,,,20-31,2,G. Dragic makes 2-pt shot from 2 ft
0:26.0,D. Dedmon misses 2-pt shot from 5 ft (block by H. Whiteside),,20-31,,
0:25.0,,,20-31,,Defensive rebound by L. Deng
0:08.0,,,20-33,2,M. Chalmers makes 2-pt shot from 1 ft
0:00.0,E. Payton makes 2-pt shot from 18 ft,2,22-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,22-33,,G. Dragic misses 2-pt shot from 18 ft
11:39.0,,,22-33,,Offensive rebound by G. Dragic
11:37.0,,,22-35,2,C. Andersen makes 2-pt shot at rim (assist by G. Dragic)
11:26.0,Offensive foul by A. Nicholson,,22-35,,
11:26.0,Turnover by A. Nicholson (offensive foul),,22-35,,
11:12.0,,,22-37,2,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers)
10:51.0,A. Gordon misses 2-pt shot from 4 ft,,22-37,,
10:50.0,,,22-37,,Defensive rebound by C. Andersen
10:27.0,,,22-37,,G. Dragic misses 2-pt shot from 2 ft
10:26.0,Defensive rebound by V. Oladipo,,22-37,,
10:22.0,V. Oladipo makes 2-pt shot at rim,2,24-37,,
10:08.0,Personal foul by A. Nicholson (drawn by C. Andersen),,24-37,,
10:02.0,,,24-39,2,G. Dragic makes 2-pt shot at rim
10:02.0,Shooting block foul by W. Green (drawn by G. Dragic),,24-39,,
10:02.0,,,24-40,1,G. Dragic makes free throw 1 of 1
9:45.0,V. Oladipo misses 2-pt shot from 19 ft,,24-40,,
9:44.0,Offensive rebound by T. Harris,,24-40,,
9:28.0,A. Gordon misses 2-pt shot from 9 ft,,24-40,,
9:27.0,,,24-40,,Defensive rebound by C. Andersen
9:10.0,,,24-40,,M. Beasley misses 2-pt shot from 13 ft
9:09.0,Defensive rebound by T. Harris,,24-40,,
8:58.0,Shooting foul by C. Andersen (drawn by T. Harris),,24-40,,
8:58.0,Official timeout,,24-40,,
8:58.0,T. Harris makes free throw 1 of 2,1,25-40,,
8:58.0,T. Harris misses free throw 2 of 2,,25-40,,
8:57.0,,,25-40,,Defensive rebound by C. Andersen
8:32.0,,,25-40,,J. Ennis misses 2-pt shot from 21 ft
8:31.0,,,25-40,,Offensive rebound by G. Dragic
8:18.0,,,25-40,,M. Chalmers misses 2-pt shot from 1 ft
8:17.0,Defensive rebound by V. Oladipo,,25-40,,
7:57.0,V. Oladipo misses 2-pt shot from 2 ft (block by C. Andersen),,25-40,,
7:56.0,,,25-40,,Defensive rebound by M. Beasley
7:40.0,,,25-40,,Shooting foul by W. Green (drawn by C. Andersen)
7:40.0,,,25-41,1,C. Andersen makes free throw 1 of 2
7:40.0,N. Vucevic enters the game for W. Green,,25-41,,
7:40.0,E. Payton enters the game for A. Nicholson,,25-41,,
7:40.0,,,25-42,1,C. Andersen makes free throw 2 of 2
7:29.0,,,25-42,,Personal foul by C. Andersen (drawn by N. Vucevic)
7:29.0,,,25-42,,H. Whiteside enters the game for C. Andersen
7:29.0,,,25-42,,D. Wade enters the game for G. Dragic
7:14.0,T. Harris misses 2-pt shot from 14 ft,,25-42,,
7:13.0,,,25-42,,Defensive rebound by H. Whiteside
6:53.0,,,25-45,3,M. Chalmers makes 3-pt shot from 25 ft (assist by D. Wade)
6:33.0,T. Harris makes 2-pt shot from 2 ft (assist by N. Vucevic),2,27-45,,
6:15.0,,,27-45,,Turnover by D. Wade (bad pass; steal by V. Oladipo)
6:14.0,,,27-45,,Personal foul by M. Chalmers (drawn by V. Oladipo)
6:14.0,,,27-45,,L. Deng enters the game for M. Beasley
6:03.0,N. Vucevic misses 2-pt shot from 11 ft,,27-45,,
6:02.0,Offensive rebound by T. Harris,,27-45,,
6:01.0,T. Harris makes 2-pt shot from 2 ft,2,29-45,,
5:43.0,,,29-45,,Shooting foul by V. Oladipo (drawn by D. Wade)
5:43.0,,,29-45,,Miami full timeout
5:43.0,,,29-46,1,D. Wade makes free throw 1 of 2
5:43.0,,,29-47,1,D. Wade makes free throw 2 of 2
5:19.0,T. Harris misses 3-pt shot from 24 ft,,29-47,,
5:18.0,,,29-47,,Defensive rebound by H. Whiteside
5:10.0,,,29-49,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
4:59.0,V. Oladipo misses 2-pt shot at rim (block by H. Whiteside),,29-49,,
4:58.0,,,29-49,,Defensive rebound by L. Deng
4:50.0,,,29-49,,Turnover by D. Wade (bad pass; steal by E. Payton)
4:30.0,V. Oladipo misses 2-pt shot from 9 ft (block by J. Ennis),,29-49,,
4:29.0,Offensive rebound by N. Vucevic,,29-49,,
4:27.0,N. Vucevic misses 2-pt shot from 3 ft,,29-49,,
4:26.0,,,29-49,,Defensive rebound by M. Chalmers
4:18.0,,,29-51,2,D. Wade makes 2-pt shot from 1 ft (assist by M. Chalmers)
4:18.0,Orlando full timeout,,29-51,,
4:18.0,D. Dedmon enters the game for T. Harris,,29-51,,
4:18.0,W. Green enters the game for N. Vucevic,,29-51,,
4:06.0,W. Green makes 3-pt shot from 23 ft (assist by E. Payton),3,32-51,,
3:39.0,,,32-51,,M. Chalmers misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by D. Dedmon,,32-51,,
3:30.0,W. Green misses 2-pt shot from 2 ft (block by H. Whiteside),,32-51,,
3:29.0,Offensive rebound by Team,,32-51,,
3:19.0,V. Oladipo makes 2-pt shot from 19 ft,2,34-51,,
2:57.0,,,34-51,,Turnover by H. Whiteside (lost ball)
2:57.0,,,34-51,,G. Dragic enters the game for M. Chalmers
2:44.0,W. Green misses 2-pt shot from 16 ft,,34-51,,
2:43.0,,,34-51,,Defensive rebound by H. Whiteside
2:34.0,,,34-51,,D. Wade misses 2-pt shot from 15 ft
2:33.0,,,34-51,,Offensive rebound by G. Dragic
2:30.0,,,34-51,,Turnover by G. Dragic (bad pass; steal by A. Gordon)
2:30.0,,,34-51,,Personal foul by J. Ennis (drawn by W. Green)
2:22.0,A. Gordon misses 2-pt shot at rim (block by H. Whiteside),,34-51,,
2:21.0,,,34-51,,Defensive rebound by Team
2:02.0,,,34-53,2,H. Whiteside makes 2-pt shot from 5 ft
1:48.0,A. Gordon misses 3-pt shot from 24 ft,,34-53,,
1:47.0,,,34-53,,Defensive rebound by L. Deng
1:35.0,,,34-53,,H. Whiteside misses 2-pt shot from 7 ft
1:34.0,Defensive rebound by W. Green,,34-53,,
1:19.0,Turnover by V. Oladipo (bad pass; steal by L. Deng),,34-53,,
1:13.0,,,34-55,2,D. Wade makes 2-pt shot from 3 ft
1:07.0,Orlando full timeout,,34-55,,
1:07.0,T. Harris enters the game for A. Gordon,,34-55,,
1:07.0,,,34-55,,M. Chalmers enters the game for J. Ennis
0:59.0,V. Oladipo makes 2-pt shot from 11 ft,2,36-55,,
0:45.0,,,36-55,,L. Deng misses 2-pt shot from 17 ft
0:44.0,Defensive rebound by E. Payton,,36-55,,
0:38.0,V. Oladipo misses 3-pt shot from 24 ft,,36-55,,
0:37.0,,,36-55,,Defensive rebound by M. Chalmers
0:33.0,,,36-55,,D. Wade misses 2-pt shot at rim (block by V. Oladipo)
0:32.0,Defensive rebound by D. Dedmon,,36-55,,
0:32.0,,,36-55,,Personal foul by M. Chalmers (drawn by D. Dedmon)
0:32.0,D. Dedmon makes free throw 1 of 2,1,37-55,,
0:32.0,D. Dedmon misses free throw 2 of 2,,37-55,,
0:31.0,,,37-55,,Defensive rebound by G. Dragic
0:10.0,,,37-57,2,G. Dragic makes 2-pt shot from 1 ft
0:01.0,V. Oladipo makes 2-pt shot from 1 ft,2,39-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,39-59,2,H. Whiteside makes 2-pt shot from 2 ft
11:43.0,,,39-59,,Shooting foul by N. Vucevic (drawn by H. Whiteside)
11:43.0,,,39-60,1,H. Whiteside makes free throw 1 of 1
11:29.0,V. Oladipo misses 2-pt shot from 1 ft,,39-60,,
11:28.0,,,39-60,,Defensive rebound by D. Wade
11:25.0,,,39-60,,Turnover by D. Wade (bad pass; steal by A. Gordon)
11:23.0,V. Oladipo misses 2-pt shot at rim (block by D. Wade),,39-60,,
11:22.0,Offensive rebound by Team,,39-60,,
11:14.0,N. Vucevic misses 2-pt shot from 15 ft,,39-60,,
11:13.0,,,39-60,,Defensive rebound by U. Haslem
11:02.0,,,39-60,,L. Deng misses 2-pt shot from 1 ft
11:01.0,,,39-60,,Offensive rebound by L. Deng
10:47.0,Personal foul by N. Vucevic (drawn by H. Whiteside),,39-60,,
10:33.0,,,39-60,,Turnover by Team (shot clock)
10:20.0,Shooting foul by U. Haslem (drawn by A. Gordon),,39-60,,
10:20.0,A. Gordon misses free throw 1 of 2,,39-60,,
10:20.0,Offensive rebound by Team,,39-60,,
