time,Portland,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Kaman vs. A. Len (P. Tucker gains possession),,,,Jump ball: C. Kaman vs. A. Len (P. Tucker gains possession)
11:43.0,,,0-2,2,G. Dragic makes 2-pt shot from 1 ft (assist by M. Morris)
11:27.0,N. Batum makes 2-pt shot from 1 ft,2,2-2,,
11:14.0,,,2-2,,M. Morris misses 2-pt shot from 13 ft
11:13.0,,,2-2,,Offensive rebound by Team
11:11.0,,,2-4,2,G. Dragic makes 2-pt shot from 15 ft (assist by P. Tucker)
10:57.0,N. Batum misses 2-pt shot from 20 ft,,2-4,,
10:55.0,,,2-4,,Defensive rebound by E. Bledsoe
10:53.0,,,2-4,,Turnover by E. Bledsoe (bad pass)
10:35.0,C. Kaman makes 2-pt shot from 15 ft (assist by N. Batum),2,4-4,,
10:22.0,,,4-4,,Shooting foul by D. Lillard (drawn by E. Bledsoe)
10:22.0,,,4-5,1,E. Bledsoe makes free throw 1 of 2
10:22.0,,,4-6,1,E. Bledsoe makes free throw 2 of 2
10:12.0,N. Batum makes 2-pt shot from 2 ft (assist by D. Lillard),2,6-6,,
10:00.0,,,6-6,,M. Morris misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by D. Lillard,,6-6,,
9:52.0,D. Lillard makes 3-pt shot from 26 ft (assist by D. Wright),3,9-6,,
9:25.0,,,9-9,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by G. Dragic)
9:04.0,W. Matthews makes 2-pt shot from 6 ft,2,11-9,,
8:52.0,,,11-9,,G. Dragic misses 2-pt shot from 2 ft
8:50.0,,,11-9,,Offensive rebound by A. Len
8:50.0,,,11-11,2,A. Len makes 2-pt shot from 2 ft
8:38.0,D. Lillard misses 3-pt shot from 24 ft,,11-11,,
8:36.0,,,11-11,,Defensive rebound by G. Dragic
8:34.0,,,11-11,,Shooting foul by D. Wright (drawn by M. Morris)
8:34.0,,,11-12,1,M. Morris makes free throw 1 of 2
8:34.0,,,11-12,,M. Morris misses free throw 2 of 2
8:33.0,,,11-12,,Offensive rebound by P. Tucker
8:20.0,,,11-14,2,E. Bledsoe makes 2-pt shot from 7 ft
8:06.0,Turnover by D. Wright (bad pass; steal by E. Bledsoe),,11-14,,
8:02.0,,,11-16,2,E. Bledsoe makes 2-pt shot at rim
7:45.0,C. Kaman makes 2-pt shot from 3 ft,2,13-16,,
7:33.0,,,13-18,2,A. Len makes 2-pt shot from 1 ft (assist by G. Dragic)
7:25.0,D. Wright makes 3-pt shot from 24 ft (assist by N. Batum),3,16-18,,
7:15.0,,,16-18,,G. Dragic misses 2-pt shot from 1 ft (block by C. Kaman)
7:14.0,Defensive rebound by Team,,16-18,,
7:02.0,W. Matthews misses 2-pt shot from 2 ft,,16-18,,
6:59.0,,,16-18,,Defensive rebound by A. Len
6:57.0,,,16-18,,Turnover by G. Dragic (traveling)
6:40.0,C. Kaman makes 2-pt shot from 15 ft (assist by D. Lillard),2,18-18,,
6:25.0,,,18-20,2,G. Dragic makes 2-pt shot from 15 ft (assist by E. Bledsoe)
6:07.0,W. Matthews misses 2-pt shot from 12 ft,,18-20,,
6:05.0,Offensive rebound by C. Kaman,,18-20,,
6:05.0,C. Kaman makes 2-pt shot from 1 ft,2,20-20,,
5:56.0,,,20-20,,Phoenix full timeout
5:46.0,,,20-20,,G. Dragic misses 2-pt shot from 5 ft
