time,Phoenix,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. R. Lopez (N. Batum gains possession),,,,Jump ball: A. Len vs. R. Lopez (N. Batum gains possession)
11:41.0,,,0-0,,A. Afflalo misses 2-pt shot from 20 ft
11:40.0,,,0-0,,Offensive rebound by N. Batum
11:40.0,,,0-0,,N. Batum misses 2-pt shot from 1 ft
11:39.0,Defensive rebound by A. Len,,0-0,,
11:18.0,M. Morris makes 2-pt shot from 7 ft,2,2-0,,
11:05.0,,,2-2,2,D. Lillard makes 2-pt shot from 23 ft (assist by L. Aldridge)
10:47.0,M. Morris makes 3-pt shot from 24 ft (assist by A. Len),3,5-2,,
10:22.0,,,5-2,,R. Lopez misses 2-pt shot from 4 ft
10:21.0,Defensive rebound by M. Morris,,5-2,,
10:15.0,E. Bledsoe makes 2-pt shot from 19 ft,2,7-2,,
9:58.0,,,7-2,,L. Aldridge misses 2-pt shot from 1 ft
9:56.0,Defensive rebound by A. Len,,7-2,,
9:50.0,P. Tucker misses 3-pt shot from 22 ft,,7-2,,
9:49.0,,,7-2,,Defensive rebound by Team
9:31.0,,,7-4,2,L. Aldridge makes 2-pt shot from 15 ft
9:15.0,M. Morris makes 2-pt shot from 15 ft,2,9-4,,
9:03.0,,,9-6,2,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Lillard)
8:55.0,E. Bledsoe makes 2-pt shot from 3 ft,2,11-6,,
8:35.0,,,11-6,,N. Batum misses 2-pt shot from 10 ft
8:34.0,Defensive rebound by P. Tucker,,11-6,,
8:25.0,E. Bledsoe misses 2-pt shot from 3 ft,,11-6,,
8:23.0,Offensive rebound by A. Len,,11-6,,
8:23.0,A. Len makes 2-pt shot at rim,2,13-6,,
8:07.0,,,13-6,,A. Afflalo misses 3-pt shot from 24 ft
8:06.0,,,13-6,,Offensive rebound by N. Batum
8:03.0,,,13-6,,D. Lillard misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by P. Tucker,,13-6,,
7:37.0,E. Bledsoe misses 2-pt shot from 21 ft,,13-6,,
7:36.0,,,13-6,,Defensive rebound by N. Batum
7:31.0,,,13-8,2,A. Afflalo makes 2-pt shot from 1 ft
7:11.0,A. Len makes 2-pt shot from 16 ft,2,15-8,,
6:56.0,,,15-11,3,D. Lillard makes 3-pt shot from 24 ft
6:32.0,Turnover by E. Bledsoe (lost ball; steal by L. Aldridge),,15-11,,
6:27.0,,,15-11,,A. Afflalo misses 2-pt shot from 1 ft
6:25.0,Defensive rebound by M. Morris,,15-11,,
6:15.0,A. Len misses 2-pt shot from 4 ft,,15-11,,
6:14.0,,,15-11,,Defensive rebound by L. Aldridge
6:05.0,,,15-11,,D. Lillard misses 2-pt shot from 1 ft
6:03.0,,,15-11,,Offensive rebound by R. Lopez
6:03.0,,,15-13,2,R. Lopez makes 2-pt shot from 1 ft
5:39.0,M. Morris makes 2-pt shot from 14 ft,2,17-13,,
5:23.0,,,17-16,3,A. Afflalo makes 3-pt shot from 23 ft (assist by N. Batum)
5:17.0,Phoenix full timeout,,17-16,,
5:05.0,Turnover by E. Bledsoe (bad pass),,17-16,,
5:05.0,A. Goodwin enters the game for P. Tucker,,17-16,,
4:49.0,,,17-18,2,N. Batum makes 2-pt shot from 19 ft (assist by R. Lopez)
4:39.0,M. Morris misses 3-pt shot from 25 ft,,17-18,,
4:37.0,,,17-18,,Defensive rebound by R. Lopez
4:21.0,,,17-18,,D. Lillard misses 3-pt shot from 23 ft
4:20.0,Defensive rebound by M. Morris,,17-18,,
4:08.0,A. Len misses 2-pt shot from 7 ft,,17-18,,
4:07.0,,,17-18,,Defensive rebound by L. Aldridge
4:02.0,Personal foul by E. Bledsoe (drawn by A. Afflalo),,17-18,,
