time,Houston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: D. Howard vs. D. Jordan (B. Griffin gains possession)
11:35.0,,,0-2,2,M. Barnes makes 2-pt shot from 3 ft (assist by B. Griffin)
11:21.0,T. Jones makes 2-pt shot from 2 ft (assist by J. Terry),2,2-2,,
11:13.0,,,2-2,,C. Paul misses 2-pt shot from 17 ft
11:11.0,Defensive rebound by D. Howard,,2-2,,
11:01.0,T. Ariza makes 2-pt shot from 2 ft (assist by D. Howard),2,4-2,,
10:55.0,,,4-2,,J. Redick misses 3-pt shot from 26 ft
10:49.0,Defensive rebound by J. Harden,,4-2,,
10:29.0,T. Jones makes 2-pt shot from 4 ft (assist by T. Ariza),2,6-2,,
10:14.0,,,6-4,2,J. Redick makes 2-pt shot from 13 ft (assist by C. Paul)
10:00.0,T. Ariza makes 2-pt shot from 18 ft,2,8-4,,
9:45.0,,,8-4,,Turnover by M. Barnes (bad pass; steal by J. Terry)
9:37.0,J. Terry misses 3-pt shot from 24 ft,,8-4,,
9:36.0,,,8-4,,Defensive rebound by D. Jordan
9:31.0,,,8-4,,Turnover by C. Paul (offensive foul)
9:31.0,,,8-4,,Offensive charge foul by C. Paul
9:21.0,T. Ariza misses 2-pt shot from 17 ft,,8-4,,
9:21.0,,,8-4,,Defensive rebound by Team
9:21.0,Loose ball foul by D. Howard (drawn by M. Barnes),,8-4,,
9:11.0,,,8-4,,Turnover by J. Redick (lost ball)
8:59.0,Turnover by D. Howard (lost ball; steal by C. Paul),,8-4,,
8:52.0,,,8-4,,M. Barnes misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by T. Ariza,,8-4,,
8:41.0,T. Ariza misses 3-pt shot from 26 ft,,8-4,,
8:40.0,,,8-4,,Defensive rebound by J. Redick
8:32.0,,,8-4,,B. Griffin misses 2-pt shot from 3 ft
8:30.0,Defensive rebound by D. Howard,,8-4,,
8:20.0,T. Jones misses 2-pt shot from 14 ft,,8-4,,
8:20.0,,,8-4,,Defensive rebound by C. Paul
8:20.0,Loose ball foul by D. Howard (drawn by C. Paul),,8-4,,
8:20.0,Technical foul by D. Howard (drawn by C. Paul),,8-4,,
8:20.0,,,8-5,1,J. Redick makes technical free throw
8:20.0,J. Smith enters the game for D. Howard,,8-5,,
8:20.0,Inbound foul by J. Terry,,8-5,,
8:20.0,,,8-5,,D. Jordan misses free throw 1 of 2
8:20.0,,,8-5,,Offensive rebound by Team
8:20.0,,,8-5,,D. Jordan misses free throw 2 of 2
8:16.0,Defensive rebound by J. Smith,,8-5,,
