time,Brooklyn,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. B. Lopez (R. Jackson gains possession),,,,Jump ball: S. Adams vs. B. Lopez (R. Jackson gains possession)
11:39.0,,,0-2,2,R. Jackson makes 2-pt shot from 1 ft
11:23.0,,,0-2,,Def 3 sec tech foul by S. Ibaka
11:23.0,D. Williams makes technical free throw,1,1-2,,
11:15.0,B. Lopez makes 2-pt shot from 2 ft,2,3-2,,
10:55.0,,,3-2,,Turnover by R. Jackson (bad pass)
10:39.0,B. Bogdanovic misses 3-pt shot from 22 ft,,3-2,,
10:38.0,Offensive rebound by B. Lopez,,3-2,,
10:27.0,B. Lopez misses 2-pt shot from 1 ft (block by S. Ibaka),,3-2,,
10:25.0,,,3-2,,Defensive rebound by S. Ibaka
10:17.0,,,3-2,,S. Ibaka misses 2-pt shot from 15 ft
10:16.0,Defensive rebound by D. Williams,,3-2,,
10:00.0,B. Lopez makes 2-pt shot from 12 ft (assist by D. Williams),2,5-2,,
9:42.0,,,5-4,2,A. Roberson makes 2-pt shot from 2 ft (assist by S. Adams)
9:15.0,D. Williams misses 2-pt shot from 17 ft,,5-4,,
9:14.0,,,5-4,,Defensive rebound by A. Roberson
9:00.0,,,5-4,,L. Thomas misses 2-pt shot from 8 ft (block by J. Johnson)
8:57.0,,,5-4,,Offensive rebound by L. Thomas
8:51.0,,,5-6,2,R. Jackson makes 2-pt shot from 20 ft
8:34.0,B. Bogdanovic misses 2-pt shot at rim (block by A. Roberson),,5-6,,
8:33.0,,,5-6,,Defensive rebound by S. Adams
8:25.0,,,5-8,2,R. Jackson makes 2-pt shot from 13 ft
8:11.0,Turnover by D. Williams (lost ball),,5-8,,
7:59.0,,,5-10,2,A. Roberson makes 2-pt shot from 1 ft (assist by S. Adams)
7:35.0,J. Johnson misses 3-pt shot from 24 ft,,5-10,,
7:34.0,,,5-10,,Defensive rebound by A. Roberson
7:21.0,,,5-12,2,S. Adams makes 2-pt shot at rim (assist by R. Jackson)
7:21.0,Brooklyn full timeout,,5-12,,
7:21.0,M. Plumlee enters the game for K. Garnett,,5-12,,
7:04.0,B. Bogdanovic misses 2-pt shot from 5 ft,,5-12,,
7:03.0,,,5-12,,Defensive rebound by S. Ibaka
6:43.0,,,5-14,2,R. Jackson makes 2-pt shot from 16 ft
6:32.0,D. Williams misses 2-pt shot from 2 ft,,5-14,,
6:31.0,Offensive rebound by M. Plumlee,,5-14,,
6:31.0,M. Plumlee makes 2-pt shot at rim,2,7-14,,
6:11.0,,,7-16,2,S. Ibaka makes 2-pt shot from 14 ft (assist by R. Jackson)
5:55.0,,,7-16,,Personal foul by L. Thomas (drawn by J. Johnson)
5:55.0,A. Anderson enters the game for B. Bogdanovic,,7-16,,
5:51.0,Turnover by D. Williams (bad pass; steal by L. Thomas),,7-16,,
5:38.0,,,7-16,,S. Ibaka misses 2-pt shot from 20 ft
5:37.0,Defensive rebound by B. Lopez,,7-16,,
5:25.0,B. Lopez misses 2-pt shot from 19 ft,,7-16,,
5:24.0,,,7-16,,Defensive rebound by Team
5:24.0,Loose ball foul by M. Plumlee (drawn by S. Ibaka),,7-16,,
5:06.0,,,7-16,,S. Ibaka misses 2-pt shot from 3 ft
5:05.0,Defensive rebound by Team,,7-16,,
5:05.0,,,7-16,,A. Morrow enters the game for A. Roberson
4:44.0,B. Lopez makes 2-pt shot from 4 ft,2,9-16,,
4:33.0,Personal foul by A. Anderson (drawn by A. Morrow),,9-16,,
4:33.0,,,9-16,,K. Perkins enters the game for S. Adams
4:26.0,Personal foul by M. Plumlee (drawn by K. Perkins),,9-16,,
4:26.0,M. Teletovic enters the game for M. Plumlee,,9-16,,
4:15.0,,,9-16,,L. Thomas misses 2-pt shot from 19 ft
4:14.0,,,9-16,,Offensive rebound by Team
4:07.0,,,9-16,,Turnover by K. Perkins (3 sec)
3:48.0,A. Anderson makes 2-pt shot at rim,2,11-16,,
3:42.0,,,11-16,,Oklahoma City full timeout
3:42.0,,,11-16,,S. Telfair enters the game for R. Jackson
3:35.0,,,11-18,2,L. Thomas makes 2-pt shot from 16 ft (assist by S. Telfair)
3:15.0,M. Teletovic makes 2-pt shot at rim (assist by A. Anderson),2,13-18,,
3:02.0,Violation by D. Williams (kicked ball),,13-18,,
3:02.0,,,13-18,,N. Collison enters the game for S. Ibaka
2:49.0,,,13-18,,Shooting foul by D. Williams (drawn by S. Telfair)
2:49.0,,,13-19,1,S. Telfair makes free throw 1 of 2
2:49.0,J. Jack enters the game for D. Williams,,13-19,,
2:49.0,,,13-20,1,S. Telfair makes free throw 2 of 2
2:33.0,,,13-20,,Personal foul by S. Telfair (drawn by J. Jack)
2:25.0,B. Lopez misses 2-pt shot from 5 ft (block by K. Perkins),,13-20,,
2:23.0,Offensive rebound by B. Lopez,,13-20,,
2:21.0,Turnover by J. Jack (traveling),,13-20,,
2:09.0,,,13-22,2,A. Morrow makes 2-pt shot from 18 ft (assist by N. Collison)
1:49.0,M. Teletovic makes 2-pt shot from 2 ft (assist by J. Johnson),2,15-22,,
1:27.0,,,15-22,,Shooting foul by B. Lopez (drawn by L. Thomas)
1:27.0,,,15-22,,L. Thomas misses free throw 1 of 2
1:27.0,,,15-22,,Offensive rebound by Team
1:27.0,,,15-23,1,L. Thomas makes free throw 2 of 2
1:12.0,M. Teletovic makes 2-pt shot from 3 ft,2,17-23,,
0:51.0,,,17-23,,K. Perkins misses 2-pt shot from 5 ft (block by B. Lopez)
0:49.0,Defensive rebound by B. Lopez,,17-23,,
0:41.0,B. Lopez makes 2-pt shot from 2 ft (assist by J. Jack),2,19-23,,
0:32.0,,,19-25,2,L. Thomas makes 2-pt shot from 19 ft (assist by S. Telfair)
0:24.0,J. Jack makes 2-pt shot from 2 ft,2,21-25,,
0:01.0,,,21-27,2,K. Perkins makes 2-pt shot at rim (assist by S. Telfair)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,A. Anderson makes 2-pt shot from 3 ft,2,23-27,,
11:25.0,,,23-27,,Turnover by S. Telfair (traveling)
11:15.0,Shooting foul by K. Perkins (drawn by J. Jack),,23-27,,
