time,Houston,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. J. Dorsey (J. Terry gains possession),,,,Jump ball: B. Biyombo vs. J. Dorsey (J. Terry gains possession)
11:43.0,Shooting foul by J. Taylor (drawn by J. Harden),,0-0,,
11:43.0,J. Harden makes free throw 1 of 2,1,1-0,,
11:43.0,J. Harden makes free throw 2 of 2,1,2-0,,
11:22.0,,,2-0,,Shooting foul by J. Dorsey (drawn by J. Taylor)
11:22.0,,,2-0,,J. Taylor misses free throw 1 of 3
11:22.0,,,2-0,,Offensive rebound by Team
11:22.0,,,2-0,,J. Taylor misses free throw 2 of 3
11:22.0,,,2-0,,Offensive rebound by Team
11:22.0,,,2-0,,J. Taylor misses free throw 3 of 3
11:20.0,Defensive rebound by T. Jones,,2-0,,
11:06.0,J. Harden misses 3-pt shot from 23 ft,,2-0,,
11:05.0,,,2-0,,Defensive rebound by B. Biyombo
10:53.0,,,2-0,,G. Henderson misses 2-pt shot from 21 ft (block by T. Jones)
10:52.0,Defensive rebound by J. Harden,,2-0,,
10:47.0,J. Terry misses 3-pt shot from 25 ft,,2-0,,
10:45.0,,,2-0,,Defensive rebound by B. Biyombo
10:22.0,,,2-2,2,J. Taylor makes 2-pt shot from 11 ft (assist by G. Henderson)
10:05.0,Turnover by T. Ariza (bad pass; steal by J. Taylor),,2-2,,
10:00.0,,,2-4,2,J. Taylor makes 2-pt shot at rim (assist by K. Walker)
9:46.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Terry),3,5-4,,
9:27.0,Personal foul by J. Terry (drawn by K. Walker),,5-4,,
9:19.0,,,5-7,3,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker)
8:59.0,T. Jones makes 2-pt shot from 5 ft,2,7-7,,
8:47.0,,,7-7,,Turnover by M. Williams (bad pass)
8:37.0,J. Harden misses 2-pt shot from 4 ft (block by K. Walker),,7-7,,
8:34.0,,,7-7,,Defensive rebound by B. Biyombo
8:32.0,,,7-9,2,J. Taylor makes 2-pt shot at rim (assist by B. Biyombo)
8:24.0,T. Jones misses 3-pt shot from 25 ft,,7-9,,
8:22.0,,,7-9,,Defensive rebound by G. Henderson
8:18.0,,,7-11,2,M. Williams makes 2-pt shot at rim (assist by J. Taylor)
7:55.0,Turnover by T. Ariza (lost ball; steal by G. Henderson),,7-11,,
7:51.0,,,7-11,,K. Walker misses 2-pt shot from 2 ft
7:51.0,Defensive rebound by Team,,7-11,,
7:51.0,,,7-11,,Loose ball foul by J. Taylor (drawn by J. Terry)
7:49.0,,,7-11,,T. Daniels enters the game for J. Taylor
7:27.0,T. Ariza misses 2-pt shot from 15 ft,,7-11,,
7:26.0,,,7-11,,Defensive rebound by B. Biyombo
7:11.0,,,7-11,,G. Henderson misses 2-pt shot from 14 ft
7:11.0,,,7-11,,Offensive rebound by Team
7:11.0,Loose ball foul by J. Harden (drawn by B. Biyombo),,7-11,,
7:11.0,J. Smith enters the game for J. Dorsey,,7-11,,
7:04.0,,,7-13,2,M. Williams makes 2-pt shot from 18 ft (assist by G. Henderson)
6:49.0,,,7-13,,Violation by G. Henderson (kicked ball)
6:38.0,T. Jones misses 2-pt shot from 1 ft (block by B. Biyombo),,7-13,,
6:37.0,Offensive rebound by J. Smith,,7-13,,
6:37.0,J. Smith misses 2-pt shot from 1 ft (block by T. Daniels),,7-13,,
6:34.0,Jump ball: T. Daniels vs. J. Smith (J. Terry gains possession),,,,Jump ball: T. Daniels vs. J. Smith (J. Terry gains possession)
6:34.0,Offensive rebound by Team,,7-13,,
6:29.0,J. Terry misses 3-pt shot from 25 ft,,7-13,,
6:28.0,,,7-13,,Defensive rebound by B. Biyombo
6:12.0,,,7-13,,T. Daniels misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by T. Jones,,7-13,,
6:05.0,J. Terry makes 2-pt shot from 6 ft (assist by J. Harden),2,9-13,,
5:52.0,,,9-13,,K. Walker misses 2-pt shot from 20 ft
5:51.0,Defensive rebound by J. Smith,,9-13,,
5:33.0,,,9-13,,Charlotte full timeout
5:33.0,Jump ball: T. Daniels vs. T. Jones (J. Harden gains possession),,,,Jump ball: T. Daniels vs. T. Jones (J. Harden gains possession)
5:24.0,J. Harden misses 3-pt shot from 25 ft,,9-13,,
5:23.0,,,9-13,,Defensive rebound by M. Williams
5:07.0,,,9-13,,G. Henderson misses 2-pt shot from 11 ft
5:04.0,Defensive rebound by J. Harden,,9-13,,
5:00.0,J. Harden makes 2-pt shot from 1 ft (assist by J. Terry),2,11-13,,
5:00.0,Shooting foul by T. Daniels (drawn by J. Harden),,11-13,,
5:00.0,J. Harden makes free throw 1 of 1,1,12-13,,
4:43.0,,,12-15,2,K. Walker makes 2-pt shot from 18 ft (assist by T. Daniels)
4:30.0,,,12-15,,Violation by M. Williams (kicked ball)
4:22.0,P. Prigioni enters the game for J. Terry,,12-15,,
4:13.0,J. Harden makes 2-pt shot from 19 ft,2,14-15,,
3:55.0,,,14-15,,G. Henderson misses 3-pt shot from 23 ft
3:54.0,Defensive rebound by T. Jones,,14-15,,
3:44.0,P. Prigioni misses 3-pt shot from 24 ft,,14-15,,
3:43.0,,,14-15,,Defensive rebound by B. Biyombo
3:31.0,,,14-17,2,T. Daniels makes 2-pt shot from 20 ft (assist by K. Walker)
3:13.0,T. Ariza misses 3-pt shot from 23 ft,,14-17,,
3:12.0,,,14-17,,Defensive rebound by M. Williams
3:05.0,,,14-17,,G. Henderson misses 2-pt shot at rim
3:04.0,Defensive rebound by J. Smith,,14-17,,
2:58.0,P. Prigioni misses 3-pt shot from 25 ft,,14-17,,
2:55.0,Offensive rebound by J. Harden,,14-17,,
2:55.0,J. Harden makes 2-pt shot at rim,2,16-17,,
2:55.0,Shooting foul by M. Williams (drawn by J. Harden),,16-17,,
2:55.0,Houston full timeout,,16-17,,
2:55.0,C. Brewer enters the game for T. Ariza,,16-17,,
2:55.0,C. Capela enters the game for T. Jones,,16-17,,
2:55.0,,,16-17,,N. Vonleh enters the game for M. Williams
2:55.0,J. Harden makes free throw 1 of 1,1,17-17,,
2:39.0,,,17-17,,K. Walker misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by C. Brewer,,17-17,,
2:33.0,Turnover by J. Harden (bad pass; steal by B. Biyombo),,17-17,,
2:27.0,,,17-17,,T. Daniels misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by C. Capela,,17-17,,
2:16.0,J. Smith misses 2-pt shot from 15 ft,,17-17,,
2:15.0,,,17-17,,Defensive rebound by T. Daniels
2:00.0,,,17-19,2,B. Biyombo makes 2-pt shot from 6 ft (assist by G. Henderson)
1:55.0,C. Brewer misses 2-pt shot at rim (block by B. Biyombo),,17-19,,
1:55.0,Offensive rebound by Team,,17-19,,
1:55.0,,,17-19,,J. Maxiell enters the game for B. Biyombo
1:54.0,Shooting foul by J. Maxiell (drawn by C. Capela),,17-19,,
1:54.0,C. Capela makes free throw 1 of 2,1,18-19,,
1:54.0,C. Capela makes free throw 2 of 2,1,19-19,,
1:47.0,Personal foul by C. Brewer (drawn by T. Daniels),,19-19,,
1:42.0,,,19-19,,Turnover by G. Henderson (bad pass; steal by J. Smith)
1:36.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Smith),2,21-19,,
1:26.0,,,21-19,,Turnover by N. Vonleh (traveling)
1:07.0,J. Harden makes 2-pt shot from 10 ft,2,23-19,,
0:55.0,,,23-22,3,T. Daniels makes 3-pt shot from 25 ft
0:42.0,J. Harden misses 3-pt shot from 25 ft,,23-22,,
0:41.0,,,23-22,,Defensive rebound by K. Walker
0:35.0,,,23-22,,Turnover by K. Walker (bad pass; steal by J. Harden)
