time,Golden State,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Speights (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. M. Speights (B. Griffin gains possession)
11:45.0,,,0-2,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
11:27.0,D. Green makes 3-pt shot from 25 ft (assist by H. Barnes),3,3-2,,
11:14.0,,,3-2,,J. Redick misses 2-pt shot from 13 ft
11:13.0,Defensive rebound by H. Barnes,,3-2,,
11:04.0,Turnover by H. Barnes (lost ball; steal by M. Barnes),,3-2,,
10:58.0,,,3-2,,Turnover by M. Barnes (lost ball; steal by S. Curry)
10:52.0,S. Curry makes 2-pt shot from 16 ft,2,5-2,,
10:46.0,,,5-2,,M. Barnes misses 3-pt shot from 23 ft
10:45.0,Defensive rebound by S. Curry,,5-2,,
10:38.0,S. Curry makes 3-pt shot from 26 ft,3,8-2,,
10:23.0,,,8-2,,C. Paul misses 3-pt shot from 24 ft
10:22.0,,,8-2,,Offensive rebound by B. Griffin
10:18.0,,,8-2,,C. Paul misses 3-pt shot from 23 ft
10:16.0,Defensive rebound by D. Green,,8-2,,
10:10.0,S. Curry misses 3-pt shot from 25 ft,,8-2,,
10:09.0,,,8-2,,Defensive rebound by D. Jordan
9:57.0,,,8-2,,B. Griffin misses 2-pt shot from 19 ft
9:56.0,Defensive rebound by S. Curry,,8-2,,
9:49.0,K. Thompson makes 2-pt shot from 9 ft (assist by S. Curry),2,10-2,,
9:31.0,,,10-2,,C. Paul misses 2-pt shot from 21 ft
9:30.0,Defensive rebound by H. Barnes,,10-2,,
9:24.0,Turnover by S. Curry (bad pass),,10-2,,
8:59.0,,,10-2,,B. Griffin misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by K. Thompson,,10-2,,
8:47.0,M. Speights misses 2-pt shot from 17 ft,,10-2,,
8:46.0,,,10-2,,Defensive rebound by D. Jordan
8:37.0,,,10-2,,D. Jordan misses 2-pt shot at rim
8:36.0,,,10-2,,Offensive rebound by D. Jordan
8:36.0,,,10-2,,Shooting foul by H. Barnes (drawn by D. Jordan)
8:36.0,,,10-3,1,D. Jordan makes free throw 1 of 2
8:36.0,,,10-4,1,D. Jordan makes free throw 2 of 2
8:14.0,M. Speights makes 2-pt shot at rim (assist by S. Curry),2,12-4,,
8:01.0,,,12-4,,B. Griffin misses 2-pt shot from 3 ft (block by D. Green)
8:00.0,,,12-4,,Offensive rebound by Team
7:49.0,,,12-4,,M. Barnes misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by S. Curry,,12-4,,
7:36.0,H. Barnes misses 3-pt shot from 26 ft,,12-4,,
7:35.0,,,12-4,,Defensive rebound by J. Redick
7:28.0,,,12-4,,Turnover by J. Redick (lost ball; steal by H. Barnes)
7:22.0,K. Thompson misses 3-pt shot from 26 ft,,12-4,,
7:20.0,,,12-4,,Defensive rebound by M. Barnes
7:09.0,,,12-4,,Shooting foul by S. Curry (drawn by C. Paul)
7:09.0,,,12-5,1,C. Paul makes free throw 1 of 2
7:09.0,,,12-6,1,C. Paul makes free throw 2 of 2
6:50.0,M. Speights misses 2-pt shot from 13 ft,,12-6,,
6:49.0,,,12-6,,Defensive rebound by D. Jordan
6:34.0,,,12-6,,M. Barnes misses 2-pt shot from 9 ft
6:34.0,Defensive rebound by Team,,12-6,,
6:34.0,,,12-6,,Loose ball foul by D. Jordan (drawn by M. Speights)
6:13.0,H. Barnes misses 3-pt shot from 22 ft,,12-6,,
6:12.0,Offensive rebound by Team,,12-6,,
6:12.0,,,12-6,,Loose ball foul by M. Barnes (drawn by M. Speights)
6:08.0,H. Barnes makes 2-pt shot from 2 ft (assist by D. Green),2,14-6,,
5:53.0,,,14-6,,J. Redick misses 3-pt shot from 27 ft
5:52.0,,,14-6,,Offensive rebound by Team
5:52.0,Loose ball foul by M. Speights (drawn by D. Jordan),,14-6,,
5:52.0,,,14-6,,LA Clippers full timeout
5:52.0,A. Iguodala enters the game for H. Barnes,,14-6,,
5:47.0,,,14-6,,B. Griffin misses 2-pt shot from 1 ft (block by D. Green)
5:45.0,Defensive rebound by S. Curry,,14-6,,
5:27.0,Turnover by M. Speights (bad pass; steal by B. Griffin),,14-6,,
5:09.0,,,14-6,,Shooting foul by M. Speights (drawn by B. Griffin)
5:09.0,,,14-6,,B. Griffin misses free throw 1 of 2
5:09.0,,,14-6,,Offensive rebound by Team
5:09.0,D. Lee enters the game for M. Speights,,14-6,,
5:09.0,,,14-6,,B. Griffin misses free throw 2 of 2
5:08.0,,,14-6,,Offensive rebound by Team
5:07.0,,,14-6,,Turnover by D. Jordan (bad pass; steal by K. Thompson)
5:01.0,K. Thompson misses 3-pt shot from 26 ft,,14-6,,
4:59.0,,,14-6,,Defensive rebound by M. Barnes
4:41.0,,,14-6,,B. Griffin misses 2-pt shot from 5 ft
4:39.0,Defensive rebound by D. Lee,,14-6,,
4:30.0,,,14-6,,J. Crawford enters the game for M. Barnes
4:27.0,K. Thompson misses 3-pt shot from 22 ft,,14-6,,
4:26.0,,,14-6,,Defensive rebound by B. Griffin
4:19.0,,,14-6,,C. Paul misses 2-pt shot from 17 ft
4:18.0,Defensive rebound by D. Green,,14-6,,
4:08.0,D. Green misses 3-pt shot from 25 ft,,14-6,,
4:06.0,Offensive rebound by A. Iguodala,,14-6,,
4:00.0,D. Lee makes 2-pt shot at rim (assist by K. Thompson),2,16-6,,
3:40.0,,,16-6,,J. Crawford misses 2-pt shot from 18 ft
3:38.0,Defensive rebound by A. Iguodala,,16-6,,
3:28.0,Turnover by D. Lee (bad pass),,16-6,,
3:28.0,S. Livingston enters the game for K. Thompson,,16-6,,
3:18.0,,,16-8,2,J. Crawford makes 2-pt shot from 14 ft (assist by B. Griffin)
2:56.0,Golden State full timeout,,16-8,,
2:56.0,H. Barnes enters the game for D. Green,,16-8,,
2:54.0,H. Barnes misses 2-pt shot from 2 ft,,16-8,,
2:52.0,,,16-8,,Defensive rebound by D. Jordan
2:41.0,,,16-8,,Shooting foul by S. Livingston (drawn by J. Crawford)
2:41.0,,,16-9,1,J. Crawford makes free throw 1 of 2
2:41.0,,,16-9,,J. Farmar enters the game for J. Redick
2:41.0,,,16-10,1,J. Crawford makes free throw 2 of 2
2:20.0,S. Livingston makes 2-pt shot from 6 ft (assist by D. Lee),2,18-10,,
1:57.0,,,18-13,3,J. Crawford makes 3-pt shot from 26 ft
1:46.0,S. Livingston misses 2-pt shot from 7 ft,,18-13,,
1:45.0,,,18-13,,Defensive rebound by B. Griffin
1:33.0,,,18-13,,B. Griffin misses 2-pt shot from 18 ft
1:32.0,,,18-13,,Offensive rebound by C. Paul
1:32.0,Personal foul by S. Curry (drawn by C. Paul),,18-13,,
1:32.0,,,18-14,1,C. Paul makes free throw 1 of 2
1:32.0,,,18-14,,G. Davis enters the game for D. Jordan
1:32.0,J. Holiday enters the game for S. Curry,,18-14,,
1:32.0,Technical foul by Team,,18-14,,
1:32.0,,,18-14,,C. Paul misses technical free throw
1:32.0,,,18-14,,Offensive rebound by Team
1:32.0,,,18-15,1,C. Paul makes free throw 2 of 2
1:17.0,H. Barnes misses 2-pt shot from 18 ft,,18-15,,
1:16.0,,,18-15,,Defensive rebound by B. Griffin
0:56.0,,,18-15,,J. Farmar misses 3-pt shot from 23 ft
0:55.0,,,18-15,,Offensive rebound by J. Farmar
0:34.0,,,18-15,,G. Davis misses 2-pt shot from 17 ft
0:33.0,,,18-15,,Offensive rebound by B. Griffin
0:30.0,,,18-18,3,J. Crawford makes 3-pt shot from 28 ft (assist by B. Griffin)
0:09.0,H. Barnes makes 2-pt shot from 6 ft,2,20-18,,
0:09.0,Shooting foul by B. Griffin (drawn by H. Barnes),,20-18,,
0:09.0,,,20-18,,R. Bullock enters the game for G. Davis
0:09.0,H. Barnes misses free throw 1 of 1,,20-18,,
0:08.0,,,20-18,,Defensive rebound by B. Griffin
0:01.0,,,20-18,,J. Crawford misses 2-pt shot from 18 ft
0:00.0,,,20-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,A. Iguodala makes 2-pt shot at rim (assist by J. Holiday),2,22-18,,
11:20.0,,,22-18,,J. Crawford misses 3-pt shot from 26 ft
11:19.0,Defensive rebound by D. Lee,,22-18,,
11:12.0,,,22-18,,M. Barnes enters the game for B. Griffin
11:08.0,,,22-18,,Personal foul by G. Davis (drawn by D. Lee)
11:02.0,Turnover by J. Holiday (bad pass; steal by J. Farmar),,22-18,,
10:45.0,,,22-18,,J. Farmar misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by H. Barnes,,22-18,,
10:29.0,D. Lee makes 2-pt shot at rim (assist by S. Livingston),2,24-18,,
10:00.0,,,24-20,2,G. Davis makes 2-pt shot from 6 ft
9:48.0,S. Livingston misses 2-pt shot from 2 ft,,24-20,,
9:47.0,,,24-20,,Defensive rebound by M. Barnes
9:40.0,,,24-22,2,J. Crawford makes 2-pt shot from 10 ft
9:27.0,Offensive foul by D. Lee,,24-22,,
9:27.0,Turnover by D. Lee (offensive foul),,24-22,,
9:27.0,K. Thompson enters the game for J. Holiday,,24-22,,
9:15.0,,,24-22,,J. Crawford misses 3-pt shot from 24 ft
9:14.0,,,24-22,,Offensive rebound by M. Barnes
9:09.0,,,24-22,,J. Farmar misses 3-pt shot from 26 ft
9:08.0,Defensive rebound by A. Iguodala,,24-22,,
8:49.0,K. Thompson makes 2-pt shot from 6 ft (assist by S. Livingston),2,26-22,,
8:34.0,,,26-22,,Turnover by J. Crawford (bad pass; steal by D. Lee)
8:27.0,Official timeout,,26-22,,
8:27.0,D. Green enters the game for D. Lee,,26-22,,
8:12.0,A. Iguodala makes 2-pt shot from 15 ft,2,28-22,,
7:50.0,,,28-22,,J. Crawford misses 2-pt shot from 5 ft
7:48.0,Defensive rebound by H. Barnes,,28-22,,
7:42.0,Turnover by S. Livingston (lost ball; steal by R. Bullock),,28-22,,
7:25.0,Def 3 sec tech foul by D. Green,,28-22,,
7:25.0,,,28-22,,J. Crawford misses technical free throw
7:25.0,,,28-22,,Offensive rebound by Team
7:25.0,,,28-22,,C. Paul enters the game for J. Farmar
7:25.0,,,28-22,,D. Jordan enters the game for G. Davis
7:25.0,S. Curry enters the game for S. Livingston,,28-22,,
7:15.0,,,28-22,,R. Bullock misses 3-pt shot from 27 ft
7:14.0,Defensive rebound by A. Iguodala,,28-22,,
7:07.0,A. Iguodala misses 2-pt shot at rim,,28-22,,
7:05.0,,,28-22,,Defensive rebound by J. Crawford
6:59.0,,,28-22,,C. Paul misses 2-pt shot from 18 ft
6:56.0,,,28-22,,Offensive rebound by C. Paul
6:53.0,,,28-24,2,C. Paul makes 2-pt shot from 5 ft
6:34.0,Shooting foul by J. Crawford (drawn by H. Barnes),,28-24,,
6:34.0,H. Barnes misses free throw 1 of 2,,28-24,,
6:34.0,Offensive rebound by Team,,28-24,,
6:34.0,M. Speights enters the game for A. Iguodala,,28-24,,
6:34.0,,,28-24,,J. Redick enters the game for R. Bullock
6:34.0,,,28-24,,B. Griffin enters the game for J. Crawford
6:34.0,H. Barnes makes free throw 2 of 2,1,29-24,,
6:16.0,,,29-24,,B. Griffin misses 2-pt shot from 9 ft
6:14.0,Defensive rebound by H. Barnes,,29-24,,
6:04.0,K. Thompson makes 3-pt shot from 25 ft (assist by H. Barnes),3,32-24,,
5:38.0,,,32-24,,J. Redick misses 3-pt shot from 26 ft
5:36.0,Defensive rebound by H. Barnes,,32-24,,
5:26.0,K. Thompson makes 2-pt shot from 13 ft,2,34-24,,
5:09.0,Personal foul by K. Thompson (drawn by C. Paul),,34-24,,
5:09.0,,,34-24,,LA Clippers full timeout
5:02.0,,,34-24,,B. Griffin misses 2-pt shot from 4 ft
5:01.0,Defensive rebound by K. Thompson,,34-24,,
4:53.0,K. Thompson misses 3-pt shot from 27 ft,,34-24,,
4:52.0,,,34-24,,Defensive rebound by B. Griffin
4:45.0,,,34-24,,Turnover by M. Barnes (bad pass; steal by M. Speights)
4:37.0,S. Curry misses 3-pt shot from 25 ft,,34-24,,
4:35.0,,,34-24,,Defensive rebound by C. Paul
4:32.0,,,34-26,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
4:09.0,D. Green misses 3-pt shot from 26 ft,,34-26,,
4:08.0,,,34-26,,Defensive rebound by D. Jordan
4:01.0,,,34-28,2,B. Griffin makes 2-pt shot at rim
3:55.0,Golden State full timeout,,34-28,,
3:55.0,,,34-28,,J. Crawford enters the game for M. Barnes
3:49.0,,,34-28,,Personal foul by C. Paul (drawn by K. Thompson)
3:39.0,D. Green makes 2-pt shot from 22 ft (assist by H. Barnes),2,36-28,,
3:22.0,,,36-28,,J. Redick misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by H. Barnes,,36-28,,
3:14.0,Shooting foul by B. Griffin (drawn by M. Speights),,36-28,,
3:14.0,M. Speights makes free throw 1 of 2,1,37-28,,
3:14.0,M. Speights misses free throw 2 of 2,,37-28,,
