time,Washington,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Hibbert (L. Scola gains possession),,,,Jump ball: M. Gortat vs. R. Hibbert (L. Scola gains possession)
11:50.0,,,0-0,,Offensive foul by L. Scola
11:50.0,,,0-0,,Turnover by L. Scola (offensive foul)
11:36.0,Shooting foul by C. Copeland (drawn by P. Pierce),,0-0,,
11:36.0,P. Pierce misses free throw 1 of 2,,0-0,,
11:36.0,Offensive rebound by Team,,0-0,,
11:36.0,P. Pierce makes free throw 2 of 2,1,1-0,,
11:15.0,,,1-2,2,R. Hibbert makes 2-pt shot from 7 ft
11:04.0,N. Hilario makes 2-pt shot from 7 ft,2,3-2,,
10:43.0,Personal foul by J. Wall (drawn by C. Copeland),,3-2,,
10:40.0,,,3-2,,Offensive foul by R. Hibbert
10:40.0,,,3-2,,Turnover by R. Hibbert (offensive foul)
10:27.0,N. Hilario misses 2-pt shot from 7 ft,,3-2,,
10:26.0,,,3-2,,Defensive rebound by R. Hibbert
10:12.0,,,3-2,,Turnover by S. Hill (bad pass; steal by M. Gortat)
10:06.0,J. Wall misses 2-pt shot from 11 ft,,3-2,,
10:05.0,,,3-2,,Defensive rebound by L. Scola
9:47.0,,,3-4,2,L. Scola makes 2-pt shot from 2 ft
9:37.0,,,3-4,,Personal foul by S. Hill (drawn by G. Temple)
9:27.0,N. Hilario makes 2-pt shot from 2 ft (assist by P. Pierce),2,5-4,,
9:17.0,Personal foul by M. Gortat (drawn by R. Hibbert),,5-4,,
9:11.0,,,5-4,,Turnover by L. Scola (bad pass; steal by J. Wall)
8:56.0,N. Hilario makes 2-pt shot from 11 ft,2,7-4,,
8:34.0,,,7-4,,L. Scola misses 2-pt shot from 20 ft
8:33.0,Defensive rebound by G. Temple,,7-4,,
8:26.0,P. Pierce misses 3-pt shot from 25 ft,,7-4,,
8:25.0,Offensive rebound by M. Gortat,,7-4,,
8:15.0,N. Hilario misses 2-pt shot from 16 ft,,7-4,,
8:14.0,,,7-4,,Defensive rebound by L. Scola
8:13.0,,,7-4,,Turnover by L. Scola (lost ball; steal by J. Wall)
8:08.0,G. Temple misses 3-pt shot from 26 ft,,7-4,,
8:07.0,,,7-4,,Defensive rebound by D. Sloan
8:01.0,,,7-4,,S. Hill misses 2-pt shot from 1 ft
8:01.0,Defensive rebound by Team,,7-4,,
7:44.0,P. Pierce makes 2-pt shot at rim,2,9-4,,
7:23.0,,,9-4,,L. Scola misses 2-pt shot from 20 ft
7:22.0,Defensive rebound by G. Temple,,9-4,,
7:13.0,G. Temple misses 3-pt shot from 22 ft,,9-4,,
7:12.0,Offensive rebound by M. Gortat,,9-4,,
7:03.0,J. Wall misses 2-pt shot from 10 ft,,9-4,,
7:02.0,Offensive rebound by G. Temple,,9-4,,
7:01.0,G. Temple misses 2-pt shot from 2 ft,,9-4,,
7:00.0,,,9-4,,Defensive rebound by L. Scola
6:48.0,,,9-4,,D. Sloan misses 2-pt shot from 16 ft
6:47.0,Defensive rebound by M. Gortat,,9-4,,
6:38.0,N. Hilario makes 2-pt shot from 17 ft (assist by J. Wall),2,11-4,,
6:30.0,,,11-4,,Indiana full timeout
6:22.0,Personal foul by G. Temple (drawn by S. Hill),,11-4,,
6:10.0,,,11-6,2,S. Hill makes 2-pt shot from 19 ft
5:49.0,N. Hilario misses 2-pt shot from 4 ft (block by R. Hibbert),,11-6,,
5:47.0,,,11-6,,Defensive rebound by C. Copeland
5:41.0,,,11-6,,S. Hill misses 2-pt shot from 16 ft
5:40.0,Defensive rebound by N. Hilario,,11-6,,
5:35.0,Shooting foul by D. Sloan (drawn by J. Wall),,11-6,,
5:35.0,J. Wall misses free throw 1 of 2,,11-6,,
5:35.0,Offensive rebound by Team,,11-6,,
5:35.0,J. Wall makes free throw 2 of 2,1,12-6,,
5:20.0,,,12-6,,Turnover by L. Scola (bad pass; steal by J. Wall)
5:17.0,J. Wall makes 2-pt shot from 2 ft,2,14-6,,
5:02.0,,,14-6,,D. Sloan misses 2-pt shot from 2 ft
5:00.0,Defensive rebound by M. Gortat,,14-6,,
4:54.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall),2,16-6,,
4:39.0,,,16-6,,Turnover by C. Copeland (bad pass; steal by M. Gortat)
4:30.0,N. Hilario misses 2-pt shot from 19 ft,,16-6,,
4:29.0,,,16-6,,Defensive rebound by D. Sloan
4:24.0,,,16-6,,D. Sloan misses 2-pt shot from 2 ft
4:23.0,,,16-6,,Offensive rebound by R. Hibbert
4:23.0,,,16-6,,R. Hibbert misses 2-pt shot from 2 ft
4:23.0,,,16-6,,Offensive rebound by R. Hibbert
4:23.0,Loose ball foul by M. Gortat (drawn by R. Hibbert),,16-6,,
4:23.0,Technical foul by M. Gortat (drawn by R. Hibbert),,16-6,,
4:23.0,,,16-6,,C. Copeland misses technical free throw
4:23.0,,,16-6,,Offensive rebound by Team
4:23.0,,,16-6,,L. Allen enters the game for L. Scola
4:23.0,O. Porter enters the game for M. Gortat,,16-6,,
4:23.0,K. Humphries enters the game for P. Pierce,,16-6,,
4:15.0,,,16-6,,Shooting foul by N. Hilario (drawn by R. Hibbert)
4:15.0,,,16-7,1,R. Hibbert makes free throw 1 of 2
4:15.0,,,16-7,,D. Rudez enters the game for C. Copeland
4:15.0,,,16-8,1,R. Hibbert makes free throw 2 of 2
3:59.0,N. Hilario makes 2-pt shot from 17 ft (assist by K. Humphries),2,18-8,,
3:40.0,,,18-10,2,S. Hill makes 2-pt shot from 15 ft (assist by L. Allen)
3:32.0,N. Hilario makes 2-pt shot from 3 ft (assist by K. Humphries),2,20-10,,
3:32.0,Shooting foul by D. Rudez (drawn by N. Hilario),,20-10,,
3:32.0,N. Hilario makes free throw 1 of 1,1,21-10,,
3:18.0,,,21-10,,Turnover by D. Rudez (lost ball)
3:18.0,K. Seraphin enters the game for N. Hilario,,21-10,,
3:06.0,J. Wall makes 2-pt shot from 4 ft,2,23-10,,
2:46.0,,,23-10,,S. Hill misses 2-pt shot from 1 ft
2:45.0,Defensive rebound by K. Humphries,,23-10,,
2:29.0,J. Wall makes 2-pt shot from 18 ft,2,25-10,,
2:10.0,,,25-10,,R. Hibbert misses 2-pt shot from 2 ft (block by G. Temple)
2:10.0,,,25-10,,Offensive rebound by Team
2:10.0,Washington full timeout,,25-10,,
2:08.0,,,25-10,,Turnover by D. Sloan (lost ball)
1:56.0,K. Humphries makes 2-pt shot at rim (assist by J. Wall),2,27-10,,
1:37.0,,,27-10,,R. Hibbert misses 2-pt shot from 15 ft
1:37.0,,,27-10,,Offensive rebound by L. Allen
1:37.0,,,27-12,2,L. Allen makes 2-pt shot from 1 ft
1:15.0,J. Wall makes 2-pt shot from 10 ft,2,29-12,,
0:57.0,,,29-12,,Turnover by D. Sloan (back court)
0:57.0,,,29-12,,I. Mahinmi enters the game for R. Hibbert
0:57.0,,,29-12,,A. Price enters the game for D. Sloan
0:57.0,A. Miller enters the game for J. Wall,,29-12,,
0:43.0,O. Porter makes 2-pt shot from 16 ft (assist by G. Temple),2,31-12,,
0:32.0,,,31-14,2,A. Price makes 2-pt shot from 17 ft
0:20.0,Shooting foul by L. Allen (drawn by K. Humphries),,31-14,,
0:20.0,K. Humphries misses free throw 1 of 2,,31-14,,
0:20.0,Offensive rebound by Team,,31-14,,
0:20.0,K. Humphries makes free throw 2 of 2,1,32-14,,
0:00.0,,,32-14,,A. Price misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by K. Seraphin,,32-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,K. Seraphin makes 2-pt shot from 4 ft,2,34-14,,
11:27.0,,,34-14,,L. Allen misses 2-pt shot from 16 ft
11:25.0,Defensive rebound by A. Miller,,34-14,,
11:11.0,A. Miller misses 2-pt shot from 7 ft,,34-14,,
11:10.0,,,34-14,,Defensive rebound by L. Allen
11:03.0,,,34-14,,D. Rudez misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by K. Humphries,,34-14,,
10:46.0,K. Seraphin misses 2-pt shot from 16 ft,,34-14,,
10:45.0,Offensive rebound by K. Humphries,,34-14,,
10:45.0,,,34-14,,Loose ball foul by L. Allen (drawn by K. Humphries)
10:34.0,O. Porter misses 2-pt shot from 20 ft,,34-14,,
10:33.0,,,34-14,,Defensive rebound by C. Copeland
10:21.0,,,34-14,,Turnover by A. Price (bad pass)
9:58.0,A. Miller misses 2-pt shot from 2 ft (block by L. Allen),,34-14,,
9:56.0,Offensive rebound by K. Humphries,,34-14,,
9:54.0,K. Humphries misses 2-pt shot from 1 ft,,34-14,,
9:52.0,Offensive rebound by K. Humphries,,34-14,,
9:52.0,K. Humphries misses 2-pt shot from 1 ft,,34-14,,
9:50.0,,,34-14,,Defensive rebound by I. Mahinmi
9:50.0,Personal foul by K. Seraphin (drawn by L. Allen),,34-14,,
9:41.0,,,34-14,,Turnover by C. Copeland (bad pass; steal by K. Humphries)
9:30.0,R. Butler makes 2-pt shot from 2 ft,2,36-14,,
9:19.0,,,36-14,,Indiana full timeout
9:12.0,,,36-14,,L. Allen misses 2-pt shot from 5 ft
9:11.0,Defensive rebound by K. Seraphin,,36-14,,
9:03.0,,,36-14,,Personal foul by I. Mahinmi (drawn by K. Humphries)
8:54.0,Turnover by O. Porter (bad pass; steal by I. Mahinmi),,36-14,,
8:42.0,,,36-14,,L. Allen misses 2-pt shot from 5 ft
8:41.0,Defensive rebound by K. Humphries,,36-14,,
8:24.0,O. Porter misses 2-pt shot from 6 ft,,36-14,,
8:23.0,,,36-14,,Defensive rebound by Team
8:06.0,,,36-16,2,C. Copeland makes 2-pt shot from 8 ft
7:52.0,,,36-16,,Personal foul by I. Mahinmi (drawn by K. Seraphin)
7:42.0,R. Butler misses 2-pt shot from 18 ft,,36-16,,
7:42.0,Offensive rebound by Team,,36-16,,
7:42.0,,,36-16,,Loose ball foul by I. Mahinmi (drawn by K. Seraphin)
7:42.0,,,36-16,,S. Hill enters the game for I. Mahinmi
7:26.0,K. Humphries makes 2-pt shot from 12 ft (assist by A. Miller),2,38-16,,
7:05.0,,,38-19,3,C. Copeland makes 3-pt shot from 26 ft
6:47.0,Shooting foul by L. Allen (drawn by K. Seraphin),,38-19,,
6:47.0,K. Seraphin makes free throw 1 of 2,1,39-19,,
6:47.0,,,39-19,,L. Scola enters the game for L. Allen
6:47.0,K. Seraphin misses free throw 2 of 2,,39-19,,
6:46.0,,,39-19,,Defensive rebound by C. Copeland
6:36.0,,,39-21,2,C. Copeland makes 2-pt shot from 2 ft
6:21.0,A. Miller misses 2-pt shot at rim (block by D. Rudez),,39-21,,
6:19.0,Offensive rebound by A. Miller,,39-21,,
6:16.0,R. Butler makes 3-pt shot from 26 ft (assist by A. Miller),3,42-21,,
6:05.0,,,42-23,2,A. Price makes 2-pt shot from 11 ft
6:05.0,,,42-23,,Shooting foul by K. Humphries (drawn by A. Price)
6:05.0,,,42-23,,A. Price misses free throw 1 of 1
6:05.0,Defensive rebound by K. Humphries,,42-23,,
5:51.0,Turnover by O. Porter (lost ball; steal by S. Hill),,42-23,,
5:45.0,,,42-26,3,D. Rudez makes 3-pt shot from 25 ft (assist by A. Price)
5:24.0,K. Seraphin makes 2-pt shot from 10 ft (assist by A. Miller),2,44-26,,
5:09.0,,,44-29,3,D. Rudez makes 3-pt shot from 25 ft (assist by A. Price)
4:51.0,K. Humphries makes 2-pt shot at rim (assist by A. Miller),2,46-29,,
4:35.0,,,46-29,,S. Hill misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by K. Humphries,,46-29,,
4:25.0,Washington full timeout,,46-29,,
4:25.0,P. Pierce enters the game for K. Humphries,,46-29,,
4:25.0,N. Hilario enters the game for O. Porter,,46-29,,
4:11.0,R. Butler misses 3-pt shot from 25 ft,,46-29,,
4:10.0,Offensive rebound by K. Seraphin,,46-29,,
4:09.0,K. Seraphin makes 2-pt shot from 1 ft,2,48-29,,
3:50.0,,,48-29,,C. Copeland misses 3-pt shot from 24 ft
3:49.0,Defensive rebound by N. Hilario,,48-29,,
3:34.0,R. Butler makes 2-pt shot from 20 ft (assist by N. Hilario),2,50-29,,
3:20.0,,,50-31,2,A. Price makes 2-pt shot from 14 ft
3:03.0,Turnover by N. Hilario (traveling),,50-31,,
2:46.0,,,50-31,,S. Hill misses 2-pt shot from 3 ft
2:45.0,Defensive rebound by R. Butler,,50-31,,
2:38.0,P. Pierce makes 2-pt shot from 18 ft,2,52-31,,
2:17.0,,,52-31,,C. Copeland misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by R. Butler,,52-31,,
2:14.0,Turnover by R. Butler (lost ball; steal by S. Hill),,52-31,,
2:14.0,,,52-31,,Shooting foul by R. Butler (drawn by S. Hill)
2:14.0,,,52-33,2,S. Hill makes 2-pt shot from 1 ft
2:14.0,Official timeout,,52-33,,
2:14.0,,,52-33,,D. Sloan enters the game for A. Price
2:14.0,J. Wall enters the game for A. Miller,,52-33,,
2:14.0,,,52-33,,S. Hill misses free throw 1 of 1
2:14.0,Defensive rebound by K. Seraphin,,52-33,,
1:57.0,,,52-33,,I. Mahinmi enters the game for D. Rudez
1:54.0,P. Pierce misses 2-pt shot from 5 ft,,52-33,,
1:53.0,,,52-33,,Defensive rebound by L. Scola
1:45.0,,,52-33,,I. Mahinmi misses 2-pt shot from 3 ft
1:44.0,Defensive rebound by P. Pierce,,52-33,,
1:34.0,Turnover by J. Wall (bad pass),,52-33,,
1:18.0,,,52-33,,L. Scola misses 2-pt shot from 18 ft
1:17.0,Defensive rebound by J. Wall,,52-33,,
1:10.0,N. Hilario misses 2-pt shot from 10 ft,,52-33,,
1:09.0,,,52-33,,Defensive rebound by D. Sloan
0:58.0,,,52-33,,Shooting foul by K. Seraphin (drawn by S. Hill)
0:58.0,,,52-34,1,S. Hill makes free throw 1 of 2
0:58.0,,,52-35,1,S. Hill makes free throw 2 of 2
0:43.0,R. Butler makes 2-pt shot at rim (assist by N. Hilario),2,54-35,,
0:34.0,,,54-35,,Shooting foul by K. Seraphin (drawn by S. Hill)
0:34.0,,,54-35,,S. Hill misses free throw 1 of 2
0:34.0,,,54-35,,Offensive rebound by Team
0:34.0,,,54-35,,S. Hill misses free throw 2 of 2
0:34.0,Defensive rebound by K. Seraphin,,54-35,,
0:11.0,N. Hilario misses 2-pt shot from 18 ft,,54-35,,
0:10.0,,,54-35,,Defensive rebound by I. Mahinmi
0:02.0,,,54-35,,C. Copeland misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by R. Butler,,54-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,N. Hilario makes 2-pt shot from 6 ft,2,56-35,,
11:28.0,,,56-35,,Shooting foul by M. Gortat (drawn by C. Copeland)
11:28.0,,,56-35,,C. Copeland misses free throw 1 of 2
11:28.0,,,56-35,,Offensive rebound by Team
11:28.0,,,56-36,1,C. Copeland makes free throw 2 of 2
11:20.0,Offensive foul by N. Hilario,,56-36,,
11:20.0,Turnover by N. Hilario (offensive foul),,56-36,,
11:02.0,,,56-38,2,S. Hill makes 2-pt shot from 13 ft
10:51.0,P. Pierce misses 3-pt shot from 27 ft,,56-38,,
10:50.0,,,56-38,,Defensive rebound by I. Mahinmi
10:38.0,,,56-40,2,C. Copeland makes 2-pt shot at rim
