time,Charlotte,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. A. Drummond (G. Monroe gains possession),,,,Jump ball: B. Biyombo vs. A. Drummond (G. Monroe gains possession)
11:42.0,,,0-2,2,A. Drummond makes 2-pt shot from 4 ft (assist by R. Jackson)
11:17.0,M. Williams misses 3-pt shot from 23 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by K. Caldwell-Pope
11:01.0,,,0-2,,G. Monroe misses 2-pt shot from 5 ft
10:59.0,Defensive rebound by B. Biyombo,,0-2,,
10:52.0,K. Walker makes 2-pt shot at rim,2,2-2,,
10:45.0,,,2-2,,Turnover by C. Butler (bad pass)
10:21.0,J. Taylor misses 2-pt shot from 5 ft,,2-2,,
10:20.0,,,2-2,,Defensive rebound by G. Monroe
10:01.0,,,2-4,2,G. Monroe makes 2-pt shot from 4 ft (assist by R. Jackson)
9:36.0,J. Taylor misses 2-pt shot from 15 ft,,2-4,,
9:33.0,,,2-4,,Defensive rebound by A. Drummond
9:23.0,,,2-6,2,K. Caldwell-Pope makes 2-pt shot from 13 ft (assist by R. Jackson)
9:06.0,Turnover by B. Biyombo (lost ball; steal by G. Monroe),,2-6,,
9:01.0,,,2-8,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
9:01.0,,,2-8,,Shooting foul by B. Biyombo (drawn by A. Drummond)
9:01.0,,,2-8,,A. Drummond misses free throw 1 of 1
9:01.0,Defensive rebound by M. Williams,,2-8,,
8:46.0,Charlotte full timeout,,2-8,,
8:37.0,G. Henderson misses 2-pt shot from 13 ft,,2-8,,
8:36.0,,,2-8,,Defensive rebound by C. Butler
8:18.0,,,2-8,,A. Drummond misses 2-pt shot from 11 ft
8:16.0,,,2-8,,Offensive rebound by A. Drummond
8:08.0,,,2-8,,R. Jackson misses 3-pt shot from 26 ft
8:06.0,,,2-8,,Offensive rebound by A. Drummond
8:04.0,,,2-10,2,A. Drummond makes 2-pt shot at rim
7:40.0,M. Williams misses 2-pt shot from 20 ft,,2-10,,
7:39.0,,,2-10,,Defensive rebound by C. Butler
7:30.0,,,2-12,2,G. Monroe makes 2-pt shot from 19 ft (assist by R. Jackson)
7:14.0,K. Walker misses 2-pt shot from 19 ft,,2-12,,
7:13.0,,,2-12,,Defensive rebound by G. Monroe
7:04.0,,,2-12,,Turnover by K. Caldwell-Pope (bad pass; steal by K. Walker)
6:50.0,K. Walker misses 2-pt shot from 7 ft,,2-12,,
6:49.0,,,2-12,,Defensive rebound by A. Drummond
6:43.0,,,2-12,,K. Caldwell-Pope misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by K. Walker,,2-12,,
6:26.0,G. Henderson misses 2-pt shot from 5 ft,,2-12,,
6:24.0,,,2-12,,Defensive rebound by A. Drummond
6:17.0,,,2-12,,R. Jackson misses 2-pt shot from 4 ft
6:16.0,,,2-12,,Offensive rebound by A. Drummond
6:15.0,,,2-12,,A. Drummond misses 2-pt shot at rim
6:14.0,,,2-12,,Offensive rebound by R. Jackson
6:02.0,,,2-12,,Shooting foul by M. Williams (drawn by G. Monroe)
6:02.0,,,2-12,,G. Monroe misses free throw 1 of 2
6:02.0,,,2-12,,Offensive rebound by Team
6:02.0,,,2-13,1,G. Monroe makes free throw 2 of 2
5:40.0,,,2-13,,Violation by A. Drummond (def goaltending)
5:40.0,M. Williams makes 2-pt shot from 1 ft (assist by G. Henderson),2,4-13,,
5:26.0,,,4-15,2,G. Monroe makes 2-pt shot from 19 ft (assist by K. Caldwell-Pope)
5:10.0,B. Biyombo makes 2-pt shot at rim (assist by K. Walker),2,6-15,,
4:53.0,Violation by B. Biyombo (def goaltending),,6-15,,
4:53.0,,,6-17,2,G. Monroe makes 2-pt shot at rim (assist by A. Drummond)
4:28.0,G. Henderson misses 2-pt shot from 9 ft,,6-17,,
4:26.0,,,6-17,,Defensive rebound by K. Caldwell-Pope
4:21.0,,,6-17,,K. Caldwell-Pope misses 2-pt shot at rim
4:18.0,Defensive rebound by J. Taylor,,6-17,,
4:07.0,K. Walker misses 2-pt shot from 18 ft,,6-17,,
4:06.0,,,6-17,,Defensive rebound by A. Drummond
3:54.0,,,6-17,,C. Butler misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by B. Biyombo,,6-17,,
3:42.0,,,6-17,,Personal foul by K. Caldwell-Pope (drawn by J. Taylor)
3:42.0,N. Vonleh enters the game for M. Williams,,6-17,,
3:42.0,P. Hairston enters the game for J. Taylor,,6-17,,
3:42.0,,,6-17,,Violation by Team (delay of game)
3:31.0,P. Hairston misses 3-pt shot from 27 ft,,6-17,,
3:30.0,,,6-17,,Defensive rebound by A. Drummond
3:18.0,,,6-17,,G. Monroe misses 2-pt shot from 1 ft
3:17.0,,,6-17,,Offensive rebound by A. Drummond
3:15.0,,,6-19,2,A. Drummond makes 2-pt shot at rim
3:04.0,Shooting foul by A. Drummond (drawn by G. Henderson),,6-19,,
3:04.0,G. Henderson makes free throw 1 of 2,1,7-19,,
3:04.0,,,7-19,,A. Tolliver enters the game for G. Monroe
3:04.0,G. Henderson makes free throw 2 of 2,1,8-19,,
2:41.0,,,8-22,3,A. Tolliver makes 3-pt shot from 22 ft (assist by R. Jackson)
2:15.0,P. Hairston misses 3-pt shot from 26 ft,,8-22,,
2:14.0,,,8-22,,Defensive rebound by Team
2:14.0,,,8-22,,Detroit full timeout
2:14.0,J. Maxiell enters the game for B. Biyombo,,8-22,,
2:14.0,T. Daniels enters the game for G. Henderson,,8-22,,
2:14.0,,,8-22,,J. Meeks enters the game for K. Caldwell-Pope
2:01.0,,,8-22,,R. Jackson misses 2-pt shot from 16 ft
2:00.0,Defensive rebound by T. Daniels,,8-22,,
1:49.0,T. Daniels misses 2-pt shot from 17 ft,,8-22,,
1:48.0,Offensive rebound by N. Vonleh,,8-22,,
1:48.0,,,8-22,,Personal foul by C. Butler (drawn by N. Vonleh)
1:48.0,,,8-22,,Q. Miller enters the game for C. Butler
1:41.0,,,8-22,,Personal foul by R. Jackson (drawn by K. Walker)
1:41.0,K. Walker misses free throw 1 of 2,,8-22,,
1:41.0,Offensive rebound by Team,,8-22,,
1:41.0,K. Walker misses free throw 2 of 2,,8-22,,
1:41.0,,,8-22,,Defensive rebound by R. Jackson
1:25.0,,,8-25,3,J. Meeks makes 3-pt shot from 27 ft (assist by R. Jackson)
1:11.0,K. Walker misses 2-pt shot from 8 ft,,8-25,,
1:10.0,,,8-25,,Defensive rebound by A. Drummond
1:04.0,,,8-25,,R. Jackson misses 2-pt shot from 3 ft (block by J. Maxiell)
1:04.0,,,8-25,,Offensive rebound by Team
0:58.0,,,8-27,2,J. Meeks makes 2-pt shot from 15 ft (assist by R. Jackson)
0:39.0,N. Vonleh makes 2-pt shot at rim (assist by T. Daniels),2,10-27,,
