time,Phoenix,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession)
11:45.0,,,0-2,2,J. Redick makes 2-pt shot from 17 ft (assist by B. Griffin)
11:25.0,M. Morris misses 2-pt shot from 13 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by D. Jordan
11:17.0,,,0-5,3,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin)
10:55.0,M. Morris misses 2-pt shot from 20 ft,,0-5,,
10:54.0,,,0-5,,Defensive rebound by M. Barnes
10:42.0,,,0-5,,Turnover by C. Paul (lost ball; steal by E. Bledsoe)
10:36.0,G. Dragic makes 2-pt shot at rim (assist by E. Bledsoe),2,2-5,,
10:18.0,,,2-5,,M. Barnes misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by M. Morris,,2-5,,
10:09.0,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,5-5,,
9:41.0,,,5-7,2,B. Griffin makes 2-pt shot from 9 ft
9:28.0,M. Morris misses 2-pt shot from 16 ft,,5-7,,
9:27.0,Offensive rebound by M. Morris,,5-7,,
9:23.0,M. Morris misses 2-pt shot from 12 ft,,5-7,,
9:22.0,Offensive rebound by M. Plumlee,,5-7,,
9:17.0,M. Plumlee makes 2-pt shot at rim,2,7-7,,
9:07.0,,,7-7,,J. Redick misses 2-pt shot from 21 ft
9:06.0,Defensive rebound by E. Bledsoe,,7-7,,
8:49.0,G. Dragic makes 2-pt shot from 6 ft (assist by M. Plumlee),2,9-7,,
8:31.0,,,9-9,2,C. Paul makes 2-pt shot from 19 ft
8:10.0,E. Bledsoe misses 3-pt shot from 23 ft,,9-9,,
8:09.0,Offensive rebound by M. Plumlee,,9-9,,
8:06.0,M. Plumlee misses 2-pt shot at rim,,9-9,,
8:04.0,,,9-9,,Defensive rebound by B. Griffin
8:00.0,,,9-9,,M. Barnes misses 3-pt shot from 23 ft
7:57.0,Defensive rebound by E. Bledsoe,,9-9,,
7:46.0,M. Morris makes 2-pt shot from 8 ft,2,11-9,,
7:41.0,,,11-9,,Turnover by D. Jordan (lost ball; steal by G. Dragic)
7:37.0,G. Dragic makes 2-pt shot from 1 ft,2,13-9,,
7:19.0,,,13-9,,J. Redick misses 3-pt shot from 23 ft
7:18.0,Defensive rebound by E. Bledsoe,,13-9,,
7:10.0,Offensive foul by E. Bledsoe,,13-9,,
7:10.0,Turnover by E. Bledsoe (offensive foul),,13-9,,
7:10.0,A. Len enters the game for M. Plumlee,,13-9,,
6:48.0,,,13-11,2,B. Griffin makes 2-pt shot from 11 ft (assist by M. Barnes)
6:40.0,,,13-11,,Personal foul by J. Redick
6:31.0,A. Len misses 2-pt shot at rim (block by D. Jordan),,13-11,,
6:31.0,,,13-11,,Defensive rebound by Team
6:31.0,Jump ball: D. Jordan vs. A. Len (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. A. Len (B. Griffin gains possession)
6:17.0,,,13-11,,Shooting foul by M. Morris (drawn by M. Barnes)
6:17.0,,,13-12,1,M. Barnes makes free throw 1 of 2
6:17.0,,,13-13,1,M. Barnes makes free throw 2 of 2
6:04.0,M. Morris misses 2-pt shot from 11 ft,,13-13,,
6:03.0,,,13-13,,Defensive rebound by D. Jordan
5:54.0,,,13-15,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
5:38.0,G. Dragic makes 2-pt shot from 12 ft (assist by M. Morris),2,15-15,,
5:27.0,,,15-15,,J. Redick misses 2-pt shot from 2 ft
5:26.0,Defensive rebound by A. Len,,15-15,,
5:18.0,G. Dragic misses 2-pt shot from 1 ft,,15-15,,
5:17.0,,,15-15,,Defensive rebound by B. Griffin
5:11.0,Personal foul by A. Len,,15-15,,
5:11.0,,,15-15,,LA Clippers full timeout
5:11.0,,,15-15,,J. Crawford enters the game for J. Redick
5:06.0,,,15-15,,C. Paul misses 2-pt shot from 14 ft
5:05.0,Defensive rebound by E. Bledsoe,,15-15,,
4:55.0,M. Morris misses 3-pt shot from 24 ft,,15-15,,
4:54.0,,,15-15,,Defensive rebound by D. Jordan
4:48.0,,,15-15,,B. Griffin misses 2-pt shot at rim
4:48.0,Defensive rebound by Team,,15-15,,
4:48.0,,,15-15,,Loose ball foul by B. Griffin
4:48.0,P. Tucker enters the game for M. Morris,,15-15,,
4:31.0,A. Len misses 2-pt shot from 12 ft,,15-15,,
4:30.0,,,15-15,,Defensive rebound by D. Jordan
4:21.0,,,15-15,,Shooting foul by A. Len (drawn by B. Griffin)
4:21.0,,,15-16,1,B. Griffin makes free throw 1 of 2
4:21.0,,,15-16,,S. Hawes enters the game for D. Jordan
4:21.0,,,15-16,,B. Griffin misses free throw 2 of 2
4:19.0,Defensive rebound by M. Morris,,15-16,,
3:55.0,M. Morris misses 3-pt shot from 26 ft,,15-16,,
3:53.0,,,15-16,,Defensive rebound by S. Hawes
3:44.0,Def 3 sec tech foul by A. Len,,15-16,,
3:44.0,,,15-17,1,C. Paul makes technical free throw
3:44.0,A. Tolliver enters the game for A. Len,,15-17,,
3:37.0,,,15-19,2,M. Barnes makes 2-pt shot at rim (assist by B. Griffin)
3:27.0,,,15-19,,Def 3 sec tech foul by B. Griffin
3:27.0,E. Bledsoe makes technical free throw,1,16-19,,
3:17.0,Turnover by P. Tucker (lost ball; steal by C. Paul),,16-19,,
3:02.0,,,16-19,,Turnover by S. Hawes (traveling)
2:50.0,Turnover by G. Dragic (traveling),,16-19,,
2:50.0,Phoenix full timeout,,16-19,,
2:28.0,,,16-22,3,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul)
2:12.0,G. Dragic misses 3-pt shot from 25 ft,,16-22,,
2:10.0,,,16-22,,Defensive rebound by S. Hawes
2:06.0,Personal foul by G. Dragic,,16-22,,
2:06.0,,,16-22,,J. Farmar enters the game for C. Paul
2:06.0,,,16-22,,D. Jordan enters the game for B. Griffin
2:06.0,I. Thomas enters the game for E. Bledsoe,,16-22,,
2:06.0,,,16-22,,Technical foul by M. Barnes
2:06.0,G. Dragic misses technical free throw,,16-22,,
2:06.0,,,16-22,,Offensive rebound by Team
2:06.0,M. Plumlee enters the game for A. Tolliver,,16-22,,
1:58.0,,,16-22,,J. Crawford misses 2-pt shot from 14 ft
1:55.0,Defensive rebound by M. Plumlee,,16-22,,
1:49.0,I. Thomas misses 3-pt shot from 24 ft,,16-22,,
1:47.0,Offensive rebound by I. Thomas,,16-22,,
1:44.0,Turnover by I. Thomas (lost ball; steal by J. Crawford),,16-22,,
1:26.0,,,16-25,3,J. Farmar makes 3-pt shot from 23 ft
1:11.0,Shooting foul by J. Farmar (drawn by G. Dragic),,16-25,,
1:11.0,G. Dragic makes free throw 1 of 2,1,17-25,,
1:11.0,,,17-25,,R. Bullock enters the game for M. Barnes
1:11.0,G. Dragic makes free throw 2 of 2,1,18-25,,
0:52.0,,,18-25,,S. Hawes misses 2-pt shot from 3 ft (block by M. Morris)
0:49.0,Defensive rebound by P. Tucker,,18-25,,
