time,San Antonio,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. T. Duncan (T. Parker gains possession),,,,Jump ball: A. Davis vs. T. Duncan (T. Parker gains possession)
11:41.0,Turnover by T. Duncan (traveling),,0-0,,
11:26.0,,,0-0,,A. Davis misses 2-pt shot from 16 ft
11:25.0,Defensive rebound by T. Duncan,,0-0,,
11:10.0,T. Duncan makes 2-pt shot from 8 ft (assist by T. Parker),2,2-0,,
10:57.0,Personal foul by D. Green (drawn by O. Asik),,2-0,,
10:55.0,,,2-0,,Offensive foul by E. Gordon
10:55.0,,,2-0,,Turnover by E. Gordon (offensive foul)
10:38.0,A. Baynes makes 2-pt shot from 16 ft (assist by D. Green),2,4-0,,
10:21.0,,,4-0,,A. Davis misses 2-pt shot from 2 ft
10:20.0,,,4-0,,Offensive rebound by Team
10:14.0,,,4-2,2,O. Asik makes 2-pt shot at rim (assist by T. Evans)
9:59.0,A. Baynes makes 2-pt shot from 1 ft (assist by T. Parker),2,6-2,,
9:47.0,,,6-4,2,E. Gordon makes 2-pt shot from 17 ft (assist by T. Evans)
9:23.0,A. Baynes misses 2-pt shot from 2 ft (block by A. Davis),,6-4,,
9:22.0,,,6-4,,Defensive rebound by A. Davis
9:14.0,,,6-4,,A. Davis misses 2-pt shot from 17 ft
9:13.0,,,6-4,,Offensive rebound by O. Asik
9:13.0,,,6-6,2,O. Asik makes 2-pt shot from 1 ft
9:04.0,,,6-6,,Personal foul by O. Asik (drawn by T. Duncan)
8:47.0,T. Parker makes 2-pt shot from 12 ft (assist by T. Duncan),2,8-6,,
8:31.0,,,8-8,2,A. Davis makes 2-pt shot from 14 ft (assist by T. Evans)
8:14.0,T. Parker misses 2-pt shot from 21 ft,,8-8,,
8:13.0,,,8-8,,Defensive rebound by Q. Pondexter
8:01.0,,,8-8,,E. Gordon misses 2-pt shot from 9 ft
8:00.0,,,8-8,,Offensive rebound by E. Gordon
7:48.0,,,8-10,2,T. Evans makes 2-pt shot from 4 ft
7:31.0,Turnover by D. Green (bad pass; steal by T. Evans),,8-10,,
7:27.0,,,8-10,,Turnover by A. Davis (lost ball)
7:02.0,T. Duncan misses 2-pt shot from 19 ft,,8-10,,
7:01.0,,,8-10,,Defensive rebound by E. Gordon
6:57.0,Personal foul by D. Green (drawn by E. Gordon),,8-10,,
6:57.0,M. Ginobili enters the game for D. Green,,8-10,,
6:47.0,,,8-12,2,E. Gordon makes 2-pt shot from 12 ft
6:33.0,T. Parker makes 2-pt shot from 17 ft,2,10-12,,
6:13.0,,,10-12,,Turnover by A. Davis (bad pass)
6:13.0,B. Diaw enters the game for A. Baynes,,10-12,,
6:02.0,Shooting foul by Q. Pondexter (drawn by K. Leonard),,10-12,,
6:02.0,K. Leonard makes free throw 1 of 2,1,11-12,,
