time,Dallas,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Stoudemire (J. Calderon gains possession),,,,Jump ball: T. Chandler vs. A. Stoudemire (J. Calderon gains possession)
11:34.0,,,0-0,,Turnover by Team (shot clock)
11:18.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,2-0,,
10:53.0,,,2-2,2,T. Hardaway makes 2-pt shot from 1 ft
10:43.0,C. Parsons makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,5-2,,
10:30.0,,,5-5,3,C. Anthony makes 3-pt shot from 23 ft (assist by T. Hardaway)
10:17.0,M. Ellis makes 2-pt shot from 19 ft,2,7-5,,
9:58.0,,,7-5,,C. Anthony misses 2-pt shot from 17 ft
9:57.0,Defensive rebound by T. Chandler,,7-5,,
9:48.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by M. Ellis),2,9-5,,
9:35.0,,,9-5,,J. Calderon misses 2-pt shot from 18 ft
9:34.0,Defensive rebound by T. Chandler,,9-5,,
9:19.0,J. Nelson makes 3-pt shot from 25 ft (assist by C. Parsons),3,12-5,,
9:06.0,,,12-5,,Turnover by C. Anthony (bad pass)
8:55.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by C. Parsons),2,14-5,,
8:36.0,,,14-5,,C. Anthony misses 2-pt shot from 1 ft (block by T. Chandler)
8:35.0,Defensive rebound by C. Parsons,,14-5,,
8:28.0,J. Nelson misses 3-pt shot from 25 ft,,14-5,,
8:27.0,,,14-5,,Defensive rebound by Q. Acy
8:17.0,,,14-7,2,A. Stoudemire makes 2-pt shot from 2 ft (assist by C. Anthony)
8:07.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,16-7,,
7:56.0,,,16-7,,T. Hardaway misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by T. Chandler,,16-7,,
7:48.0,C. Parsons makes 3-pt shot from 27 ft (assist by J. Nelson),3,19-7,,
7:47.0,,,19-7,,New York full timeout
7:32.0,Violation by C. Parsons (kicked ball),,19-7,,
7:20.0,,,19-9,2,Q. Acy makes 2-pt shot at rim (assist by J. Calderon)
6:58.0,C. Parsons makes 2-pt shot from 1 ft,2,21-9,,
6:52.0,,,21-9,,Turnover by J. Calderon (lost ball; steal by J. Nelson)
6:46.0,T. Chandler makes 2-pt shot at rim (assist by C. Parsons),2,23-9,,
6:19.0,,,23-11,2,Q. Acy makes 2-pt shot from 11 ft (assist by C. Anthony)
6:01.0,D. Nowitzki misses 2-pt shot from 12 ft,,23-11,,
5:59.0,,,23-11,,Defensive rebound by C. Anthony
5:50.0,,,23-11,,T. Hardaway misses 3-pt shot from 23 ft (block by C. Parsons)
5:49.0,Defensive rebound by T. Chandler,,23-11,,
5:38.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by C. Parsons),2,25-11,,
5:24.0,,,25-11,,Turnover by A. Stoudemire (lost ball; steal by M. Ellis)
5:20.0,Shooting foul by J. Calderon (drawn by D. Nowitzki),,25-11,,
5:20.0,D. Nowitzki makes free throw 1 of 2,1,26-11,,
5:20.0,,,26-11,,J. Smith enters the game for Q. Acy
5:20.0,,,26-11,,P. Prigioni enters the game for C. Anthony
5:20.0,,,26-11,,S. Dalembert enters the game for A. Stoudemire
5:20.0,,,26-11,,S. Larkin enters the game for J. Calderon
5:20.0,,,26-11,,T. Wear enters the game for T. Hardaway
5:20.0,D. Harris enters the game for C. Parsons,,26-11,,
5:20.0,R. Jefferson enters the game for J. Nelson,,26-11,,
5:20.0,D. Nowitzki makes free throw 2 of 2,1,27-11,,
5:03.0,,,27-11,,J. Smith misses 2-pt shot from 19 ft
5:02.0,Defensive rebound by D. Harris,,27-11,,
4:51.0,D. Nowitzki makes 2-pt shot from 9 ft,2,29-11,,
4:45.0,,,29-13,2,S. Larkin makes 2-pt shot from 1 ft (assist by P. Prigioni)
4:44.0,Dallas full timeout,,29-13,,
4:44.0,C. Parsons enters the game for D. Nowitzki,,29-13,,
4:44.0,B. Wright enters the game for T. Chandler,,29-13,,
4:30.0,C. Parsons misses 2-pt shot from 21 ft,,29-13,,
4:29.0,,,29-13,,Defensive rebound by S. Larkin
4:13.0,Personal block foul by R. Jefferson (drawn by S. Larkin),,29-13,,
4:00.0,,,29-15,2,T. Wear makes 2-pt shot from 16 ft
3:47.0,,,29-15,,Personal foul by S. Larkin (drawn by C. Parsons)
3:38.0,D. Harris makes 3-pt shot from 23 ft (assist by C. Parsons),3,32-15,,
3:14.0,,,32-15,,J. Smith misses 2-pt shot from 20 ft
3:13.0,,,32-15,,Offensive rebound by Team
3:13.0,,,32-15,,Turnover by Team (shot clock)
3:04.0,Shooting foul by J. Smith (drawn by M. Ellis),,32-15,,
3:04.0,M. Ellis makes free throw 1 of 2,1,33-15,,
3:04.0,,,33-15,,C. Anthony enters the game for T. Wear
3:04.0,,,33-15,,A. Stoudemire enters the game for S. Dalembert
3:04.0,M. Ellis makes free throw 2 of 2,1,34-15,,
2:46.0,,,34-15,,P. Prigioni misses 3-pt shot from 22 ft
2:45.0,,,34-15,,Offensive rebound by C. Anthony
2:41.0,,,34-17,2,C. Anthony makes 2-pt shot from 1 ft
2:29.0,D. Harris misses 3-pt shot from 23 ft,,34-17,,
2:28.0,,,34-17,,Defensive rebound by A. Stoudemire
2:25.0,,,34-17,,Turnover by C. Anthony (palming)
2:13.0,Turnover by M. Ellis (lost ball),,34-17,,
1:59.0,,,34-17,,Turnover by C. Anthony (bad pass)
1:47.0,Turnover by R. Jefferson (lost ball; steal by P. Prigioni),,34-17,,
1:39.0,,,34-17,,Turnover by A. Stoudemire (lost ball; steal by M. Ellis)
1:34.0,Turnover by R. Jefferson (lost ball; steal by C. Anthony),,34-17,,
1:28.0,,,34-20,3,C. Anthony makes 3-pt shot from 25 ft (assist by P. Prigioni)
1:05.0,D. Harris makes 2-pt shot from 2 ft,2,36-20,,
0:55.0,,,36-22,2,J. Smith makes 2-pt shot from 20 ft (assist by C. Anthony)
0:34.0,R. Jefferson misses 3-pt shot from 25 ft,,36-22,,
0:33.0,,,36-22,,Defensive rebound by A. Stoudemire
0:25.0,,,36-22,,C. Anthony misses 2-pt shot from 7 ft
0:24.0,,,36-22,,Offensive rebound by A. Stoudemire
0:24.0,,,36-22,,A. Stoudemire misses 2-pt shot from 2 ft
0:23.0,,,36-22,,Offensive rebound by Team
0:23.0,A. Aminu enters the game for C. Parsons,,36-22,,
0:23.0,,,36-22,,T. Hardaway enters the game for J. Smith
0:23.0,J. Crowder enters the game for M. Ellis,,36-22,,
0:03.0,,,36-24,2,T. Hardaway makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,36-24,,Personal foul by C. Anthony (drawn by D. Harris)
11:50.0,T. Chandler enters the game for B. Wright,,36-24,,
11:48.0,Turnover by A. Aminu (lost ball; steal by S. Larkin),,36-24,,
11:42.0,,,36-26,2,S. Larkin makes 2-pt shot at rim
11:35.0,,,36-26,,Personal foul by S. Larkin (drawn by J. Barea)
11:20.0,D. Nowitzki misses 2-pt shot from 17 ft,,36-26,,
11:19.0,Offensive rebound by A. Aminu,,36-26,,
11:19.0,A. Aminu misses 2-pt shot from 2 ft,,36-26,,
11:18.0,Offensive rebound by A. Aminu,,36-26,,
11:16.0,Turnover by A. Aminu (lost ball; steal by P. Prigioni),,36-26,,
11:08.0,,,36-26,,Shooting foul by A. Aminu (drawn by T. Hardaway)
11:08.0,,,36-27,1,T. Hardaway makes free throw 1 of 2
11:08.0,,,36-28,1,T. Hardaway makes free throw 2 of 2
10:54.0,Turnover by D. Harris (lost ball; steal by P. Prigioni),,36-28,,
10:49.0,,,36-30,2,T. Hardaway makes 2-pt shot at rim (assist by P. Prigioni)
10:37.0,A. Aminu misses 3-pt shot from 22 ft,,36-30,,
10:36.0,,,36-30,,Defensive rebound by A. Stoudemire
10:20.0,,,36-32,2,C. Anthony makes 2-pt shot from 1 ft
10:19.0,Dallas full timeout,,36-32,,
10:02.0,Turnover by D. Nowitzki (lost ball),,36-32,,
9:46.0,,,36-32,,T. Hardaway misses 3-pt shot from 23 ft
9:45.0,,,36-32,,Offensive rebound by S. Larkin
9:45.0,,,36-32,,S. Larkin misses 2-pt shot from 2 ft
9:44.0,Defensive rebound by T. Chandler,,36-32,,
9:32.0,J. Barea makes 2-pt shot from 4 ft,2,38-32,,
9:18.0,,,38-32,,Shooting foul by T. Chandler (drawn by A. Stoudemire)
9:18.0,,,38-33,1,A. Stoudemire makes free throw 1 of 2
9:18.0,J. Nelson enters the game for J. Barea,,38-33,,
9:18.0,B. Wright enters the game for T. Chandler,,38-33,,
9:18.0,,,38-34,1,A. Stoudemire makes free throw 2 of 2
9:10.0,,,38-34,,Personal foul by A. Stoudemire (drawn by D. Harris)
9:01.0,J. Nelson misses 3-pt shot from 24 ft,,38-34,,
9:00.0,,,38-34,,Defensive rebound by Team
8:52.0,,,38-34,,T. Hardaway misses 2-pt shot from 1 ft
8:51.0,Defensive rebound by D. Nowitzki,,38-34,,
8:34.0,B. Wright makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,40-34,,
8:23.0,,,40-34,,Turnover by C. Anthony (lost ball; steal by A. Aminu)
8:14.0,A. Aminu makes 2-pt shot at rim,2,42-34,,
8:10.0,,,42-34,,New York full timeout
8:10.0,T. Chandler enters the game for D. Nowitzki,,42-34,,
8:10.0,C. Parsons enters the game for D. Harris,,42-34,,
