time,Indiana,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. B. Lopez (T. Young gains possession),,,,Jump ball: R. Hibbert vs. B. Lopez (T. Young gains possession)
11:43.0,,,0-0,,B. Lopez misses 2-pt shot from 5 ft (block by R. Hibbert)
11:41.0,Defensive rebound by G. Hill,,0-0,,
11:28.0,Turnover by D. West (bad pass; steal by M. Brown),,0-0,,
11:22.0,,,0-0,,T. Young misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by G. Hill,,0-0,,
11:06.0,R. Hibbert misses 2-pt shot from 7 ft,,0-0,,
11:05.0,Offensive rebound by D. West,,0-0,,
11:04.0,D. West makes 2-pt shot from 1 ft,2,2-0,,
10:45.0,,,2-0,,M. Brown misses 2-pt shot from 17 ft
10:44.0,Defensive rebound by Team,,2-0,,
10:44.0,,,2-0,,Loose ball foul by B. Lopez (drawn by R. Hibbert)
10:26.0,,,2-0,,Def 3 sec tech foul by B. Lopez
10:26.0,G. Hill makes technical free throw,1,3-0,,
10:12.0,R. Hibbert makes 2-pt shot from 9 ft,2,5-0,,
9:52.0,,,5-0,,J. Johnson misses 3-pt shot from 22 ft
9:51.0,Defensive rebound by D. West,,5-0,,
9:39.0,R. Hibbert makes 2-pt shot from 2 ft (assist by G. Hill),2,7-0,,
9:39.0,,,7-0,,Brooklyn full timeout
9:39.0,R. Stuckey enters the game for C. Miles,,7-0,,
9:22.0,,,7-3,3,D. Williams makes 3-pt shot from 24 ft (assist by M. Brown)
9:07.0,R. Stuckey misses 2-pt shot from 18 ft,,7-3,,
9:06.0,Offensive rebound by R. Hibbert,,7-3,,
8:56.0,Turnover by R. Hibbert (3 sec),,7-3,,
8:41.0,,,7-3,,B. Lopez misses 2-pt shot from 5 ft
8:39.0,Defensive rebound by G. Hill,,7-3,,
8:24.0,Offensive charge foul by R. Stuckey,,7-3,,
8:24.0,Turnover by R. Stuckey (offensive foul),,7-3,,
8:15.0,,,7-3,,Shooting foul by D. West (drawn by B. Lopez)
8:15.0,,,7-4,1,B. Lopez makes free throw 1 of 2
8:15.0,,,7-5,1,B. Lopez makes free throw 2 of 2
7:52.0,R. Hibbert misses 2-pt shot from 14 ft,,7-5,,
7:51.0,,,7-5,,Defensive rebound by J. Johnson
