time,Philadelphia,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Noel (H. Sims gains possession),,,,Jump ball: M. Gortat vs. N. Noel (H. Sims gains possession)
11:53.0,Turnover by M. Carter-Williams (bad pass; steal by N. Hilario),,0-0,,
11:49.0,,,0-2,2,N. Hilario makes 2-pt shot from 1 ft
11:26.0,K. McDaniels misses 2-pt shot from 16 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by M. Gortat
11:06.0,,,0-2,,M. Gortat misses 2-pt shot from 1 ft
11:05.0,,,0-2,,Offensive rebound by M. Gortat
11:03.0,,,0-4,2,M. Gortat makes 2-pt shot from 2 ft
10:48.0,N. Noel makes 2-pt shot from 11 ft,2,2-4,,
10:33.0,,,2-4,,P. Pierce misses 3-pt shot from 27 ft
10:32.0,,,2-4,,Offensive rebound by Team
10:24.0,,,2-6,2,B. Beal makes 2-pt shot from 13 ft (assist by J. Wall)
10:01.0,H. Sims makes 2-pt shot from 3 ft,2,4-6,,
9:44.0,,,4-6,,Shooting foul by K. McDaniels (drawn by N. Hilario)
9:44.0,,,4-7,1,N. Hilario makes free throw 1 of 2
9:44.0,,,4-7,,N. Hilario misses free throw 2 of 2
9:43.0,Defensive rebound by H. Sims,,4-7,,
9:35.0,Shooting foul by B. Beal (drawn by M. Carter-Williams),,4-7,,
9:35.0,M. Carter-Williams misses free throw 1 of 2,,4-7,,
9:35.0,Offensive rebound by Team,,4-7,,
9:35.0,M. Carter-Williams misses free throw 2 of 2,,4-7,,
9:34.0,,,4-7,,Defensive rebound by N. Hilario
9:22.0,,,4-7,,P. Pierce misses 2-pt shot from 8 ft
9:21.0,Defensive rebound by M. Carter-Williams,,4-7,,
9:09.0,N. Noel misses 2-pt shot from 19 ft,,4-7,,
9:08.0,,,4-7,,Defensive rebound by P. Pierce
8:58.0,,,4-7,,M. Gortat misses 2-pt shot from 5 ft (block by N. Noel)
8:56.0,Defensive rebound by K. McDaniels,,4-7,,
8:56.0,,,4-7,,Personal foul by N. Hilario (drawn by N. Noel)
8:45.0,,,4-7,,Violation by B. Beal (kicked ball)
8:38.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,6-7,,
8:26.0,,,6-7,,Offensive foul by N. Hilario
8:26.0,,,6-7,,Turnover by N. Hilario (offensive foul)
8:26.0,,,6-7,,K. Humphries enters the game for N. Hilario
8:09.0,H. Sims misses 2-pt shot from 15 ft,,6-7,,
8:08.0,,,6-7,,Defensive rebound by J. Wall
7:59.0,,,6-7,,Turnover by P. Pierce (bad pass)
7:48.0,K. McDaniels misses 2-pt shot from 1 ft (block by M. Gortat),,6-7,,
7:48.0,,,6-7,,Defensive rebound by Team
7:23.0,,,6-7,,K. Humphries misses 2-pt shot from 9 ft
7:22.0,Defensive rebound by N. Noel,,6-7,,
7:14.0,H. Sims misses 2-pt shot from 1 ft,,6-7,,
7:13.0,,,6-7,,Defensive rebound by M. Gortat
7:08.0,,,6-7,,J. Wall misses 2-pt shot from 18 ft
7:06.0,Defensive rebound by K. McDaniels,,6-7,,
6:51.0,R. Covington misses 3-pt shot from 26 ft,,6-7,,
6:50.0,Offensive rebound by N. Noel,,6-7,,
6:48.0,N. Noel makes 2-pt shot from 2 ft,2,8-7,,
6:44.0,,,8-7,,Washington full timeout
6:34.0,,,8-7,,B. Beal misses 2-pt shot from 21 ft
6:33.0,Defensive rebound by R. Covington,,8-7,,
6:23.0,M. Carter-Williams misses 2-pt shot from 6 ft (block by M. Gortat),,8-7,,
6:21.0,,,8-7,,Defensive rebound by Team
5:59.0,,,8-9,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
5:44.0,N. Noel misses 2-pt shot from 6 ft,,8-9,,
5:43.0,,,8-9,,Defensive rebound by P. Pierce
5:33.0,Personal foul by N. Noel (drawn by P. Pierce),,8-9,,
5:33.0,J. Grant enters the game for K. McDaniels,,8-9,,
5:33.0,F. Aldemir enters the game for H. Sims,,8-9,,
5:26.0,,,8-9,,Shooting foul by F. Aldemir (drawn by M. Gortat)
5:26.0,,,8-10,1,M. Gortat makes free throw 1 of 2
5:26.0,,,8-11,1,M. Gortat makes free throw 2 of 2
5:04.0,N. Noel makes 2-pt shot from 17 ft (assist by J. Grant),2,10-11,,
4:53.0,,,10-14,3,P. Pierce makes 3-pt shot from 26 ft (assist by B. Beal)
4:34.0,N. Noel misses 2-pt shot from 1 ft,,10-14,,
4:33.0,,,10-14,,Defensive rebound by M. Gortat
4:23.0,,,10-16,2,J. Wall makes 2-pt shot from 19 ft (assist by P. Pierce)
4:20.0,Philadelphia full timeout,,10-16,,
4:20.0,,,10-16,,R. Butler enters the game for B. Beal
4:07.0,Turnover by N. Noel (bad pass),,10-16,,
4:07.0,H. Thompson enters the game for R. Covington,,10-16,,
4:07.0,M. Thomas enters the game for N. Noel,,10-16,,
3:55.0,,,10-18,2,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall)
3:44.0,Shooting foul by K. Humphries (drawn by M. Carter-Williams),,10-18,,
3:44.0,M. Carter-Williams makes free throw 1 of 2,1,11-18,,
3:44.0,,,11-18,,O. Porter enters the game for P. Pierce
3:44.0,M. Carter-Williams misses free throw 2 of 2,,11-18,,
3:43.0,,,11-18,,Defensive rebound by M. Gortat
