time,Atlanta,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. J. Valanciunas (D. Carroll gains possession),,,,Jump ball: A. Horford vs. J. Valanciunas (D. Carroll gains possession)
11:34.0,Turnover by Team (shot clock),,0-0,,
11:22.0,,,0-2,2,D. DeRozan makes 2-pt shot from 19 ft (assist by T. Ross)
11:14.0,,,0-2,,Personal foul by T. Ross (drawn by K. Korver)
11:07.0,K. Korver makes 3-pt shot from 22 ft (assist by J. Teague),3,3-2,,
10:49.0,,,3-2,,T. Ross misses 2-pt shot from 20 ft
10:48.0,Defensive rebound by J. Teague,,3-2,,
10:36.0,P. Millsap misses 2-pt shot from 5 ft,,3-2,,
10:35.0,,,3-2,,Defensive rebound by K. Lowry
10:19.0,,,3-2,,A. Johnson misses 2-pt shot from 8 ft
10:18.0,Defensive rebound by J. Teague,,3-2,,
10:13.0,J. Teague misses 2-pt shot from 1 ft (block by T. Ross),,3-2,,
10:13.0,Offensive rebound by Team,,3-2,,
10:06.0,A. Horford misses 2-pt shot from 17 ft,,3-2,,
10:04.0,,,3-2,,Defensive rebound by A. Johnson
9:47.0,,,3-4,2,J. Valanciunas makes 2-pt shot from 6 ft (assist by K. Lowry)
9:35.0,A. Horford misses 2-pt shot from 10 ft,,3-4,,
9:33.0,,,3-4,,Defensive rebound by T. Ross
9:15.0,,,3-6,2,A. Johnson makes 2-pt shot from 9 ft
9:01.0,A. Horford makes 2-pt shot from 12 ft (assist by P. Millsap),2,5-6,,
8:45.0,,,5-6,,D. DeRozan misses 2-pt shot from 16 ft
8:44.0,Defensive rebound by P. Millsap,,5-6,,
8:36.0,Turnover by P. Millsap (lost ball; steal by D. DeRozan),,5-6,,
8:30.0,,,5-9,3,T. Ross makes 3-pt shot from 23 ft (assist by K. Lowry)
8:15.0,A. Horford misses 2-pt shot from 14 ft,,5-9,,
8:13.0,,,5-9,,Defensive rebound by A. Johnson
8:07.0,,,5-11,2,K. Lowry makes 2-pt shot from 21 ft (assist by A. Johnson)
