time,Toronto,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. J. Valanciunas (T. Ross gains possession),,,,Jump ball: B. Bass vs. J. Valanciunas (T. Ross gains possession)
11:42.0,K. Lowry misses 2-pt shot from 15 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by B. Bass
11:24.0,,,0-0,,A. Bradley misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by T. Hansbrough,,0-0,,
11:15.0,T. Hansbrough misses 2-pt shot from 16 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by A. Bradley
11:00.0,,,0-0,,T. Zeller misses 2-pt shot from 3 ft
10:59.0,Defensive rebound by J. Valanciunas,,0-0,,
10:46.0,Shooting foul by M. Smart (drawn by J. Valanciunas),,0-0,,
10:46.0,J. Valanciunas makes free throw 1 of 2,1,1-0,,
10:46.0,J. Valanciunas misses free throw 2 of 2,,1-0,,
10:46.0,,,1-0,,Defensive rebound by E. Turner
10:33.0,,,1-0,,B. Bass misses 2-pt shot from 2 ft
10:32.0,Defensive rebound by J. Valanciunas,,1-0,,
10:24.0,K. Lowry makes 2-pt shot at rim,2,3-0,,
10:13.0,,,3-2,2,E. Turner makes 2-pt shot from 11 ft
9:57.0,T. Ross misses 2-pt shot from 3 ft,,3-2,,
9:56.0,,,3-2,,Defensive rebound by T. Zeller
9:42.0,,,3-2,,B. Bass misses 2-pt shot from 16 ft
9:41.0,,,3-2,,Offensive rebound by T. Zeller
9:34.0,,,3-2,,E. Turner misses 2-pt shot from 12 ft
9:33.0,,,3-2,,Offensive rebound by B. Bass
9:33.0,,,3-4,2,B. Bass makes 2-pt shot at rim
9:13.0,T. Ross misses 2-pt shot from 7 ft,,3-4,,
9:12.0,,,3-4,,Defensive rebound by E. Turner
9:04.0,,,3-4,,A. Bradley misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by T. Hansbrough,,3-4,,
8:48.0,J. Valanciunas misses 2-pt shot from 6 ft,,3-4,,
8:47.0,,,3-4,,Defensive rebound by T. Zeller
8:38.0,,,3-4,,Shooting foul by K. Lowry (drawn by B. Bass)
8:38.0,,,3-5,1,B. Bass makes free throw 1 of 2
8:38.0,,,3-6,1,B. Bass makes free throw 2 of 2
8:21.0,K. Lowry misses 2-pt shot from 10 ft,,3-6,,
8:20.0,Offensive rebound by J. Valanciunas,,3-6,,
8:20.0,J. Valanciunas makes 2-pt shot at rim,2,5-6,,
8:02.0,,,5-6,,M. Smart misses 2-pt shot from 10 ft
8:01.0,Defensive rebound by T. Hansbrough,,5-6,,
7:52.0,J. Valanciunas makes 2-pt shot at rim (assist by G. Vasquez),2,7-6,,
7:40.0,,,7-8,2,E. Turner makes 2-pt shot from 1 ft
7:27.0,T. Ross misses 3-pt shot from 24 ft,,7-8,,
7:25.0,,,7-8,,Defensive rebound by B. Bass
7:17.0,,,7-8,,Turnover by E. Turner (bad pass; steal by T. Hansbrough)
7:16.0,,,7-8,,Loose ball foul by E. Turner (drawn by T. Hansbrough)
6:58.0,Offensive foul by K. Lowry,,7-8,,
6:58.0,Turnover by K. Lowry (offensive foul),,7-8,,
6:49.0,,,7-8,,A. Bradley misses 2-pt shot from 18 ft
6:47.0,Defensive rebound by G. Vasquez,,7-8,,
6:42.0,Turnover by K. Lowry (bad pass; steal by E. Turner),,7-8,,
6:36.0,,,7-10,2,M. Smart makes 2-pt shot from 1 ft (assist by E. Turner)
6:14.0,G. Vasquez makes 2-pt shot from 7 ft,2,9-10,,
6:09.0,,,9-12,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
5:57.0,Toronto full timeout,,9-12,,
5:57.0,L. Williams enters the game for G. Vasquez,,9-12,,
5:44.0,T. Ross makes 3-pt shot from 23 ft (assist by K. Lowry),3,12-12,,
5:24.0,,,12-12,,T. Zeller misses 2-pt shot from 6 ft
5:23.0,Defensive rebound by T. Hansbrough,,12-12,,
5:16.0,L. Williams makes 2-pt shot from 12 ft,2,14-12,,
5:01.0,,,14-14,2,E. Turner makes 2-pt shot from 11 ft
4:45.0,,,14-14,,Personal foul by T. Zeller (drawn by J. Valanciunas)
4:45.0,,,14-14,,I. Thomas enters the game for A. Bradley
4:45.0,,,14-14,,K. Olynyk enters the game for T. Zeller
4:32.0,J. Valanciunas misses 2-pt shot from 14 ft,,14-14,,
4:31.0,Offensive rebound by Team,,14-14,,
4:31.0,Turnover by Team (shot clock),,14-14,,
4:16.0,,,14-16,2,B. Bass makes 2-pt shot at rim (assist by I. Thomas)
