time,Detroit,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. A. Drummond (J. Smith gains possession),,,,Jump ball: C. Aldrich vs. A. Drummond (J. Smith gains possession)
11:35.0,,,0-0,,C. Aldrich misses 2-pt shot from 11 ft
11:33.0,,,0-0,,Offensive rebound by J. Smith
11:31.0,,,0-0,,Turnover by J. Smith (bad pass; steal by G. Monroe)
11:15.0,A. Drummond makes 2-pt shot from 4 ft (assist by B. Jennings),2,2-0,,
11:00.0,,,2-2,2,J. Smith makes 2-pt shot from 18 ft (assist by P. Prigioni)
10:39.0,G. Monroe misses 2-pt shot from 2 ft (block by C. Aldrich),,2-2,,
10:38.0,Offensive rebound by Team,,2-2,,
10:30.0,B. Jennings makes 3-pt shot from 24 ft,3,5-2,,
10:20.0,,,5-2,,Turnover by C. Aldrich (bad pass; steal by B. Jennings)
10:18.0,Turnover by B. Jennings (bad pass),,5-2,,
10:01.0,,,5-2,,J. Calderon misses 2-pt shot from 15 ft
9:59.0,Defensive rebound by G. Monroe,,5-2,,
9:55.0,B. Jennings misses 3-pt shot from 23 ft,,5-2,,
9:53.0,,,5-2,,Defensive rebound by J. Smith
9:41.0,,,5-2,,P. Prigioni misses 2-pt shot from 1 ft (block by A. Drummond)
9:39.0,Defensive rebound by K. Caldwell-Pope,,5-2,,
9:36.0,G. Monroe makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,7-2,,
9:18.0,,,7-2,,C. Aldrich misses 2-pt shot from 4 ft
9:16.0,Defensive rebound by A. Drummond,,7-2,,
9:13.0,Turnover by A. Drummond (bad pass; steal by J. Smith),,7-2,,
9:08.0,,,7-5,3,P. Prigioni makes 3-pt shot from 23 ft (assist by J. Smith)
8:50.0,K. Singler misses 2-pt shot from 17 ft,,7-5,,
8:48.0,,,7-5,,Defensive rebound by P. Prigioni
8:33.0,,,7-5,,C. Aldrich misses 2-pt shot from 4 ft
8:31.0,,,7-5,,Offensive rebound by C. Aldrich
8:18.0,,,7-7,2,J. Smith makes 2-pt shot from 20 ft (assist by J. Calderon)
8:05.0,K. Singler misses 3-pt shot from 24 ft,,7-7,,
8:03.0,,,7-7,,Defensive rebound by J. Smith
7:58.0,,,7-7,,Turnover by J. Smith (bad pass; steal by A. Drummond)
7:51.0,,,7-7,,Personal foul by J. Smith (drawn by G. Monroe)
7:51.0,,,7-7,,A. Bargnani enters the game for C. Aldrich
7:51.0,,,7-7,,S. Larkin enters the game for P. Prigioni
7:40.0,Shooting foul by J. Smith (drawn by A. Drummond),,7-7,,
7:40.0,A. Drummond misses free throw 1 of 2,,7-7,,
7:40.0,Offensive rebound by Team,,7-7,,
7:40.0,,,7-7,,Q. Acy enters the game for J. Smith
7:40.0,A. Drummond misses free throw 2 of 2,,7-7,,
7:39.0,,,7-7,,Defensive rebound by S. Larkin
