time,Indiana,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. N. Noel (L. Mbah a Moute gains possession),,,,Jump ball: R. Hibbert vs. N. Noel (L. Mbah a Moute gains possession)
11:48.0,,,0-0,,Turnover by N. Noel (bad pass; steal by S. Hill)
11:38.0,S. Hill misses 2-pt shot from 4 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by Team
11:27.0,,,0-0,,J. Richardson misses 2-pt shot from 18 ft
11:27.0,Defensive rebound by Team,,0-0,,
11:04.0,C. Miles misses 3-pt shot from 25 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by J. Richardson
10:55.0,,,0-0,,N. Noel misses 2-pt shot from 4 ft
10:53.0,Defensive rebound by G. Hill,,0-0,,
10:35.0,C. Miles makes 2-pt shot from 14 ft (assist by S. Hill),2,2-0,,
10:16.0,,,2-0,,R. Covington misses 2-pt shot from 19 ft
10:14.0,Defensive rebound by D. West,,2-0,,
10:05.0,R. Hibbert misses 2-pt shot from 4 ft (block by N. Noel),,2-0,,
10:03.0,Offensive rebound by R. Hibbert,,2-0,,
10:02.0,R. Hibbert makes 2-pt shot from 1 ft,2,4-0,,
9:50.0,,,4-0,,T. Frazier misses 2-pt shot from 3 ft
9:48.0,Defensive rebound by R. Hibbert,,4-0,,
9:33.0,D. West misses 2-pt shot from 11 ft (block by J. Richardson),,4-0,,
9:31.0,,,4-0,,Defensive rebound by L. Mbah a Moute
9:24.0,,,4-0,,L. Mbah a Moute misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by R. Hibbert,,4-0,,
9:12.0,C. Miles misses 3-pt shot from 23 ft,,4-0,,
9:10.0,,,4-0,,Defensive rebound by L. Mbah a Moute
8:48.0,,,4-2,2,N. Noel makes 2-pt shot from 3 ft (assist by T. Frazier)
8:26.0,G. Hill misses 2-pt shot from 12 ft,,4-2,,
8:25.0,,,4-2,,Defensive rebound by J. Richardson
8:18.0,,,4-2,,J. Richardson misses 2-pt shot from 2 ft
8:16.0,Defensive rebound by G. Hill,,4-2,,
8:11.0,G. Hill misses 2-pt shot from 5 ft,,4-2,,
8:07.0,,,4-2,,Defensive rebound by L. Mbah a Moute
8:02.0,,,4-2,,Turnover by T. Frazier (bad pass; steal by S. Hill)
7:50.0,,,4-2,,Personal foul by T. Frazier (drawn by G. Hill)
7:50.0,,,4-2,,H. Thompson enters the game for J. Richardson
7:43.0,R. Hibbert misses 2-pt shot from 3 ft (block by N. Noel),,4-2,,
7:41.0,Offensive rebound by R. Hibbert,,4-2,,
7:39.0,C. Miles misses 3-pt shot from 25 ft,,4-2,,
7:37.0,,,4-2,,Defensive rebound by N. Noel
7:25.0,,,4-4,2,H. Thompson makes 2-pt shot at rim (assist by L. Mbah a Moute)
7:10.0,D. West misses 2-pt shot from 7 ft (block by N. Noel),,4-4,,
7:08.0,Offensive rebound by S. Hill,,4-4,,
7:04.0,G. Hill misses 3-pt shot from 26 ft,,4-4,,
7:03.0,,,4-4,,Defensive rebound by T. Frazier
6:53.0,,,4-6,2,L. Mbah a Moute makes 2-pt shot from 20 ft (assist by T. Frazier)
6:53.0,Indiana full timeout,,4-6,,
6:40.0,R. Hibbert makes 2-pt shot from 1 ft (assist by C. Miles),2,6-6,,
6:19.0,,,6-6,,H. Thompson misses 3-pt shot from 23 ft
6:18.0,,,6-6,,Offensive rebound by N. Noel
6:14.0,,,6-8,2,N. Noel makes 2-pt shot from 5 ft
5:48.0,Shooting foul by R. Covington (drawn by C. Miles),,6-8,,
5:48.0,C. Miles makes free throw 1 of 3,1,7-8,,
5:48.0,C. Miles makes free throw 2 of 3,1,8-8,,
5:48.0,C. Miles makes free throw 3 of 3,1,9-8,,
5:37.0,,,9-8,,Turnover by R. Covington (bad pass)
5:20.0,C. Miles makes 3-pt shot from 26 ft (assist by D. West),3,12-8,,
5:06.0,,,12-8,,N. Noel misses 2-pt shot from 6 ft
5:05.0,Defensive rebound by D. West,,12-8,,
4:55.0,G. Hill misses 2-pt shot from 13 ft (block by N. Noel),,12-8,,
4:53.0,,,12-8,,Defensive rebound by R. Covington
4:45.0,,,12-10,2,N. Noel makes 2-pt shot at rim (assist by L. Mbah a Moute)
4:27.0,C. Miles makes 2-pt shot from 17 ft (assist by G. Hill),2,14-10,,
4:13.0,,,14-10,,H. Thompson misses 2-pt shot from 3 ft
4:11.0,Defensive rebound by S. Hill,,14-10,,
3:53.0,D. West misses 2-pt shot from 6 ft,,14-10,,
3:51.0,Offensive rebound by R. Hibbert,,14-10,,
3:50.0,R. Hibbert misses 2-pt shot from 5 ft (block by N. Noel),,14-10,,
3:48.0,,,14-10,,Defensive rebound by N. Noel
3:27.0,,,14-10,,L. Mbah a Moute misses 3-pt shot from 23 ft
3:26.0,,,14-10,,Offensive rebound by N. Noel
3:20.0,,,14-13,3,T. Frazier makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
3:05.0,G. Hill misses 2-pt shot from 15 ft,,14-13,,
3:03.0,,,14-13,,Defensive rebound by N. Noel
2:50.0,,,14-13,,L. Mbah a Moute misses 2-pt shot from 17 ft
2:49.0,Defensive rebound by R. Hibbert,,14-13,,
2:29.0,D. West makes 2-pt shot from 13 ft,2,16-13,,
2:28.0,,,16-13,,Philadelphia full timeout
2:28.0,,,16-13,,J. Grant enters the game for R. Covington
2:28.0,,,16-13,,H. Sims enters the game for L. Mbah a Moute
2:28.0,,,16-13,,J. McGee enters the game for N. Noel
2:28.0,,,16-13,,J. Sampson enters the game for T. Frazier
2:28.0,I. Mahinmi enters the game for S. Hill,,16-13,,
2:28.0,C. Watson enters the game for R. Hibbert,,16-13,,
2:28.0,R. Stuckey enters the game for G. Hill,,16-13,,
2:10.0,,,16-13,,Turnover by H. Sims (bad pass; steal by C. Miles)
2:06.0,C. Miles makes 2-pt shot from 1 ft,2,18-13,,
1:42.0,,,18-13,,J. McGee misses 2-pt shot from 9 ft
1:41.0,Defensive rebound by I. Mahinmi,,18-13,,
1:31.0,Turnover by R. Stuckey (lost ball; steal by J. Grant),,18-13,,
1:24.0,,,18-16,3,J. Sampson makes 3-pt shot from 24 ft (assist by J. Grant)
1:06.0,C. Miles makes 2-pt shot from 19 ft (assist by R. Stuckey),2,20-16,,
0:50.0,,,20-16,,H. Sims misses 2-pt shot from 17 ft
0:48.0,,,20-16,,Offensive rebound by J. McGee
0:37.0,L. Scola enters the game for D. West,,20-16,,
0:37.0,D. Rudez enters the game for C. Miles,,20-16,,
0:31.0,,,20-16,,H. Thompson misses 2-pt shot from 19 ft
0:29.0,Defensive rebound by I. Mahinmi,,20-16,,
0:16.0,R. Stuckey makes 3-pt shot from 26 ft (assist by C. Watson),3,23-16,,
0:02.0,,,23-16,,J. Sampson misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by L. Scola,,23-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. Watson misses 2-pt shot from 18 ft,,23-16,,
11:41.0,,,23-16,,Defensive rebound by J. Richardson
11:33.0,,,23-16,,Turnover by J. Richardson (bad pass; steal by C. Watson)
11:28.0,Turnover by C. Watson (lost ball; steal by J. Richardson),,23-16,,
11:21.0,,,23-19,3,J. Grant makes 3-pt shot from 27 ft (assist by J. Sampson)
11:04.0,L. Scola misses 2-pt shot from 17 ft,,23-19,,
11:02.0,,,23-19,,Defensive rebound by J. Richardson
10:54.0,,,23-19,,Turnover by J. Richardson (bad pass; steal by L. Scola)
10:49.0,L. Scola makes 2-pt shot at rim (assist by R. Stuckey),2,25-19,,
10:49.0,Shooting foul by J. Sampson (drawn by L. Scola),,25-19,,
10:49.0,L. Scola misses free throw 1 of 1,,25-19,,
10:48.0,,,25-19,,Defensive rebound by H. Sims
10:36.0,,,25-19,,H. Sims misses 2-pt shot from 19 ft
10:34.0,Defensive rebound by C. Watson,,25-19,,
10:29.0,Turnover by C. Watson (bad pass; steal by J. Richardson),,25-19,,
10:15.0,,,25-19,,Turnover by J. McGee (traveling)
10:00.0,R. Stuckey misses 2-pt shot from 1 ft,,25-19,,
9:58.0,,,25-19,,Defensive rebound by J. Richardson
9:48.0,,,25-19,,Turnover by J. Sampson (bad pass; steal by L. Scola)
9:45.0,L. Scola makes 2-pt shot from 1 ft,2,27-19,,
9:45.0,Shooting foul by H. Sims (drawn by L. Scola),,27-19,,
9:45.0,,,27-19,,N. Noel enters the game for J. McGee
9:45.0,L. Scola misses free throw 1 of 1,,27-19,,
9:44.0,Offensive rebound by Team,,27-19,,
9:34.0,Turnover by R. Stuckey (bad pass; steal by N. Noel),,27-19,,
9:30.0,,,27-21,2,J. Grant makes 2-pt shot at rim (assist by J. Richardson)
9:30.0,,,27-21,,Shooting foul by C. Watson (drawn by J. Grant)
9:30.0,,,27-22,1,J. Grant makes free throw 1 of 1
9:18.0,D. Rudez makes 3-pt shot from 23 ft (assist by L. Scola),3,30-22,,
8:52.0,,,30-22,,J. Sampson misses 2-pt shot from 14 ft
8:51.0,Defensive rebound by L. Scola,,30-22,,
8:47.0,R. Stuckey makes 2-pt shot from 2 ft (assist by D. Rudez),2,32-22,,
8:47.0,,,32-22,,Philadelphia full timeout
8:47.0,,,32-22,,T. Frazier enters the game for J. Sampson
8:39.0,,,32-22,,Turnover by T. Frazier (bad pass; steal by R. Stuckey)
8:36.0,R. Stuckey makes 2-pt shot from 1 ft,2,34-22,,
8:24.0,,,34-22,,Turnover by H. Sims (lost ball; steal by L. Scola)
8:22.0,R. Stuckey makes 2-pt shot at rim,2,36-22,,
8:22.0,Shooting foul by T. Frazier (drawn by R. Stuckey),,36-22,,
