time,Charlotte,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Sanders vs. C. Zeller (B. Knight gains possession),,,,Jump ball: L. Sanders vs. C. Zeller (B. Knight gains possession)
11:48.0,,,0-0,,B. Knight misses 3-pt shot from 24 ft
11:47.0,,,0-0,,Offensive rebound by Team
11:47.0,Loose ball foul by M. Kidd-Gilchrist (drawn by J. O'Bryant),,0-0,,
11:39.0,,,0-0,,Turnover by B. Knight (bad pass)
11:24.0,G. Henderson misses 2-pt shot from 18 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:12.0,,,0-0,,J. O'Bryant misses 2-pt shot from 19 ft
11:10.0,Defensive rebound by G. Henderson,,0-0,,
10:59.0,M. Kidd-Gilchrist makes 2-pt shot from 6 ft,2,2-0,,
10:45.0,,,2-0,,O. Mayo misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by Team,,2-0,,
10:19.0,A. Jefferson makes 2-pt shot from 17 ft (assist by G. Henderson),2,4-0,,
10:06.0,,,4-2,2,J. O'Bryant makes 2-pt shot from 17 ft (assist by B. Knight)
9:47.0,Turnover by C. Zeller (bad pass; steal by O. Mayo),,4-2,,
9:42.0,,,4-4,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by O. Mayo)
9:30.0,,,4-4,,Shooting block foul by B. Knight (drawn by C. Zeller)
9:30.0,C. Zeller makes free throw 1 of 2,1,5-4,,
9:30.0,C. Zeller makes free throw 2 of 2,1,6-4,,
9:21.0,,,6-4,,B. Knight misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by Team,,6-4,,
9:02.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,6-4,,
9:00.0,,,6-4,,Defensive rebound by L. Sanders
8:52.0,,,6-6,2,L. Sanders makes 2-pt shot from 2 ft (assist by O. Mayo)
8:41.0,A. Jefferson makes 2-pt shot from 1 ft (assist by K. Walker),2,8-6,,
8:21.0,,,8-9,3,B. Knight makes 3-pt shot from 23 ft (assist by J. O'Bryant)
8:08.0,K. Walker makes 2-pt shot from 7 ft,2,10-9,,
8:02.0,,,10-11,2,B. Knight makes 2-pt shot from 1 ft
8:02.0,,,10-11,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Knight)
8:02.0,,,10-12,1,B. Knight makes free throw 1 of 1
7:50.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by A. Jefferson),2,12-12,,
7:28.0,,,12-12,,Turnover by B. Knight (bad pass)
7:27.0,Shooting foul by O. Mayo (drawn by G. Henderson),,12-12,,
