time,Oklahoma City,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. A. Len (E. Bledsoe gains possession),,,,Jump ball: S. Ibaka vs. A. Len (E. Bledsoe gains possession)
11:55.0,,,0-2,2,M. Morris makes 2-pt shot at rim (assist by P. Tucker)
11:44.0,R. Westbrook misses 2-pt shot from 1 ft (block by A. Len),,0-2,,
11:43.0,Offensive rebound by R. Westbrook,,0-2,,
11:41.0,E. Kanter misses 2-pt shot from 5 ft (block by E. Bledsoe),,0-2,,
11:40.0,,,0-2,,Defensive rebound by E. Bledsoe
11:36.0,,,0-5,3,B. Knight makes 3-pt shot from 23 ft (assist by E. Bledsoe)
11:13.0,K. Singler misses 3-pt shot from 23 ft,,0-5,,
11:12.0,Offensive rebound by S. Ibaka,,0-5,,
11:03.0,S. Ibaka misses 2-pt shot from 18 ft,,0-5,,
11:02.0,,,0-5,,Defensive rebound by P. Tucker
10:58.0,Personal foul by K. Singler (drawn by E. Bledsoe),,0-5,,
10:51.0,,,0-7,2,M. Morris makes 2-pt shot from 16 ft (assist by E. Bledsoe)
10:36.0,S. Ibaka misses 2-pt shot from 19 ft,,0-7,,
10:35.0,,,0-7,,Defensive rebound by E. Bledsoe
10:25.0,,,0-7,,M. Morris misses 2-pt shot from 11 ft
10:23.0,Defensive rebound by R. Westbrook,,0-7,,
10:17.0,R. Westbrook misses 2-pt shot from 9 ft,,0-7,,
10:16.0,,,0-7,,Defensive rebound by A. Len
10:07.0,,,0-7,,Turnover by A. Len (offensive foul)
10:07.0,,,0-7,,Offensive foul by A. Len
9:56.0,K. Singler misses 3-pt shot from 25 ft,,0-7,,
9:55.0,,,0-7,,Defensive rebound by E. Bledsoe
9:42.0,,,0-9,2,P. Tucker makes 2-pt shot from 1 ft
9:27.0,E. Kanter makes 2-pt shot from 18 ft (assist by R. Westbrook),2,2-9,,
9:08.0,,,2-12,3,B. Knight makes 3-pt shot from 24 ft
8:58.0,Oklahoma City full timeout,,2-12,,
8:46.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook),2,4-12,,
8:35.0,Personal foul by K. Singler (drawn by E. Bledsoe),,4-12,,
8:20.0,,,4-12,,M. Morris misses 2-pt shot from 17 ft
8:20.0,,,4-12,,Offensive rebound by Team
8:20.0,,,4-12,,Turnover by Team (shot clock)
8:07.0,Turnover by E. Kanter (lost ball; steal by E. Bledsoe),,4-12,,
7:59.0,,,4-12,,P. Tucker misses 3-pt shot from 23 ft
7:58.0,Defensive rebound by S. Ibaka,,4-12,,
7:51.0,R. Westbrook misses 3-pt shot from 24 ft,,4-12,,
7:50.0,,,4-12,,Defensive rebound by A. Len
7:38.0,,,4-14,2,M. Morris makes 2-pt shot from 8 ft
7:29.0,Oklahoma City full timeout,,4-14,,
7:12.0,R. Westbrook misses 2-pt shot from 16 ft,,4-14,,
7:12.0,,,4-14,,Defensive rebound by E. Bledsoe
7:00.0,,,4-14,,E. Bledsoe misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by A. Roberson,,4-14,,
6:57.0,,,4-14,,Shooting block foul by P. Tucker (drawn by R. Westbrook)
6:57.0,R. Westbrook misses free throw 1 of 2,,4-14,,
6:57.0,Offensive rebound by Team,,4-14,,
6:57.0,R. Westbrook makes free throw 2 of 2,1,5-14,,
6:40.0,,,5-17,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by A. Len)
6:20.0,R. Westbrook misses 2-pt shot from 2 ft (block by E. Bledsoe),,5-17,,
6:18.0,Offensive rebound by R. Westbrook,,5-17,,
6:14.0,K. Singler misses 2-pt shot from 3 ft (block by P. Tucker),,5-17,,
6:13.0,,,5-17,,Defensive rebound by P. Tucker
6:10.0,,,5-17,,E. Bledsoe misses 2-pt shot at rim
6:09.0,Defensive rebound by K. Singler,,5-17,,
6:02.0,S. Ibaka misses 2-pt shot at rim,,5-17,,
6:02.0,,,5-17,,Defensive rebound by Team
6:02.0,Personal foul by A. Roberson (drawn by A. Len),,5-17,,
6:02.0,D. Waiters enters the game for K. Singler,,5-17,,
5:42.0,,,5-17,,M. Morris misses 2-pt shot from 19 ft
5:41.0,Defensive rebound by A. Roberson,,5-17,,
5:37.0,Offensive charge foul by E. Kanter,,5-17,,
5:37.0,Turnover by E. Kanter (offensive foul),,5-17,,
5:37.0,,,5-17,,M. Morris enters the game for P. Tucker
5:25.0,,,5-17,,B. Knight misses 2-pt shot from 20 ft
5:24.0,Defensive rebound by S. Ibaka,,5-17,,
5:08.0,,,5-17,,Technical foul by M. Morris
5:08.0,Technical foul by R. Westbrook,,5-17,,
5:08.0,,,5-17,,G. Green enters the game for B. Knight
5:03.0,R. Westbrook misses 2-pt shot from 10 ft,,5-17,,
5:02.0,,,5-17,,Defensive rebound by A. Len
5:01.0,Personal foul by S. Ibaka (drawn by A. Len),,5-17,,
4:42.0,,,5-17,,G. Green misses 2-pt shot from 17 ft
4:41.0,,,5-17,,Offensive rebound by Team
4:41.0,A. Morrow enters the game for A. Roberson,,5-17,,
4:32.0,,,5-17,,A. Len misses 2-pt shot from 14 ft
4:31.0,Defensive rebound by S. Ibaka,,5-17,,
4:25.0,R. Westbrook misses 2-pt shot from 1 ft,,5-17,,
4:24.0,Offensive rebound by Team,,5-17,,
4:23.0,,,5-17,,Loose ball foul by M. Morris (drawn by R. Westbrook)
4:23.0,Technical foul by Team,,5-17,,
4:23.0,,,5-17,,E. Bledsoe misses technical free throw
4:23.0,Offensive rebound by Team,,5-17,,
4:15.0,D. Waiters makes 2-pt shot from 19 ft,2,7-17,,
4:03.0,,,7-17,,M. Morris misses 2-pt shot from 8 ft
4:02.0,Defensive rebound by R. Westbrook,,7-17,,
