time,Memphis,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. M. Gasol (M. Conley gains possession),,,,Jump ball: C. Andersen vs. M. Gasol (M. Conley gains possession)
11:44.0,M. Conley makes 2-pt shot from 2 ft (assist by M. Gasol),2,2-0,,
11:28.0,,,2-0,,L. Deng misses 2-pt shot from 18 ft
11:27.0,Defensive rebound by M. Gasol,,2-0,,
11:09.0,C. Lee makes 2-pt shot from 20 ft (assist by T. Allen),2,4-0,,
10:48.0,,,4-0,,Turnover by L. Deng (lost ball; steal by J. Leuer)
10:44.0,Turnover by J. Leuer (bad pass; steal by D. Wade),,4-0,,
10:25.0,,,4-0,,M. Chalmers misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by M. Gasol,,4-0,,
10:14.0,M. Gasol misses 2-pt shot from 17 ft,,4-0,,
10:13.0,,,4-0,,Defensive rebound by M. Chalmers
10:09.0,,,4-2,2,C. Andersen makes 2-pt shot at rim (assist by L. Deng)
9:44.0,M. Conley makes 2-pt shot from 22 ft (assist by M. Gasol),2,6-2,,
9:28.0,,,6-2,,S. Williams misses 2-pt shot from 19 ft
9:27.0,Defensive rebound by M. Gasol,,6-2,,
9:20.0,M. Conley makes 3-pt shot from 24 ft,3,9-2,,
8:59.0,,,9-4,2,S. Williams makes 2-pt shot from 1 ft (assist by D. Wade)
8:37.0,M. Gasol makes 2-pt shot from 1 ft,2,11-4,,
8:20.0,,,11-4,,Turnover by S. Williams (bad pass)
8:08.0,M. Conley misses 2-pt shot from 20 ft,,11-4,,
8:07.0,Offensive rebound by Team,,11-4,,
7:50.0,J. Leuer misses 2-pt shot from 17 ft,,11-4,,
7:49.0,,,11-4,,Defensive rebound by D. Wade
7:39.0,,,11-4,,Turnover by C. Andersen (lost ball; steal by M. Conley)
7:35.0,C. Lee makes 2-pt shot from 1 ft,2,13-4,,
7:35.0,,,13-4,,Miami full timeout
7:25.0,Personal foul by J. Leuer (drawn by L. Deng),,13-4,,
7:12.0,,,13-6,2,D. Wade makes 2-pt shot from 16 ft
6:59.0,T. Allen misses 2-pt shot from 3 ft (block by D. Wade),,13-6,,
6:58.0,Offensive rebound by Team,,13-6,,
6:58.0,,,13-6,,N. Cole enters the game for M. Chalmers
6:56.0,Turnover by T. Allen (bad pass; steal by N. Cole),,13-6,,
6:40.0,,,13-6,,N. Cole misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by Team,,13-6,,
6:39.0,,,13-6,,Loose ball foul by S. Williams (drawn by M. Gasol)
6:21.0,Turnover by M. Conley (bad pass; steal by L. Deng),,13-6,,
6:16.0,,,13-8,2,L. Deng makes 2-pt shot from 1 ft
6:00.0,Turnover by C. Lee (lost ball),,13-8,,
5:43.0,,,13-8,,L. Deng misses 2-pt shot from 7 ft
5:42.0,Defensive rebound by C. Lee,,13-8,,
5:36.0,J. Leuer makes 2-pt shot at rim (assist by M. Conley),2,15-8,,
5:26.0,Personal foul by T. Allen (drawn by D. Wade),,15-8,,
5:26.0,,,15-8,,H. Whiteside enters the game for C. Andersen
5:14.0,,,15-10,2,L. Deng makes 2-pt shot at rim
4:49.0,Shooting foul by S. Williams (drawn by J. Leuer),,15-10,,
4:49.0,J. Leuer makes free throw 1 of 2,1,16-10,,
4:49.0,K. Koufos enters the game for M. Gasol,,16-10,,
4:49.0,,,16-10,,D. Granger enters the game for S. Williams
4:49.0,J. Leuer misses free throw 2 of 2,,16-10,,
4:48.0,Offensive rebound by J. Leuer,,16-10,,
4:26.0,J. Leuer misses 2-pt shot from 7 ft,,16-10,,
4:25.0,Offensive rebound by K. Koufos,,16-10,,
4:24.0,K. Koufos misses 2-pt shot at rim,,16-10,,
4:22.0,,,16-10,,Defensive rebound by N. Cole
4:17.0,,,16-10,,Turnover by N. Cole (lost ball; steal by T. Allen)
4:12.0,M. Conley makes 3-pt shot from 24 ft (assist by T. Allen),3,19-10,,
3:50.0,,,19-10,,D. Wade misses 2-pt shot from 19 ft
3:49.0,Defensive rebound by K. Koufos,,19-10,,
3:37.0,K. Koufos makes 2-pt shot from 12 ft (assist by J. Leuer),2,21-10,,
3:12.0,,,21-10,,N. Cole misses 2-pt shot from 1 ft
3:11.0,Defensive rebound by M. Conley,,21-10,,
3:07.0,T. Allen misses 2-pt shot at rim,,21-10,,
3:06.0,Offensive rebound by J. Leuer,,21-10,,
3:05.0,J. Leuer makes 2-pt shot from 1 ft,2,23-10,,
3:05.0,,,23-10,,Miami full timeout
3:05.0,T. Prince enters the game for J. Leuer,,23-10,,
3:05.0,,,23-10,,M. Chalmers enters the game for D. Wade
