time,Minnesota,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. N. Pekovic (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. N. Pekovic (D. Nowitzki gains possession)
11:45.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Nelson)
11:24.0,Z. LaVine misses 3-pt shot from 26 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by T. Chandler
11:07.0,,,0-2,,C. Parsons misses 3-pt shot from 23 ft
11:06.0,Defensive rebound by A. Bennett,,0-2,,
10:54.0,,,0-2,,Personal foul by T. Chandler (drawn by N. Pekovic)
10:45.0,K. Martin makes 2-pt shot from 15 ft,2,2-2,,
10:33.0,,,2-2,,C. Parsons misses 2-pt shot from 7 ft
10:31.0,,,2-2,,Offensive rebound by C. Parsons
10:31.0,,,2-2,,C. Parsons misses 2-pt shot from 2 ft
10:30.0,Defensive rebound by N. Pekovic,,2-2,,
10:25.0,A. Bennett makes 2-pt shot from 16 ft (assist by K. Martin),2,4-2,,
10:06.0,Personal foul by Z. LaVine (drawn by J. Nelson),,4-2,,
9:51.0,,,4-2,,Turnover by Team (shot clock)
9:39.0,A. Wiggins misses 2-pt shot from 19 ft,,4-2,,
9:38.0,,,4-2,,Defensive rebound by C. Parsons
9:26.0,,,4-2,,M. Ellis misses 2-pt shot from 17 ft
9:24.0,Defensive rebound by Z. LaVine,,4-2,,
9:21.0,Offensive charge foul by Z. LaVine,,4-2,,
9:21.0,Turnover by Z. LaVine (offensive foul),,4-2,,
9:21.0,M. Williams enters the game for Z. LaVine,,4-2,,
9:10.0,,,4-2,,J. Nelson misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by K. Martin,,4-2,,
9:02.0,A. Bennett misses 2-pt shot from 20 ft,,4-2,,
9:01.0,,,4-2,,Defensive rebound by T. Chandler
8:57.0,,,4-2,,Offensive charge foul by M. Ellis
8:57.0,,,4-2,,Turnover by M. Ellis (offensive foul)
8:44.0,A. Wiggins misses 2-pt shot from 12 ft,,4-2,,
8:41.0,,,4-2,,Defensive rebound by C. Parsons
8:33.0,,,4-5,3,J. Nelson makes 3-pt shot from 26 ft (assist by C. Parsons)
8:15.0,N. Pekovic misses 2-pt shot from 9 ft,,4-5,,
8:13.0,Offensive rebound by A. Wiggins,,4-5,,
8:13.0,A. Wiggins makes 2-pt shot at rim,2,6-5,,
8:05.0,,,6-7,2,T. Chandler makes 2-pt shot at rim (assist by J. Nelson)
7:49.0,K. Martin makes 2-pt shot from 16 ft (assist by M. Williams),2,8-7,,
7:33.0,,,8-9,2,M. Ellis makes 2-pt shot from 7 ft
7:06.0,M. Williams misses 3-pt shot from 28 ft,,8-9,,
7:06.0,Offensive rebound by Team,,8-9,,
7:06.0,Turnover by Team (shot clock),,8-9,,
6:49.0,,,8-9,,D. Nowitzki misses 2-pt shot from 16 ft
6:48.0,Defensive rebound by K. Martin,,8-9,,
6:40.0,M. Williams misses 2-pt shot from 19 ft,,8-9,,
6:39.0,,,8-9,,Defensive rebound by T. Chandler
6:30.0,,,8-12,3,M. Ellis makes 3-pt shot from 22 ft (assist by J. Nelson)
6:29.0,Minnesota full timeout,,8-12,,
6:29.0,,,8-12,,D. Harris enters the game for D. Nowitzki
6:15.0,K. Martin makes 2-pt shot from 16 ft (assist by N. Pekovic),2,10-12,,
5:53.0,,,10-14,2,C. Parsons makes 2-pt shot at rim (assist by D. Harris)
5:40.0,K. Martin makes 2-pt shot from 15 ft,2,12-14,,
5:24.0,,,12-14,,D. Harris misses 2-pt shot from 22 ft
5:24.0,Defensive rebound by N. Pekovic,,12-14,,
4:59.0,K. Martin misses 3-pt shot from 28 ft,,12-14,,
4:58.0,,,12-14,,Defensive rebound by C. Parsons
4:50.0,,,12-14,,D. Harris misses 2-pt shot from 2 ft
4:49.0,Defensive rebound by N. Pekovic,,12-14,,
4:39.0,A. Wiggins misses 2-pt shot at rim,,12-14,,
4:37.0,,,12-14,,Defensive rebound by T. Chandler
4:32.0,,,12-16,2,J. Nelson makes 2-pt shot from 2 ft (assist by C. Parsons)
4:13.0,M. Williams makes 2-pt shot from 22 ft,2,14-16,,
3:57.0,,,14-16,,M. Ellis misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by A. Bennett,,14-16,,
3:47.0,,,14-16,,Personal foul by C. Parsons (drawn by A. Bennett)
3:47.0,,,14-16,,G. Smith enters the game for T. Chandler
3:47.0,C. Budinger enters the game for A. Wiggins,,14-16,,
3:47.0,G. Dieng enters the game for N. Pekovic,,14-16,,
3:47.0,C. Brewer enters the game for K. Martin,,14-16,,
3:39.0,M. Williams makes 2-pt shot from 22 ft,2,16-16,,
3:31.0,,,16-16,,Dallas full timeout
3:31.0,,,16-16,,A. Aminu enters the game for J. Nelson
3:26.0,Personal foul by C. Budinger (drawn by A. Aminu),,16-16,,
3:17.0,,,16-18,2,C. Parsons makes 2-pt shot from 19 ft (assist by G. Smith)
2:56.0,Offensive foul by C. Budinger,,16-18,,
2:56.0,Turnover by C. Budinger (offensive foul),,16-18,,
2:56.0,R. Hummel enters the game for A. Bennett,,16-18,,
2:56.0,,,16-18,,B. Wright enters the game for G. Smith
2:42.0,,,16-18,,C. Parsons misses 2-pt shot from 5 ft
