time,Boston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. A. Bogut (D. Green gains possession),,,,Jump ball: B. Bass vs. A. Bogut (D. Green gains possession)
11:41.0,,,0-0,,Shooting foul by E. Turner (drawn by K. Thompson)
11:41.0,,,0-1,1,K. Thompson makes free throw 1 of 2
11:41.0,,,0-1,,K. Thompson misses free throw 2 of 2
11:40.0,Defensive rebound by B. Bass,,0-1,,
11:26.0,A. Bradley makes 2-pt shot from 20 ft (assist by E. Turner),2,2-1,,
11:15.0,,,2-1,,Turnover by S. Curry (lost ball; steal by J. Sullinger)
11:05.0,A. Bradley misses 2-pt shot from 3 ft (block by D. Green),,2-1,,
11:03.0,,,2-1,,Defensive rebound by D. Green
10:58.0,,,2-1,,K. Thompson misses 3-pt shot from 23 ft
10:57.0,Defensive rebound by A. Bradley,,2-1,,
10:38.0,J. Crowder misses 2-pt shot from 17 ft,,2-1,,
10:37.0,,,2-1,,Defensive rebound by S. Curry
10:32.0,,,2-3,2,H. Barnes makes 2-pt shot from 1 ft (assist by S. Curry)
10:20.0,J. Crowder makes 3-pt shot from 23 ft (assist by J. Sullinger),3,5-3,,
10:04.0,,,5-5,2,H. Barnes makes 2-pt shot from 12 ft (assist by A. Bogut)
9:47.0,J. Crowder misses 2-pt shot from 19 ft,,5-5,,
9:46.0,,,5-5,,Defensive rebound by D. Green
9:41.0,,,5-7,2,D. Green makes 2-pt shot from 1 ft
9:25.0,A. Bradley misses 2-pt shot from 21 ft,,5-7,,
9:23.0,,,5-7,,Defensive rebound by A. Bogut
9:15.0,,,5-9,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
8:52.0,A. Bradley misses 3-pt shot from 23 ft,,5-9,,
8:51.0,,,5-9,,Defensive rebound by D. Green
8:44.0,,,5-9,,D. Green misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by E. Turner,,5-9,,
8:33.0,E. Turner misses 2-pt shot from 16 ft,,5-9,,
8:32.0,,,5-9,,Defensive rebound by S. Curry
