time,LA Lakers,pts.away,score,pts.home,Indiana
5:21.0,,,4-20,,Shooting foul by R. Price (drawn by C. Watson)
5:21.0,,,4-21,1,C. Watson makes free throw 1 of 2
5:21.0,J. Lin enters the game for W. Johnson,,4-21,,
5:21.0,R. Sacre enters the game for J. Hill,,4-21,,
5:21.0,N. Young enters the game for R. Price,,4-21,,
5:21.0,,,4-21,,C. Watson misses free throw 2 of 2
5:21.0,Defensive rebound by C. Boozer,,4-21,,
5:09.0,,,4-21,,Personal foul by R. Stuckey (drawn by N. Young)
5:00.0,C. Boozer misses 2-pt shot from 15 ft,,4-21,,
4:59.0,,,4-21,,Defensive rebound by R. Stuckey
4:53.0,,,4-21,,R. Stuckey misses 2-pt shot from 4 ft
4:52.0,Defensive rebound by C. Boozer,,4-21,,
4:45.0,N. Young misses 3-pt shot from 26 ft,,4-21,,
4:42.0,,,4-21,,Defensive rebound by S. Hill
4:30.0,,,4-23,2,R. Hibbert makes 2-pt shot from 2 ft (assist by R. Stuckey)
4:15.0,Turnover by C. Boozer (lost ball; steal by S. Hill),,4-23,,
4:09.0,,,4-23,,R. Stuckey misses 2-pt shot from 2 ft
4:08.0,,,4-23,,Offensive rebound by S. Hill
4:06.0,,,4-23,,Shooting foul by K. Bryant (drawn by R. Stuckey)
4:06.0,,,4-23,,R. Stuckey misses free throw 1 of 2
4:06.0,,,4-23,,Offensive rebound by Team
4:06.0,,,4-23,,L. Allen enters the game for R. Hibbert
4:06.0,,,4-24,1,R. Stuckey makes free throw 2 of 2
3:54.0,R. Sacre misses 2-pt shot from 11 ft,,4-24,,
3:52.0,Offensive rebound by C. Boozer,,4-24,,
3:52.0,C. Boozer misses 2-pt shot from 1 ft,,4-24,,
3:51.0,,,4-24,,Defensive rebound by D. West
3:36.0,,,4-24,,S. Hill misses 2-pt shot from 10 ft
3:35.0,Defensive rebound by R. Sacre,,4-24,,
3:24.0,J. Lin misses 2-pt shot from 2 ft,,4-24,,
3:23.0,,,4-24,,Defensive rebound by L. Allen
3:14.0,,,4-24,,L. Allen misses 2-pt shot from 19 ft
3:13.0,Defensive rebound by C. Boozer,,4-24,,
2:58.0,J. Lin misses 3-pt shot from 25 ft,,4-24,,
2:57.0,,,4-24,,Defensive rebound by R. Stuckey
2:51.0,,,4-24,,Indiana full timeout
2:51.0,,,4-24,,C. Miles enters the game for R. Stuckey
2:36.0,,,4-24,,D. West misses 2-pt shot from 15 ft
2:35.0,Defensive rebound by R. Sacre,,4-24,,
2:28.0,K. Bryant misses 2-pt shot from 11 ft,,4-24,,
2:27.0,,,4-24,,Defensive rebound by D. West
2:22.0,,,4-26,2,C. Miles makes 2-pt shot from 1 ft
2:03.0,K. Bryant misses 2-pt shot from 3 ft,,4-26,,
2:02.0,Offensive rebound by Team,,4-26,,
1:54.0,Shooting foul by L. Allen (drawn by N. Young),,4-26,,
1:54.0,N. Young makes free throw 1 of 2,1,5-26,,
1:54.0,N. Young makes free throw 2 of 2,1,6-26,,
1:46.0,,,6-26,,C. Miles misses 3-pt shot from 26 ft
1:45.0,Defensive rebound by N. Young,,6-26,,
1:31.0,Shooting foul by D. West (drawn by C. Boozer),,6-26,,
1:31.0,C. Boozer misses free throw 1 of 2,,6-26,,
1:31.0,Offensive rebound by Team,,6-26,,
1:31.0,,,6-26,,L. Scola enters the game for D. West
1:31.0,,,6-26,,D. Sloan enters the game for C. Watson
1:31.0,C. Boozer makes free throw 2 of 2,1,7-26,,
1:16.0,,,7-29,3,C. Miles makes 3-pt shot from 25 ft (assist by S. Hill)
1:03.0,N. Young makes 3-pt shot from 25 ft (assist by C. Boozer),3,10-29,,
0:44.0,,,10-32,3,C. Miles makes 3-pt shot from 23 ft (assist by D. Sloan)
0:34.0,,,10-32,,Personal foul by L. Scola (drawn by C. Boozer)
0:34.0,C. Boozer makes free throw 1 of 2,1,11-32,,
0:34.0,W. Ellington enters the game for K. Bryant,,11-32,,
0:34.0,C. Boozer misses free throw 2 of 2,,11-32,,
0:34.0,,,11-32,,Defensive rebound by L. Allen
0:25.0,,,11-32,,C. Miles misses 2-pt shot from 17 ft
0:24.0,Defensive rebound by Team,,11-32,,
0:24.0,,,11-32,,Loose ball foul by L. Scola (drawn by C. Boozer)
0:24.0,C. Boozer makes free throw 1 of 2,1,12-32,,
0:24.0,C. Boozer makes free throw 2 of 2,1,13-32,,
0:03.0,Personal foul by J. Lin (drawn by L. Scola),,13-32,,
0:03.0,,,13-33,1,L. Scola makes free throw 1 of 2
0:03.0,,,13-34,1,L. Scola makes free throw 2 of 2
0:01.0,,,13-34,,Personal block foul by D. Sloan (drawn by J. Lin)
0:01.0,J. Lin makes free throw 1 of 2,1,14-34,,
0:01.0,J. Lin makes free throw 2 of 2,1,15-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,15-34,,Shooting foul by R. Sacre (drawn by C. Miles)
11:43.0,,,15-34,,C. Miles misses free throw 1 of 2
11:43.0,,,15-34,,Offensive rebound by Team
11:43.0,,,15-35,1,C. Miles makes free throw 2 of 2
11:24.0,N. Young misses 3-pt shot from 25 ft,,15-35,,
11:23.0,,,15-35,,Defensive rebound by D. Sloan
11:13.0,,,15-35,,R. Stuckey misses 2-pt shot from 1 ft
11:12.0,,,15-35,,Offensive rebound by R. Stuckey
11:12.0,,,15-35,,R. Stuckey misses 2-pt shot from 1 ft
11:10.0,Defensive rebound by W. Ellington,,15-35,,
10:55.0,J. Lin misses 2-pt shot from 3 ft,,15-35,,
10:54.0,,,15-35,,Defensive rebound by L. Scola
10:44.0,,,15-35,,L. Scola misses 2-pt shot from 17 ft
10:42.0,Defensive rebound by C. Boozer,,15-35,,
10:26.0,Offensive charge foul by N. Young,,15-35,,
10:26.0,Turnover by N. Young (offensive foul),,15-35,,
10:13.0,,,15-35,,Offensive foul by C. Miles
10:13.0,,,15-35,,Turnover by C. Miles (offensive foul)
10:02.0,J. Lin misses 2-pt shot from 21 ft,,15-35,,
10:00.0,,,15-35,,Defensive rebound by Team
9:50.0,,,15-35,,C. Miles misses 2-pt shot from 14 ft
9:48.0,Defensive rebound by C. Boozer,,15-35,,
9:39.0,C. Boozer misses 2-pt shot from 17 ft,,15-35,,
9:38.0,,,15-35,,Defensive rebound by L. Scola
9:26.0,,,15-35,,Turnover by D. Sloan (bad pass; steal by R. Sacre)
9:21.0,N. Young makes 2-pt shot at rim (assist by W. Ellington),2,17-35,,
9:04.0,,,17-35,,L. Scola misses 2-pt shot from 18 ft
9:02.0,Defensive rebound by N. Young,,17-35,,
8:54.0,N. Young misses 3-pt shot from 24 ft,,17-35,,
8:53.0,,,17-35,,Defensive rebound by D. Sloan
8:42.0,,,17-37,2,C. Miles makes 2-pt shot from 18 ft
8:28.0,W. Ellington misses 2-pt shot from 18 ft,,17-37,,
8:27.0,,,17-37,,Defensive rebound by L. Scola
8:17.0,,,17-39,2,R. Stuckey makes 2-pt shot from 14 ft
8:00.0,Turnover by J. Lin (lost ball; steal by D. Sloan),,17-39,,
7:55.0,,,17-41,2,D. Sloan makes 2-pt shot from 1 ft (assist by R. Stuckey)
7:45.0,LA Lakers full timeout,,17-41,,
7:45.0,E. Davis enters the game for W. Ellington,,17-41,,
7:45.0,W. Ellington enters the game for C. Boozer,,17-41,,
7:35.0,N. Young misses 2-pt shot from 4 ft,,17-41,,
7:34.0,,,17-41,,Defensive rebound by L. Allen
7:15.0,,,17-41,,C. Miles misses 2-pt shot from 2 ft (block by N. Young)
7:15.0,,,17-41,,Offensive rebound by Team
7:12.0,,,17-43,2,C. Miles makes 2-pt shot from 14 ft
6:52.0,J. Lin misses 2-pt shot from 17 ft,,17-43,,
6:51.0,,,17-43,,Defensive rebound by Team
6:51.0,K. Bryant enters the game for N. Young,,17-43,,
6:51.0,J. Clarkson enters the game for J. Lin,,17-43,,
6:34.0,,,17-46,3,L. Scola makes 3-pt shot from 23 ft (assist by R. Stuckey)
6:13.0,E. Davis misses 2-pt shot from 4 ft,,17-46,,
6:12.0,,,17-46,,Defensive rebound by L. Allen
6:02.0,,,17-46,,D. Sloan misses 2-pt shot at rim
6:01.0,,,17-46,,Offensive rebound by R. Stuckey
6:01.0,,,17-46,,R. Stuckey misses 2-pt shot from 1 ft
5:58.0,,,17-46,,Offensive rebound by R. Stuckey
5:58.0,,,17-46,,Indiana full timeout
5:58.0,J. Hill enters the game for R. Sacre,,17-46,,
5:46.0,,,17-46,,L. Scola misses 2-pt shot at rim
5:45.0,Defensive rebound by K. Bryant,,17-46,,
5:38.0,K. Bryant misses 3-pt shot from 25 ft,,17-46,,
5:37.0,,,17-46,,Defensive rebound by D. Sloan
5:33.0,,,17-46,,Shooting foul by W. Ellington (drawn by L. Scola)
5:33.0,,,17-47,1,L. Scola makes free throw 1 of 2
5:33.0,,,17-48,1,L. Scola makes free throw 2 of 2
5:12.0,K. Bryant misses 2-pt shot from 19 ft,,17-48,,
5:11.0,,,17-48,,Defensive rebound by D. Sloan
5:00.0,,,17-48,,L. Scola misses 2-pt shot from 16 ft
4:59.0,Defensive rebound by K. Bryant,,17-48,,
4:53.0,K. Bryant misses 2-pt shot from 5 ft (block by L. Allen),,17-48,,
4:53.0,Offensive rebound by Team,,17-48,,
4:53.0,,,17-48,,R. Hibbert enters the game for L. Allen
4:53.0,W. Johnson enters the game for W. Ellington,,17-48,,
4:53.0,,,17-48,,S. Hill enters the game for C. Miles
4:51.0,K. Bryant makes 2-pt shot from 17 ft (assist by W. Johnson),2,19-48,,
4:32.0,,,19-48,,Shooting foul by W. Johnson (drawn by R. Stuckey)
4:32.0,,,19-49,1,R. Stuckey makes free throw 1 of 2
4:32.0,,,19-49,,R. Stuckey misses free throw 2 of 2
4:32.0,Defensive rebound by W. Johnson,,19-49,,
4:07.0,J. Hill misses 2-pt shot from 1 ft,,19-49,,
4:06.0,,,19-49,,Defensive rebound by R. Stuckey
4:00.0,,,19-51,2,L. Scola makes 2-pt shot from 1 ft (assist by R. Stuckey)
3:47.0,J. Clarkson misses 2-pt shot from 16 ft,,19-51,,
3:45.0,,,19-51,,Defensive rebound by S. Hill
3:34.0,Personal foul by K. Bryant (drawn by R. Stuckey),,19-51,,
3:34.0,,,19-51,,C. Watson enters the game for D. Sloan
3:34.0,,,19-51,,D. West enters the game for L. Scola
3:23.0,,,19-53,2,R. Hibbert makes 2-pt shot from 17 ft (assist by C. Watson)
2:59.0,Turnover by W. Johnson (lost ball),,19-53,,
2:59.0,Official timeout,,19-53,,
2:59.0,,,19-53,,C. Miles enters the game for R. Stuckey
2:38.0,,,19-56,3,C. Miles makes 3-pt shot from 26 ft (assist by D. West)
2:13.0,K. Bryant misses 2-pt shot from 17 ft,,19-56,,
2:12.0,Offensive rebound by J. Hill,,19-56,,
2:10.0,J. Hill misses 2-pt shot from 3 ft,,19-56,,
2:09.0,Offensive rebound by E. Davis,,19-56,,
2:09.0,E. Davis misses 2-pt shot from 1 ft,,19-56,,
2:08.0,,,19-56,,Defensive rebound by D. West
2:01.0,,,19-58,2,C. Watson makes 2-pt shot from 21 ft (assist by S. Hill)
1:43.0,E. Davis misses 2-pt shot from 2 ft,,19-58,,
1:42.0,,,19-58,,Defensive rebound by Team
1:27.0,,,19-58,,R. Hibbert misses 2-pt shot from 10 ft
1:26.0,Defensive rebound by K. Bryant,,19-58,,
1:18.0,Shooting foul by R. Hibbert (drawn by W. Johnson),,19-58,,
1:18.0,W. Johnson makes free throw 1 of 2,1,20-58,,
1:18.0,W. Johnson makes free throw 2 of 2,1,21-58,,
1:01.0,,,21-60,2,D. West makes 2-pt shot from 16 ft (assist by C. Watson)
0:38.0,J. Clarkson misses 2-pt shot from 3 ft,,21-60,,
0:37.0,Offensive rebound by Team,,21-60,,
0:30.0,K. Bryant makes 3-pt shot from 22 ft,3,24-60,,
0:14.0,,,24-60,,R. Hibbert misses 2-pt shot from 5 ft
0:12.0,Defensive rebound by J. Hill,,24-60,,
0:00.0,W. Johnson makes 3-pt shot from 22 ft (assist by K. Bryant),3,27-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,27-62,2,R. Stuckey makes 2-pt shot from 13 ft
11:28.0,K. Bryant misses 2-pt shot from 22 ft,,27-62,,
11:27.0,,,27-62,,Defensive rebound by R. Hibbert
11:20.0,,,27-62,,R. Stuckey misses 2-pt shot from 12 ft
11:18.0,Defensive rebound by E. Davis,,27-62,,
11:11.0,Turnover by K. Bryant (bad pass; steal by C. Watson),,27-62,,
11:06.0,,,27-62,,Turnover by C. Watson (bad pass)
10:52.0,W. Johnson makes 3-pt shot from 26 ft,3,30-62,,
10:30.0,,,30-62,,Turnover by R. Hibbert (bad pass; steal by J. Hill)
10:21.0,Shooting foul by R. Hibbert (drawn by J. Hill),,30-62,,
10:21.0,J. Hill makes free throw 1 of 2,1,31-62,,
10:21.0,J. Hill makes free throw 2 of 2,1,32-62,,
10:04.0,,,32-62,,Turnover by S. Hill (lost ball; steal by E. Davis)
9:56.0,W. Johnson misses 2-pt shot from 20 ft,,32-62,,
9:55.0,Offensive rebound by E. Davis,,32-62,,
9:50.0,K. Bryant makes 3-pt shot from 26 ft (assist by R. Price),3,35-62,,
9:35.0,,,35-62,,R. Stuckey misses 2-pt shot from 1 ft (block by J. Hill)
9:33.0,Defensive rebound by J. Hill,,35-62,,
9:28.0,K. Bryant misses 3-pt shot from 25 ft,,35-62,,
9:27.0,,,35-62,,Defensive rebound by D. West
9:17.0,,,35-62,,Shooting foul by E. Davis (drawn by C. Watson)
9:17.0,,,35-63,1,C. Watson makes free throw 1 of 2
9:17.0,,,35-64,1,C. Watson makes free throw 2 of 2
9:10.0,K. Bryant misses 2-pt shot from 3 ft (block by S. Hill),,35-64,,
9:10.0,Offensive rebound by Team,,35-64,,
9:01.0,K. Bryant makes 2-pt shot from 1 ft,2,37-64,,
8:55.0,Personal foul by K. Bryant (drawn by C. Watson),,37-64,,
8:55.0,Technical foul by K. Bryant (drawn by C. Watson),,37-64,,
8:55.0,,,37-65,1,C. Watson makes technical free throw
8:41.0,,,37-67,2,R. Hibbert makes 2-pt shot from 8 ft
8:21.0,W. Johnson makes 3-pt shot from 23 ft (assist by K. Bryant),3,40-67,,
8:07.0,,,40-69,2,S. Hill makes 2-pt shot from 17 ft
7:52.0,E. Davis misses 2-pt shot from 10 ft,,40-69,,
7:51.0,Offensive rebound by J. Hill,,40-69,,
7:51.0,J. Hill makes 2-pt shot from 1 ft,2,42-69,,
7:37.0,,,42-69,,Turnover by C. Watson (lost ball)
7:28.0,Shooting foul by S. Hill (drawn by K. Bryant),,42-69,,
7:28.0,K. Bryant makes free throw 1 of 2,1,43-69,,
7:28.0,K. Bryant makes free throw 2 of 2,1,44-69,,
7:15.0,Personal foul by R. Price (drawn by C. Watson),,44-69,,
7:05.0,,,44-71,2,C. Watson makes 2-pt shot from 17 ft
6:45.0,W. Johnson misses 3-pt shot from 24 ft,,44-71,,
6:44.0,Offensive rebound by E. Davis,,44-71,,
6:38.0,,,44-71,,Violation by R. Hibbert (def goaltending)
6:38.0,J. Hill makes 2-pt shot from 2 ft,2,46-71,,
6:38.0,,,46-71,,Indiana full timeout
6:26.0,,,46-71,,Turnover by C. Watson (bad pass; steal by W. Johnson)
6:22.0,W. Johnson makes 2-pt shot from 2 ft,2,48-71,,
6:05.0,,,48-71,,R. Hibbert misses 2-pt shot from 5 ft
6:04.0,Defensive rebound by K. Bryant,,48-71,,
5:52.0,R. Price misses 2-pt shot from 19 ft,,48-71,,
5:52.0,,,48-71,,Defensive rebound by R. Hibbert
5:52.0,Loose ball foul by E. Davis (drawn by R. Hibbert),,48-71,,
5:34.0,,,48-73,2,D. West makes 2-pt shot from 18 ft (assist by R. Stuckey)
5:20.0,K. Bryant misses 3-pt shot from 25 ft,,48-73,,
5:19.0,,,48-73,,Defensive rebound by R. Stuckey
5:08.0,Personal block foul by K. Bryant (drawn by S. Hill),,48-73,,
5:08.0,,,48-74,1,S. Hill makes free throw 1 of 2
5:08.0,,,48-75,1,S. Hill makes free throw 2 of 2
4:56.0,K. Bryant misses 2-pt shot from 3 ft,,48-75,,
4:55.0,,,48-75,,Defensive rebound by R. Hibbert
4:46.0,,,48-75,,Turnover by S. Hill (bad pass; steal by K. Bryant)
4:42.0,K. Bryant makes 2-pt shot from 1 ft,2,50-75,,
4:42.0,Shooting foul by D. West (drawn by K. Bryant),,50-75,,
4:42.0,K. Bryant makes free throw 1 of 1,1,51-75,,
4:33.0,,,51-75,,Turnover by C. Watson (bad pass; steal by K. Bryant)
4:29.0,K. Bryant makes 2-pt shot from 1 ft,2,53-75,,
4:28.0,,,53-75,,Indiana full timeout
4:04.0,,,53-75,,D. West misses 2-pt shot from 21 ft (block by E. Davis)
4:03.0,,,53-75,,Offensive rebound by D. West
4:02.0,,,53-75,,D. West misses 2-pt shot from 15 ft
4:02.0,,,53-75,,Offensive rebound by Team
4:02.0,,,53-75,,Turnover by Team (shot clock)
3:55.0,K. Bryant misses 3-pt shot from 25 ft,,53-75,,
3:54.0,,,53-75,,Defensive rebound by R. Hibbert
3:43.0,,,53-75,,Turnover by R. Hibbert (bad pass; steal by J. Hill)
3:37.0,R. Price makes 3-pt shot from 27 ft (assist by K. Bryant),3,56-75,,
3:19.0,Personal foul by W. Johnson (drawn by R. Stuckey),,56-75,,
