time,LA Lakers,pts.away,score,pts.home,Indiana
3:57.0,,,78-100,,S. Whittington enters the game for L. Allen
3:57.0,C. Boozer misses free throw 2 of 2,,78-100,,
3:56.0,Offensive rebound by R. Sacre,,78-100,,
3:50.0,,,78-100,,Personal block foul by C. Copeland (drawn by C. Boozer)
3:50.0,C. Boozer makes free throw 1 of 2,1,79-100,,
3:50.0,C. Boozer makes free throw 2 of 2,1,80-100,,
3:36.0,,,80-100,,D. Sloan misses 2-pt shot from 1 ft (block by R. Sacre)
3:36.0,Defensive rebound by Team,,80-100,,
3:23.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Clarkson),3,83-100,,
2:59.0,,,83-102,2,C. Miles makes 2-pt shot from 15 ft
2:46.0,,,83-102,,Personal foul by D. Rudez (drawn by J. Clarkson)
2:46.0,LA Lakers full timeout,,83-102,,
2:46.0,J. Clarkson misses free throw 1 of 2,,83-102,,
2:46.0,Offensive rebound by Team,,83-102,,
2:46.0,J. Clarkson makes free throw 2 of 2,1,84-102,,
2:29.0,,,84-102,,D. Rudez misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by C. Boozer,,84-102,,
2:06.0,,,84-102,,Personal foul by C. Miles (drawn by J. Clarkson)
2:06.0,J. Clarkson makes free throw 1 of 2,1,85-102,,
2:06.0,J. Clarkson misses free throw 2 of 2,,85-102,,
2:05.0,,,85-102,,Defensive rebound by D. Rudez
1:42.0,,,85-102,,S. Whittington misses 2-pt shot from 2 ft
1:41.0,Defensive rebound by C. Boozer,,85-102,,
1:33.0,C. Boozer makes 2-pt shot from 4 ft,2,87-102,,
1:23.0,,,87-104,2,D. Sloan makes 2-pt shot from 3 ft
1:06.0,J. Clarkson makes 3-pt shot from 26 ft (assist by W. Ellington),3,90-104,,
0:47.0,,,90-107,3,D. Sloan makes 3-pt shot from 25 ft
0:38.0,J. Clarkson misses 2-pt shot from 19 ft,,90-107,,
0:37.0,Offensive rebound by R. Sacre,,90-107,,
0:37.0,,,90-107,,Loose ball foul by D. Rudez (drawn by R. Sacre)
0:37.0,R. Sacre misses free throw 1 of 2,,90-107,,
0:37.0,Offensive rebound by Team,,90-107,,
0:37.0,R. Sacre makes free throw 2 of 2,1,91-107,,
0:19.0,,,91-110,3,D. Sloan makes 3-pt shot from 25 ft
0:08.0,N. Young misses 3-pt shot from 28 ft,,91-110,,
0:07.0,Offensive rebound by J. Clarkson,,91-110,,
0:01.0,J. Clarkson misses 3-pt shot from 25 ft,,91-110,,
0:00.0,Offensive rebound by C. Boozer,,91-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
