time,Portland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. R. Lopez (L. Aldridge gains possession),,,,Jump ball: D. Jordan vs. R. Lopez (L. Aldridge gains possession)
11:41.0,L. Aldridge makes 2-pt shot from 13 ft (assist by N. Batum),2,2-0,,
11:21.0,,,2-3,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
10:54.0,L. Aldridge misses 3-pt shot from 23 ft,,2-3,,
10:53.0,,,2-3,,Defensive rebound by D. Jordan
10:41.0,,,2-3,,S. Hawes misses 2-pt shot from 13 ft
10:40.0,Defensive rebound by D. Lillard,,2-3,,
10:33.0,Turnover by D. Lillard (bad pass),,2-3,,
10:28.0,,,2-3,,J. Redick misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by L. Aldridge,,2-3,,
10:14.0,L. Aldridge misses 2-pt shot from 18 ft,,2-3,,
10:10.0,Offensive rebound by R. Lopez,,2-3,,
10:10.0,R. Lopez misses 2-pt shot at rim,,2-3,,
10:07.0,,,2-3,,Defensive rebound by D. Jordan
10:01.0,,,2-3,,C. Paul misses 2-pt shot from 9 ft
10:00.0,Defensive rebound by D. Lillard,,2-3,,
9:55.0,D. Lillard misses 2-pt shot from 1 ft,,2-3,,
9:53.0,Offensive rebound by N. Batum,,2-3,,
9:53.0,N. Batum makes 2-pt shot at rim,2,4-3,,
9:40.0,Personal foul by D. Lillard (drawn by C. Paul),,4-3,,
9:35.0,,,4-3,,C. Paul misses 2-pt shot from 14 ft
9:34.0,Defensive rebound by L. Aldridge,,4-3,,
9:11.0,Turnover by D. Lillard (bad pass; steal by J. Redick),,4-3,,
9:03.0,,,4-3,,D. Jordan misses 2-pt shot at rim (block by L. Aldridge)
9:01.0,Defensive rebound by D. Lillard,,4-3,,
8:54.0,D. Lillard misses 2-pt shot from 1 ft (block by S. Hawes),,4-3,,
8:53.0,,,4-3,,Defensive rebound by S. Hawes
8:45.0,,,4-3,,J. Hamilton misses 2-pt shot from 17 ft
8:44.0,Defensive rebound by W. Matthews,,4-3,,
8:29.0,L. Aldridge misses 2-pt shot from 6 ft,,4-3,,
8:27.0,,,4-3,,Defensive rebound by D. Jordan
8:16.0,,,4-6,3,J. Hamilton makes 3-pt shot from 22 ft (assist by S. Hawes)
7:55.0,,,4-6,,Personal foul by J. Hamilton (drawn by W. Matthews)
7:48.0,N. Batum makes 3-pt shot from 25 ft (assist by D. Lillard),3,7-6,,
7:29.0,,,7-8,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
7:14.0,Shooting foul by J. Hamilton (drawn by R. Lopez),,7-8,,
7:14.0,R. Lopez misses free throw 1 of 2,,7-8,,
7:14.0,Offensive rebound by Team,,7-8,,
7:14.0,R. Lopez makes free throw 2 of 2,1,8-8,,
7:03.0,,,8-8,,J. Redick misses 2-pt shot from 19 ft
7:02.0,Defensive rebound by N. Batum,,8-8,,
6:46.0,Shooting foul by S. Hawes (drawn by L. Aldridge),,8-8,,
6:46.0,L. Aldridge makes free throw 1 of 2,1,9-8,,
6:46.0,,,9-8,,H. Turkoglu enters the game for J. Hamilton
6:46.0,L. Aldridge makes free throw 2 of 2,1,10-8,,
6:29.0,,,10-11,3,S. Hawes makes 3-pt shot from 25 ft (assist by C. Paul)
6:10.0,L. Aldridge misses 2-pt shot from 20 ft,,10-11,,
6:06.0,Offensive rebound by R. Lopez,,10-11,,
6:06.0,Portland full timeout,,10-11,,
6:06.0,A. Afflalo enters the game for W. Matthews,,10-11,,
5:59.0,N. Batum makes 3-pt shot from 24 ft (assist by D. Lillard),3,13-11,,
5:40.0,,,13-13,2,J. Redick makes 2-pt shot from 19 ft (assist by S. Hawes)
5:15.0,N. Batum makes 2-pt shot from 12 ft,2,15-13,,
4:56.0,,,15-15,2,C. Paul makes 2-pt shot from 17 ft
4:35.0,L. Aldridge makes 2-pt shot from 4 ft,2,17-15,,
4:23.0,,,17-15,,J. Redick misses 2-pt shot from 19 ft
4:22.0,Defensive rebound by L. Aldridge,,17-15,,
4:11.0,A. Afflalo misses 3-pt shot from 23 ft,,17-15,,
4:08.0,,,17-15,,Defensive rebound by H. Turkoglu
3:56.0,,,17-15,,S. Hawes misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by A. Afflalo,,17-15,,
3:49.0,,,17-15,,Personal foul by J. Redick (drawn by A. Afflalo)
3:49.0,C. Kaman enters the game for R. Lopez,,17-15,,
3:45.0,N. Batum misses 2-pt shot from 18 ft,,17-15,,
3:43.0,,,17-15,,Defensive rebound by C. Paul
3:40.0,,,17-15,,Turnover by C. Paul (bad pass)
3:28.0,D. Lillard misses 3-pt shot from 24 ft,,17-15,,
3:26.0,,,17-15,,Defensive rebound by D. Jordan
3:16.0,,,17-17,2,C. Paul makes 2-pt shot from 17 ft
2:55.0,L. Aldridge misses 2-pt shot from 20 ft,,17-17,,
2:53.0,Offensive rebound by C. Kaman,,17-17,,
2:53.0,C. Kaman makes 2-pt shot from 1 ft,2,19-17,,
2:47.0,,,19-17,,LA Clippers full timeout
2:47.0,,,19-17,,Technical foul by Team
2:47.0,,,19-17,,A. Rivers enters the game for J. Redick
2:47.0,S. Blake enters the game for D. Lillard,,19-17,,
2:47.0,L. Aldridge makes technical free throw,1,20-17,,
2:29.0,,,20-17,,H. Turkoglu misses 2-pt shot from 16 ft
2:10.0,Defensive rebound by L. Aldridge,,20-17,,
2:10.0,L. Aldridge makes 2-pt shot from 2 ft,2,22-17,,
1:59.0,,,22-17,,Shooting foul by C. Kaman (drawn by D. Jordan)
1:59.0,,,22-18,1,D. Jordan makes free throw 1 of 2
1:59.0,,,22-19,1,D. Jordan makes free throw 2 of 2
1:35.0,L. Aldridge misses 2-pt shot from 15 ft,,22-19,,
1:34.0,,,22-19,,Defensive rebound by D. Jordan
1:28.0,Personal foul by N. Batum (drawn by C. Paul),,22-19,,
1:28.0,,,22-20,1,C. Paul makes free throw 1 of 2
1:28.0,,,22-20,,G. Davis enters the game for S. Hawes
1:28.0,W. Matthews enters the game for N. Batum,,22-20,,
1:28.0,,,22-21,1,C. Paul makes free throw 2 of 2
1:14.0,C. Kaman misses 2-pt shot from 15 ft,,22-21,,
1:12.0,,,22-21,,Defensive rebound by H. Turkoglu
1:06.0,,,22-24,3,C. Paul makes 3-pt shot from 25 ft
0:51.0,,,22-24,,Personal foul by D. Jordan (drawn by A. Afflalo)
0:51.0,A. Afflalo makes free throw 1 of 2,1,23-24,,
0:51.0,,,23-24,,J. Redick enters the game for C. Paul
0:51.0,A. Afflalo makes free throw 2 of 2,1,24-24,,
0:40.0,,,24-24,,A. Rivers misses 2-pt shot at rim
0:39.0,Defensive rebound by W. Matthews,,24-24,,
0:33.0,W. Matthews makes 3-pt shot from 24 ft,3,27-24,,
0:15.0,,,27-24,,A. Rivers misses 2-pt shot from 6 ft
0:15.0,Defensive rebound by Team,,27-24,,
0:15.0,D. Lillard enters the game for C. Kaman,,27-24,,
0:15.0,,,27-24,,J. Hamilton enters the game for G. Davis
0:01.0,Shooting foul by D. Jordan (drawn by D. Lillard),,27-24,,
0:01.0,D. Lillard misses free throw 1 of 2,,27-24,,
0:01.0,Offensive rebound by Team,,27-24,,
0:01.0,C. Kaman enters the game for L. Aldridge,,27-24,,
0:01.0,D. Lillard makes free throw 2 of 2,1,28-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,28-26,2,J. Redick makes 2-pt shot from 22 ft (assist by H. Turkoglu)
11:33.0,C. Kaman makes 2-pt shot from 5 ft (assist by S. Blake),2,30-26,,
11:08.0,,,30-26,,S. Hawes misses 2-pt shot from 5 ft
11:06.0,Defensive rebound by C. Kaman,,30-26,,
10:53.0,A. Afflalo misses 2-pt shot from 12 ft,,30-26,,
10:52.0,,,30-26,,Defensive rebound by S. Hawes
10:37.0,,,30-26,,A. Rivers misses 2-pt shot from 20 ft
10:35.0,Defensive rebound by S. Blake,,30-26,,
10:28.0,Turnover by C. Kaman (bad pass),,30-26,,
10:28.0,,,30-26,,J. Hamilton enters the game for S. Hawes
10:17.0,,,30-26,,J. Redick misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by W. Matthews,,30-26,,
10:10.0,Turnover by M. Leonard (3 sec),,30-26,,
10:10.0,D. Wright enters the game for M. Leonard,,30-26,,
9:58.0,,,30-28,2,A. Rivers makes 2-pt shot from 1 ft
9:46.0,Shooting foul by A. Rivers (drawn by S. Blake),,30-28,,
9:46.0,S. Blake misses free throw 1 of 2,,30-28,,
9:46.0,Offensive rebound by Team,,30-28,,
9:46.0,S. Blake makes free throw 2 of 2,1,31-28,,
9:38.0,Personal foul by S. Blake (drawn by A. Rivers),,31-28,,
9:26.0,,,31-31,3,H. Turkoglu makes 3-pt shot from 24 ft (assist by A. Rivers)
9:12.0,Turnover by C. Kaman (lost ball),,31-31,,
8:56.0,,,31-33,2,G. Davis makes 2-pt shot from 1 ft (assist by H. Turkoglu)
8:37.0,W. Matthews misses 3-pt shot from 24 ft,,31-33,,
8:37.0,,,31-33,,Defensive rebound by Team
8:37.0,Official timeout,,31-33,,
8:37.0,D. Lillard enters the game for C. Kaman,,31-33,,
8:37.0,R. Lopez enters the game for S. Blake,,31-33,,
8:25.0,,,31-33,,A. Rivers misses 2-pt shot from 11 ft
8:21.0,,,31-33,,Offensive rebound by A. Rivers
8:16.0,,,31-36,3,J. Redick makes 3-pt shot from 25 ft (assist by A. Rivers)
8:03.0,R. Lopez makes 2-pt shot from 18 ft (assist by W. Matthews),2,33-36,,
7:48.0,,,33-36,,J. Redick misses 3-pt shot from 24 ft
7:47.0,Defensive rebound by W. Matthews,,33-36,,
7:29.0,D. Wright makes 3-pt shot from 24 ft (assist by A. Afflalo),3,36-36,,
7:06.0,,,36-36,,H. Turkoglu misses 3-pt shot from 27 ft
7:05.0,Defensive rebound by D. Lillard,,36-36,,
6:49.0,D. Lillard misses 3-pt shot from 26 ft,,36-36,,
6:48.0,,,36-36,,Defensive rebound by A. Rivers
6:35.0,,,36-36,,G. Davis misses 2-pt shot from 16 ft
6:33.0,,,36-36,,Offensive rebound by A. Rivers
6:25.0,,,36-36,,J. Hamilton misses 2-pt shot from 9 ft
6:24.0,Defensive rebound by D. Lillard,,36-36,,
6:14.0,D. Wright misses 3-pt shot from 24 ft,,36-36,,
6:12.0,Offensive rebound by R. Lopez,,36-36,,
6:12.0,R. Lopez makes 2-pt shot at rim,2,38-36,,
6:07.0,,,38-36,,LA Clippers full timeout
6:07.0,N. Batum enters the game for W. Matthews,,38-36,,
6:07.0,,,38-36,,D. Jordan enters the game for J. Hamilton
6:07.0,,,38-36,,C. Paul enters the game for G. Davis
5:48.0,,,38-36,,C. Paul misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by A. Afflalo,,38-36,,
5:37.0,Turnover by Team (back court),,38-36,,
5:25.0,,,38-38,2,C. Paul makes 2-pt shot from 4 ft
5:07.0,D. Wright misses 2-pt shot from 2 ft,,38-38,,
5:06.0,,,38-38,,Defensive rebound by C. Paul
4:52.0,,,38-38,,H. Turkoglu misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by D. Lillard,,38-38,,
4:43.0,D. Wright misses 3-pt shot from 22 ft,,38-38,,
4:40.0,Offensive rebound by R. Lopez,,38-38,,
4:40.0,R. Lopez makes 2-pt shot at rim,2,40-38,,
4:25.0,,,40-38,,J. Redick misses 3-pt shot from 22 ft
4:24.0,Defensive rebound by N. Batum,,40-38,,
4:16.0,N. Batum misses 3-pt shot from 24 ft,,40-38,,
4:14.0,,,40-38,,Defensive rebound by H. Turkoglu
3:59.0,,,40-40,2,D. Jordan makes 2-pt shot at rim (assist by H. Turkoglu)
3:43.0,D. Lillard misses 2-pt shot from 1 ft,,40-40,,
3:39.0,Offensive rebound by R. Lopez,,40-40,,
3:39.0,R. Lopez makes 2-pt shot from 1 ft,2,42-40,,
3:18.0,,,42-42,2,C. Paul makes 2-pt shot from 17 ft (assist by H. Turkoglu)
3:18.0,Portland full timeout,,42-42,,
3:18.0,,,42-42,,S. Hawes enters the game for H. Turkoglu
3:18.0,W. Matthews enters the game for A. Afflalo,,42-42,,
3:18.0,L. Aldridge enters the game for D. Wright,,42-42,,
3:06.0,L. Aldridge misses 2-pt shot from 18 ft,,42-42,,
3:05.0,,,42-42,,Defensive rebound by D. Jordan
2:50.0,,,42-42,,C. Paul misses 2-pt shot from 16 ft
2:49.0,Defensive rebound by L. Aldridge,,42-42,,
2:41.0,W. Matthews makes 2-pt shot from 9 ft (assist by N. Batum),2,44-42,,
2:30.0,,,44-44,2,C. Paul makes 2-pt shot from 14 ft
2:14.0,Turnover by D. Lillard (lost ball; steal by C. Paul),,44-44,,
2:12.0,,,44-44,,H. Turkoglu enters the game for A. Rivers
2:01.0,,,44-44,,LA Clippers full timeout
1:54.0,,,44-46,2,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul)
1:24.0,L. Aldridge makes 2-pt shot from 6 ft,2,46-46,,
1:15.0,Personal foul by D. Lillard (drawn by C. Paul),,46-46,,
1:10.0,,,46-48,2,C. Paul makes 2-pt shot from 17 ft (assist by S. Hawes)
0:51.0,L. Aldridge misses 2-pt shot from 18 ft,,46-48,,
0:48.0,,,46-48,,Defensive rebound by S. Hawes
0:44.0,,,46-48,,Turnover by C. Paul (discontinued dribble)
0:34.0,Turnover by D. Lillard (lost ball; steal by J. Redick),,46-48,,
0:32.0,,,46-48,,Turnover by J. Redick (bad pass; steal by W. Matthews)
0:32.0,,,46-48,,Loose ball foul by C. Paul (drawn by W. Matthews)
0:32.0,,,46-48,,G. Davis enters the game for D. Jordan
0:22.0,Turnover by L. Aldridge (lost ball; steal by G. Davis),,46-48,,
0:02.0,,,46-48,,H. Turkoglu misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by L. Aldridge,,46-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,46-48,,Turnover by J. Redick (traveling)
11:32.0,L. Aldridge misses 2-pt shot from 20 ft,,46-48,,
11:30.0,Offensive rebound by R. Lopez,,46-48,,
11:26.0,L. Aldridge makes 2-pt shot from 1 ft (assist by R. Lopez),2,48-48,,
11:10.0,,,48-48,,J. Redick misses 2-pt shot from 16 ft (block by N. Batum)
11:08.0,,,48-48,,Offensive rebound by J. Redick
11:07.0,,,48-48,,J. Redick misses 2-pt shot from 15 ft
11:04.0,Defensive rebound by D. Lillard,,48-48,,
10:58.0,L. Aldridge misses 2-pt shot from 16 ft,,48-48,,
10:57.0,,,48-48,,Defensive rebound by D. Jordan
