time,Phoenix,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Plumlee (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. M. Plumlee (E. Bledsoe gains possession)
11:42.0,M. Morris makes 2-pt shot from 9 ft (assist by G. Dragic),2,2-0,,
11:27.0,,,2-0,,Turnover by J. Nelson (bad pass)
11:08.0,E. Bledsoe misses 2-pt shot from 18 ft,,2-0,,
11:06.0,,,2-0,,Defensive rebound by D. Nowitzki
11:00.0,,,2-0,,Turnover by J. Nelson (bad pass; steal by P. Tucker)
10:55.0,Turnover by P. Tucker (bad pass; steal by T. Chandler),,2-0,,
10:49.0,,,2-0,,Shooting foul by M. Morris (drawn by D. Nowitzki)
10:49.0,,,2-1,1,D. Nowitzki makes free throw 1 of 2
10:49.0,,,2-2,1,D. Nowitzki makes free throw 2 of 2
10:34.0,Turnover by M. Plumlee (lost ball),,2-2,,
10:28.0,,,2-4,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
10:13.0,M. Morris makes 2-pt shot from 21 ft (assist by P. Tucker),2,4-4,,
9:56.0,,,4-6,2,M. Ellis makes 2-pt shot from 20 ft
9:39.0,E. Bledsoe makes 3-pt shot from 26 ft (assist by G. Dragic),3,7-6,,
9:18.0,,,7-6,,Turnover by D. Nowitzki (bad pass; steal by M. Plumlee)
9:13.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by G. Dragic),2,9-6,,
8:55.0,,,9-6,,J. Nelson misses 3-pt shot from 27 ft
8:54.0,Defensive rebound by M. Plumlee,,9-6,,
8:41.0,M. Morris makes 2-pt shot from 3 ft,2,11-6,,
8:23.0,,,11-6,,C. Parsons misses 2-pt shot from 22 ft
8:22.0,Defensive rebound by M. Morris,,11-6,,
8:15.0,P. Tucker makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,14-6,,
8:13.0,,,14-6,,Dallas full timeout
7:56.0,,,14-8,2,J. Nelson makes 2-pt shot from 2 ft
7:32.0,G. Dragic misses 2-pt shot from 21 ft,,14-8,,
7:30.0,Offensive rebound by M. Morris,,14-8,,
7:26.0,M. Morris misses 3-pt shot from 24 ft,,14-8,,
7:25.0,Offensive rebound by M. Plumlee,,14-8,,
7:22.0,G. Dragic makes 3-pt shot from 25 ft (assist by M. Plumlee),3,17-8,,
7:09.0,,,17-10,2,M. Ellis makes 2-pt shot from 19 ft
6:56.0,M. Plumlee makes 2-pt shot at rim (assist by G. Dragic),2,19-10,,
6:37.0,,,19-12,2,C. Parsons makes 2-pt shot from 1 ft
6:19.0,M. Plumlee makes 2-pt shot from 3 ft (assist by E. Bledsoe),2,21-12,,
5:56.0,,,21-12,,C. Parsons misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by E. Bledsoe,,21-12,,
5:52.0,E. Bledsoe makes 2-pt shot from 1 ft,2,23-12,,
5:52.0,Shooting foul by J. Nelson (drawn by E. Bledsoe),,23-12,,
5:52.0,,,23-12,,A. Aminu enters the game for D. Nowitzki
5:52.0,E. Bledsoe makes free throw 1 of 1,1,24-12,,
5:39.0,,,24-12,,M. Ellis misses 2-pt shot from 23 ft
5:37.0,Defensive rebound by M. Morris,,24-12,,
5:31.0,G. Dragic makes 2-pt shot from 2 ft,2,26-12,,
5:28.0,,,26-12,,Dallas full timeout
5:28.0,,,26-12,,D. Harris enters the game for C. Parsons
5:28.0,,,26-12,,R. Jefferson enters the game for J. Nelson
5:22.0,,,26-12,,Offensive foul by T. Chandler
5:22.0,,,26-12,,Turnover by T. Chandler (offensive foul)
5:22.0,,,26-12,,B. Wright enters the game for T. Chandler
5:08.0,Shooting foul by D. Harris (drawn by E. Bledsoe),,26-12,,
5:08.0,E. Bledsoe makes free throw 1 of 2,1,27-12,,
5:08.0,A. Len enters the game for M. Plumlee,,27-12,,
5:08.0,A. Tolliver enters the game for M. Morris,,27-12,,
5:08.0,E. Bledsoe makes free throw 2 of 2,1,28-12,,
4:51.0,,,28-12,,Shooting foul by G. Dragic (drawn by R. Jefferson)
4:51.0,,,28-12,,R. Jefferson misses free throw 1 of 2
4:51.0,,,28-12,,Offensive rebound by Team
4:51.0,,,28-13,1,R. Jefferson makes free throw 2 of 2
4:31.0,E. Bledsoe misses 2-pt shot from 12 ft,,28-13,,
4:29.0,,,28-13,,Defensive rebound by A. Aminu
4:26.0,,,28-13,,Turnover by M. Ellis (palming)
4:10.0,G. Dragic makes 2-pt shot from 2 ft,2,30-13,,
4:00.0,,,30-15,2,M. Ellis makes 2-pt shot from 2 ft
3:50.0,A. Tolliver misses 2-pt shot from 21 ft,,30-15,,
3:49.0,,,30-15,,Defensive rebound by M. Ellis
