time,LA Clippers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. C. Kaman (C. Paul gains possession),,,,Jump ball: D. Jordan vs. C. Kaman (C. Paul gains possession)
11:37.0,B. Griffin misses 2-pt shot from 17 ft,,0-0,,
11:34.0,Offensive rebound by D. Jordan,,0-0,,
11:31.0,C. Paul misses 3-pt shot from 26 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by L. Aldridge
11:18.0,,,0-2,2,C. Kaman makes 2-pt shot from 2 ft (assist by D. Lillard)
11:13.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,2-2,,
10:53.0,,,2-2,,L. Aldridge misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by M. Barnes,,2-2,,
10:43.0,C. Paul misses 2-pt shot from 16 ft,,2-2,,
10:41.0,Offensive rebound by B. Griffin,,2-2,,
10:41.0,B. Griffin misses 2-pt shot from 1 ft,,2-2,,
10:39.0,Offensive rebound by D. Jordan,,2-2,,
10:39.0,D. Jordan makes 2-pt shot at rim,2,4-2,,
10:14.0,,,4-4,2,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard)
10:08.0,D. Jordan makes 2-pt shot at rim (assist by M. Barnes),2,6-4,,
9:45.0,,,6-4,,L. Aldridge misses 2-pt shot from 18 ft
9:44.0,Defensive rebound by J. Redick,,6-4,,
9:33.0,,,6-4,,Personal foul by W. Matthews (drawn by J. Redick)
9:28.0,B. Griffin misses 2-pt shot from 2 ft (block by L. Aldridge),,6-4,,
9:26.0,,,6-4,,Defensive rebound by L. Aldridge
9:08.0,,,6-6,2,L. Aldridge makes 2-pt shot from 4 ft
8:57.0,J. Redick makes 2-pt shot from 4 ft (assist by B. Griffin),2,8-6,,
8:40.0,,,8-6,,Turnover by N. Batum (bad pass)
8:34.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,10-6,,
8:13.0,,,10-6,,L. Aldridge misses 2-pt shot from 21 ft
8:12.0,Defensive rebound by D. Jordan,,10-6,,
7:58.0,J. Redick misses 2-pt shot from 9 ft,,10-6,,
7:57.0,,,10-6,,Defensive rebound by W. Matthews
7:52.0,,,10-6,,W. Matthews misses 2-pt shot from 17 ft
7:48.0,Defensive rebound by D. Jordan,,10-6,,
7:44.0,Turnover by B. Griffin (lost ball; steal by W. Matthews),,10-6,,
7:35.0,,,10-6,,Turnover by L. Aldridge (lost ball; steal by J. Redick)
7:24.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,12-6,,
7:02.0,Personal foul by D. Jordan (drawn by C. Kaman),,12-6,,
6:51.0,,,12-6,,Shooting foul by M. Barnes (drawn by L. Aldridge)
6:51.0,,,12-7,1,L. Aldridge makes free throw 1 of 2
6:51.0,,,12-8,1,L. Aldridge makes free throw 2 of 2
6:39.0,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul),2,14-8,,
6:21.0,,,14-10,2,W. Matthews makes 2-pt shot from 1 ft (assist by N. Batum)
6:03.0,B. Griffin misses 2-pt shot from 16 ft,,14-10,,
6:02.0,,,14-10,,Defensive rebound by C. Kaman
5:48.0,,,14-10,,L. Aldridge misses 2-pt shot from 1 ft
5:47.0,Defensive rebound by D. Jordan,,14-10,,
5:40.0,C. Paul makes 2-pt shot from 15 ft,2,16-10,,
5:39.0,,,16-10,,Portland full timeout
5:39.0,,,16-10,,M. Leonard enters the game for C. Kaman
5:39.0,,,16-10,,C. McCollum enters the game for W. Matthews
5:21.0,,,16-12,2,M. Leonard makes 2-pt shot from 16 ft (assist by N. Batum)
5:05.0,J. Redick misses 2-pt shot from 16 ft,,16-12,,
5:05.0,,,16-12,,Defensive rebound by N. Batum
4:53.0,,,16-12,,C. McCollum misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by D. Jordan,,16-12,,
4:43.0,J. Redick misses 2-pt shot from 17 ft,,16-12,,
4:41.0,,,16-12,,Defensive rebound by D. Lillard
4:34.0,,,16-15,3,D. Lillard makes 3-pt shot from 25 ft
4:10.0,C. Paul makes 2-pt shot from 18 ft,2,18-15,,
3:59.0,,,18-15,,D. Lillard misses 3-pt shot from 26 ft
3:58.0,Defensive rebound by D. Jordan,,18-15,,
3:54.0,J. Crawford enters the game for J. Redick,,18-15,,
3:52.0,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),2,20-15,,
3:38.0,Personal block foul by B. Griffin (drawn by D. Lillard),,20-15,,
3:31.0,,,20-15,,D. Lillard misses 3-pt shot from 27 ft
3:30.0,Defensive rebound by D. Jordan,,20-15,,
3:17.0,Turnover by B. Griffin (bad pass; steal by N. Batum),,20-15,,
3:09.0,,,20-17,2,L. Aldridge makes 2-pt shot from 16 ft (assist by C. McCollum)
2:54.0,,,20-17,,Personal foul by C. McCollum (drawn by J. Crawford)
2:54.0,LA Clippers full timeout,,20-17,,
2:54.0,S. Hawes enters the game for D. Jordan,,20-17,,
2:54.0,,,20-17,,S. Blake enters the game for D. Lillard
2:54.0,,,20-17,,W. Matthews enters the game for N. Batum
2:45.0,J. Crawford misses 3-pt shot from 26 ft,,20-17,,
2:44.0,,,20-17,,Defensive rebound by Team
2:24.0,,,20-17,,C. McCollum misses 2-pt shot from 16 ft
2:23.0,Defensive rebound by Team,,20-17,,
2:22.0,J. Redick enters the game for C. Paul,,20-17,,
2:07.0,J. Crawford makes 3-pt shot from 26 ft (assist by J. Redick),3,23-17,,
1:49.0,,,23-17,,W. Matthews misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by B. Griffin,,23-17,,
1:40.0,J. Crawford misses 2-pt shot from 13 ft,,23-17,,
1:39.0,,,23-17,,Defensive rebound by M. Leonard
1:32.0,,,23-17,,Turnover by S. Blake (bad pass; steal by M. Barnes)
