time,Portland,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,L. Aldridge misses 2-pt shot from 13 ft,,0-0,,
12:00.0,Jump ball: T. Duncan vs. J. Freeland (W. Matthews gains possession),,,,Jump ball: T. Duncan vs. J. Freeland (W. Matthews gains possession)
11:37.0,,,0-0,,Defensive rebound by T. Duncan
11:15.0,,,0-0,,D. Green misses 2-pt shot from 17 ft
11:15.0,,,0-0,,Offensive rebound by Team
11:15.0,,,0-0,,Turnover by Team (shot clock)
10:54.0,A. Crabbe misses 3-pt shot from 27 ft,,0-0,,
10:52.0,Offensive rebound by L. Aldridge,,0-0,,
10:52.0,L. Aldridge makes 2-pt shot at rim,2,2-0,,
10:29.0,,,2-2,2,T. Duncan makes 2-pt shot from 11 ft
10:06.0,D. Lillard misses 2-pt shot from 12 ft,,2-2,,
10:03.0,,,2-2,,Defensive rebound by K. Anderson
9:51.0,,,2-2,,D. Green misses 2-pt shot from 18 ft
9:50.0,,,2-2,,Offensive rebound by D. Green
9:37.0,,,2-4,2,B. Diaw makes 2-pt shot from 1 ft
9:14.0,W. Matthews makes 2-pt shot from 5 ft,2,4-4,,
8:59.0,,,4-6,2,T. Duncan makes 2-pt shot at rim (assist by C. Joseph)
8:41.0,A. Crabbe misses 3-pt shot from 24 ft,,4-6,,
8:40.0,,,4-6,,Defensive rebound by B. Diaw
8:34.0,,,4-9,3,D. Green makes 3-pt shot from 23 ft (assist by C. Joseph)
8:18.0,Offensive foul by L. Aldridge,,4-9,,
8:18.0,Turnover by L. Aldridge (offensive foul),,4-9,,
8:05.0,Def 3 sec tech foul by A. Crabbe,,4-9,,
8:05.0,,,4-10,1,D. Green makes technical free throw
7:57.0,,,4-12,2,T. Duncan makes 2-pt shot from 13 ft (assist by C. Joseph)
7:38.0,W. Matthews misses 2-pt shot from 1 ft,,4-12,,
7:36.0,Offensive rebound by W. Matthews,,4-12,,
7:33.0,D. Lillard makes 3-pt shot from 25 ft (assist by J. Freeland),3,7-12,,
7:14.0,,,7-12,,T. Duncan misses 2-pt shot from 1 ft
7:13.0,,,7-12,,Offensive rebound by D. Green
7:13.0,,,7-12,,D. Green misses 2-pt shot from 1 ft
7:11.0,Defensive rebound by L. Aldridge,,7-12,,
7:07.0,Turnover by J. Freeland (bad pass; steal by K. Anderson),,7-12,,
6:55.0,,,7-14,2,C. Joseph makes 2-pt shot from 2 ft
6:41.0,,,7-14,,Personal foul by B. Diaw (drawn by L. Aldridge)
6:41.0,C. Kaman enters the game for J. Freeland,,7-14,,
6:41.0,,,7-14,,A. Daye enters the game for K. Anderson
6:41.0,,,7-14,,T. Splitter enters the game for T. Duncan
6:41.0,,,7-14,,M. Bonner enters the game for B. Diaw
6:41.0,,,7-14,,M. Ginobili enters the game for D. Green
6:41.0,,,7-14,,M. Belinelli enters the game for C. Joseph
6:31.0,L. Aldridge makes 2-pt shot from 15 ft,2,9-14,,
6:18.0,,,9-16,2,M. Belinelli makes 2-pt shot from 1 ft (assist by M. Ginobili)
6:01.0,L. Aldridge makes 2-pt shot at rim,2,11-16,,
5:51.0,,,11-18,2,T. Splitter makes 2-pt shot from 6 ft
5:30.0,Turnover by C. Kaman (traveling),,11-18,,
5:30.0,,,11-18,,San Antonio full timeout
5:30.0,S. Blake enters the game for A. Crabbe,,11-18,,
5:30.0,D. Wright enters the game for W. Matthews,,11-18,,
5:18.0,,,11-18,,M. Belinelli misses 3-pt shot from 24 ft
5:17.0,Defensive rebound by D. Wright,,11-18,,
5:02.0,L. Aldridge misses 2-pt shot from 14 ft,,11-18,,
5:00.0,,,11-18,,Defensive rebound by M. Belinelli
4:56.0,Personal foul by S. Blake (drawn by M. Belinelli),,11-18,,
4:47.0,,,11-20,2,M. Ginobili makes 2-pt shot from 1 ft
4:27.0,D. Lillard makes 2-pt shot from 19 ft,2,13-20,,
4:17.0,,,13-20,,M. Ginobili misses 3-pt shot from 25 ft
4:16.0,Defensive rebound by D. Wright,,13-20,,
4:08.0,C. Kaman makes 2-pt shot from 1 ft (assist by D. Lillard),2,15-20,,
3:46.0,,,15-20,,T. Splitter misses 2-pt shot from 7 ft
3:44.0,Defensive rebound by D. Wright,,15-20,,
3:27.0,Offensive charge foul by D. Lillard,,15-20,,
3:27.0,Turnover by D. Lillard (offensive foul),,15-20,,
3:14.0,,,15-20,,Turnover by M. Ginobili (bad pass; steal by C. Kaman)
3:08.0,D. Lillard misses 2-pt shot from 2 ft,,15-20,,
3:06.0,,,15-20,,Defensive rebound by A. Daye
3:01.0,,,15-20,,M. Belinelli misses 2-pt shot from 19 ft
2:58.0,Defensive rebound by L. Aldridge,,15-20,,
2:49.0,S. Blake makes 2-pt shot from 16 ft,2,17-20,,
2:49.0,,,17-20,,San Antonio full timeout
2:49.0,Portland full timeout,,17-20,,
2:49.0,,,17-20,,K. Anderson enters the game for M. Belinelli
2:49.0,,,17-20,,C. Joseph enters the game for M. Bonner
2:49.0,,,17-20,,D. Green enters the game for A. Daye
2:49.0,,,17-20,,B. Diaw enters the game for M. Ginobili
2:49.0,,,17-20,,T. Duncan enters the game for T. Splitter
2:49.0,C. McCollum enters the game for D. Lillard,,17-20,,
2:25.0,,,17-20,,C. Joseph misses 2-pt shot at rim
2:25.0,,,17-20,,Offensive rebound by Team
2:25.0,,,17-20,,Turnover by Team (shot clock)
2:11.0,Turnover by D. Wright (bad pass; steal by B. Diaw),,17-20,,
