time,Brooklyn,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. Lopez (D. Carroll gains possession),,,,Jump ball: A. Horford vs. B. Lopez (D. Carroll gains possession)
11:40.0,,,0-2,2,J. Teague makes 2-pt shot from 2 ft
11:20.0,J. Johnson makes 2-pt shot from 4 ft (assist by D. Williams),2,2-2,,
11:00.0,,,2-4,2,A. Horford makes 2-pt shot from 18 ft (assist by K. Korver)
10:45.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by P. Millsap),,2-4,,
10:42.0,,,2-4,,Defensive rebound by P. Millsap
10:38.0,,,2-7,3,J. Teague makes 3-pt shot from 24 ft (assist by P. Millsap)
10:28.0,Turnover by D. Williams (bad pass; steal by J. Teague),,2-7,,
10:23.0,,,2-9,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
10:19.0,Brooklyn full timeout,,2-9,,
10:16.0,J. Johnson makes 3-pt shot from 25 ft (assist by D. Williams),3,5-9,,
10:03.0,,,5-12,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Carroll)
9:50.0,J. Johnson misses 3-pt shot from 25 ft,,5-12,,
9:48.0,,,5-12,,Defensive rebound by K. Korver
9:32.0,,,5-12,,A. Horford misses 2-pt shot from 15 ft
9:30.0,,,5-12,,Offensive rebound by P. Millsap
9:20.0,,,5-12,,D. Carroll misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by D. Williams,,5-12,,
9:03.0,B. Lopez misses 2-pt shot from 13 ft,,5-12,,
9:02.0,,,5-12,,Defensive rebound by D. Carroll
8:58.0,,,5-12,,Turnover by A. Horford (step out of bounds)
8:44.0,B. Lopez makes 2-pt shot at rim (assist by D. Williams),2,7-12,,
8:27.0,,,7-15,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
8:02.0,T. Young misses 2-pt shot from 5 ft,,7-15,,
7:59.0,,,7-15,,Defensive rebound by A. Horford
7:52.0,,,7-15,,Shooting foul by B. Lopez (drawn by A. Horford)
7:52.0,,,7-16,1,A. Horford makes free throw 1 of 2
7:52.0,,,7-17,1,A. Horford makes free throw 2 of 2
7:39.0,B. Lopez makes 2-pt shot from 5 ft (assist by J. Johnson),2,9-17,,
7:30.0,,,9-17,,A. Horford misses 2-pt shot from 14 ft
7:28.0,Defensive rebound by D. Williams,,9-17,,
7:14.0,B. Lopez misses 2-pt shot from 15 ft,,9-17,,
7:13.0,,,9-17,,Defensive rebound by K. Korver
6:55.0,,,9-17,,D. Carroll misses 3-pt shot from 23 ft
6:54.0,,,9-17,,Offensive rebound by P. Millsap
6:41.0,,,9-17,,Turnover by J. Teague (lost ball; steal by D. Williams)
6:36.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young),2,11-17,,
6:22.0,,,11-19,2,J. Teague makes 2-pt shot from 17 ft (assist by A. Horford)
6:14.0,,,11-19,,Personal foul by J. Teague (drawn by D. Williams)
