time,Toronto,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (N. Hilario gains possession)
11:37.0,,,0-2,2,M. Gortat makes 2-pt shot from 10 ft (assist by N. Hilario)
11:18.0,T. Ross misses 2-pt shot from 12 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by Team
11:18.0,Loose ball foul by J. Valanciunas (drawn by M. Gortat),,0-2,,
11:05.0,,,0-4,2,N. Hilario makes 2-pt shot from 14 ft (assist by M. Gortat)
10:52.0,K. Lowry misses 2-pt shot from 5 ft,,0-4,,
10:50.0,Offensive rebound by A. Johnson,,0-4,,
10:47.0,J. Valanciunas makes 2-pt shot at rim (assist by A. Johnson),2,2-4,,
10:33.0,,,2-4,,P. Pierce misses 3-pt shot from 29 ft
10:31.0,Defensive rebound by A. Johnson,,2-4,,
10:26.0,K. Lowry makes 3-pt shot from 25 ft,3,5-4,,
10:14.0,,,5-4,,B. Beal misses 3-pt shot from 26 ft
10:13.0,Defensive rebound by D. DeRozan,,5-4,,
10:03.0,D. DeRozan makes 2-pt shot from 20 ft,2,7-4,,
9:50.0,,,7-7,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
9:35.0,D. DeRozan misses 2-pt shot from 17 ft,,7-7,,
9:34.0,,,7-7,,Defensive rebound by M. Gortat
9:11.0,,,7-9,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
8:54.0,D. DeRozan makes 2-pt shot from 1 ft (assist by A. Johnson),2,9-9,,
8:54.0,Shooting foul by P. Pierce (drawn by D. DeRozan),,9-9,,
8:54.0,D. DeRozan makes free throw 1 of 1,1,10-9,,
8:45.0,,,10-11,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
8:29.0,K. Lowry makes 3-pt shot from 24 ft,3,13-11,,
8:16.0,Personal foul by T. Ross (drawn by B. Beal),,13-11,,
8:14.0,,,13-11,,B. Beal misses 2-pt shot at rim (block by T. Ross)
8:11.0,Defensive rebound by J. Valanciunas,,13-11,,
8:07.0,K. Lowry misses 2-pt shot at rim,,13-11,,
8:06.0,Offensive rebound by J. Valanciunas,,13-11,,
8:04.0,J. Valanciunas misses 2-pt shot from 3 ft,,13-11,,
8:03.0,Offensive rebound by J. Valanciunas,,13-11,,
8:02.0,J. Valanciunas misses 2-pt shot from 2 ft,,13-11,,
8:01.0,,,13-11,,Defensive rebound by P. Pierce
7:56.0,,,13-14,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
7:43.0,D. DeRozan makes 3-pt shot from 26 ft (assist by K. Lowry),3,16-14,,
7:28.0,,,16-16,2,M. Gortat makes 2-pt shot from 5 ft (assist by J. Wall)
7:07.0,D. DeRozan makes 2-pt shot from 18 ft,2,18-16,,
6:45.0,,,18-16,,B. Beal misses 3-pt shot from 26 ft
6:44.0,Defensive rebound by A. Johnson,,18-16,,
6:33.0,D. DeRozan makes 2-pt shot from 8 ft,2,20-16,,
6:24.0,,,20-16,,N. Hilario misses 2-pt shot from 18 ft
6:23.0,Defensive rebound by K. Lowry,,20-16,,
6:18.0,K. Lowry misses 3-pt shot from 25 ft (block by J. Wall),,20-16,,
6:18.0,Offensive rebound by Team,,20-16,,
6:05.0,T. Ross misses 2-pt shot from 20 ft,,20-16,,
6:04.0,,,20-16,,Defensive rebound by N. Hilario
5:53.0,,,20-16,,B. Beal misses 2-pt shot from 4 ft
5:52.0,Defensive rebound by J. Valanciunas,,20-16,,
5:44.0,T. Ross makes 3-pt shot from 24 ft (assist by D. DeRozan),3,23-16,,
5:34.0,,,23-16,,Washington full timeout
5:34.0,,,23-16,,O. Porter enters the game for P. Pierce
5:23.0,,,23-18,2,O. Porter makes 2-pt shot from 2 ft (assist by B. Beal)
5:15.0,T. Ross makes 2-pt shot at rim (assist by D. DeRozan),2,25-18,,
4:56.0,,,25-18,,M. Gortat misses 2-pt shot from 4 ft
4:55.0,Defensive rebound by A. Johnson,,25-18,,
4:42.0,Turnover by K. Lowry (lost ball; steal by J. Wall),,25-18,,
4:34.0,,,25-18,,B. Beal misses 3-pt shot from 23 ft
4:33.0,Defensive rebound by J. Valanciunas,,25-18,,
4:23.0,D. DeRozan misses 2-pt shot from 6 ft,,25-18,,
4:22.0,,,25-18,,Defensive rebound by M. Gortat
4:18.0,,,25-18,,J. Wall misses 2-pt shot from 3 ft (block by A. Johnson)
4:17.0,Defensive rebound by Team,,25-18,,
4:17.0,,,25-18,,D. Gooden enters the game for N. Hilario
4:01.0,D. DeRozan makes 3-pt shot from 25 ft (assist by T. Ross),3,28-18,,
3:41.0,,,28-21,3,B. Beal makes 3-pt shot from 24 ft (assist by M. Gortat)
3:21.0,A. Johnson makes 2-pt shot from 5 ft (assist by K. Lowry),2,30-21,,
3:08.0,,,30-24,3,D. Gooden makes 3-pt shot from 25 ft (assist by O. Porter)
3:00.0,Toronto full timeout,,30-24,,
3:00.0,,,30-24,,R. Sessions enters the game for B. Beal
3:00.0,G. Vasquez enters the game for T. Ross,,30-24,,
3:00.0,P. Patterson enters the game for A. Johnson,,30-24,,
3:00.0,L. Williams enters the game for K. Lowry,,30-24,,
2:50.0,D. DeRozan makes 2-pt shot from 2 ft,2,32-24,,
2:35.0,,,32-26,2,J. Wall makes 2-pt shot from 1 ft
2:12.0,L. Williams misses 2-pt shot from 10 ft (block by M. Gortat),,32-26,,
2:10.0,,,32-26,,Defensive rebound by M. Gortat
2:07.0,,,32-26,,Turnover by J. Wall (lost ball; steal by L. Williams)
1:56.0,D. DeRozan makes 3-pt shot from 25 ft (assist by P. Patterson),3,35-26,,
1:39.0,,,35-28,2,O. Porter makes 2-pt shot from 2 ft (assist by M. Gortat)
1:20.0,J. Valanciunas misses 2-pt shot from 2 ft (block by D. Gooden),,35-28,,
1:18.0,,,35-28,,Defensive rebound by D. Gooden
1:13.0,,,35-31,3,D. Gooden makes 3-pt shot from 26 ft (assist by J. Wall)
0:54.0,Offensive foul by J. Valanciunas,,35-31,,
0:54.0,Turnover by J. Valanciunas (offensive foul),,35-31,,
0:54.0,,,35-31,,Washington full timeout
0:54.0,T. Hansbrough enters the game for J. Valanciunas,,35-31,,
0:41.0,,,35-33,2,M. Gortat makes 2-pt shot from 8 ft
0:33.0,L. Williams misses 3-pt shot from 26 ft,,35-33,,
0:32.0,,,35-33,,Defensive rebound by M. Gortat
0:28.0,,,35-33,,Offensive foul by J. Wall
0:28.0,,,35-33,,Turnover by J. Wall (offensive foul)
0:28.0,,,35-33,,B. Beal enters the game for J. Wall
0:05.0,D. DeRozan misses 2-pt shot from 5 ft (block by M. Gortat),,35-33,,
0:04.0,,,35-33,,Defensive rebound by R. Sessions
0:01.0,,,35-33,,R. Sessions misses 3-pt shot from 34 ft
0:00.0,,,35-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,P. Patterson makes 2-pt shot from 22 ft (assist by T. Hansbrough),2,37-33,,
11:21.0,Personal foul by T. Hansbrough (drawn by N. Hilario),,37-33,,
11:16.0,,,37-33,,Offensive foul by N. Hilario
11:16.0,,,37-33,,Turnover by N. Hilario (offensive foul)
11:01.0,G. Vasquez misses 3-pt shot from 26 ft,,37-33,,
11:00.0,Offensive rebound by T. Hansbrough,,37-33,,
10:55.0,P. Patterson makes 3-pt shot from 23 ft (assist by T. Hansbrough),3,40-33,,
10:35.0,,,40-33,,R. Sessions misses 2-pt shot from 17 ft
10:34.0,,,40-33,,Offensive rebound by N. Hilario
10:33.0,Personal foul by T. Hansbrough (drawn by N. Hilario),,40-33,,
10:29.0,Personal foul by G. Vasquez (drawn by B. Beal),,40-33,,
10:21.0,,,40-33,,D. Gooden misses 2-pt shot from 15 ft
10:20.0,,,40-33,,Offensive rebound by Team
10:17.0,,,40-33,,B. Beal misses 3-pt shot from 24 ft
10:16.0,,,40-33,,Offensive rebound by D. Gooden
10:04.0,,,40-33,,Turnover by R. Sessions (bad pass; steal by K. Lowry)
9:57.0,K. Lowry misses 3-pt shot from 26 ft,,40-33,,
9:56.0,,,40-33,,Defensive rebound by D. Gooden
9:45.0,,,40-36,3,D. Gooden makes 3-pt shot from 26 ft (assist by R. Sessions)
9:18.0,T. Hansbrough misses 2-pt shot from 1 ft (block by R. Sessions),,40-36,,
9:18.0,,,40-36,,Defensive rebound by Team
9:04.0,,,40-36,,N. Hilario misses 2-pt shot from 8 ft
9:02.0,,,40-36,,Offensive rebound by O. Porter
9:01.0,Personal foul by K. Lowry (drawn by O. Porter),,40-36,,
8:50.0,,,40-36,,Shooting foul by P. Patterson (drawn by D. Gooden)
8:50.0,Official timeout,,40-36,,
8:50.0,,,40-37,1,D. Gooden makes free throw 1 of 2
8:50.0,,,40-37,,D. Gooden misses free throw 2 of 2
8:49.0,Defensive rebound by T. Hansbrough,,40-37,,
8:38.0,,,40-37,,Personal foul by N. Hilario (drawn by L. Williams)
8:26.0,K. Lowry misses 2-pt shot from 5 ft,,40-37,,
8:25.0,,,40-37,,Defensive rebound by O. Porter
8:19.0,,,40-37,,Turnover by R. Sessions (bad pass; steal by K. Lowry)
8:18.0,,,40-37,,Personal foul by D. Gooden (drawn by K. Lowry)
8:04.0,G. Vasquez misses 2-pt shot from 4 ft,,40-37,,
8:03.0,,,40-37,,Defensive rebound by O. Porter
7:51.0,,,40-37,,Turnover by N. Hilario (lost ball)
7:51.0,D. DeRozan enters the game for L. Williams,,40-37,,
7:37.0,Turnover by T. Hansbrough (lost ball; steal by N. Hilario),,40-37,,
7:32.0,,,40-37,,R. Sessions misses 2-pt shot from 2 ft
7:32.0,Defensive rebound by Team,,40-37,,
7:32.0,,,40-37,,Loose ball foul by D. Gooden (drawn by T. Hansbrough)
7:32.0,,,40-37,,J. Wall enters the game for R. Sessions
7:32.0,,,40-37,,M. Gortat enters the game for N. Hilario
7:32.0,L. Williams enters the game for G. Vasquez,,40-37,,
7:19.0,L. Williams makes 2-pt shot from 2 ft,2,42-37,,
6:58.0,,,42-37,,D. Gooden misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by L. Williams,,42-37,,
6:41.0,D. DeRozan misses 3-pt shot from 24 ft,,42-37,,
6:39.0,,,42-37,,Defensive rebound by J. Wall
6:34.0,,,42-37,,Shooting foul by L. Williams (drawn by J. Wall)
6:34.0,,,42-38,1,J. Wall makes free throw 1 of 2
6:34.0,A. Johnson enters the game for T. Hansbrough,,42-38,,
6:34.0,,,42-38,,P. Pierce enters the game for D. Gooden
6:34.0,,,42-39,1,J. Wall makes free throw 2 of 2
6:18.0,K. Lowry misses 3-pt shot from 27 ft,,42-39,,
6:17.0,,,42-39,,Defensive rebound by J. Wall
6:04.0,,,42-39,,O. Porter misses 3-pt shot from 25 ft
6:03.0,,,42-39,,Offensive rebound by B. Beal
5:57.0,,,42-41,2,M. Gortat makes 2-pt shot from 5 ft (assist by J. Wall)
5:47.0,L. Williams misses 2-pt shot from 12 ft,,42-41,,
5:46.0,,,42-41,,Defensive rebound by B. Beal
5:41.0,,,42-43,2,J. Wall makes 2-pt shot from 2 ft (assist by B. Beal)
5:39.0,Toronto full timeout,,42-43,,
5:39.0,T. Ross enters the game for L. Williams,,42-43,,
5:29.0,Turnover by D. DeRozan (lost ball; steal by O. Porter),,42-43,,
5:27.0,Personal foul by K. Lowry (drawn by J. Wall),,42-43,,
5:27.0,,,42-44,1,J. Wall makes free throw 1 of 2
5:27.0,,,42-45,1,J. Wall makes free throw 2 of 2
5:14.0,D. DeRozan misses 2-pt shot from 15 ft,,42-45,,
5:13.0,,,42-45,,Defensive rebound by B. Beal
5:08.0,Personal foul by A. Johnson (drawn by M. Gortat),,42-45,,
5:08.0,,,42-46,1,M. Gortat makes free throw 1 of 2
5:08.0,,,42-46,,M. Gortat misses free throw 2 of 2
5:06.0,Defensive rebound by A. Johnson,,42-46,,
4:56.0,Offensive foul by A. Johnson,,42-46,,
4:56.0,Turnover by A. Johnson (offensive foul),,42-46,,
4:35.0,,,42-46,,P. Pierce misses 2-pt shot from 10 ft
4:34.0,Defensive rebound by A. Johnson,,42-46,,
4:27.0,,,42-46,,Personal foul by M. Gortat (drawn by K. Lowry)
4:17.0,Turnover by A. Johnson (bad pass; steal by O. Porter),,42-46,,
4:10.0,,,42-46,,B. Beal misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by K. Lowry,,42-46,,
4:03.0,K. Lowry misses 3-pt shot from 28 ft,,42-46,,
4:02.0,,,42-46,,Defensive rebound by B. Beal
3:50.0,,,42-46,,J. Wall misses 2-pt shot from 20 ft
3:49.0,Defensive rebound by K. Lowry,,42-46,,
3:41.0,Shooting foul by P. Pierce (drawn by D. DeRozan),,42-46,,
3:41.0,D. DeRozan makes free throw 1 of 2,1,43-46,,
3:41.0,G. Vasquez enters the game for K. Lowry,,43-46,,
3:41.0,D. DeRozan makes free throw 2 of 2,1,44-46,,
3:19.0,,,44-46,,J. Wall misses 2-pt shot from 4 ft
3:18.0,,,44-46,,Offensive rebound by M. Gortat
3:16.0,,,44-46,,M. Gortat misses 2-pt shot from 7 ft
3:16.0,Defensive rebound by G. Vasquez,,44-46,,
3:07.0,G. Vasquez misses 2-pt shot from 7 ft,,44-46,,
3:06.0,Offensive rebound by A. Johnson,,44-46,,
3:03.0,A. Johnson makes 2-pt shot from 1 ft,2,46-46,,
2:38.0,,,46-48,2,P. Pierce makes 2-pt shot at rim (assist by B. Beal)
2:25.0,A. Johnson misses 2-pt shot from 19 ft,,46-48,,
2:23.0,,,46-48,,Defensive rebound by O. Porter
2:11.0,,,46-48,,J. Wall misses 2-pt shot from 4 ft
2:10.0,Defensive rebound by A. Johnson,,46-48,,
2:01.0,G. Vasquez makes 2-pt shot from 7 ft,2,48-48,,
1:54.0,,,48-48,,Washington full timeout
1:54.0,J. Valanciunas enters the game for P. Patterson,,48-48,,
1:44.0,,,48-48,,P. Pierce misses 3-pt shot from 23 ft
1:43.0,Defensive rebound by G. Vasquez,,48-48,,
1:23.0,J. Valanciunas misses 2-pt shot from 13 ft,,48-48,,
1:22.0,,,48-48,,Defensive rebound by B. Beal
1:13.0,,,48-50,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
0:55.0,Offensive foul by J. Valanciunas,,48-50,,
0:55.0,Turnover by J. Valanciunas (offensive foul),,48-50,,
0:55.0,,,48-50,,N. Hilario enters the game for P. Pierce
0:48.0,,,48-50,,Shooting foul by G. Vasquez (drawn by B. Beal)
0:48.0,,,48-51,1,B. Beal makes free throw 1 of 2
0:48.0,,,48-52,1,B. Beal makes free throw 2 of 2
0:30.0,D. DeRozan misses 2-pt shot from 22 ft,,48-52,,
0:28.0,,,48-52,,Defensive rebound by Team
0:07.0,,,48-54,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
0:01.0,D. DeRozan misses 2-pt shot from 18 ft,,48-54,,
0:00.0,Offensive rebound by Team,,48-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,D. DeRozan misses 2-pt shot from 17 ft,,48-54,,
11:46.0,Offensive rebound by D. DeRozan,,48-54,,
11:44.0,D. DeRozan misses 2-pt shot from 12 ft (block by M. Gortat),,48-54,,
11:44.0,,,48-54,,Defensive rebound by M. Gortat
11:44.0,Personal foul by J. Valanciunas (drawn by M. Gortat),,48-54,,
11:23.0,,,48-57,3,P. Pierce makes 3-pt shot from 26 ft
10:59.0,J. Valanciunas makes 2-pt shot at rim (assist by A. Johnson),2,50-57,,
10:38.0,,,50-59,2,N. Hilario makes 2-pt shot from 1 ft (assist by M. Gortat)
10:18.0,D. DeRozan misses 2-pt shot from 17 ft,,50-59,,
10:17.0,,,50-59,,Defensive rebound by M. Gortat
