time,Chicago,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. P. Gasol (D. Rose gains possession),,,,Jump ball: A. Davis vs. P. Gasol (D. Rose gains possession)
11:44.0,P. Gasol misses 2-pt shot from 17 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by A. Davis
11:29.0,Personal foul by J. Noah (drawn by A. Davis),,0-0,,
11:20.0,,,0-0,,O. Asik misses 2-pt shot from 3 ft (block by P. Gasol)
11:19.0,,,0-0,,Offensive rebound by D. Cunningham
11:14.0,,,0-0,,A. Davis misses 2-pt shot from 21 ft
11:13.0,Defensive rebound by J. Butler,,0-0,,
11:02.0,J. Butler misses 2-pt shot from 17 ft,,0-0,,
11:00.0,,,0-0,,Defensive rebound by E. Gordon
10:52.0,,,0-0,,T. Evans misses 2-pt shot from 1 ft
10:50.0,,,0-0,,Offensive rebound by O. Asik
10:48.0,,,0-0,,O. Asik misses 2-pt shot from 3 ft
10:48.0,,,0-0,,Offensive rebound by A. Davis
10:47.0,,,0-0,,A. Davis misses 2-pt shot at rim
10:47.0,Defensive rebound by P. Gasol,,0-0,,
10:42.0,J. Butler misses 3-pt shot from 23 ft,,0-0,,
10:39.0,,,0-0,,Defensive rebound by T. Evans
10:30.0,,,0-0,,A. Davis misses 2-pt shot from 6 ft
10:29.0,Defensive rebound by K. Hinrich,,0-0,,
10:14.0,D. Rose makes 3-pt shot from 25 ft (assist by P. Gasol),3,3-0,,
9:53.0,,,3-0,,E. Gordon misses 2-pt shot from 9 ft
9:52.0,Defensive rebound by J. Noah,,3-0,,
9:40.0,D. Rose makes 2-pt shot from 1 ft,2,5-0,,
9:13.0,,,5-0,,A. Davis misses 2-pt shot from 17 ft
9:11.0,Defensive rebound by P. Gasol,,5-0,,
9:00.0,Turnover by P. Gasol (bad pass; steal by D. Cunningham),,5-0,,
8:56.0,,,5-0,,Turnover by T. Evans (lost ball; steal by K. Hinrich)
8:38.0,P. Gasol misses 2-pt shot from 5 ft,,5-0,,
8:37.0,,,5-0,,Defensive rebound by O. Asik
8:31.0,,,5-2,2,T. Evans makes 2-pt shot from 2 ft
8:10.0,J. Butler misses 2-pt shot at rim (block by D. Cunningham),,5-2,,
8:09.0,,,5-2,,Defensive rebound by O. Asik
7:58.0,,,5-2,,A. Davis misses 2-pt shot from 7 ft
7:57.0,Defensive rebound by P. Gasol,,5-2,,
7:47.0,J. Noah misses 2-pt shot from 17 ft,,5-2,,
7:45.0,,,5-2,,Defensive rebound by E. Gordon
7:37.0,,,5-4,2,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon)
7:12.0,D. Rose misses 2-pt shot from 18 ft,,5-4,,
7:11.0,,,5-4,,Defensive rebound by A. Davis
7:00.0,,,5-4,,E. Gordon misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by J. Noah,,5-4,,
6:47.0,Turnover by D. Rose (bad pass; steal by A. Davis),,5-4,,
6:41.0,,,5-6,2,T. Evans makes 2-pt shot from 1 ft (assist by O. Asik)
6:30.0,K. Hinrich misses 3-pt shot from 24 ft,,5-6,,
6:25.0,Offensive rebound by P. Gasol,,5-6,,
6:25.0,P. Gasol makes 2-pt shot from 2 ft,2,7-6,,
6:10.0,,,7-8,2,O. Asik makes 2-pt shot at rim (assist by E. Gordon)
5:45.0,J. Butler misses 3-pt shot from 26 ft,,7-8,,
5:40.0,Offensive rebound by P. Gasol,,7-8,,
5:40.0,P. Gasol misses 2-pt shot from 2 ft,,7-8,,
5:40.0,Offensive rebound by Team,,7-8,,
