time,Dallas,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Davis (J. Holiday gains possession),,,,Jump ball: T. Chandler vs. A. Davis (J. Holiday gains possession)
11:45.0,,,0-2,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
11:29.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by T. Chandler),2,2-2,,
11:11.0,,,2-2,,J. Holiday misses 2-pt shot from 21 ft
11:10.0,Defensive rebound by C. Parsons,,2-2,,
11:02.0,D. Nowitzki misses 3-pt shot from 24 ft,,2-2,,
10:56.0,Offensive rebound by T. Chandler,,2-2,,
10:53.0,M. Ellis misses 2-pt shot from 2 ft,,2-2,,
10:52.0,Offensive rebound by M. Ellis,,2-2,,
10:52.0,M. Ellis misses 2-pt shot from 2 ft,,2-2,,
10:51.0,Offensive rebound by M. Ellis,,2-2,,
10:51.0,M. Ellis makes 2-pt shot from 2 ft,2,4-2,,
10:32.0,,,4-2,,T. Evans misses 2-pt shot from 20 ft
10:31.0,,,4-2,,Offensive rebound by O. Asik
10:22.0,,,4-2,,J. Holiday misses 3-pt shot from 23 ft
10:21.0,Defensive rebound by D. Nowitzki,,4-2,,
10:12.0,C. Parsons makes 2-pt shot from 11 ft,2,6-2,,
9:52.0,,,6-2,,A. Davis misses 2-pt shot from 9 ft
9:51.0,Defensive rebound by C. Parsons,,6-2,,
9:43.0,C. Parsons makes 2-pt shot from 2 ft,2,8-2,,
9:17.0,,,8-2,,E. Gordon misses 2-pt shot from 7 ft
9:16.0,Defensive rebound by J. Nelson,,8-2,,
9:11.0,Shooting foul by O. Asik (drawn by T. Chandler),,8-2,,
9:11.0,T. Chandler misses free throw 1 of 2,,8-2,,
9:11.0,Offensive rebound by Team,,8-2,,
9:11.0,T. Chandler makes free throw 2 of 2,1,9-2,,
9:02.0,,,9-4,2,J. Holiday makes 2-pt shot from 2 ft
8:54.0,Turnover by M. Ellis (bad pass),,9-4,,
8:42.0,,,9-4,,E. Gordon misses 2-pt shot from 3 ft (block by T. Chandler)
8:41.0,Defensive rebound by J. Nelson,,9-4,,
8:26.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,11-4,,
8:19.0,,,11-4,,T. Evans misses 2-pt shot from 2 ft (block by D. Nowitzki)
8:19.0,,,11-4,,Offensive rebound by Team
8:13.0,,,11-6,2,O. Asik makes 2-pt shot from 2 ft (assist by J. Holiday)
8:03.0,J. Nelson misses 2-pt shot from 2 ft,,11-6,,
8:02.0,,,11-6,,Defensive rebound by O. Asik
7:58.0,Personal foul by T. Chandler (drawn by A. Davis),,11-6,,
7:51.0,,,11-6,,O. Asik misses 2-pt shot from 2 ft
7:49.0,Defensive rebound by M. Ellis,,11-6,,
7:42.0,M. Ellis misses 2-pt shot from 20 ft,,11-6,,
7:41.0,,,11-6,,Defensive rebound by O. Asik
7:31.0,,,11-6,,E. Gordon misses 2-pt shot from 20 ft
7:30.0,Defensive rebound by T. Chandler,,11-6,,
7:20.0,J. Nelson misses 3-pt shot from 23 ft,,11-6,,
7:18.0,,,11-6,,Defensive rebound by T. Evans
7:16.0,Personal foul by M. Ellis (drawn by T. Evans),,11-6,,
7:16.0,,,11-6,,New Orleans full timeout
7:04.0,,,11-6,,E. Gordon misses 2-pt shot from 6 ft
7:02.0,Defensive rebound by D. Nowitzki,,11-6,,
6:43.0,Turnover by D. Nowitzki (bad pass; steal by J. Holiday),,11-6,,
6:38.0,,,11-6,,A. Davis misses 2-pt shot from 2 ft
6:36.0,Defensive rebound by M. Ellis,,11-6,,
6:27.0,J. Nelson makes 3-pt shot from 24 ft (assist by C. Parsons),3,14-6,,
6:14.0,,,14-8,2,J. Holiday makes 2-pt shot from 16 ft
6:01.0,T. Chandler makes 2-pt shot at rim (assist by C. Parsons),2,16-8,,
5:39.0,,,16-10,2,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans)
5:24.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by J. Nelson),2,18-10,,
5:08.0,,,18-10,,J. Holiday misses 2-pt shot from 11 ft
5:07.0,Defensive rebound by T. Chandler,,18-10,,
4:59.0,Shooting foul by T. Evans (drawn by C. Parsons),,18-10,,
4:59.0,C. Parsons makes free throw 1 of 2,1,19-10,,
4:59.0,,,19-10,,R. Anderson enters the game for O. Asik
4:59.0,D. Harris enters the game for D. Nowitzki,,19-10,,
4:59.0,C. Parsons makes free throw 2 of 2,1,20-10,,
4:52.0,Personal foul by M. Ellis (drawn by E. Gordon),,20-10,,
4:52.0,,,20-10,,A. Rivers enters the game for E. Gordon
4:52.0,A. Aminu enters the game for M. Ellis,,20-10,,
4:45.0,,,20-10,,A. Davis misses 2-pt shot from 3 ft (block by T. Chandler)
4:43.0,Defensive rebound by T. Chandler,,20-10,,
4:36.0,C. Parsons misses 2-pt shot from 2 ft,,20-10,,
4:35.0,,,20-10,,Defensive rebound by A. Davis
4:29.0,,,20-12,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Evans)
4:22.0,J. Nelson misses 3-pt shot from 26 ft,,20-12,,
4:21.0,Offensive rebound by A. Aminu,,20-12,,
4:17.0,D. Harris misses 3-pt shot from 25 ft,,20-12,,
4:16.0,,,20-12,,Defensive rebound by A. Davis
4:06.0,,,20-12,,T. Evans misses 2-pt shot from 20 ft
4:05.0,,,20-12,,Offensive rebound by R. Anderson
4:04.0,,,20-14,2,R. Anderson makes 2-pt shot from 1 ft
4:02.0,Dallas full timeout,,20-14,,
4:02.0,B. Wright enters the game for T. Chandler,,20-14,,
3:44.0,J. Nelson misses 2-pt shot from 18 ft,,20-14,,
3:42.0,,,20-14,,Defensive rebound by T. Evans
3:32.0,,,20-14,,A. Davis misses 2-pt shot from 4 ft (block by B. Wright)
3:30.0,,,20-14,,Offensive rebound by A. Davis
3:24.0,,,20-17,3,J. Holiday makes 3-pt shot from 22 ft (assist by R. Anderson)
3:14.0,B. Wright misses 2-pt shot from 1 ft (block by A. Davis),,20-17,,
3:13.0,,,20-17,,Defensive rebound by A. Rivers
3:07.0,,,20-17,,A. Davis misses 2-pt shot from 2 ft (block by B. Wright)
3:06.0,,,20-17,,Offensive rebound by R. Anderson
3:06.0,,,20-17,,R. Anderson misses 2-pt shot at rim
3:06.0,,,20-17,,Offensive rebound by A. Davis
3:06.0,,,20-17,,Shooting foul by B. Wright (drawn by A. Davis)
3:06.0,,,20-17,,A. Davis misses free throw 1 of 2
3:06.0,,,20-17,,Offensive rebound by Team
3:06.0,,,20-17,,J. Salmons enters the game for T. Evans
3:06.0,,,20-18,1,A. Davis makes free throw 2 of 2
2:56.0,Shooting foul by R. Anderson (drawn by C. Parsons),,20-18,,
2:56.0,C. Parsons makes free throw 1 of 2,1,21-18,,
2:56.0,C. Parsons makes free throw 2 of 2,1,22-18,,
2:40.0,,,22-18,,J. Holiday misses 2-pt shot from 2 ft
2:39.0,,,22-18,,Offensive rebound by J. Holiday
2:39.0,,,22-20,2,J. Holiday makes 2-pt shot from 2 ft
2:27.0,C. Parsons makes 2-pt shot from 1 ft,2,24-20,,
2:21.0,,,24-23,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Holiday)
2:10.0,A. Aminu makes 2-pt shot from 2 ft (assist by C. Parsons),2,26-23,,
1:47.0,,,26-23,,J. Salmons misses 2-pt shot from 9 ft
1:46.0,Defensive rebound by A. Aminu,,26-23,,
1:43.0,Shooting foul by A. Rivers (drawn by D. Harris),,26-23,,
1:43.0,D. Harris makes free throw 1 of 2,1,27-23,,
1:43.0,,,27-23,,J. Fredette enters the game for J. Holiday
1:43.0,J. Barea enters the game for J. Nelson,,27-23,,
1:43.0,D. Harris makes free throw 2 of 2,1,28-23,,
1:26.0,,,28-25,2,R. Anderson makes 2-pt shot from 6 ft (assist by A. Rivers)
1:07.0,J. Barea makes 2-pt shot from 2 ft,2,30-25,,
0:47.0,,,30-25,,Shooting foul by A. Aminu (drawn by A. Rivers)
0:47.0,,,30-26,1,A. Rivers makes free throw 1 of 2
0:47.0,,,30-26,,O. Asik enters the game for A. Davis
0:47.0,D. Nowitzki enters the game for C. Parsons,,30-26,,
0:47.0,,,30-26,,A. Rivers misses free throw 2 of 2
0:46.0,Defensive rebound by A. Aminu,,30-26,,
0:33.0,Offensive foul by J. Barea,,30-26,,
0:33.0,Turnover by J. Barea (offensive foul),,30-26,,
0:16.0,,,30-26,,J. Salmons misses 3-pt shot from 25 ft
0:15.0,Defensive rebound by D. Harris,,30-26,,
0:01.0,D. Harris makes 2-pt shot from 6 ft,2,32-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,A. Aminu misses 3-pt shot from 25 ft,,32-26,,
11:43.0,Offensive rebound by B. Wright,,32-26,,
11:39.0,D. Harris makes 3-pt shot from 25 ft (assist by J. Barea),3,35-26,,
11:17.0,,,35-28,2,O. Asik makes 2-pt shot at rim (assist by A. Rivers)
10:59.0,D. Nowitzki misses 2-pt shot from 15 ft,,35-28,,
10:58.0,Offensive rebound by B. Wright,,35-28,,
10:58.0,B. Wright makes 2-pt shot at rim,2,37-28,,
10:43.0,,,37-28,,R. Anderson misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by D. Nowitzki,,37-28,,
