time,Oklahoma City,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,,,0-0,,Z. Randolph misses 2-pt shot from 18 ft
12:00.0,Jump ball: S. Adams vs. M. Gasol (Z. Randolph gains possession),,,,Jump ball: S. Adams vs. M. Gasol (Z. Randolph gains possession)
11:43.0,Defensive rebound by S. Ibaka,,0-0,,
11:25.0,Turnover by K. Durant (lost ball; steal by M. Gasol),,0-0,,
11:13.0,,,0-0,,J. Green misses 3-pt shot from 25 ft
11:12.0,,,0-0,,Offensive rebound by M. Conley
11:09.0,,,0-2,2,M. Conley makes 2-pt shot from 12 ft
10:54.0,R. Westbrook makes 2-pt shot from 17 ft,2,2-2,,
10:38.0,,,2-2,,M. Gasol misses 2-pt shot from 8 ft
10:35.0,Defensive rebound by R. Westbrook,,2-2,,
10:29.0,,,2-2,,Violation by M. Gasol (kicked ball)
10:20.0,K. Durant makes 2-pt shot from 13 ft (assist by R. Westbrook),2,4-2,,
10:03.0,,,4-5,3,M. Conley makes 3-pt shot from 26 ft (assist by C. Lee)
9:42.0,R. Westbrook misses 2-pt shot from 14 ft,,4-5,,
9:41.0,,,4-5,,Defensive rebound by Team
9:24.0,,,4-5,,M. Conley misses 2-pt shot at rim (block by S. Ibaka)
9:23.0,Defensive rebound by R. Westbrook,,4-5,,
9:09.0,R. Westbrook makes 2-pt shot from 15 ft,2,6-5,,
8:53.0,,,6-7,2,Z. Randolph makes 2-pt shot from 15 ft
8:38.0,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant),2,8-7,,
8:19.0,,,8-9,2,Z. Randolph makes 2-pt shot from 1 ft
8:00.0,S. Ibaka misses 2-pt shot from 17 ft,,8-9,,
7:59.0,,,8-9,,Defensive rebound by M. Gasol
7:47.0,,,8-9,,C. Lee misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by S. Ibaka,,8-9,,
7:29.0,R. Westbrook misses 2-pt shot from 10 ft,,8-9,,
7:28.0,,,8-9,,Defensive rebound by M. Gasol
7:28.0,Loose ball foul by R. Westbrook (drawn by M. Gasol),,8-9,,
7:11.0,,,8-9,,J. Green misses 2-pt shot from 6 ft
7:10.0,Defensive rebound by K. Durant,,8-9,,
6:58.0,S. Ibaka makes 3-pt shot from 22 ft (assist by S. Adams),3,11-9,,
6:43.0,,,11-11,2,J. Green makes 2-pt shot from 1 ft
6:36.0,R. Westbrook makes 2-pt shot from 17 ft,2,13-11,,
6:22.0,,,13-11,,M. Gasol misses 2-pt shot from 12 ft
6:20.0,Defensive rebound by K. Durant,,13-11,,
6:06.0,R. Westbrook misses 3-pt shot from 26 ft,,13-11,,
6:05.0,,,13-11,,Defensive rebound by Z. Randolph
5:56.0,Personal foul by S. Adams (drawn by M. Gasol),,13-11,,
5:56.0,,,13-11,,Memphis full timeout
5:46.0,,,13-13,2,C. Lee makes 2-pt shot from 17 ft (assist by M. Gasol)
5:29.0,K. Durant makes 2-pt shot from 20 ft (assist by R. Westbrook),2,15-13,,
5:04.0,,,15-13,,M. Conley misses 2-pt shot from 11 ft
5:03.0,,,15-13,,Offensive rebound by M. Conley
5:00.0,,,15-15,2,M. Conley makes 2-pt shot from 8 ft
4:52.0,R. Westbrook misses 2-pt shot from 11 ft,,15-15,,
4:50.0,,,15-15,,Defensive rebound by M. Gasol
4:43.0,,,15-15,,C. Lee misses 2-pt shot from 11 ft
4:41.0,Defensive rebound by A. Roberson,,15-15,,
4:34.0,Offensive foul by S. Adams,,15-15,,
4:34.0,Turnover by S. Adams (offensive foul),,15-15,,
4:34.0,D. Waiters enters the game for A. Roberson,,15-15,,
4:34.0,K. Perkins enters the game for S. Adams,,15-15,,
4:34.0,,,15-15,,T. Allen enters the game for J. Green
4:17.0,,,15-18,3,M. Conley makes 3-pt shot from 23 ft (assist by M. Gasol)
4:02.0,S. Ibaka misses 2-pt shot from 4 ft (block by M. Gasol),,15-18,,
3:59.0,,,15-18,,Defensive rebound by Z. Randolph
3:46.0,,,15-18,,M. Gasol misses 2-pt shot from 20 ft
3:46.0,,,15-18,,Offensive rebound by Z. Randolph
3:38.0,,,15-18,,M. Conley misses 3-pt shot from 26 ft
3:37.0,Defensive rebound by D. Waiters,,15-18,,
3:29.0,R. Westbrook misses 2-pt shot from 11 ft,,15-18,,
3:27.0,,,15-18,,Defensive rebound by M. Gasol
3:21.0,,,15-18,,Turnover by M. Conley (lost ball; steal by D. Waiters)
3:15.0,D. Waiters misses 2-pt shot at rim,,15-18,,
3:14.0,Offensive rebound by D. Waiters,,15-18,,
3:14.0,D. Waiters makes 2-pt shot at rim,2,17-18,,
