time,Miami,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. T. Chandler (N. Cole gains possession),,,,Jump ball: C. Bosh vs. T. Chandler (N. Cole gains possession)
11:44.0,L. Deng makes 2-pt shot from 17 ft (assist by D. Wade),2,2-0,,
11:18.0,,,2-0,,M. Ellis misses 3-pt shot from 26 ft
11:17.0,Defensive rebound by C. Bosh,,2-0,,
10:52.0,S. Williams makes 2-pt shot from 16 ft (assist by N. Cole),2,4-0,,
10:35.0,,,4-2,2,M. Ellis makes 2-pt shot from 1 ft
10:24.0,,,4-2,,Personal foul by M. Ellis (drawn by D. Wade)
10:13.0,C. Bosh makes 2-pt shot from 17 ft (assist by D. Wade),2,6-2,,
9:53.0,,,6-5,3,J. Nelson makes 3-pt shot from 24 ft (assist by D. Nowitzki)
9:35.0,D. Wade misses 2-pt shot from 20 ft,,6-5,,
9:34.0,,,6-5,,Defensive rebound by D. Nowitzki
9:28.0,,,6-8,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis)
9:22.0,S. Williams misses 3-pt shot from 22 ft,,6-8,,
9:22.0,,,6-8,,Defensive rebound by T. Chandler
9:11.0,Personal foul by S. Williams (drawn by T. Chandler),,6-8,,
9:01.0,,,6-8,,D. Nowitzki misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by N. Cole,,6-8,,
8:52.0,Shooting foul by J. Nelson (drawn by C. Bosh),,6-8,,
8:52.0,C. Bosh makes free throw 1 of 2,1,7-8,,
8:52.0,C. Bosh makes free throw 2 of 2,1,8-8,,
8:28.0,,,8-8,,C. Parsons misses 2-pt shot from 13 ft
8:27.0,,,8-8,,Offensive rebound by T. Chandler
8:27.0,,,8-10,2,T. Chandler makes 2-pt shot at rim
8:14.0,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade),2,10-10,,
8:04.0,,,10-10,,J. Nelson misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by C. Bosh,,10-10,,
7:55.0,D. Wade misses 2-pt shot from 3 ft (block by C. Parsons),,10-10,,
7:53.0,,,10-10,,Defensive rebound by C. Parsons
7:47.0,,,10-10,,M. Ellis misses 3-pt shot from 22 ft
7:47.0,,,10-10,,Offensive rebound by T. Chandler
7:47.0,Loose ball foul by N. Cole (drawn by T. Chandler),,10-10,,
7:41.0,,,10-10,,D. Nowitzki misses 2-pt shot from 1 ft
7:39.0,Defensive rebound by C. Bosh,,10-10,,
7:31.0,C. Bosh misses 3-pt shot from 24 ft,,10-10,,
7:30.0,,,10-10,,Defensive rebound by C. Parsons
7:21.0,,,10-10,,Turnover by C. Parsons (lost ball; steal by N. Cole)
7:16.0,D. Wade misses 2-pt shot from 1 ft,,10-10,,
7:14.0,,,10-10,,Defensive rebound by D. Nowitzki
7:09.0,,,10-10,,M. Ellis misses 2-pt shot from 1 ft
7:07.0,Defensive rebound by S. Williams,,10-10,,
6:56.0,Turnover by N. Cole (bad pass; steal by J. Nelson),,10-10,,
6:51.0,,,10-12,2,J. Nelson makes 2-pt shot at rim (assist by D. Nowitzki)
6:36.0,Turnover by S. Williams (bad pass),,10-12,,
6:36.0,U. Haslem enters the game for C. Bosh,,10-12,,
6:22.0,,,10-12,,D. Nowitzki misses 2-pt shot from 17 ft
6:21.0,Defensive rebound by L. Deng,,10-12,,
6:10.0,N. Cole misses 3-pt shot from 24 ft,,10-12,,
6:09.0,,,10-12,,Defensive rebound by T. Chandler
6:01.0,,,10-14,2,D. Nowitzki makes 2-pt shot from 2 ft (assist by M. Ellis)
5:59.0,Miami full timeout,,10-14,,
5:59.0,,,10-14,,A. Aminu enters the game for D. Nowitzki
5:45.0,L. Deng makes 2-pt shot from 15 ft (assist by N. Cole),2,12-14,,
5:21.0,,,12-14,,Turnover by T. Chandler (lost ball; steal by L. Deng)
5:14.0,D. Wade makes 2-pt shot from 9 ft,2,14-14,,
4:52.0,,,14-14,,C. Parsons misses 3-pt shot from 26 ft
4:51.0,Defensive rebound by U. Haslem,,14-14,,
4:34.0,N. Cole misses 2-pt shot from 21 ft,,14-14,,
4:32.0,,,14-14,,Defensive rebound by T. Chandler
4:25.0,,,14-14,,Turnover by M. Ellis (lost ball; steal by D. Wade)
4:19.0,L. Deng misses 3-pt shot from 25 ft,,14-14,,
4:18.0,,,14-14,,Defensive rebound by A. Aminu
4:13.0,,,14-14,,Shooting foul by U. Haslem (drawn by M. Ellis)
4:13.0,,,14-15,1,M. Ellis makes free throw 1 of 2
4:13.0,,,14-15,,B. Wright enters the game for T. Chandler
4:13.0,,,14-15,,D. Harris enters the game for J. Nelson
4:13.0,S. Napier enters the game for D. Wade,,14-15,,
4:13.0,M. Chalmers enters the game for N. Cole,,14-15,,
4:13.0,Violation by M. Chalmers (lane),,14-15,,
4:13.0,,,14-16,1,M. Ellis makes free throw 2 of 2
4:04.0,,,14-16,,Personal foul by M. Ellis (drawn by U. Haslem)
4:04.0,,,14-16,,J. Nelson enters the game for M. Ellis
3:49.0,M. Chalmers makes 3-pt shot from 27 ft (assist by S. Williams),3,17-16,,
3:34.0,,,17-16,,Shooting foul by M. Chalmers (drawn by D. Harris)
3:34.0,,,17-16,,D. Harris misses free throw 1 of 2
3:34.0,,,17-16,,Offensive rebound by Team
3:34.0,C. Bosh enters the game for S. Williams,,17-16,,
3:34.0,,,17-17,1,D. Harris makes free throw 2 of 2
3:19.0,S. Napier misses 2-pt shot from 23 ft,,17-17,,
3:18.0,,,17-17,,Defensive rebound by A. Aminu
3:10.0,,,17-17,,Turnover by J. Nelson (bad pass)
2:55.0,Shooting foul by B. Wright (drawn by C. Bosh),,17-17,,
2:55.0,,,17-17,,Dallas full timeout
2:55.0,,,17-17,,J. Barea enters the game for C. Parsons
2:55.0,,,17-17,,D. Nowitzki enters the game for J. Nelson
2:55.0,C. Bosh misses free throw 1 of 2,,17-17,,
2:55.0,Offensive rebound by Team,,17-17,,
2:55.0,C. Bosh makes free throw 2 of 2,1,18-17,,
2:42.0,,,18-20,3,D. Nowitzki makes 3-pt shot from 22 ft (assist by D. Harris)
2:22.0,L. Deng makes 2-pt shot from 1 ft,2,20-20,,
2:07.0,,,20-20,,D. Harris misses 2-pt shot from 22 ft
2:06.0,Defensive rebound by C. Bosh,,20-20,,
1:54.0,C. Bosh makes 2-pt shot at rim (assist by M. Chalmers),2,22-20,,
1:36.0,,,22-20,,D. Nowitzki misses 2-pt shot from 18 ft
1:35.0,Defensive rebound by L. Deng,,22-20,,
1:22.0,U. Haslem makes 2-pt shot from 16 ft (assist by C. Bosh),2,24-20,,
1:04.0,,,24-20,,J. Barea misses 2-pt shot from 7 ft
1:02.0,Defensive rebound by U. Haslem,,24-20,,
0:45.0,C. Bosh makes 2-pt shot from 16 ft,2,26-20,,
0:32.0,,,26-20,,J. Barea misses 2-pt shot from 11 ft
0:31.0,Defensive rebound by C. Bosh,,26-20,,
0:09.0,L. Deng makes 3-pt shot from 23 ft (assist by M. Chalmers),3,29-20,,
0:02.0,,,29-20,,A. Aminu misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by U. Haslem,,29-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,Personal foul by U. Haslem (drawn by D. Harris),,29-20,,
11:41.0,,,29-22,2,D. Nowitzki makes 2-pt shot from 16 ft
11:16.0,U. Haslem misses 2-pt shot from 3 ft,,29-22,,
11:14.0,,,29-22,,Defensive rebound by D. Nowitzki
11:05.0,,,29-24,2,D. Nowitzki makes 2-pt shot at rim (assist by J. Barea)
10:47.0,M. Chalmers makes 2-pt shot from 1 ft (assist by C. Bosh),2,31-24,,
10:38.0,,,31-26,2,A. Aminu makes 2-pt shot at rim (assist by D. Harris)
10:20.0,M. Chalmers makes 2-pt shot at rim (assist by U. Haslem),2,33-26,,
10:01.0,,,33-26,,J. Barea misses 2-pt shot from 2 ft (block by U. Haslem)
9:58.0,Defensive rebound by C. Bosh,,33-26,,
9:46.0,J. Ennis misses 2-pt shot from 3 ft (block by D. Nowitzki),,33-26,,
9:46.0,Offensive rebound by Team,,33-26,,
9:46.0,J. McRoberts enters the game for U. Haslem,,33-26,,
9:46.0,,,33-26,,C. Parsons enters the game for D. Nowitzki
9:46.0,,,33-26,,T. Chandler enters the game for B. Wright
9:41.0,J. Ennis misses 2-pt shot from 18 ft,,33-26,,
9:40.0,,,33-26,,Defensive rebound by T. Chandler
9:30.0,D. Wade enters the game for J. Ennis,,33-26,,
9:17.0,,,33-26,,J. Barea misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by J. McRoberts,,33-26,,
9:16.0,,,33-26,,Loose ball foul by T. Chandler (drawn by J. McRoberts)
9:04.0,Turnover by S. Napier (bad pass; steal by J. Barea),,33-26,,
9:00.0,,,33-26,,Shooting foul by D. Wade (drawn by C. Parsons)
9:00.0,,,33-27,1,C. Parsons makes free throw 1 of 2
9:00.0,,,33-28,1,C. Parsons makes free throw 2 of 2
8:51.0,,,33-28,,Personal foul by C. Parsons (drawn by D. Wade)
8:51.0,Official timeout,,33-28,,
8:41.0,C. Bosh misses 2-pt shot from 19 ft,,33-28,,
8:40.0,,,33-28,,Defensive rebound by J. Barea
8:22.0,,,33-28,,C. Parsons misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by J. McRoberts,,33-28,,
8:16.0,Turnover by J. McRoberts (bad pass; steal by J. Barea),,33-28,,
8:08.0,,,33-28,,C. Parsons misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by J. McRoberts,,33-28,,
7:59.0,,,33-28,,Shooting block foul by A. Aminu (drawn by D. Wade)
7:59.0,D. Wade misses free throw 1 of 2,,33-28,,
7:59.0,Offensive rebound by Team,,33-28,,
7:59.0,,,33-28,,M. Ellis enters the game for J. Barea
7:59.0,U. Haslem enters the game for C. Bosh,,33-28,,
7:59.0,D. Wade makes free throw 2 of 2,1,34-28,,
7:46.0,,,34-30,2,T. Chandler makes 2-pt shot at rim (assist by A. Aminu)
7:17.0,J. McRoberts makes 2-pt shot from 3 ft,2,36-30,,
6:56.0,,,36-30,,Turnover by M. Ellis (lost ball; steal by S. Napier)
6:51.0,D. Wade makes 2-pt shot from 1 ft,2,38-30,,
6:50.0,,,38-30,,Dallas full timeout
6:50.0,,,38-30,,D. Nowitzki enters the game for A. Aminu
6:38.0,,,38-32,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
6:18.0,Turnover by D. Wade (lost ball; steal by D. Nowitzki),,38-32,,
6:03.0,Personal foul by U. Haslem (drawn by D. Nowitzki),,38-32,,
6:03.0,C. Bosh enters the game for U. Haslem,,38-32,,
6:03.0,,,38-32,,J. Nelson enters the game for D. Harris
5:59.0,,,38-32,,M. Ellis misses 2-pt shot at rim
5:58.0,,,38-32,,Offensive rebound by T. Chandler
5:58.0,,,38-34,2,T. Chandler makes 2-pt shot from 1 ft
5:54.0,Miami full timeout,,38-34,,
5:39.0,L. Deng enters the game for S. Napier,,38-34,,
5:37.0,D. Wade makes 2-pt shot from 16 ft (assist by L. Deng),2,40-34,,
5:12.0,,,40-34,,D. Nowitzki misses 2-pt shot from 16 ft
5:11.0,,,40-34,,Offensive rebound by T. Chandler
5:11.0,,,40-34,,T. Chandler misses 2-pt shot from 2 ft
5:10.0,,,40-34,,Offensive rebound by C. Parsons
