time,New York,pts.away,score,pts.home,Milwaukee
1:51.0,T. Hardaway misses 3-pt shot from 25 ft,,23-26,,
1:50.0,Offensive rebound by C. Anthony,,23-26,,
1:45.0,New York full timeout,,23-26,,
1:37.0,J. Smith misses 2-pt shot from 18 ft,,23-26,,
1:34.0,Offensive rebound by J. Smith,,23-26,,
1:25.0,C. Anthony makes 2-pt shot at rim (assist by J. Smith),2,25-26,,
1:06.0,,,25-28,2,J. Henson makes 2-pt shot at rim (assist by J. Dudley)
0:51.0,P. Prigioni makes 3-pt shot from 25 ft (assist by C. Anthony),3,28-28,,
0:40.0,,,28-30,2,E. Ilyasova makes 2-pt shot from 16 ft (assist by B. Knight)
0:27.0,T. Wear enters the game for J. Smith,,28-30,,
0:22.0,,,28-30,,Violation by B. Knight (kicked ball)
0:10.0,C. Anthony misses 2-pt shot from 15 ft,,28-30,,
0:08.0,Offensive rebound by J. Smith,,28-30,,
0:00.0,C. Anthony makes 2-pt shot from 17 ft,2,30-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,30-32,2,E. Ilyasova makes 2-pt shot from 19 ft (assist by O. Mayo)
11:22.0,J. Smith misses 2-pt shot from 12 ft,,30-32,,
11:21.0,,,30-32,,Defensive rebound by E. Ilyasova
11:02.0,,,30-34,2,J. Dudley makes 2-pt shot from 19 ft (assist by O. Mayo)
10:50.0,T. Hardaway makes 2-pt shot at rim (assist by T. Wear),2,32-34,,
10:32.0,,,32-34,,Turnover by O. Mayo (traveling)
10:22.0,T. Hardaway makes 2-pt shot from 17 ft (assist by J. Smith),2,34-34,,
10:07.0,,,34-34,,O. Mayo misses 2-pt shot at rim
10:05.0,Defensive rebound by J. Smith,,34-34,,
10:02.0,T. Hardaway makes 2-pt shot at rim (assist by P. Prigioni),2,36-34,,
9:47.0,,,36-36,2,J. Dudley makes 2-pt shot at rim (assist by J. Henson)
9:32.0,T. Wear makes 2-pt shot from 18 ft (assist by I. Shumpert),2,38-36,,
9:20.0,,,38-36,,E. Ilyasova misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by I. Shumpert,,38-36,,
9:01.0,T. Wear makes 2-pt shot from 16 ft (assist by P. Prigioni),2,40-36,,
8:42.0,,,40-39,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by J. Bayless)
8:22.0,T. Wear misses 2-pt shot from 15 ft,,40-39,,
8:22.0,,,40-39,,Defensive rebound by J. Bayless
8:22.0,Personal foul by J. Smith (drawn by J. Bayless),,40-39,,
8:22.0,Official timeout,,40-39,,
8:22.0,A. Stoudemire enters the game for J. Smith,,40-39,,
8:22.0,,,40-39,,Z. Pachulia enters the game for J. Henson
8:22.0,,,40-39,,K. Middleton enters the game for J. Dudley
8:11.0,,,40-39,,E. Ilyasova misses 2-pt shot from 17 ft
8:09.0,,,40-39,,Offensive rebound by Z. Pachulia
8:08.0,,,40-39,,Shooting foul by T. Wear (drawn by E. Ilyasova)
8:08.0,,,40-39,,E. Ilyasova misses free throw 1 of 2
8:08.0,,,40-39,,Offensive rebound by Team
8:08.0,J. Smith enters the game for T. Wear,,40-39,,
8:08.0,C. Anthony enters the game for T. Hardaway,,40-39,,
8:08.0,,,40-39,,E. Ilyasova misses free throw 2 of 2
8:07.0,,,40-39,,Offensive rebound by Z. Pachulia
8:02.0,,,40-42,3,O. Mayo makes 3-pt shot from 25 ft (assist by E. Ilyasova)
7:55.0,I. Shumpert misses 2-pt shot from 12 ft,,40-42,,
7:54.0,,,40-42,,Defensive rebound by K. Middleton
7:49.0,,,40-42,,K. Middleton misses 2-pt shot from 1 ft
7:47.0,,,40-42,,Offensive rebound by Z. Pachulia
7:47.0,,,40-42,,Z. Pachulia misses 2-pt shot at rim
7:45.0,Defensive rebound by C. Anthony,,40-42,,
7:35.0,P. Prigioni misses 3-pt shot from 24 ft,,40-42,,
7:34.0,,,40-42,,Defensive rebound by Z. Pachulia
7:21.0,,,40-42,,J. Bayless misses 2-pt shot from 20 ft
7:20.0,Defensive rebound by A. Stoudemire,,40-42,,
7:07.0,Turnover by C. Anthony (bad pass),,40-42,,
6:56.0,,,40-44,2,O. Mayo makes 2-pt shot from 18 ft (assist by J. Bayless)
6:44.0,P. Prigioni makes 3-pt shot from 23 ft (assist by I. Shumpert),3,43-44,,
6:35.0,Personal foul by I. Shumpert (drawn by E. Ilyasova),,43-44,,
6:35.0,,,43-44,,J. Parker enters the game for E. Ilyasova
6:35.0,S. Larkin enters the game for P. Prigioni,,43-44,,
6:35.0,New York full timeout,,43-44,,
6:35.0,T. Wear enters the game for C. Anthony,,43-44,,
6:24.0,,,43-46,2,Z. Pachulia makes 2-pt shot at rim
6:01.0,T. Wear makes 2-pt shot from 15 ft,2,45-46,,
5:43.0,,,45-49,3,K. Middleton makes 3-pt shot from 25 ft (assist by O. Mayo)
5:24.0,T. Wear misses 2-pt shot from 16 ft,,45-49,,
5:23.0,,,45-49,,Defensive rebound by K. Middleton
5:04.0,,,45-51,2,J. Parker makes 2-pt shot from 2 ft
4:38.0,A. Stoudemire misses 2-pt shot from 17 ft,,45-51,,
4:36.0,,,45-51,,Defensive rebound by J. Bayless
4:29.0,,,45-53,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by J. Bayless)
4:14.0,A. Stoudemire makes 2-pt shot at rim (assist by I. Shumpert),2,47-53,,
3:59.0,S. Dalembert enters the game for A. Stoudemire,,47-53,,
3:53.0,,,47-53,,Shooting foul by S. Larkin (drawn by Z. Pachulia)
3:53.0,,,47-54,1,Z. Pachulia makes free throw 1 of 2
3:53.0,C. Anthony enters the game for I. Shumpert,,47-54,,
3:53.0,,,47-54,,B. Knight enters the game for O. Mayo
3:53.0,,,47-55,1,Z. Pachulia makes free throw 2 of 2
3:40.0,,,47-55,,Personal foul by J. Parker (drawn by C. Anthony)
3:29.0,T. Wear misses 2-pt shot from 19 ft,,47-55,,
3:28.0,,,47-55,,Defensive rebound by K. Middleton
3:17.0,,,47-57,2,J. Bayless makes 2-pt shot at rim (assist by B. Knight)
2:50.0,S. Dalembert misses 2-pt shot from 3 ft,,47-57,,
2:48.0,,,47-57,,Defensive rebound by K. Middleton
2:43.0,,,47-59,2,J. Parker makes 2-pt shot at rim
2:36.0,New York full timeout,,47-59,,
2:36.0,T. Hardaway enters the game for S. Larkin,,47-59,,
2:36.0,P. Prigioni enters the game for T. Wear,,47-59,,
2:17.0,T. Hardaway misses 3-pt shot from 25 ft,,47-59,,
2:15.0,,,47-59,,Defensive rebound by J. Bayless
2:01.0,,,47-59,,K. Middleton misses 2-pt shot from 4 ft
1:59.0,,,47-59,,Offensive rebound by K. Middleton
1:43.0,,,47-62,3,B. Knight makes 3-pt shot from 26 ft (assist by K. Middleton)
1:29.0,,,47-62,,Personal foul by J. Bayless (drawn by T. Hardaway)
1:16.0,J. Smith misses 3-pt shot from 25 ft,,47-62,,
1:15.0,,,47-62,,Defensive rebound by K. Middleton
1:02.0,Violation by S. Dalembert (def goaltending),,47-62,,
1:02.0,,,47-64,2,B. Knight makes 2-pt shot at rim
0:46.0,Turnover by P. Prigioni (bad pass),,47-64,,
0:34.0,,,47-64,,K. Middleton misses 3-pt shot from 25 ft
0:33.0,,,47-64,,Offensive rebound by J. Parker
0:20.0,,,47-66,2,J. Parker makes 2-pt shot at rim (assist by B. Knight)
0:01.0,C. Anthony makes 2-pt shot from 15 ft,2,49-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,49-68,2,K. Middleton makes 2-pt shot from 8 ft (assist by B. Knight)
11:27.0,I. Shumpert misses 2-pt shot from 10 ft,,49-68,,
11:25.0,,,49-68,,Defensive rebound by G. Antetokounmpo
11:19.0,,,49-70,2,G. Antetokounmpo makes 2-pt shot at rim
11:19.0,,,49-70,,Shooting foul by S. Dalembert (drawn by G. Antetokounmpo)
11:19.0,,,49-71,1,G. Antetokounmpo makes free throw 1 of 1
11:03.0,I. Shumpert makes 2-pt shot from 16 ft (assist by C. Anthony),2,51-71,,
10:45.0,,,51-71,,B. Knight misses 2-pt shot from 17 ft
10:44.0,Defensive rebound by C. Anthony,,51-71,,
10:24.0,J. Smith misses 2-pt shot from 14 ft,,51-71,,
10:22.0,,,51-71,,Defensive rebound by J. Parker
10:06.0,,,51-73,2,J. Parker makes 2-pt shot from 11 ft (assist by Z. Pachulia)
9:59.0,I. Shumpert makes 3-pt shot from 25 ft (assist by S. Larkin),3,54-73,,
9:46.0,,,54-75,2,B. Knight makes 2-pt shot at rim
9:38.0,,,54-75,,Personal foul by Z. Pachulia (drawn by S. Dalembert)
9:22.0,C. Anthony misses 2-pt shot from 16 ft,,54-75,,
9:19.0,,,54-75,,Defensive rebound by G. Antetokounmpo
9:01.0,,,54-75,,B. Knight misses 2-pt shot from 12 ft
9:00.0,Defensive rebound by I. Shumpert,,54-75,,
8:49.0,,,54-75,,Personal foul by G. Antetokounmpo (drawn by C. Anthony)
8:42.0,Turnover by S. Larkin (lost ball; steal by B. Knight),,54-75,,
8:38.0,,,54-77,2,Z. Pachulia makes 2-pt shot at rim (assist by B. Knight)
8:22.0,J. Smith misses 2-pt shot from 6 ft,,54-77,,
8:21.0,,,54-77,,Defensive rebound by B. Knight
8:21.0,Personal foul by C. Anthony (drawn by B. Knight),,54-77,,
8:21.0,P. Prigioni enters the game for S. Larkin,,54-77,,
7:59.0,,,54-79,2,G. Antetokounmpo makes 2-pt shot from 5 ft
7:40.0,I. Shumpert makes 3-pt shot from 26 ft (assist by P. Prigioni),3,57-79,,
7:21.0,,,57-79,,Turnover by J. Parker (lost ball; steal by P. Prigioni)
7:16.0,I. Shumpert misses 3-pt shot from 26 ft,,57-79,,
7:14.0,,,57-79,,Defensive rebound by B. Knight
6:58.0,,,57-79,,G. Antetokounmpo misses 2-pt shot from 1 ft
6:56.0,,,57-79,,Offensive rebound by Z. Pachulia
6:56.0,,,57-81,2,Z. Pachulia makes 2-pt shot at rim
6:38.0,J. Smith misses 2-pt shot from 17 ft,,57-81,,
6:35.0,,,57-81,,Defensive rebound by B. Knight
6:32.0,Violation by S. Dalembert (def goaltending),,57-81,,
6:32.0,,,57-83,2,B. Knight makes 2-pt shot at rim
6:19.0,,,57-83,,Personal foul by K. Middleton (drawn by J. Smith)
6:19.0,T. Hardaway enters the game for I. Shumpert,,57-83,,
6:09.0,P. Prigioni makes 2-pt shot from 19 ft (assist by C. Anthony),2,59-83,,
5:51.0,,,59-83,,G. Antetokounmpo misses 2-pt shot from 3 ft
5:50.0,,,59-83,,Offensive rebound by G. Antetokounmpo
5:49.0,,,59-83,,G. Antetokounmpo misses 2-pt shot at rim
5:48.0,,,59-83,,Offensive rebound by Z. Pachulia
5:48.0,,,59-83,,Z. Pachulia misses 2-pt shot at rim
5:47.0,,,59-83,,Offensive rebound by Z. Pachulia
5:47.0,,,59-83,,Z. Pachulia misses 2-pt shot at rim
5:46.0,,,59-83,,Offensive rebound by G. Antetokounmpo
5:46.0,Shooting block foul by S. Dalembert (drawn by G. Antetokounmpo),,59-83,,
5:46.0,,,59-83,,Milwaukee full timeout
5:46.0,A. Stoudemire enters the game for S. Dalembert,,59-83,,
5:46.0,,,59-83,,J. Henson enters the game for Z. Pachulia
5:46.0,,,59-84,1,G. Antetokounmpo makes free throw 1 of 2
5:46.0,,,59-85,1,G. Antetokounmpo makes free throw 2 of 2
5:30.0,J. Smith misses 2-pt shot from 16 ft,,59-85,,
5:29.0,,,59-85,,Defensive rebound by B. Knight
5:06.0,,,59-85,,Turnover by J. Henson (bad pass; steal by J. Smith)
4:46.0,T. Hardaway makes 3-pt shot from 23 ft (assist by J. Smith),3,62-85,,
4:29.0,,,62-85,,B. Knight misses 2-pt shot at rim
4:27.0,Defensive rebound by A. Stoudemire,,62-85,,
4:24.0,T. Hardaway makes 2-pt shot at rim,2,64-85,,
3:57.0,,,64-85,,B. Knight misses 2-pt shot from 22 ft
3:55.0,Defensive rebound by T. Hardaway,,64-85,,
3:49.0,,,64-85,,Personal foul by J. Henson (drawn by A. Stoudemire)
3:49.0,,,64-85,,O. Mayo enters the game for J. Parker
3:40.0,,,64-85,,Shooting block foul by J. Henson (drawn by A. Stoudemire)
