time,Miami,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. H. Whiteside (C. Bosh gains possession),,,,Jump ball: T. Mozgov vs. H. Whiteside (C. Bosh gains possession)
11:38.0,C. Bosh misses 2-pt shot from 3 ft (block by T. Mozgov),,0-0,,
11:36.0,Offensive rebound by H. Whiteside,,0-0,,
11:35.0,H. Whiteside makes 2-pt shot at rim,2,2-0,,
11:11.0,,,2-0,,L. James misses 2-pt shot from 11 ft
11:08.0,Defensive rebound by M. Chalmers,,2-0,,
11:03.0,Turnover by L. Deng (bad pass; steal by K. Love),,2-0,,
10:44.0,,,2-0,,J. Smith misses 2-pt shot from 18 ft
10:43.0,,,2-0,,Offensive rebound by T. Mozgov
10:37.0,,,2-3,3,K. Irving makes 3-pt shot from 27 ft (assist by T. Mozgov)
10:22.0,C. Bosh makes 2-pt shot from 19 ft (assist by S. Napier),2,4-3,,
10:02.0,,,4-5,2,K. Love makes 2-pt shot from 16 ft (assist by J. Smith)
9:45.0,S. Napier makes 2-pt shot from 10 ft,2,6-5,,
9:26.0,,,6-7,2,T. Mozgov makes 2-pt shot at rim
9:09.0,Turnover by L. Deng (lost ball; steal by K. Love),,6-7,,
9:04.0,,,6-9,2,L. James makes 2-pt shot at rim (assist by T. Mozgov)
8:49.0,Turnover by L. Deng (lost ball),,6-9,,
8:39.0,,,6-9,,K. Love misses 3-pt shot from 26 ft
8:38.0,,,6-9,,Offensive rebound by K. Irving
8:33.0,,,6-9,,J. Smith misses 3-pt shot from 26 ft
8:32.0,Defensive rebound by H. Whiteside,,6-9,,
8:26.0,S. Napier misses 3-pt shot from 25 ft,,6-9,,
8:24.0,,,6-9,,Defensive rebound by T. Mozgov
8:16.0,Personal foul by M. Chalmers (drawn by J. Smith),,6-9,,
8:09.0,,,6-9,,Turnover by L. James (bad pass; steal by S. Napier)
8:03.0,M. Chalmers makes 2-pt shot at rim (assist by S. Napier),2,8-9,,
7:51.0,,,8-9,,Turnover by K. Irving (lost ball; steal by C. Bosh)
7:38.0,H. Whiteside misses 2-pt shot from 6 ft,,8-9,,
7:37.0,,,8-9,,Defensive rebound by L. James
7:25.0,,,8-11,2,L. James makes 2-pt shot at rim
7:07.0,M. Chalmers makes 2-pt shot from 5 ft (assist by L. Deng),2,10-11,,
6:47.0,,,10-13,2,K. Love makes 2-pt shot from 4 ft (assist by L. James)
6:36.0,S. Napier makes 2-pt shot from 15 ft,2,12-13,,
6:21.0,,,12-13,,K. Irving misses 2-pt shot from 1 ft
6:20.0,,,12-13,,Offensive rebound by K. Irving
6:16.0,,,12-16,3,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving)
6:16.0,Miami full timeout,,12-16,,
6:16.0,,,12-16,,I. Shumpert enters the game for L. James
6:01.0,C. Bosh misses 2-pt shot from 6 ft,,12-16,,
6:01.0,,,12-16,,Defensive rebound by Team
5:51.0,,,12-16,,K. Irving misses 2-pt shot from 9 ft (block by S. Napier)
5:49.0,Defensive rebound by S. Napier,,12-16,,
5:46.0,L. Deng makes 2-pt shot at rim (assist by S. Napier),2,14-16,,
5:34.0,,,14-16,,Turnover by I. Shumpert (lost ball; steal by L. Deng)
5:27.0,L. Deng misses 3-pt shot from 23 ft,,14-16,,
