time,Dallas,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,R. Jefferson misses 2-pt shot from 11 ft,,0-0,,
12:00.0,Jump ball: T. Chandler vs. H. Whiteside (R. Rondo gains possession),,,,Jump ball: T. Chandler vs. H. Whiteside (R. Rondo gains possession)
11:40.0,,,0-0,,Defensive rebound by H. Whiteside
11:18.0,,,0-0,,S. Napier misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by Team,,0-0,,
11:03.0,R. Rondo misses 2-pt shot from 1 ft,,0-0,,
11:02.0,Offensive rebound by T. Chandler,,0-0,,
10:59.0,D. Nowitzki misses 3-pt shot from 24 ft,,0-0,,
10:58.0,,,0-0,,Defensive rebound by H. Whiteside
10:50.0,,,0-2,2,M. Chalmers makes 2-pt shot from 1 ft
10:30.0,D. Nowitzki misses 2-pt shot from 2 ft (block by H. Whiteside),,0-2,,
10:29.0,,,0-2,,Defensive rebound by H. Whiteside
10:21.0,,,0-2,,D. Granger misses 3-pt shot from 23 ft
10:21.0,,,0-2,,Offensive rebound by H. Whiteside
10:21.0,Personal foul by D. Nowitzki (drawn by H. Whiteside),,0-2,,
10:10.0,,,0-5,3,M. Chalmers makes 3-pt shot from 22 ft (assist by D. Granger)
9:56.0,D. Nowitzki misses 2-pt shot from 21 ft,,0-5,,
9:55.0,,,0-5,,Defensive rebound by H. Whiteside
9:45.0,,,0-7,2,H. Whiteside makes 2-pt shot from 15 ft (assist by C. Bosh)
9:32.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,2-7,,
9:15.0,,,2-7,,C. Bosh misses 2-pt shot from 18 ft
9:14.0,,,2-7,,Offensive rebound by H. Whiteside
9:14.0,,,2-7,,Turnover by D. Granger (traveling)
9:00.0,M. Ellis misses 2-pt shot from 11 ft,,2-7,,
8:59.0,,,2-7,,Defensive rebound by H. Whiteside
8:45.0,,,2-7,,D. Granger misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by Team,,2-7,,
8:44.0,,,2-7,,Loose ball foul by H. Whiteside (drawn by D. Nowitzki)
8:29.0,,,2-7,,Personal foul by D. Granger (drawn by D. Nowitzki)
