time,Miami,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. H. Whiteside (T. Hansbrough gains possession),,,,Jump ball: A. Johnson vs. H. Whiteside (T. Hansbrough gains possession)
11:40.0,,,0-2,2,A. Johnson makes 2-pt shot at rim (assist by K. Lowry)
11:17.0,,,0-2,,Personal foul by A. Johnson (drawn by H. Walker)
11:07.0,H. Walker misses 3-pt shot from 27 ft,,0-2,,
11:05.0,,,0-2,,Defensive rebound by K. Lowry
10:54.0,,,0-2,,T. Ross misses 2-pt shot from 16 ft
10:53.0,Defensive rebound by H. Whiteside,,0-2,,
10:41.0,G. Dragic misses 3-pt shot from 24 ft,,0-2,,
10:40.0,,,0-2,,Defensive rebound by T. Ross
10:15.0,,,0-2,,Turnover by K. Lowry (bad pass; steal by H. Walker)
10:09.0,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade),2,2-2,,
9:52.0,,,2-2,,T. Ross misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by Team,,2-2,,
9:43.0,G. Dragic makes 2-pt shot from 2 ft (assist by D. Wade),2,4-2,,
9:43.0,Shooting foul by A. Johnson (drawn by G. Dragic),,4-2,,
9:43.0,,,4-2,,P. Patterson enters the game for A. Johnson
9:43.0,G. Dragic makes free throw 1 of 1,1,5-2,,
9:31.0,,,5-2,,D. DeRozan misses 3-pt shot from 23 ft
9:30.0,Defensive rebound by D. Wade,,5-2,,
9:16.0,H. Walker misses 3-pt shot from 27 ft,,5-2,,
9:15.0,,,5-2,,Defensive rebound by Team
9:08.0,,,5-2,,Shooting foul by D. Wade (drawn by D. DeRozan)
9:08.0,,,5-3,1,D. DeRozan makes free throw 1 of 2
9:08.0,,,5-4,1,D. DeRozan makes free throw 2 of 2
8:56.0,L. Deng misses 3-pt shot from 23 ft,,5-4,,
8:55.0,,,5-4,,Defensive rebound by Team
8:43.0,,,5-4,,Shooting foul by H. Whiteside (drawn by D. DeRozan)
8:43.0,,,5-5,1,D. DeRozan makes free throw 1 of 2
8:43.0,,,5-6,1,D. DeRozan makes free throw 2 of 2
8:34.0,Shooting foul by P. Patterson (drawn by H. Whiteside),,5-6,,
8:34.0,H. Whiteside misses free throw 1 of 2,,5-6,,
8:34.0,Offensive rebound by Team,,5-6,,
8:34.0,H. Whiteside makes free throw 2 of 2,1,6-6,,
8:23.0,,,6-6,,D. DeRozan misses 2-pt shot from 15 ft
8:22.0,Defensive rebound by H. Whiteside,,6-6,,
8:04.0,H. Whiteside misses 2-pt shot from 6 ft,,6-6,,
8:03.0,,,6-6,,Defensive rebound by T. Hansbrough
7:57.0,,,6-9,3,K. Lowry makes 3-pt shot from 25 ft (assist by T. Hansbrough)
7:29.0,,,6-9,,Personal foul by T. Ross (drawn by D. Wade)
7:20.0,Turnover by H. Whiteside (3 sec),,6-9,,
7:12.0,,,6-9,,P. Patterson misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by H. Whiteside,,6-9,,
6:59.0,H. Walker misses 2-pt shot from 4 ft,,6-9,,
6:58.0,,,6-9,,Defensive rebound by T. Hansbrough
6:50.0,,,6-12,3,T. Ross makes 3-pt shot from 23 ft (assist by K. Lowry)
6:24.0,H. Walker misses 3-pt shot from 25 ft,,6-12,,
6:22.0,,,6-12,,Defensive rebound by D. DeRozan
6:18.0,,,6-12,,D. DeRozan misses 2-pt shot from 6 ft (block by D. Wade)
6:18.0,,,6-12,,Offensive rebound by Team
6:13.0,,,6-12,,Turnover by P. Patterson (bad pass; steal by H. Whiteside)
6:07.0,L. Deng misses 2-pt shot from 1 ft (block by P. Patterson),,6-12,,
6:05.0,Offensive rebound by L. Deng,,6-12,,
6:03.0,L. Deng makes 2-pt shot at rim,2,8-12,,
5:50.0,,,8-12,,T. Ross misses 3-pt shot from 22 ft
5:49.0,Defensive rebound by H. Walker,,8-12,,
5:33.0,H. Whiteside misses 2-pt shot from 3 ft,,8-12,,
5:32.0,,,8-12,,Defensive rebound by P. Patterson
5:21.0,,,8-14,2,P. Patterson makes 2-pt shot from 14 ft
5:04.0,D. Wade makes 2-pt shot from 4 ft,2,10-14,,
4:56.0,,,10-14,,Toronto full timeout
4:42.0,,,10-16,2,D. DeRozan makes 2-pt shot from 11 ft (assist by P. Patterson)
4:42.0,,,10-16,,Shooting foul by L. Deng (drawn by D. DeRozan)
4:42.0,,,10-17,1,D. DeRozan makes free throw 1 of 1
4:28.0,H. Walker misses 2-pt shot from 4 ft,,10-17,,
4:28.0,Offensive rebound by Team,,10-17,,
4:28.0,,,10-17,,Loose ball foul by P. Patterson (drawn by H. Whiteside)
4:28.0,H. Whiteside misses free throw 1 of 2,,10-17,,
4:28.0,Offensive rebound by Team,,10-17,,
4:28.0,M. Beasley enters the game for H. Walker,,10-17,,
4:28.0,,,10-17,,J. Johnson enters the game for P. Patterson
4:28.0,H. Whiteside misses free throw 2 of 2,,10-17,,
4:27.0,,,10-17,,Defensive rebound by J. Johnson
4:11.0,,,10-17,,D. DeRozan misses 2-pt shot from 15 ft
4:09.0,Defensive rebound by H. Whiteside,,10-17,,
4:04.0,Turnover by L. Deng (bad pass; steal by J. Johnson),,10-17,,
3:59.0,,,10-19,2,J. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry)
3:59.0,,,10-19,,Shooting foul by M. Beasley (drawn by J. Johnson)
3:59.0,M. Chalmers enters the game for D. Wade,,10-19,,
3:59.0,,,10-19,,G. Vasquez enters the game for K. Lowry
3:59.0,,,10-19,,J. Johnson misses free throw 1 of 1
3:57.0,Defensive rebound by L. Deng,,10-19,,
3:35.0,Shooting foul by J. Johnson (drawn by L. Deng),,10-19,,
3:35.0,L. Deng makes free throw 1 of 2,1,11-19,,
3:35.0,,,11-19,,L. Williams enters the game for T. Ross
3:35.0,L. Deng makes free throw 2 of 2,1,12-19,,
3:11.0,,,12-19,,G. Vasquez misses 2-pt shot from 19 ft
3:10.0,,,12-19,,Offensive rebound by L. Williams
3:00.0,,,12-19,,J. Johnson misses 2-pt shot from 3 ft
2:59.0,Defensive rebound by M. Beasley,,12-19,,
2:54.0,,,12-19,,Violation by J. Johnson (def goaltending)
2:54.0,L. Deng makes 2-pt shot from 4 ft (assist by M. Chalmers),2,14-19,,
2:39.0,,,14-19,,G. Vasquez misses 2-pt shot from 13 ft
2:38.0,Defensive rebound by H. Whiteside,,14-19,,
2:26.0,Turnover by M. Chalmers (bad pass),,14-19,,
2:26.0,Miami full timeout,,14-19,,
2:26.0,,,14-19,,C. Hayes enters the game for T. Hansbrough
2:26.0,C. Andersen enters the game for H. Whiteside,,14-19,,
2:18.0,,,14-19,,L. Williams misses 3-pt shot from 26 ft
2:17.0,Defensive rebound by M. Beasley,,14-19,,
2:01.0,G. Dragic misses 2-pt shot from 17 ft,,14-19,,
2:00.0,,,14-19,,Defensive rebound by J. Johnson
1:36.0,,,14-19,,L. Williams misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by L. Deng,,14-19,,
1:31.0,M. Chalmers makes 2-pt shot from 1 ft (assist by L. Deng),2,16-19,,
1:18.0,Violation by G. Dragic (kicked ball),,16-19,,
1:18.0,T. Johnson enters the game for G. Dragic,,16-19,,
1:18.0,,,16-19,,K. Lowry enters the game for D. DeRozan
1:11.0,,,16-21,2,J. Johnson makes 2-pt shot at rim (assist by C. Hayes)
1:00.0,Turnover by T. Johnson (bad pass; steal by K. Lowry),,16-21,,
0:49.0,,,16-21,,J. Johnson misses 2-pt shot from 3 ft
0:48.0,Defensive rebound by C. Andersen,,16-21,,
0:41.0,L. Deng misses 2-pt shot from 4 ft,,16-21,,
0:40.0,,,16-21,,Defensive rebound by G. Vasquez
0:31.0,,,16-21,,Turnover by G. Vasquez (bad pass)
0:17.0,T. Johnson makes 2-pt shot from 2 ft (assist by C. Andersen),2,18-21,,
0:00.0,,,18-21,,L. Williams misses 3-pt shot from 26 ft
0:00.0,,,18-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by K. Lowry (drawn by C. Andersen),,18-21,,
11:47.0,C. Andersen makes free throw 1 of 2,1,19-21,,
