time,Oklahoma City,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Nowitzki (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. D. Nowitzki (S. Ibaka gains possession)
11:42.0,P. Jones makes 2-pt shot from 9 ft,2,2-0,,
11:19.0,,,2-3,3,M. Ellis makes 3-pt shot from 24 ft (assist by C. Parsons)
11:05.0,S. Adams misses 2-pt shot from 7 ft,,2-3,,
11:05.0,,,2-3,,Defensive rebound by R. Rondo
10:57.0,,,2-6,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by C. Parsons)
10:40.0,S. Ibaka misses 2-pt shot from 21 ft,,2-6,,
10:39.0,,,2-6,,Defensive rebound by J. Barea
10:32.0,,,2-8,2,C. Parsons makes 2-pt shot at rim (assist by R. Rondo)
10:09.0,Turnover by R. Westbrook (bad pass; steal by R. Rondo),,2-8,,
10:05.0,,,2-8,,Turnover by R. Rondo (bad pass; steal by R. Westbrook)
10:01.0,,,2-8,,Shooting block foul by J. Barea (drawn by R. Westbrook)
10:01.0,R. Westbrook makes free throw 1 of 2,1,3-8,,
10:01.0,R. Westbrook makes free throw 2 of 2,1,4-8,,
9:54.0,,,4-10,2,M. Ellis makes 2-pt shot from 6 ft
9:54.0,,,4-10,,Shooting foul by A. Roberson (drawn by M. Ellis)
9:54.0,,,4-11,1,M. Ellis makes free throw 1 of 1
9:39.0,P. Jones misses 2-pt shot from 9 ft,,4-11,,
9:38.0,Offensive rebound by S. Ibaka,,4-11,,
9:36.0,S. Ibaka makes 2-pt shot at rim,2,6-11,,
9:29.0,,,6-11,,Shooting foul by A. Roberson (drawn by R. Rondo)
9:29.0,,,6-11,,R. Rondo misses free throw 1 of 2
9:29.0,,,6-11,,Offensive rebound by Team
9:29.0,R. Jackson enters the game for A. Roberson,,6-11,,
9:29.0,,,6-12,1,R. Rondo makes free throw 2 of 2
9:14.0,R. Westbrook misses 2-pt shot from 7 ft,,6-12,,
9:13.0,,,6-12,,Defensive rebound by M. Ellis
9:07.0,,,6-12,,R. Rondo misses 2-pt shot from 3 ft
9:06.0,,,6-12,,Offensive rebound by M. Ellis
9:06.0,,,6-14,2,M. Ellis makes 2-pt shot from 1 ft
8:56.0,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook),2,8-14,,
8:38.0,,,8-14,,M. Ellis misses 3-pt shot from 24 ft
8:37.0,,,8-14,,Offensive rebound by J. Barea
8:32.0,,,8-17,3,C. Parsons makes 3-pt shot from 25 ft (assist by R. Rondo)
8:24.0,Oklahoma City full timeout,,8-17,,
8:14.0,S. Adams makes 2-pt shot from 6 ft,2,10-17,,
7:52.0,,,10-19,2,J. Barea makes 2-pt shot from 1 ft
7:39.0,R. Jackson makes 2-pt shot from 1 ft,2,12-19,,
7:25.0,,,12-22,3,C. Parsons makes 3-pt shot from 24 ft (assist by J. Barea)
7:09.0,R. Jackson makes 2-pt shot from 22 ft (assist by S. Adams),2,14-22,,
6:56.0,,,14-22,,M. Ellis misses 3-pt shot from 22 ft
6:55.0,Defensive rebound by R. Westbrook,,14-22,,
6:41.0,S. Ibaka makes 2-pt shot from 15 ft,2,16-22,,
6:33.0,Personal foul by S. Adams (drawn by D. Nowitzki),,16-22,,
6:33.0,,,16-22,,G. Smith enters the game for D. Nowitzki
6:33.0,,,16-22,,D. Harris enters the game for R. Rondo
6:25.0,,,16-22,,C. Parsons misses 3-pt shot from 26 ft
6:24.0,Defensive rebound by Team,,16-22,,
6:07.0,Turnover by S. Ibaka (lost ball),,16-22,,
5:57.0,,,16-22,,J. Barea misses 3-pt shot from 24 ft
5:55.0,,,16-22,,Offensive rebound by C. Parsons
5:49.0,,,16-24,2,C. Parsons makes 2-pt shot at rim (assist by M. Ellis)
5:38.0,P. Jones makes 2-pt shot at rim (assist by R. Westbrook),2,18-24,,
5:21.0,,,18-24,,M. Ellis misses 2-pt shot from 5 ft
5:20.0,Defensive rebound by R. Jackson,,18-24,,
5:13.0,P. Jones misses 2-pt shot from 7 ft,,18-24,,
5:12.0,Offensive rebound by S. Ibaka,,18-24,,
5:11.0,S. Ibaka makes 2-pt shot at rim,2,20-24,,
5:07.0,,,20-24,,Dallas full timeout
5:07.0,,,20-24,,C. Villanueva enters the game for J. Barea
4:54.0,,,20-27,3,C. Parsons makes 3-pt shot from 24 ft (assist by M. Ellis)
4:39.0,R. Westbrook misses 2-pt shot from 5 ft (block by C. Villanueva),,20-27,,
4:38.0,,,20-27,,Defensive rebound by G. Smith
4:23.0,,,20-27,,C. Villanueva misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by Team,,20-27,,
4:11.0,R. Jackson misses 2-pt shot from 13 ft,,20-27,,
4:10.0,Offensive rebound by S. Ibaka,,20-27,,
4:05.0,R. Westbrook misses 3-pt shot from 24 ft,,20-27,,
4:04.0,,,20-27,,Defensive rebound by G. Smith
3:56.0,,,20-27,,Turnover by M. Ellis (bad pass; steal by R. Westbrook)
3:53.0,Offensive charge foul by R. Westbrook,,20-27,,
3:53.0,Turnover by R. Westbrook (offensive foul),,20-27,,
3:53.0,A. Morrow enters the game for S. Adams,,20-27,,
3:37.0,,,20-27,,M. Ellis misses 2-pt shot from 6 ft
3:36.0,Defensive rebound by A. Morrow,,20-27,,
3:27.0,Turnover by R. Westbrook (bad pass),,20-27,,
3:20.0,,,20-29,2,G. Smith makes 2-pt shot at rim (assist by D. Harris)
2:54.0,Turnover by R. Jackson (bad pass; steal by G. Smith),,20-29,,
2:50.0,,,20-31,2,C. Parsons makes 2-pt shot at rim (assist by D. Harris)
2:44.0,Oklahoma City full timeout,,20-31,,
2:34.0,S. Ibaka makes 2-pt shot from 4 ft (assist by R. Westbrook),2,22-31,,
2:21.0,,,22-31,,C. Villanueva misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by S. Ibaka,,22-31,,
2:14.0,R. Westbrook misses 2-pt shot from 21 ft,,22-31,,
2:13.0,,,22-31,,Defensive rebound by G. Smith
1:55.0,,,22-31,,M. Ellis misses 2-pt shot from 6 ft
1:54.0,Defensive rebound by S. Ibaka,,22-31,,
1:45.0,R. Jackson misses 2-pt shot from 8 ft,,22-31,,
1:44.0,,,22-31,,Defensive rebound by G. Smith
1:42.0,,,22-31,,Turnover by G. Smith (bad pass; steal by R. Westbrook)
1:40.0,R. Westbrook misses 2-pt shot from 1 ft,,22-31,,
1:38.0,,,22-31,,Defensive rebound by M. Ellis
1:30.0,,,22-31,,C. Villanueva misses 2-pt shot from 5 ft
1:29.0,Defensive rebound by S. Ibaka,,22-31,,
1:13.0,S. Ibaka misses 3-pt shot from 24 ft,,22-31,,
1:13.0,,,22-31,,Defensive rebound by C. Villanueva
1:02.0,,,22-31,,C. Parsons misses 2-pt shot from 9 ft
1:01.0,Defensive rebound by S. Ibaka,,22-31,,
0:47.0,P. Jones makes 2-pt shot from 4 ft,2,24-31,,
0:47.0,,,24-31,,Dallas full timeout
0:47.0,,,24-31,,D. Nowitzki enters the game for M. Ellis
0:47.0,,,24-31,,R. Jefferson enters the game for C. Parsons
0:47.0,,,24-31,,R. Rondo enters the game for C. Villanueva
0:47.0,L. Thomas enters the game for P. Jones,,24-31,,
0:47.0,I. Smith enters the game for R. Westbrook,,24-31,,
0:33.0,,,24-33,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Harris)
0:21.0,S. Ibaka makes 2-pt shot from 20 ft (assist by I. Smith),2,26-33,,
0:01.0,,,26-33,,D. Harris misses 3-pt shot from 22 ft
0:00.0,Defensive rebound by L. Thomas,,26-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,26-33,,R. Rondo misses 2-pt shot from 20 ft
11:43.0,Defensive rebound by I. Smith,,26-33,,
11:33.0,Turnover by R. Jackson (lost ball),,26-33,,
11:19.0,,,26-36,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Jefferson)
11:11.0,Turnover by I. Smith (lost ball; steal by D. Harris),,26-36,,
11:07.0,,,26-38,2,R. Rondo makes 2-pt shot from 1 ft (assist by D. Harris)
11:03.0,,,26-38,,Personal foul by R. Rondo (drawn by I. Smith)
10:54.0,I. Smith makes 2-pt shot from 2 ft (assist by K. Perkins),2,28-38,,
10:45.0,,,28-38,,R. Rondo misses 2-pt shot from 6 ft
10:43.0,Defensive rebound by R. Jackson,,28-38,,
10:34.0,R. Jackson misses 2-pt shot from 11 ft,,28-38,,
10:33.0,,,28-38,,Defensive rebound by R. Jefferson
10:25.0,Personal foul by I. Smith (drawn by R. Rondo),,28-38,,
10:10.0,,,28-38,,D. Harris misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by K. Perkins,,28-38,,
9:55.0,N. Collison makes 2-pt shot from 1 ft (assist by K. Perkins),2,30-38,,
9:37.0,,,30-40,2,R. Jefferson makes 2-pt shot from 18 ft (assist by R. Rondo)
9:23.0,K. Perkins misses 2-pt shot from 8 ft,,30-40,,
9:22.0,Offensive rebound by N. Collison,,30-40,,
9:19.0,A. Morrow makes 3-pt shot from 22 ft (assist by N. Collison),3,33-40,,
9:05.0,,,33-42,2,D. Nowitzki makes 2-pt shot from 18 ft
8:48.0,Offensive foul by N. Collison,,33-42,,
8:48.0,Turnover by N. Collison (offensive foul),,33-42,,
8:48.0,Official timeout,,33-42,,
8:48.0,,,33-42,,R. Felton enters the game for G. Smith
8:48.0,,,33-42,,J. Barea enters the game for D. Harris
8:39.0,,,33-42,,D. Nowitzki misses 2-pt shot from 18 ft
8:38.0,Defensive rebound by N. Collison,,33-42,,
8:32.0,R. Jackson makes 2-pt shot at rim,2,35-42,,
8:22.0,,,35-42,,R. Rondo misses 2-pt shot from 15 ft
8:21.0,Defensive rebound by K. Perkins,,35-42,,
8:15.0,A. Morrow makes 2-pt shot from 16 ft (assist by R. Jackson),2,37-42,,
8:06.0,,,37-42,,J. Barea misses 2-pt shot from 3 ft
8:05.0,Defensive rebound by N. Collison,,37-42,,
7:58.0,R. Jackson misses 3-pt shot from 23 ft,,37-42,,
7:57.0,,,37-42,,Defensive rebound by R. Rondo
7:47.0,,,37-42,,Shooting foul by K. Perkins (drawn by J. Barea)
7:47.0,,,37-43,1,J. Barea makes free throw 1 of 2
7:47.0,,,37-43,,C. Parsons enters the game for D. Nowitzki
7:47.0,,,37-43,,M. Ellis enters the game for R. Rondo
7:47.0,R. Westbrook enters the game for I. Smith,,37-43,,
7:47.0,,,37-44,1,J. Barea makes free throw 2 of 2
7:35.0,K. Perkins makes 2-pt shot from 5 ft,2,39-44,,
7:35.0,Shooting foul by R. Jefferson (drawn by K. Perkins),,39-44,,
7:35.0,,,39-44,,G. Smith enters the game for R. Felton
7:35.0,K. Perkins makes free throw 1 of 1,1,40-44,,
7:15.0,,,40-44,,Turnover by J. Barea (lost ball; steal by A. Morrow)
7:11.0,A. Morrow makes 2-pt shot from 1 ft,2,42-44,,
7:08.0,,,42-44,,Dallas full timeout
6:56.0,Personal foul by A. Morrow (drawn by C. Parsons),,42-44,,
6:49.0,,,42-47,3,J. Barea makes 3-pt shot from 25 ft (assist by M. Ellis)
6:37.0,,,42-47,,Def 3 sec tech foul by G. Smith
6:37.0,R. Westbrook makes technical free throw,1,43-47,,
6:37.0,S. Ibaka enters the game for N. Collison,,43-47,,
6:33.0,,,43-47,,Personal foul by C. Parsons (drawn by K. Perkins)
6:27.0,Shooting foul by M. Ellis (drawn by R. Westbrook),,43-47,,
6:27.0,R. Westbrook makes free throw 1 of 2,1,44-47,,
6:27.0,R. Westbrook misses free throw 2 of 2,,44-47,,
6:26.0,Offensive rebound by K. Perkins,,44-47,,
6:25.0,Turnover by K. Perkins (step out of bounds),,44-47,,
6:16.0,,,44-47,,Turnover by G. Smith (bad pass; steal by R. Westbrook)
6:11.0,R. Jackson makes 2-pt shot from 6 ft (assist by R. Westbrook),2,46-47,,
5:58.0,Personal foul by A. Morrow (drawn by G. Smith),,46-47,,
5:56.0,Personal block foul by K. Perkins (drawn by M. Ellis),,46-47,,
5:56.0,,,46-48,1,M. Ellis makes free throw 1 of 2
5:56.0,,,46-49,1,M. Ellis makes free throw 2 of 2
5:37.0,R. Jackson makes 2-pt shot from 14 ft (assist by R. Westbrook),2,48-49,,
5:18.0,,,48-49,,C. Parsons misses 2-pt shot from 2 ft
5:16.0,Defensive rebound by K. Perkins,,48-49,,
5:10.0,R. Westbrook makes 2-pt shot from 13 ft,2,50-49,,
4:59.0,,,50-49,,Turnover by J. Barea (bad pass; steal by R. Jackson)
4:55.0,R. Westbrook makes 2-pt shot at rim,2,52-49,,
4:53.0,,,52-49,,Dallas full timeout
4:53.0,,,52-49,,R. Rondo enters the game for G. Smith
4:53.0,,,52-49,,D. Nowitzki enters the game for R. Jefferson
4:43.0,,,52-49,,Shooting foul by R. Westbrook (drawn by M. Ellis)
4:43.0,,,52-50,1,M. Ellis makes free throw 1 of 2
4:43.0,,,52-51,1,M. Ellis makes free throw 2 of 2
4:32.0,A. Morrow misses 3-pt shot from 24 ft,,52-51,,
4:31.0,Offensive rebound by R. Westbrook,,52-51,,
4:25.0,R. Jackson misses 3-pt shot from 24 ft,,52-51,,
4:24.0,Offensive rebound by R. Westbrook,,52-51,,
4:18.0,R. Westbrook misses 2-pt shot from 15 ft,,52-51,,
4:16.0,,,52-51,,Defensive rebound by J. Barea
3:58.0,,,52-51,,R. Rondo misses 2-pt shot from 16 ft
3:56.0,Defensive rebound by A. Morrow,,52-51,,
3:53.0,,,52-51,,Shooting block foul by C. Parsons (drawn by R. Westbrook)
3:53.0,R. Westbrook misses free throw 1 of 2,,52-51,,
3:53.0,Offensive rebound by Team,,52-51,,
3:53.0,S. Adams enters the game for K. Perkins,,52-51,,
3:53.0,R. Westbrook misses free throw 2 of 2,,52-51,,
3:52.0,,,52-51,,Defensive rebound by C. Parsons
3:39.0,,,52-53,2,R. Rondo makes 2-pt shot at rim (assist by D. Nowitzki)
3:23.0,Turnover by S. Ibaka (bad pass),,52-53,,
3:23.0,A. Roberson enters the game for A. Morrow,,52-53,,
3:05.0,,,52-53,,Turnover by R. Rondo (bad pass; steal by R. Westbrook)
2:57.0,R. Westbrook misses 2-pt shot from 13 ft,,52-53,,
2:57.0,,,52-53,,Defensive rebound by D. Nowitzki
2:57.0,Loose ball foul by S. Adams (drawn by D. Nowitzki),,52-53,,
2:57.0,,,52-54,1,D. Nowitzki makes free throw 1 of 2
2:57.0,,,52-55,1,D. Nowitzki makes free throw 2 of 2
2:48.0,,,52-55,,Personal foul by D. Nowitzki (drawn by S. Adams)
2:48.0,S. Adams misses free throw 1 of 2,,52-55,,
2:48.0,Offensive rebound by Team,,52-55,,
2:48.0,S. Adams misses free throw 2 of 2,,52-55,,
2:47.0,Offensive rebound by S. Ibaka,,52-55,,
2:35.0,R. Westbrook misses 2-pt shot at rim,,52-55,,
2:35.0,,,52-55,,Defensive rebound by Team
2:35.0,Loose ball foul by S. Adams (drawn by D. Nowitzki),,52-55,,
2:35.0,,,52-56,1,D. Nowitzki makes free throw 1 of 2
2:35.0,P. Jones enters the game for S. Adams,,52-56,,
2:35.0,,,52-57,1,D. Nowitzki makes free throw 2 of 2
2:17.0,P. Jones misses 2-pt shot from 1 ft,,52-57,,
