time,Indiana,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. K. Olynyk (C. Copeland gains possession),,,,Jump ball: R. Hibbert vs. K. Olynyk (C. Copeland gains possession)
11:50.0,,,0-0,,Personal foul by A. Bradley (drawn by D. Sloan)
11:39.0,S. Hill makes 2-pt shot at rim (assist by D. Sloan),2,2-0,,
11:25.0,,,2-2,2,A. Bradley makes 2-pt shot from 15 ft (assist by J. Sullinger)
11:03.0,C. Copeland misses 3-pt shot from 25 ft,,2-2,,
11:01.0,,,2-2,,Defensive rebound by Team
10:48.0,,,2-4,2,K. Olynyk makes 2-pt shot from 8 ft
10:26.0,S. Hill makes 3-pt shot from 22 ft (assist by R. Hibbert),3,5-4,,
10:15.0,,,5-7,3,J. Green makes 3-pt shot from 26 ft (assist by J. Sullinger)
9:56.0,R. Hibbert makes 2-pt shot from 5 ft (assist by C. Copeland),2,7-7,,
9:42.0,,,7-7,,A. Bradley misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by R. Hibbert,,7-7,,
9:30.0,R. Hibbert misses 2-pt shot from 20 ft,,7-7,,
9:28.0,,,7-7,,Defensive rebound by R. Rondo
9:17.0,,,7-9,2,J. Sullinger makes 2-pt shot from 17 ft (assist by R. Rondo)
8:59.0,Turnover by C. Copeland (bad pass),,7-9,,
8:53.0,,,7-9,,A. Bradley misses 2-pt shot from 20 ft
8:53.0,Defensive rebound by R. Hibbert,,7-9,,
8:35.0,C. Copeland misses 3-pt shot from 22 ft,,7-9,,
8:34.0,,,7-9,,Defensive rebound by A. Bradley
8:27.0,,,7-9,,J. Sullinger misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by S. Hill,,7-9,,
8:20.0,,,7-9,,Personal foul by J. Sullinger (drawn by R. Hibbert)
8:12.0,Turnover by C. Copeland (lost ball; steal by K. Olynyk),,7-9,,
8:06.0,,,7-11,2,A. Bradley makes 2-pt shot from 7 ft
7:48.0,S. Hill misses 3-pt shot from 23 ft,,7-11,,
7:47.0,Offensive rebound by C. Copeland,,7-11,,
7:43.0,L. Scola makes 2-pt shot at rim (assist by C. Copeland),2,9-11,,
7:34.0,,,9-13,2,R. Rondo makes 2-pt shot at rim
7:16.0,D. Sloan misses 3-pt shot from 26 ft,,9-13,,
