time,Washington,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Gortat (C. Joseph gains possession),,,,Jump ball: T. Duncan vs. M. Gortat (C. Joseph gains possession)
11:43.0,,,0-2,2,M. Belinelli makes 2-pt shot from 22 ft (assist by C. Joseph)
11:23.0,N. Hilario makes 2-pt shot from 17 ft,2,2-2,,
11:10.0,,,2-2,,M. Belinelli misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by P. Pierce,,2-2,,
10:52.0,P. Pierce misses 3-pt shot from 26 ft,,2-2,,
10:51.0,,,2-2,,Defensive rebound by C. Joseph
10:38.0,Personal foul by P. Pierce (drawn by M. Belinelli),,2-2,,
10:26.0,,,2-4,2,C. Joseph makes 2-pt shot from 18 ft
10:04.0,J. Wall makes 2-pt shot from 16 ft,2,4-4,,
9:44.0,,,4-6,2,T. Splitter makes 2-pt shot from 9 ft
9:38.0,J. Wall makes 2-pt shot from 18 ft,2,6-6,,
9:14.0,,,6-8,2,T. Splitter makes 2-pt shot from 5 ft (assist by M. Belinelli)
9:02.0,N. Hilario makes 2-pt shot from 13 ft (assist by B. Beal),2,8-8,,
8:43.0,,,8-10,2,C. Joseph makes 2-pt shot from 13 ft (assist by M. Belinelli)
8:26.0,B. Beal misses 2-pt shot from 10 ft (block by T. Duncan),,8-10,,
8:26.0,,,8-10,,Defensive rebound by T. Splitter
8:15.0,,,8-13,3,D. Green makes 3-pt shot from 24 ft (assist by T. Duncan)
7:50.0,B. Beal makes 2-pt shot from 19 ft,2,10-13,,
7:34.0,,,10-13,,Turnover by T. Splitter (bad pass; steal by N. Hilario)
7:27.0,N. Hilario makes 2-pt shot from 1 ft,2,12-13,,
7:09.0,,,12-13,,Shooting foul by M. Gortat (drawn by T. Splitter)
7:09.0,,,12-14,1,T. Splitter makes free throw 1 of 2
7:09.0,,,12-14,,B. Diaw enters the game for D. Green
7:09.0,,,12-14,,K. Anderson enters the game for T. Duncan
7:09.0,,,12-14,,P. Mills enters the game for M. Belinelli
7:09.0,,,12-14,,M. Ginobili enters the game for C. Joseph
7:09.0,,,12-15,1,T. Splitter makes free throw 2 of 2
6:58.0,M. Gortat makes 2-pt shot from 2 ft (assist by P. Pierce),2,14-15,,
6:35.0,,,14-15,,T. Splitter misses 2-pt shot at rim
6:34.0,,,14-15,,Offensive rebound by P. Mills
6:29.0,,,14-18,3,P. Mills makes 3-pt shot from 23 ft
