time,Miami,pts.away,score,pts.home,Golden State
0:47.0,Defensive rebound by C. Bosh,,16-26,,
0:38.0,N. Cole misses 2-pt shot from 11 ft,,16-26,,
0:37.0,,,16-26,,Defensive rebound by D. Lee
0:25.0,,,16-26,,Turnover by A. Iguodala (bad pass)
0:06.0,C. Bosh makes 2-pt shot from 12 ft (assist by N. Cole),2,18-26,,
0:01.0,,,18-26,,K. Thompson misses 2-pt shot from 13 ft
0:00.0,Defensive rebound by C. Andersen,,18-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,18-28,2,L. Barbosa makes 2-pt shot from 2 ft (assist by J. Holiday)
11:13.0,Turnover by Team (shot clock),,18-28,,
10:54.0,,,18-30,2,D. Lee makes 2-pt shot from 1 ft (assist by J. Holiday)
10:31.0,Turnover by N. Cole (offensive foul),,18-30,,
10:31.0,Offensive foul by N. Cole,,18-30,,
10:12.0,,,18-32,2,A. Iguodala makes 2-pt shot from 17 ft (assist by D. Lee)
9:50.0,C. Bosh makes 2-pt shot from 11 ft (assist by N. Cole),2,20-32,,
9:40.0,,,20-32,,A. Iguodala misses 3-pt shot from 26 ft
9:38.0,,,20-32,,Offensive rebound by M. Speights
9:26.0,,,20-32,,M. Speights misses 2-pt shot from 19 ft
9:25.0,Defensive rebound by D. Granger,,20-32,,
9:15.0,C. Bosh makes 3-pt shot from 26 ft (assist by N. Cole),3,23-32,,
8:54.0,,,23-34,2,L. Barbosa makes 2-pt shot from 8 ft (assist by M. Speights)
8:38.0,Turnover by D. Granger (lost ball),,23-34,,
8:38.0,Official timeout,,23-34,,
8:38.0,H. Whiteside enters the game for D. Granger,,23-34,,
8:38.0,M. Chalmers enters the game for C. Andersen,,23-34,,
8:24.0,,,23-34,,J. Holiday misses 3-pt shot from 26 ft
8:23.0,Defensive rebound by J. Ennis,,23-34,,
8:12.0,C. Bosh misses 2-pt shot from 17 ft,,23-34,,
8:11.0,,,23-34,,Defensive rebound by Team
7:53.0,,,23-34,,D. Lee misses 2-pt shot from 4 ft (block by H. Whiteside)
7:51.0,,,23-34,,Offensive rebound by D. Lee
7:49.0,,,23-36,2,D. Lee makes 2-pt shot from 5 ft
7:32.0,H. Whiteside misses 2-pt shot from 3 ft (block by A. Iguodala),,23-36,,
7:30.0,,,23-36,,Defensive rebound by D. Lee
7:17.0,,,23-38,2,L. Barbosa makes 2-pt shot from 9 ft (assist by A. Iguodala)
7:14.0,Miami full timeout,,23-38,,
7:14.0,,,23-38,,A. Bogut enters the game for M. Speights
7:14.0,L. Deng enters the game for C. Bosh,,23-38,,
7:14.0,S. Napier enters the game for N. Cole,,23-38,,
7:14.0,S. Williams enters the game for J. Ennis,,23-38,,
7:03.0,M. Chalmers makes 2-pt shot from 12 ft,2,25-38,,
6:42.0,,,25-41,3,A. Iguodala makes 3-pt shot from 24 ft (assist by D. Lee)
6:14.0,M. Chalmers misses 3-pt shot from 25 ft,,25-41,,
6:13.0,,,25-41,,Defensive rebound by D. Lee
6:06.0,,,25-43,2,J. Holiday makes 2-pt shot from 17 ft (assist by L. Barbosa)
5:49.0,S. Williams misses 3-pt shot from 23 ft,,25-43,,
5:48.0,Offensive rebound by H. Whiteside,,25-43,,
5:47.0,Turnover by H. Whiteside (lost ball),,25-43,,
5:39.0,Personal foul by S. Napier (drawn by L. Barbosa),,25-43,,
5:28.0,,,25-43,,J. Holiday misses 2-pt shot from 17 ft
5:27.0,Defensive rebound by Team,,25-43,,
5:13.0,L. Deng makes 2-pt shot from 12 ft (assist by S. Napier),2,27-43,,
4:59.0,,,27-45,2,A. Iguodala makes 2-pt shot at rim (assist by A. Bogut)
4:34.0,M. Chalmers misses 2-pt shot from 13 ft (block by J. Holiday),,27-45,,
4:33.0,,,27-45,,Defensive rebound by L. Barbosa
4:24.0,,,27-45,,L. Barbosa misses 2-pt shot from 22 ft
4:22.0,Defensive rebound by H. Whiteside,,27-45,,
4:03.0,Shooting foul by L. Barbosa (drawn by S. Napier),,27-45,,
4:03.0,S. Napier misses free throw 1 of 2,,27-45,,
4:03.0,Offensive rebound by Team,,27-45,,
4:03.0,,,27-45,,K. Thompson enters the game for L. Barbosa
4:03.0,,,27-45,,S. Curry enters the game for J. Holiday
4:03.0,,,27-45,,D. Green enters the game for D. Lee
4:03.0,S. Napier makes free throw 2 of 2,1,28-45,,
3:42.0,,,28-45,,D. Green misses 3-pt shot from 28 ft
3:41.0,Defensive rebound by Team,,28-45,,
3:26.0,Shooting foul by A. Iguodala (drawn by L. Deng),,28-45,,
3:26.0,L. Deng makes free throw 1 of 2,1,29-45,,
3:26.0,,,29-45,,H. Barnes enters the game for A. Iguodala
3:26.0,L. Deng makes free throw 2 of 2,1,30-45,,
3:15.0,,,30-45,,K. Thompson misses 3-pt shot from 24 ft
3:13.0,,,30-45,,Offensive rebound by H. Barnes
3:11.0,,,30-45,,H. Barnes misses 2-pt shot from 4 ft (block by H. Whiteside)
3:09.0,,,30-45,,Offensive rebound by S. Curry
3:06.0,,,30-48,3,S. Curry makes 3-pt shot from 27 ft (assist by H. Barnes)
2:40.0,Shooting foul by A. Bogut (drawn by M. Chalmers),,30-48,,
2:40.0,,,30-48,,Golden State full timeout
2:40.0,,,30-48,,M. Speights enters the game for A. Bogut
2:40.0,C. Bosh enters the game for S. Williams,,30-48,,
2:40.0,M. Chalmers makes free throw 1 of 2,1,31-48,,
2:40.0,M. Chalmers makes free throw 2 of 2,1,32-48,,
2:24.0,,,32-51,3,S. Curry makes 3-pt shot from 28 ft
2:04.0,C. Bosh makes 2-pt shot from 18 ft (assist by L. Deng),2,34-51,,
1:52.0,,,34-51,,S. Curry misses 2-pt shot from 2 ft
1:51.0,Defensive rebound by L. Deng,,34-51,,
1:46.0,,,34-51,,Personal foul by M. Speights (drawn by H. Whiteside)
1:36.0,,,34-51,,Personal foul by D. Green (drawn by C. Bosh)
1:36.0,C. Bosh makes free throw 1 of 2,1,35-51,,
1:36.0,C. Bosh makes free throw 2 of 2,1,36-51,,
1:16.0,,,36-51,,D. Green misses 2-pt shot from 3 ft
1:15.0,,,36-51,,Offensive rebound by M. Speights
1:15.0,,,36-53,2,M. Speights makes 2-pt shot at rim
0:59.0,L. Deng misses 3-pt shot from 23 ft,,36-53,,
0:58.0,,,36-53,,Defensive rebound by S. Curry
0:55.0,,,36-53,,H. Barnes misses 2-pt shot from 2 ft
0:54.0,,,36-53,,Offensive rebound by M. Speights
0:54.0,,,36-55,2,M. Speights makes 2-pt shot at rim
0:37.0,H. Whiteside misses 2-pt shot from 13 ft,,36-55,,
0:36.0,Offensive rebound by S. Napier,,36-55,,
0:36.0,S. Napier makes 2-pt shot from 1 ft,2,38-55,,
0:21.0,,,38-55,,K. Thompson misses 3-pt shot from 26 ft
0:20.0,Defensive rebound by M. Chalmers,,38-55,,
0:02.0,H. Whiteside misses 2-pt shot from 6 ft,,38-55,,
0:01.0,Offensive rebound by Team,,38-55,,
0:01.0,Miami full timeout,,38-55,,
0:01.0,M. Chalmers misses 3-pt shot from 22 ft (block by K. Thompson),,38-55,,
0:00.0,Offensive rebound by Team,,38-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,38-55,,H. Barnes misses 2-pt shot from 21 ft
11:42.0,,,38-55,,Offensive rebound by H. Barnes
11:37.0,,,38-57,2,S. Curry makes 2-pt shot from 14 ft (assist by H. Barnes)
11:17.0,Shooting foul by D. Green (drawn by C. Bosh),,38-57,,
11:17.0,C. Bosh makes free throw 1 of 2,1,39-57,,
11:17.0,C. Bosh makes free throw 2 of 2,1,40-57,,
11:01.0,,,40-57,,D. Green misses 2-pt shot from 15 ft
10:59.0,Defensive rebound by H. Whiteside,,40-57,,
10:41.0,Shooting foul by D. Green (drawn by C. Bosh),,40-57,,
10:41.0,C. Bosh makes free throw 1 of 2,1,41-57,,
10:41.0,C. Bosh makes free throw 2 of 2,1,42-57,,
10:29.0,,,42-57,,K. Thompson misses 2-pt shot from 15 ft
10:28.0,Defensive rebound by H. Whiteside,,42-57,,
10:18.0,L. Deng makes 3-pt shot from 22 ft (assist by M. Chalmers),3,45-57,,
10:17.0,,,45-57,,Golden State full timeout
10:01.0,,,45-57,,S. Curry misses 3-pt shot from 26 ft
10:00.0,,,45-57,,Offensive rebound by H. Barnes
9:48.0,,,45-59,2,H. Barnes makes 2-pt shot from 1 ft
9:31.0,Turnover by S. Napier (bad pass),,45-59,,
9:16.0,Personal foul by M. Chalmers (drawn by D. Green),,45-59,,
9:07.0,,,45-59,,K. Thompson misses 2-pt shot from 14 ft
9:06.0,Defensive rebound by H. Whiteside,,45-59,,
8:53.0,Turnover by C. Bosh (bad pass; steal by A. Bogut),,45-59,,
8:47.0,,,45-61,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
8:26.0,S. Napier makes 3-pt shot from 27 ft,3,48-61,,
8:14.0,Personal foul by S. Napier (drawn by S. Curry),,48-61,,
8:06.0,,,48-61,,K. Thompson misses 2-pt shot from 10 ft
8:05.0,Defensive rebound by H. Whiteside,,48-61,,
7:51.0,C. Bosh misses 2-pt shot from 16 ft,,48-61,,
7:50.0,,,48-61,,Defensive rebound by H. Barnes
7:42.0,,,48-61,,D. Green misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by Team,,48-61,,
7:27.0,H. Whiteside makes 2-pt shot from 15 ft (assist by S. Napier),2,50-61,,
7:19.0,,,50-61,,Turnover by D. Green (offensive foul)
7:19.0,,,50-61,,Offensive foul by D. Green
7:19.0,,,50-61,,D. Lee enters the game for D. Green
7:03.0,Shooting foul by H. Barnes (drawn by L. Deng),,50-61,,
7:03.0,L. Deng makes free throw 1 of 2,1,51-61,,
7:03.0,L. Deng makes free throw 2 of 2,1,52-61,,
6:50.0,,,52-63,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Lee)
6:50.0,,,52-63,,Shooting foul by S. Napier (drawn by S. Curry)
6:50.0,,,52-64,1,S. Curry makes free throw 1 of 1
6:38.0,L. Deng makes 3-pt shot from 24 ft (assist by S. Napier),3,55-64,,
6:26.0,,,55-64,,K. Thompson misses 3-pt shot from 26 ft
6:25.0,Defensive rebound by H. Whiteside,,55-64,,
6:13.0,H. Whiteside misses 2-pt shot from 2 ft,,55-64,,
6:12.0,,,55-64,,Defensive rebound by A. Bogut
6:01.0,,,55-66,2,D. Lee makes 2-pt shot from 1 ft (assist by S. Curry)
6:00.0,Miami full timeout,,55-66,,
6:00.0,,,55-66,,A. Iguodala enters the game for H. Barnes
5:44.0,Turnover by S. Napier (bad pass),,55-66,,
5:31.0,,,55-66,,Offensive foul by A. Iguodala
5:31.0,,,55-66,,Turnover by A. Iguodala (offensive foul)
5:11.0,C. Bosh misses 3-pt shot from 26 ft,,55-66,,
5:10.0,,,55-66,,Defensive rebound by K. Thompson
4:59.0,,,55-66,,Offensive foul by A. Bogut
4:59.0,,,55-66,,Turnover by A. Bogut (offensive foul)
4:49.0,Shooting foul by D. Lee (drawn by C. Bosh),,55-66,,
4:49.0,C. Bosh makes free throw 1 of 2,1,56-66,,
4:49.0,,,56-66,,M. Speights enters the game for A. Bogut
4:49.0,C. Bosh makes free throw 2 of 2,1,57-66,,
4:36.0,,,57-68,2,K. Thompson makes 2-pt shot from 10 ft (assist by D. Lee)
4:19.0,Turnover by S. Napier (lost ball; steal by S. Curry),,57-68,,
4:12.0,,,57-68,,S. Curry misses 2-pt shot from 20 ft
4:11.0,Defensive rebound by H. Whiteside,,57-68,,
4:03.0,N. Cole enters the game for S. Napier,,57-68,,
4:03.0,,,57-68,,L. Barbosa enters the game for K. Thompson
3:56.0,Turnover by H. Whiteside (offensive goaltending),,57-68,,
