time,Sacramento,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Thompson (G. Dragic gains possession),,,,Jump ball: M. Plumlee vs. J. Thompson (G. Dragic gains possession)
11:42.0,,,0-2,2,M. Plumlee makes 2-pt shot from 9 ft
11:30.0,,,0-2,,Violation by M. Morris (kicked ball)
11:22.0,J. Thompson misses 2-pt shot from 17 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by G. Dragic
11:16.0,Personal foul by D. Collison (drawn by E. Bledsoe),,0-2,,
11:07.0,,,0-2,,E. Bledsoe misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by D. Cousins,,0-2,,
10:54.0,J. Thompson misses 2-pt shot from 3 ft (block by M. Morris),,0-2,,
10:54.0,Offensive rebound by Team,,0-2,,
10:41.0,Turnover by Team (shot clock),,0-2,,
10:25.0,,,0-2,,E. Bledsoe misses 2-pt shot from 8 ft
10:23.0,Defensive rebound by R. Gay,,0-2,,
10:19.0,Shooting foul by M. Plumlee (drawn by B. McLemore),,0-2,,
10:19.0,B. McLemore makes free throw 1 of 2,1,1-2,,
10:19.0,B. McLemore makes free throw 2 of 2,1,2-2,,
10:07.0,,,2-2,,M. Morris misses 2-pt shot from 17 ft
10:05.0,Defensive rebound by R. Gay,,2-2,,
9:53.0,J. Thompson makes 2-pt shot from 9 ft,2,4-2,,
9:39.0,,,4-4,2,M. Morris makes 2-pt shot from 20 ft (assist by M. Morris)
9:16.0,Turnover by D. Collison (bad pass; steal by E. Bledsoe),,4-4,,
9:12.0,,,4-6,2,E. Bledsoe makes 2-pt shot from 1 ft
9:12.0,Shooting block foul by D. Collison (drawn by E. Bledsoe),,4-6,,
9:12.0,R. Sessions enters the game for D. Collison,,4-6,,
9:12.0,,,4-7,1,E. Bledsoe makes free throw 1 of 1
8:57.0,R. Sessions misses 2-pt shot from 5 ft (block by E. Bledsoe),,4-7,,
8:55.0,Offensive rebound by J. Thompson,,4-7,,
8:55.0,Shooting foul by E. Bledsoe (drawn by J. Thompson),,4-7,,
8:55.0,J. Thompson makes free throw 1 of 2,1,5-7,,
8:55.0,J. Thompson misses free throw 2 of 2,,5-7,,
8:53.0,,,5-7,,Defensive rebound by M. Plumlee
8:42.0,,,5-9,2,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe)
8:26.0,Offensive charge foul by B. McLemore,,5-9,,
8:26.0,Turnover by B. McLemore (offensive foul),,5-9,,
8:14.0,,,5-11,2,M. Morris makes 2-pt shot at rim
8:13.0,Sacramento full timeout,,5-11,,
7:55.0,R. Gay misses 2-pt shot from 12 ft,,5-11,,
7:52.0,Offensive rebound by J. Thompson,,5-11,,
7:52.0,J. Thompson makes 2-pt shot from 1 ft,2,7-11,,
7:27.0,,,7-13,2,M. Plumlee makes 2-pt shot from 15 ft
7:12.0,R. Sessions misses 2-pt shot from 2 ft,,7-13,,
7:10.0,,,7-13,,Defensive rebound by M. Plumlee
6:59.0,,,7-15,2,M. Morris makes 2-pt shot from 1 ft
6:43.0,,,7-15,,Personal foul by M. Morris (drawn by R. Gay)
6:36.0,Turnover by R. Sessions (bad pass; steal by G. Dragic),,7-15,,
