time,Oklahoma City,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Violation by Team (jump ball),,0-0,,
12:00.0,Jump ball: S. Adams vs. N. Vucevic,,,,Jump ball: S. Adams vs. N. Vucevic
12:00.0,,,0-0,,Turnover by E. Payton (offensive foul)
12:00.0,,,0-0,,Offensive foul by E. Payton
11:42.0,S. Adams makes 2-pt shot from 1 ft (assist by K. Durant),2,2-0,,
11:30.0,,,2-0,,C. Frye misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by S. Adams,,2-0,,
11:18.0,Offensive charge foul by K. Durant,,2-0,,
11:18.0,Turnover by K. Durant (offensive foul),,2-0,,
11:04.0,,,2-0,,Turnover by N. Vucevic (lost ball; steal by S. Ibaka)
10:49.0,S. Ibaka makes 3-pt shot from 26 ft (assist by S. Adams),3,5-0,,
10:42.0,,,5-0,,Turnover by E. Payton (bad pass; steal by K. Durant)
10:36.0,Turnover by K. Durant (bad pass; steal by C. Frye),,5-0,,
10:27.0,,,5-0,,D. Marble misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by S. Ibaka,,5-0,,
10:17.0,S. Ibaka misses 3-pt shot from 25 ft,,5-0,,
10:16.0,,,5-0,,Defensive rebound by C. Frye
10:06.0,,,5-0,,V. Oladipo misses 2-pt shot from 2 ft
10:03.0,Defensive rebound by S. Ibaka,,5-0,,
9:55.0,S. Ibaka makes 3-pt shot from 25 ft (assist by R. Westbrook),3,8-0,,
9:48.0,,,8-0,,Orlando full timeout
9:42.0,Personal foul by A. Roberson (drawn by E. Payton),,8-0,,
9:27.0,,,8-0,,N. Vucevic misses 2-pt shot from 19 ft
9:26.0,Defensive rebound by K. Durant,,8-0,,
9:17.0,,,8-0,,Personal foul by E. Payton (drawn by R. Westbrook)
9:13.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,10-0,,
9:01.0,,,10-0,,Turnover by N. Vucevic (lost ball; steal by R. Westbrook)
8:51.0,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook),3,13-0,,
8:30.0,,,13-0,,D. Marble misses 2-pt shot from 1 ft
8:29.0,,,13-0,,Offensive rebound by N. Vucevic
8:29.0,,,13-0,,N. Vucevic misses 2-pt shot from 2 ft
8:27.0,,,13-0,,Offensive rebound by N. Vucevic
8:27.0,,,13-2,2,N. Vucevic makes 2-pt shot at rim
8:15.0,S. Ibaka makes 2-pt shot from 16 ft (assist by K. Durant),2,15-2,,
8:06.0,,,15-2,,N. Vucevic misses 2-pt shot from 10 ft
8:04.0,,,15-2,,Offensive rebound by E. Payton
8:03.0,,,15-4,2,E. Payton makes 2-pt shot at rim
7:45.0,R. Westbrook misses 2-pt shot from 15 ft,,15-4,,
7:44.0,,,15-4,,Defensive rebound by N. Vucevic
7:29.0,,,15-6,2,E. Payton makes 2-pt shot from 7 ft
7:08.0,A. Roberson makes 2-pt shot at rim (assist by S. Adams),2,17-6,,
6:54.0,,,17-6,,Shooting foul by S. Adams (drawn by V. Oladipo)
6:54.0,,,17-7,1,V. Oladipo makes free throw 1 of 2
6:54.0,,,17-8,1,V. Oladipo makes free throw 2 of 2
6:41.0,K. Durant makes 2-pt shot from 14 ft,2,19-8,,
6:31.0,,,19-8,,N. Vucevic misses 2-pt shot from 17 ft
6:30.0,Defensive rebound by S. Ibaka,,19-8,,
6:24.0,R. Westbrook makes 2-pt shot from 19 ft,2,21-8,,
6:17.0,,,21-8,,V. Oladipo misses 2-pt shot at rim (block by S. Ibaka)
6:14.0,Defensive rebound by K. Durant,,21-8,,
6:11.0,Shooting foul by C. Frye (drawn by R. Westbrook),,21-8,,
6:11.0,R. Westbrook makes free throw 1 of 2,1,22-8,,
6:11.0,R. Westbrook misses free throw 2 of 2,,22-8,,
6:10.0,,,22-8,,Defensive rebound by C. Frye
5:59.0,,,22-8,,E. Payton misses 2-pt shot from 1 ft
5:58.0,,,22-8,,Offensive rebound by N. Vucevic
5:58.0,,,22-10,2,N. Vucevic makes 2-pt shot from 1 ft
5:37.0,K. Durant makes 2-pt shot from 2 ft (assist by S. Adams),2,24-10,,
5:25.0,,,24-12,2,N. Vucevic makes 2-pt shot from 1 ft (assist by V. Oladipo)
5:15.0,R. Westbrook makes 2-pt shot from 10 ft,2,26-12,,
5:04.0,,,26-14,2,N. Vucevic makes 2-pt shot from 2 ft (assist by V. Oladipo)
4:53.0,,,26-14,,Personal foul by V. Oladipo (drawn by R. Westbrook)
4:53.0,A. Morrow enters the game for K. Durant,,26-14,,
4:45.0,Turnover by R. Westbrook (bad pass; steal by E. Payton),,26-14,,
4:40.0,,,26-14,,Turnover by E. Payton (bad pass; steal by A. Morrow)
4:31.0,R. Westbrook misses 3-pt shot from 25 ft,,26-14,,
4:30.0,,,26-14,,Defensive rebound by V. Oladipo
4:12.0,,,26-16,2,E. Payton makes 2-pt shot from 16 ft
3:53.0,S. Ibaka misses 3-pt shot from 25 ft,,26-16,,
3:52.0,,,26-16,,Defensive rebound by C. Frye
3:44.0,,,26-16,,N. Vucevic misses 2-pt shot from 13 ft
3:43.0,Defensive rebound by A. Roberson,,26-16,,
3:35.0,A. Morrow misses 3-pt shot from 22 ft,,26-16,,
3:34.0,,,26-16,,Defensive rebound by N. Vucevic
3:26.0,Personal foul by S. Adams (drawn by N. Vucevic),,26-16,,
3:26.0,D. Waiters enters the game for A. Roberson,,26-16,,
3:26.0,K. Perkins enters the game for S. Adams,,26-16,,
3:26.0,,,26-16,,B. Gordon enters the game for V. Oladipo
3:16.0,,,26-16,,E. Payton misses 2-pt shot from 1 ft
3:14.0,Defensive rebound by K. Perkins,,26-16,,
3:07.0,R. Westbrook makes 2-pt shot from 2 ft (assist by D. Waiters),2,28-16,,
3:00.0,,,28-16,,E. Payton misses 2-pt shot from 2 ft
2:59.0,Defensive rebound by K. Perkins,,28-16,,
2:53.0,R. Westbrook makes 2-pt shot from 12 ft,2,30-16,,
2:34.0,,,30-18,2,E. Payton makes 2-pt shot from 12 ft
2:21.0,R. Westbrook misses 3-pt shot from 28 ft,,30-18,,
2:21.0,,,30-18,,Defensive rebound by Team
2:21.0,Oklahoma City full timeout,,30-18,,
2:21.0,R. Jackson enters the game for R. Westbrook,,30-18,,
1:59.0,,,30-18,,N. Vucevic misses 2-pt shot from 14 ft
1:56.0,Defensive rebound by S. Ibaka,,30-18,,
1:46.0,D. Waiters makes 2-pt shot from 17 ft,2,32-18,,
1:35.0,,,32-20,2,N. Vucevic makes 2-pt shot from 1 ft (assist by B. Gordon)
1:20.0,,,32-20,,Personal block foul by B. Gordon (drawn by D. Waiters)
1:20.0,,,32-20,,K. O'Quinn enters the game for D. Marble
1:20.0,,,32-20,,V. Oladipo enters the game for N. Vucevic
1:20.0,,,32-20,,L. Ridnour enters the game for E. Payton
1:12.0,D. Waiters makes 2-pt shot from 14 ft,2,34-20,,
0:54.0,,,34-20,,C. Frye misses 2-pt shot from 7 ft
0:53.0,Defensive rebound by K. Perkins,,34-20,,
0:32.0,R. Jackson misses 2-pt shot from 4 ft,,34-20,,
0:29.0,Offensive rebound by A. Morrow,,34-20,,
0:10.0,D. Waiters makes 3-pt shot from 26 ft,3,37-20,,
0:01.0,,,37-20,,Turnover by V. Oladipo (lost ball)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. Waiters makes 2-pt shot from 6 ft (assist by K. Durant),2,39-20,,
11:21.0,,,39-20,,A. Gordon misses 2-pt shot from 10 ft
11:20.0,Defensive rebound by R. Jackson,,39-20,,
11:14.0,R. Jackson makes 2-pt shot from 10 ft,2,41-20,,
11:14.0,Shooting foul by L. Ridnour (drawn by R. Jackson),,41-20,,
11:14.0,,,41-20,,E. Payton enters the game for L. Ridnour
11:14.0,R. Jackson makes free throw 1 of 1,1,42-20,,
11:03.0,,,42-20,,K. O'Quinn misses 2-pt shot from 18 ft
11:02.0,Defensive rebound by K. Durant,,42-20,,
