time,Orlando,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. O'Quinn vs. J. Thompson (B. McLemore gains possession),,,,Jump ball: K. O'Quinn vs. J. Thompson (B. McLemore gains possession)
11:54.0,,,0-2,2,B. McLemore makes 2-pt shot from 2 ft (assist by J. Thompson)
11:39.0,T. Harris makes 2-pt shot from 14 ft (assist by K. O'Quinn),2,2-2,,
11:19.0,,,2-2,,Shooting foul by K. O'Quinn (drawn by R. Hollins)
11:19.0,,,2-2,,R. Hollins misses free throw 1 of 2
11:19.0,,,2-2,,Offensive rebound by Team
11:19.0,,,2-3,1,R. Hollins makes free throw 2 of 2
11:00.0,K. O'Quinn makes 2-pt shot from 11 ft (assist by V. Oladipo),2,4-3,,
10:42.0,,,4-3,,J. Thompson misses 2-pt shot from 15 ft
10:41.0,Defensive rebound by C. Frye,,4-3,,
10:25.0,T. Harris misses 2-pt shot from 10 ft,,4-3,,
10:24.0,,,4-3,,Defensive rebound by J. Thompson
10:10.0,,,4-3,,R. Gay misses 3-pt shot from 25 ft
10:10.0,,,4-3,,Offensive rebound by Team
10:10.0,Loose ball foul by V. Oladipo (drawn by J. Thompson),,4-3,,
9:59.0,,,4-5,2,J. Thompson makes 2-pt shot from 9 ft (assist by D. Collison)
9:45.0,C. Frye makes 3-pt shot from 23 ft (assist by E. Fournier),3,7-5,,
9:27.0,,,7-7,2,D. Collison makes 2-pt shot from 16 ft (assist by R. Gay)
9:07.0,K. O'Quinn makes 2-pt shot from 7 ft (assist by V. Oladipo),2,9-7,,
8:52.0,,,9-7,,D. Collison misses 3-pt shot from 26 ft
8:52.0,Defensive rebound by T. Harris,,9-7,,
8:33.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by C. Frye),2,11-7,,
8:33.0,,,11-7,,Sacramento full timeout
8:08.0,,,11-7,,R. Hollins misses 2-pt shot from 17 ft
8:07.0,Defensive rebound by V. Oladipo,,11-7,,
7:57.0,C. Frye misses 3-pt shot from 24 ft,,11-7,,
7:56.0,,,11-7,,Defensive rebound by J. Thompson
7:48.0,,,11-7,,R. Gay misses 2-pt shot from 5 ft
7:47.0,Defensive rebound by E. Fournier,,11-7,,
7:38.0,E. Fournier misses 3-pt shot from 24 ft,,11-7,,
7:38.0,,,11-7,,Defensive rebound by Team
7:22.0,,,11-7,,Turnover by R. Gay (bad pass; steal by C. Frye)
7:15.0,T. Harris misses 2-pt shot from 2 ft,,11-7,,
7:14.0,,,11-7,,Defensive rebound by B. McLemore
7:08.0,,,11-7,,D. Collison misses 2-pt shot from 15 ft
7:07.0,Defensive rebound by E. Fournier,,11-7,,
6:50.0,V. Oladipo misses 2-pt shot from 3 ft,,11-7,,
6:49.0,Offensive rebound by K. O'Quinn,,11-7,,
6:48.0,K. O'Quinn makes 2-pt shot from 1 ft,2,13-7,,
6:27.0,D. Dedmon enters the game for K. O'Quinn,,13-7,,
6:22.0,,,13-9,2,J. Thompson makes 2-pt shot from 6 ft (assist by R. Gay)
6:00.0,E. Fournier misses 2-pt shot from 3 ft,,13-9,,
6:00.0,Offensive rebound by D. Dedmon,,13-9,,
5:59.0,Shooting foul by R. Hollins (drawn by D. Dedmon),,13-9,,
5:59.0,D. Dedmon makes free throw 1 of 2,1,14-9,,
5:59.0,D. Dedmon misses free throw 2 of 2,,14-9,,
5:58.0,,,14-9,,Defensive rebound by J. Thompson
5:49.0,Personal foul by T. Harris (drawn by R. Gay),,14-9,,
5:41.0,Personal block foul by D. Dedmon (drawn by J. Thompson),,14-9,,
5:28.0,,,14-11,2,J. Thompson makes 2-pt shot from 18 ft (assist by D. Collison)
5:14.0,E. Fournier makes 2-pt shot from 11 ft (assist by D. Dedmon),2,16-11,,
4:56.0,,,16-13,2,R. Hollins makes 2-pt shot from 6 ft (assist by J. Thompson)
4:44.0,Turnover by V. Oladipo (bad pass; steal by R. Gay),,16-13,,
4:42.0,,,16-15,2,R. Gay makes 2-pt shot at rim
4:17.0,V. Oladipo misses 2-pt shot from 2 ft,,16-15,,
