time,Toronto,pts.away,score,pts.home,Portland
7:20.0,,,12-9,,Defensive rebound by L. Aldridge
7:12.0,,,12-9,,W. Matthews misses 3-pt shot from 24 ft
7:11.0,Defensive rebound by J. Johnson,,12-9,,
7:04.0,Turnover by J. Johnson (bad pass; steal by N. Batum),,12-9,,
6:52.0,,,12-9,,D. Lillard misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by T. Ross,,12-9,,
6:28.0,J. Valanciunas makes 2-pt shot from 7 ft,2,14-9,,
6:02.0,,,14-9,,Turnover by Team (shot clock)
5:58.0,Toronto full timeout,,14-9,,
5:58.0,,,14-9,,S. Blake enters the game for W. Matthews
5:58.0,,,14-9,,C. Kaman enters the game for J. Freeland
5:46.0,J. Johnson makes 2-pt shot from 2 ft,2,16-9,,
5:27.0,,,16-11,2,L. Aldridge makes 2-pt shot from 21 ft (assist by D. Lillard)
5:16.0,K. Lowry misses 2-pt shot from 17 ft (block by D. Lillard),,16-11,,
5:15.0,,,16-11,,Defensive rebound by D. Lillard
5:04.0,,,16-13,2,C. Kaman makes 2-pt shot from 18 ft
4:46.0,T. Ross misses 3-pt shot from 22 ft,,16-13,,
4:45.0,,,16-13,,Defensive rebound by L. Aldridge
4:36.0,,,16-13,,D. Lillard misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by J. Johnson,,16-13,,
4:25.0,K. Lowry misses 2-pt shot from 19 ft,,16-13,,
4:24.0,,,16-13,,Defensive rebound by C. Kaman
4:13.0,,,16-13,,C. Kaman misses 2-pt shot from 1 ft
4:11.0,,,16-13,,Offensive rebound by C. Kaman
4:11.0,,,16-15,2,C. Kaman makes 2-pt shot from 1 ft
3:50.0,J. Valanciunas makes 2-pt shot from 3 ft,2,18-15,,
3:37.0,,,18-15,,C. Kaman misses 2-pt shot from 2 ft (block by A. Johnson)
3:35.0,Defensive rebound by J. Johnson,,18-15,,
3:22.0,T. Ross misses 2-pt shot from 15 ft,,18-15,,
3:21.0,,,18-15,,Defensive rebound by L. Aldridge
3:13.0,,,18-17,2,N. Batum makes 2-pt shot from 1 ft (assist by D. Lillard)
2:56.0,T. Ross misses 2-pt shot from 16 ft,,18-17,,
2:53.0,Offensive rebound by J. Johnson,,18-17,,
2:50.0,K. Lowry misses 3-pt shot from 23 ft,,18-17,,
2:49.0,,,18-17,,Defensive rebound by S. Blake
2:43.0,,,18-17,,N. Batum misses 3-pt shot from 24 ft
2:42.0,Defensive rebound by T. Ross,,18-17,,
2:23.0,,,18-17,,Personal foul by C. Kaman (drawn by J. Valanciunas)
2:23.0,,,18-17,,Portland full timeout
2:23.0,,,18-17,,D. Wright enters the game for L. Aldridge
2:23.0,,,18-17,,W. Matthews enters the game for N. Batum
2:23.0,G. Vasquez enters the game for J. Johnson,,18-17,,
2:23.0,L. Williams enters the game for A. Johnson,,18-17,,
2:23.0,P. Patterson enters the game for K. Lowry,,18-17,,
2:07.0,G. Vasquez makes 3-pt shot from 24 ft (assist by P. Patterson),3,21-17,,
1:51.0,,,21-17,,Shooting foul by P. Patterson (drawn by D. Wright)
1:51.0,,,21-18,1,D. Wright makes free throw 1 of 2
1:51.0,,,21-19,1,D. Wright makes free throw 2 of 2
1:30.0,G. Vasquez makes 2-pt shot from 12 ft,2,23-19,,
1:17.0,,,23-21,2,D. Lillard makes 2-pt shot at rim
0:58.0,T. Ross misses 2-pt shot from 4 ft,,23-21,,
0:57.0,Offensive rebound by J. Valanciunas,,23-21,,
0:57.0,J. Valanciunas misses 2-pt shot from 1 ft,,23-21,,
0:55.0,Offensive rebound by J. Valanciunas,,23-21,,
0:55.0,J. Valanciunas misses 2-pt shot from 1 ft,,23-21,,
0:54.0,,,23-21,,Defensive rebound by C. Kaman
0:45.0,,,23-21,,D. Lillard misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by P. Patterson,,23-21,,
0:33.0,J. Valanciunas misses 2-pt shot from 16 ft,,23-21,,
0:33.0,,,23-21,,Defensive rebound by D. Wright
0:19.0,,,23-23,2,C. Kaman makes 2-pt shot from 11 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,23-23,,C. Kaman misses 2-pt shot from 4 ft
11:41.0,Defensive rebound by J. Johnson,,23-23,,
11:29.0,L. Williams misses 3-pt shot from 25 ft,,23-23,,
11:28.0,,,23-23,,Defensive rebound by C. Kaman
11:14.0,,,23-23,,S. Blake misses 2-pt shot from 13 ft
11:13.0,Defensive rebound by P. Patterson,,23-23,,
11:03.0,J. Johnson misses 2-pt shot from 4 ft (block by C. Kaman),,23-23,,
10:59.0,,,23-23,,Defensive rebound by C. McCollum
10:50.0,,,23-23,,D. Wright misses 3-pt shot from 22 ft
10:48.0,Defensive rebound by G. Vasquez,,23-23,,
10:45.0,G. Vasquez makes 2-pt shot from 2 ft,2,25-23,,
10:27.0,,,25-25,2,C. Kaman makes 2-pt shot at rim (assist by D. Wright)
10:11.0,Shooting foul by C. McCollum (drawn by L. Williams),,25-25,,
10:11.0,L. Williams makes free throw 1 of 3,1,26-25,,
10:11.0,L. Williams makes free throw 2 of 3,1,27-25,,
10:11.0,L. Williams makes free throw 3 of 3,1,28-25,,
10:01.0,,,28-25,,W. Matthews misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by P. Patterson,,28-25,,
9:56.0,Shooting foul by C. McCollum (drawn by L. Williams),,28-25,,
9:56.0,L. Williams makes free throw 1 of 2,1,29-25,,
9:56.0,L. Williams makes free throw 2 of 2,1,30-25,,
9:37.0,,,30-25,,C. McCollum misses 3-pt shot from 22 ft
9:36.0,Defensive rebound by P. Patterson,,30-25,,
9:28.0,G. Vasquez misses 3-pt shot from 24 ft,,30-25,,
9:27.0,,,30-25,,Defensive rebound by W. Matthews
9:07.0,,,30-25,,S. Blake misses 3-pt shot from 23 ft
9:06.0,Defensive rebound by J. Johnson,,30-25,,
8:52.0,J. Johnson misses 2-pt shot from 13 ft,,30-25,,
8:52.0,,,30-25,,Defensive rebound by C. Kaman
8:45.0,,,30-25,,Turnover by S. Blake (bad pass; steal by P. Patterson)
8:26.0,Official timeout,,30-25,,
8:26.0,,,30-25,,N. Batum enters the game for W. Matthews
8:21.0,G. Vasquez misses 3-pt shot from 27 ft,,30-25,,
8:20.0,,,30-25,,Defensive rebound by C. Kaman
7:59.0,,,30-25,,C. Kaman misses 2-pt shot from 8 ft
7:57.0,Defensive rebound by L. Williams,,30-25,,
7:52.0,,,30-25,,Personal foul by C. McCollum (drawn by L. Williams)
7:52.0,,,30-25,,J. Freeland enters the game for C. Kaman
7:52.0,K. Lowry enters the game for G. Vasquez,,30-25,,
7:52.0,T. Hansbrough enters the game for A. Johnson,,30-25,,
7:45.0,J. Johnson makes 2-pt shot from 6 ft (assist by P. Patterson),2,32-25,,
7:24.0,,,32-25,,J. Freeland misses 2-pt shot from 6 ft
7:23.0,Defensive rebound by T. Hansbrough,,32-25,,
7:11.0,L. Williams misses 3-pt shot from 24 ft,,32-25,,
7:10.0,,,32-25,,Defensive rebound by J. Freeland
7:01.0,,,32-25,,D. Lillard enters the game for C. McCollum
6:59.0,,,32-25,,D. Wright misses 2-pt shot from 5 ft
6:58.0,Defensive rebound by P. Patterson,,32-25,,
6:40.0,Turnover by L. Williams (bad pass; steal by N. Batum),,32-25,,
6:32.0,,,32-25,,D. Wright misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by J. Johnson,,32-25,,
6:20.0,K. Lowry misses 2-pt shot from 7 ft (block by D. Wright),,32-25,,
6:19.0,,,32-25,,Defensive rebound by J. Freeland
6:13.0,Violation by K. Lowry (kicked ball),,32-25,,
6:13.0,,,32-25,,L. Aldridge enters the game for D. Wright
5:57.0,,,32-25,,Turnover by D. Lillard (offensive foul)
5:57.0,,,32-25,,Offensive charge foul by D. Lillard
5:57.0,,,32-25,,Portland full timeout
5:57.0,T. Ross enters the game for J. Johnson,,32-25,,
5:57.0,A. Johnson enters the game for P. Patterson,,32-25,,
5:44.0,K. Lowry makes 2-pt shot from 2 ft,2,34-25,,
5:27.0,,,34-25,,D. Lillard misses 3-pt shot from 28 ft
5:26.0,,,34-25,,Offensive rebound by Team
5:26.0,Loose ball foul by T. Hansbrough (drawn by L. Aldridge),,34-25,,
5:26.0,,,34-25,,W. Matthews enters the game for S. Blake
5:18.0,,,34-25,,L. Aldridge misses 2-pt shot from 11 ft
5:17.0,Defensive rebound by K. Lowry,,34-25,,
5:08.0,K. Lowry makes 2-pt shot from 5 ft,2,36-25,,
4:50.0,,,36-27,2,D. Lillard makes 2-pt shot from 1 ft
4:34.0,Offensive foul by A. Johnson,,36-27,,
4:34.0,Turnover by A. Johnson (offensive foul),,36-27,,
4:20.0,,,36-27,,Shooting foul by A. Johnson (drawn by L. Aldridge)
4:20.0,,,36-28,1,L. Aldridge makes free throw 1 of 2
4:20.0,,,36-29,1,L. Aldridge makes free throw 2 of 2
4:00.0,A. Johnson makes 2-pt shot from 3 ft,2,38-29,,
3:43.0,,,38-29,,D. Lillard misses 3-pt shot from 25 ft
3:42.0,,,38-29,,Offensive rebound by J. Freeland
3:42.0,,,38-29,,J. Freeland misses 2-pt shot from 2 ft
3:41.0,,,38-29,,Offensive rebound by Team
3:38.0,,,38-29,,N. Batum misses 2-pt shot from 18 ft
3:37.0,,,38-29,,Offensive rebound by W. Matthews
3:25.0,,,38-29,,Offensive charge foul by D. Lillard
3:25.0,,,38-29,,Turnover by D. Lillard (offensive foul)
3:08.0,Offensive foul by K. Lowry,,38-29,,
3:08.0,Turnover by K. Lowry (offensive foul),,38-29,,
2:56.0,Personal foul by T. Hansbrough (drawn by L. Aldridge),,38-29,,
2:56.0,Toronto full timeout,,38-29,,
2:56.0,P. Patterson enters the game for A. Johnson,,38-29,,
2:56.0,J. Valanciunas enters the game for L. Williams,,38-29,,
2:56.0,G. Vasquez enters the game for T. Hansbrough,,38-29,,
2:56.0,,,38-29,,C. Kaman enters the game for J. Freeland
2:47.0,,,38-29,,L. Aldridge misses 2-pt shot from 19 ft
2:47.0,Defensive rebound by J. Valanciunas,,38-29,,
2:35.0,K. Lowry misses 2-pt shot at rim,,38-29,,
2:34.0,Offensive rebound by K. Lowry,,38-29,,
2:34.0,K. Lowry makes 2-pt shot at rim,2,40-29,,
2:18.0,,,40-31,2,W. Matthews makes 2-pt shot from 7 ft (assist by D. Lillard)
2:05.0,,,40-31,,Personal foul by W. Matthews (drawn by K. Lowry)
1:53.0,K. Lowry makes 2-pt shot from 7 ft,2,42-31,,
1:40.0,,,42-31,,W. Matthews misses 3-pt shot from 22 ft
1:39.0,Defensive rebound by T. Ross,,42-31,,
1:34.0,Shooting foul by N. Batum (drawn by G. Vasquez),,42-31,,
1:34.0,G. Vasquez makes free throw 1 of 2,1,43-31,,
1:34.0,,,43-31,,D. Wright enters the game for C. Kaman
1:34.0,G. Vasquez misses free throw 2 of 2,,43-31,,
1:33.0,,,43-31,,Defensive rebound by L. Aldridge
1:26.0,,,43-33,2,D. Lillard makes 2-pt shot from 18 ft
1:07.0,G. Vasquez misses 3-pt shot from 24 ft,,43-33,,
1:06.0,,,43-33,,Defensive rebound by L. Aldridge
1:00.0,,,43-36,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Wright)
0:53.0,Toronto full timeout,,43-36,,
0:53.0,L. Williams enters the game for J. Valanciunas,,43-36,,
0:37.0,K. Lowry misses 3-pt shot from 24 ft,,43-36,,
0:36.0,,,43-36,,Defensive rebound by W. Matthews
0:28.0,,,43-38,2,L. Aldridge makes 2-pt shot from 1 ft (assist by W. Matthews)
0:04.0,L. Williams misses 3-pt shot from 24 ft,,43-38,,
0:03.0,Offensive rebound by K. Lowry,,43-38,,
0:03.0,K. Lowry makes 2-pt shot from 1 ft,2,45-38,,
0:02.0,,,45-38,,Portland full timeout
0:02.0,A. Johnson enters the game for T. Ross,,45-38,,
0:00.0,,,45-38,,D. Wright misses 3-pt shot from 29 ft
0:00.0,,,45-38,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,45-40,2,L. Aldridge makes 2-pt shot from 6 ft
11:15.0,J. Valanciunas makes 2-pt shot from 7 ft,2,47-40,,
11:01.0,,,47-40,,W. Matthews misses 2-pt shot from 21 ft
11:01.0,Defensive rebound by K. Lowry,,47-40,,
10:54.0,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry),3,50-40,,
10:35.0,,,50-42,2,L. Aldridge makes 2-pt shot from 18 ft (assist by N. Batum)
10:14.0,J. Johnson makes 2-pt shot from 1 ft,2,52-42,,
9:54.0,,,52-42,,L. Aldridge misses 2-pt shot from 12 ft
9:53.0,Defensive rebound by K. Lowry,,52-42,,
9:47.0,T. Ross misses 2-pt shot at rim,,52-42,,
9:44.0,,,52-42,,Defensive rebound by L. Aldridge
9:32.0,,,52-42,,L. Aldridge misses 2-pt shot from 17 ft
9:31.0,,,52-42,,Offensive rebound by N. Batum
9:30.0,,,52-42,,N. Batum misses 2-pt shot at rim
9:28.0,,,52-42,,Offensive rebound by N. Batum
9:24.0,,,52-45,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lillard)
8:58.0,Shooting foul by L. Aldridge (drawn by A. Johnson),,52-45,,
8:58.0,A. Johnson makes free throw 1 of 2,1,53-45,,
8:58.0,A. Johnson makes free throw 2 of 2,1,54-45,,
8:40.0,,,54-45,,N. Batum misses 2-pt shot from 18 ft
8:39.0,Defensive rebound by J. Johnson,,54-45,,
8:20.0,A. Johnson misses 2-pt shot from 1 ft (block by L. Aldridge),,54-45,,
8:17.0,Offensive rebound by A. Johnson,,54-45,,
8:17.0,A. Johnson makes 2-pt shot at rim,2,56-45,,
8:06.0,,,56-45,,D. Lillard misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by J. Johnson,,56-45,,
7:53.0,T. Ross misses 3-pt shot from 24 ft,,56-45,,
7:53.0,,,56-45,,Defensive rebound by Team
7:53.0,Loose ball foul by J. Valanciunas (drawn by J. Freeland),,56-45,,
7:53.0,,,56-45,,C. Kaman enters the game for J. Freeland
7:36.0,,,56-45,,L. Aldridge misses 2-pt shot from 1 ft
7:36.0,,,56-45,,Offensive rebound by C. Kaman
7:36.0,,,56-45,,Shooting foul by J. Johnson (drawn by C. Kaman)
7:36.0,,,56-46,1,C. Kaman makes free throw 1 of 2
7:36.0,,,56-47,1,C. Kaman makes free throw 2 of 2
7:20.0,J. Johnson makes 2-pt shot from 4 ft,2,58-47,,
6:56.0,,,58-47,,C. Kaman misses 2-pt shot from 6 ft
6:54.0,Defensive rebound by J. Valanciunas,,58-47,,
6:41.0,K. Lowry misses 2-pt shot from 10 ft,,58-47,,
6:40.0,Offensive rebound by J. Johnson,,58-47,,
6:35.0,T. Ross makes 2-pt shot from 7 ft (assist by J. Johnson),2,60-47,,
6:34.0,,,60-47,,Portland full timeout
6:22.0,,,60-47,,W. Matthews misses 2-pt shot from 16 ft
6:21.0,,,60-47,,Offensive rebound by C. Kaman
6:14.0,,,60-47,,L. Aldridge misses 2-pt shot from 3 ft
6:13.0,,,60-47,,Offensive rebound by L. Aldridge
6:12.0,,,60-49,2,L. Aldridge makes 2-pt shot at rim
5:47.0,K. Lowry misses 3-pt shot from 24 ft,,60-49,,
5:46.0,,,60-49,,Defensive rebound by L. Aldridge
5:35.0,,,60-49,,Turnover by C. Kaman (lost ball; steal by K. Lowry)
5:29.0,Turnover by K. Lowry (bad pass; steal by N. Batum),,60-49,,
5:21.0,,,60-52,3,D. Lillard makes 3-pt shot from 24 ft (assist by W. Matthews)
4:56.0,J. Valanciunas makes 2-pt shot from 7 ft,2,62-52,,
4:40.0,,,62-52,,D. Lillard misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by J. Valanciunas,,62-52,,
4:24.0,K. Lowry makes 2-pt shot from 14 ft,2,64-52,,
4:08.0,,,64-52,,Turnover by L. Aldridge (bad pass)
4:08.0,Toronto full timeout,,64-52,,
4:08.0,P. Patterson enters the game for J. Johnson,,64-52,,
4:08.0,L. Williams enters the game for A. Johnson,,64-52,,
4:08.0,,,64-52,,S. Blake enters the game for W. Matthews
3:52.0,T. Ross misses 2-pt shot from 4 ft,,64-52,,
3:51.0,,,64-52,,Defensive rebound by D. Lillard
3:43.0,,,64-55,3,D. Lillard makes 3-pt shot from 26 ft
3:19.0,J. Valanciunas makes 2-pt shot from 3 ft,2,66-55,,
3:06.0,,,66-57,2,L. Aldridge makes 2-pt shot from 15 ft (assist by C. Kaman)
2:46.0,,,66-57,,Personal foul by C. Kaman (drawn by J. Valanciunas)
2:46.0,,,66-57,,D. Wright enters the game for C. Kaman
2:46.0,G. Vasquez enters the game for T. Ross,,66-57,,
2:32.0,G. Vasquez misses 2-pt shot from 7 ft,,66-57,,
2:31.0,,,66-57,,Defensive rebound by D. Wright
2:22.0,,,66-57,,Turnover by D. Wright (bad pass; steal by J. Valanciunas)
2:18.0,G. Vasquez makes 2-pt shot from 1 ft (assist by J. Valanciunas),2,68-57,,
2:00.0,,,68-57,,L. Aldridge misses 2-pt shot from 17 ft
1:59.0,Defensive rebound by L. Williams,,68-57,,
1:37.0,L. Williams makes 2-pt shot from 13 ft,2,70-57,,
1:21.0,,,70-57,,S. Blake misses 2-pt shot from 13 ft
1:21.0,Defensive rebound by G. Vasquez,,70-57,,
1:05.0,K. Lowry misses 2-pt shot from 20 ft,,70-57,,
1:03.0,,,70-57,,Defensive rebound by Team
1:03.0,,,70-57,,W. Matthews enters the game for N. Batum
1:03.0,Technical foul by J. Valanciunas,,70-57,,
1:03.0,,,70-58,1,D. Lillard makes technical free throw
1:03.0,J. Johnson enters the game for K. Lowry,,70-58,,
0:51.0,,,70-58,,D. Wright misses 2-pt shot from 11 ft
0:50.0,,,70-58,,Offensive rebound by D. Wright
0:50.0,,,70-60,2,D. Wright makes 2-pt shot from 11 ft
0:38.0,L. Williams misses 2-pt shot from 20 ft,,70-60,,
0:37.0,,,70-60,,Defensive rebound by W. Matthews
0:31.0,,,70-63,3,D. Lillard makes 3-pt shot from 26 ft
0:07.0,L. Williams misses 2-pt shot from 8 ft,,70-63,,
0:07.0,,,70-63,,Defensive rebound by Team
0:00.0,,,70-63,,D. Lillard misses 3-pt shot from 26 ft
0:00.0,,,70-63,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,G. Vasquez misses 2-pt shot from 23 ft,,70-63,,
11:48.0,,,70-63,,Defensive rebound by J. Freeland
11:32.0,,,70-63,,Turnover by D. Wright (bad pass; steal by J. Johnson)
11:29.0,J. Johnson makes 2-pt shot at rim,2,72-63,,
11:05.0,,,72-63,,D. Lillard misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by T. Hansbrough,,72-63,,
10:43.0,L. Williams misses 2-pt shot at rim,,72-63,,
10:42.0,,,72-63,,Defensive rebound by J. Freeland
10:29.0,,,72-66,3,W. Matthews makes 3-pt shot from 22 ft (assist by S. Blake)
10:04.0,T. Hansbrough misses 2-pt shot from 7 ft (block by D. Wright),,72-66,,
10:03.0,Offensive rebound by P. Patterson,,72-66,,
10:00.0,P. Patterson misses 2-pt shot from 20 ft,,72-66,,
10:00.0,,,72-66,,Defensive rebound by D. Wright
10:00.0,Personal foul by T. Hansbrough (drawn by D. Wright),,72-66,,
9:51.0,,,72-66,,D. Lillard misses 2-pt shot from 18 ft (block by T. Hansbrough)
9:50.0,Defensive rebound by P. Patterson,,72-66,,
9:32.0,G. Vasquez makes 3-pt shot from 25 ft,3,75-66,,
9:20.0,,,75-68,2,S. Blake makes 2-pt shot from 14 ft
8:53.0,P. Patterson makes 2-pt shot at rim (assist by J. Johnson),2,77-68,,
8:31.0,,,77-68,,D. Wright misses 2-pt shot from 12 ft
8:31.0,Defensive rebound by Team,,77-68,,
8:31.0,,,77-68,,Loose ball foul by J. Freeland (drawn by T. Hansbrough)
8:31.0,Official timeout,,77-68,,
8:31.0,,,77-68,,L. Aldridge enters the game for D. Wright
8:31.0,,,77-68,,N. Batum enters the game for W. Matthews
8:12.0,P. Patterson misses 3-pt shot from 25 ft,,77-68,,
8:11.0,,,77-68,,Defensive rebound by L. Aldridge
7:58.0,,,77-70,2,L. Aldridge makes 2-pt shot from 5 ft
7:58.0,,,77-70,,Shooting foul by T. Hansbrough (drawn by L. Aldridge)
7:58.0,,,77-70,,L. Aldridge misses free throw 1 of 1
7:56.0,,,77-70,,Offensive rebound by J. Freeland
7:51.0,,,77-70,,D. Lillard misses 2-pt shot from 1 ft
7:50.0,Defensive rebound by L. Williams,,77-70,,
7:32.0,L. Williams misses 2-pt shot from 21 ft,,77-70,,
7:31.0,,,77-70,,Defensive rebound by Team
7:31.0,Loose ball foul by T. Hansbrough (drawn by J. Freeland),,77-70,,
7:31.0,,,77-70,,W. Matthews enters the game for D. Lillard
7:31.0,A. Johnson enters the game for T. Hansbrough,,77-70,,
7:15.0,Personal foul by A. Johnson (drawn by L. Aldridge),,77-70,,
7:15.0,K. Lowry enters the game for L. Williams,,77-70,,
7:04.0,,,77-73,3,S. Blake makes 3-pt shot from 24 ft (assist by L. Aldridge)
6:46.0,G. Vasquez misses 3-pt shot from 25 ft,,77-73,,
6:44.0,,,77-73,,Defensive rebound by S. Blake
6:30.0,,,77-75,2,L. Aldridge makes 2-pt shot from 11 ft
6:24.0,Toronto full timeout,,77-75,,
6:24.0,J. Valanciunas enters the game for P. Patterson,,77-75,,
6:24.0,T. Ross enters the game for J. Johnson,,77-75,,
6:13.0,K. Lowry makes 2-pt shot from 20 ft,2,79-75,,
5:55.0,,,79-75,,W. Matthews misses 3-pt shot from 24 ft
5:54.0,Defensive rebound by K. Lowry,,79-75,,
5:41.0,Shooting foul by S. Blake (drawn by K. Lowry),,79-75,,
5:41.0,K. Lowry makes free throw 1 of 2,1,80-75,,
5:41.0,,,80-75,,D. Lillard enters the game for S. Blake
5:41.0,K. Lowry makes free throw 2 of 2,1,81-75,,
5:26.0,,,81-78,3,N. Batum makes 3-pt shot from 25 ft
5:04.0,Shooting foul by L. Aldridge (drawn by K. Lowry),,81-78,,
5:04.0,K. Lowry makes free throw 1 of 2,1,82-78,,
5:04.0,K. Lowry makes free throw 2 of 2,1,83-78,,
4:53.0,Personal foul by G. Vasquez (drawn by N. Batum),,83-78,,
4:53.0,,,83-79,1,N. Batum makes free throw 1 of 2
4:53.0,,,83-80,1,N. Batum makes free throw 2 of 2
4:34.0,G. Vasquez misses 2-pt shot from 6 ft,,83-80,,
4:32.0,Offensive rebound by J. Valanciunas,,83-80,,
4:32.0,J. Valanciunas misses 2-pt shot from 1 ft,,83-80,,
4:30.0,,,83-80,,Defensive rebound by L. Aldridge
4:23.0,,,83-82,2,D. Lillard makes 2-pt shot at rim (assist by N. Batum)
4:01.0,L. Williams enters the game for G. Vasquez,,83-82,,
3:56.0,L. Williams misses 3-pt shot from 28 ft,,83-82,,
3:55.0,,,83-82,,Defensive rebound by J. Freeland
3:44.0,,,83-82,,D. Lillard misses 3-pt shot from 22 ft
3:43.0,Defensive rebound by J. Valanciunas,,83-82,,
3:29.0,K. Lowry misses 2-pt shot from 21 ft,,83-82,,
3:28.0,,,83-82,,Defensive rebound by W. Matthews
3:19.0,Personal foul by A. Johnson (drawn by L. Aldridge),,83-82,,
3:19.0,,,83-82,,L. Aldridge misses free throw 1 of 2
3:19.0,,,83-82,,Offensive rebound by Team
3:19.0,,,83-83,1,L. Aldridge makes free throw 2 of 2
3:02.0,J. Valanciunas misses 2-pt shot from 10 ft,,83-83,,
3:01.0,,,83-83,,Defensive rebound by N. Batum
2:54.0,,,83-83,,L. Aldridge misses 2-pt shot from 1 ft
2:53.0,,,83-83,,Offensive rebound by J. Freeland
2:42.0,,,83-83,,L. Aldridge misses 2-pt shot from 10 ft
2:41.0,Defensive rebound by A. Johnson,,83-83,,
2:35.0,Toronto full timeout,,83-83,,
2:35.0,,,83-83,,Portland full timeout
2:29.0,J. Valanciunas misses 2-pt shot from 1 ft (block by D. Lillard),,83-83,,
2:25.0,Offensive rebound by Team,,83-83,,
2:24.0,P. Patterson enters the game for J. Valanciunas,,83-83,,
2:20.0,T. Ross makes 2-pt shot at rim (assist by A. Johnson),2,85-83,,
1:59.0,,,85-85,2,W. Matthews makes 2-pt shot from 8 ft (assist by D. Lillard)
1:49.0,Offensive foul by A. Johnson,,85-85,,
1:49.0,Turnover by A. Johnson (offensive foul),,85-85,,
1:36.0,,,85-87,2,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard)
1:28.0,K. Lowry misses 2-pt shot from 1 ft,,85-87,,
1:26.0,Offensive rebound by T. Ross,,85-87,,
1:22.0,Offensive charge foul by K. Lowry,,85-87,,
1:22.0,Turnover by K. Lowry (offensive foul),,85-87,,
1:09.0,,,85-87,,D. Lillard misses 3-pt shot from 25 ft
1:08.0,,,85-87,,Offensive rebound by W. Matthews
0:51.0,,,85-87,,Turnover by L. Aldridge (lost ball; steal by A. Johnson)
0:37.0,L. Williams misses 3-pt shot from 25 ft,,85-87,,
0:35.0,Offensive rebound by K. Lowry,,85-87,,
0:33.0,,,85-87,,Personal foul by W. Matthews (drawn by T. Ross)
0:33.0,Toronto full timeout,,85-87,,
0:33.0,G. Vasquez enters the game for T. Ross,,85-87,,
0:30.0,K. Lowry misses 2-pt shot from 2 ft (block by J. Freeland),,85-87,,
